step,wall_ns,manifolds,pairs,top_y,awake
0,12912500,4495,9570,35.998295,
1,9671300,4300,9570,35.993866,
2,9473400,4339,9570,35.986713,
3,9478400,4335,9570,35.976837,
4,9415300,4329,9570,35.964233,
5,9519900,4324,9570,35.948902,
6,9349300,4326,9570,35.93085,
7,9506800,4319,9570,35.910072,
8,9439400,4316,9570,35.88657,
9,9472400,4312,9570,35.86034,
10,9422300,4307,9570,35.831387,
11,9387400,4307,9570,35.79971,
12,9562600,4306,9570,35.765305,
13,9606500,4306,9570,35.728176,
14,9694100,4307,9570,35.688324,
15,9861800,4306,9570,35.64575,
16,9628800,4303,9570,35.600445,
17,9624400,4298,9570,35.552414,
18,9634000,4298,9570,35.501663,
19,9573900,4297,9570,35.448185,
20,11692600,5077,9570,35.391983,
21,11211900,4687,9570,35.333054,
22,10539300,4536,9570,35.2714,
23,10313800,4464,9570,35.207024,
24,10454100,4397,9570,35.13992,
25,10599700,4359,9570,35.07009,
26,10415300,4312,9570,34.997536,
27,10217300,4295,9570,34.92226,
28,12245900,4934,9570,34.844257,
29,11434800,4786,9570,34.763527,
30,11512000,4665,9570,34.680073,
31,11175700,4617,9570,34.593895,
32,10904900,4578,9570,34.504993,
33,11041500,4536,9570,34.413364,
34,12315500,5039,9570,34.31901,
35,11644500,4827,9570,34.221935,
36,11097300,4630,9570,34.12213,
37,10938300,4510,9570,34.019604,
38,10407200,4408,9570,33.91435,
39,11663900,4880,9570,33.806374,
40,11750700,4979,9570,33.69567,
41,11408100,4855,9570,33.58224,
42,11053700,4689,9570,33.466087,
43,10890200,4655,9570,33.34721,
44,12236900,5072,9570,33.22561,
45,12188200,5053,9570,33.10128,
46,11236700,4767,9570,32.974224,
47,10757100,4624,9570,32.844448,
48,11509700,4898,9570,32.711945,
49,11851100,5015,9570,32.576717,
50,11372900,4836,9570,32.438763,
51,11162200,4704,9570,32.298084,
52,11469900,4886,9570,32.154682,
53,11515700,4850,9570,32.008553,
54,11135900,4701,9570,31.8597,
55,10950200,4656,9570,31.70812,
56,11285900,4755,9570,31.553818,
57,11192200,4733,9570,31.39679,
58,10999300,4658,9570,31.237036,
59,11191500,4682,9570,31.074558,
60,11202700,4642,9570,30.909355,
61,11089200,4557,9570,30.741426,
62,11204600,4591,9570,30.570772,
63,11130200,4578,9570,30.397394,
64,11038300,4530,9570,30.22129,
65,11156000,4530,9570,30.042463,
66,11102700,4531,9570,29.860909,
67,11125700,4532,9570,29.67663,
68,11183400,4513,9570,29.489626,
69,11104200,4475,9570,29.299898,
70,11141600,4477,9570,29.107445,
71,11322400,4474,9569,28.912266,
72,11331700,4455,9569,28.714361,
73,10976700,4472,9569,28.745037,
74,10958600,4465,9569,28.771923,
75,11151000,4458,9569,28.794498,
76,10903000,4464,9569,28.81284,
77,10924800,4463,9569,28.827902,
78,10789900,4462,9568,28.840885,
79,10928400,4456,9567,28.852116,
80,10928500,4458,9567,28.861916,
81,10907800,4462,9566,28.87016,
