step,wall_ns,manifolds,pairs,top_y,awake
0,7115600,4495,9570,35.998295,
1,6172500,4196,9570,35.993866,
2,5868200,4142,9570,35.986713,
3,5750500,4111,9570,35.976837,
4,5505500,4100,9570,35.964233,
5,5489200,4087,9570,35.948902,
6,5496600,4079,9570,35.93085,
7,5511200,4073,9570,35.910072,
8,5485700,4066,9570,35.88657,
9,5489800,4061,9570,35.86034,
10,5497400,4053,9570,35.831387,
11,5496000,4054,9570,35.79971,
12,5511700,4056,9570,35.765305,
13,5508100,4055,9570,35.728176,
14,5482700,4060,9570,35.688324,
15,5512800,4057,9570,35.64575,
16,5501100,4055,9570,35.600445,
17,5487500,4051,9570,35.552414,
18,5628700,4049,9570,35.501663,
19,5531000,4050,9570,35.448185,
20,6246600,4829,9570,35.391983,
21,6381100,4715,9570,35.333054,
22,6210500,4565,9570,35.2714,
23,6179900,4496,9570,35.207024,
24,6050800,4419,9570,35.13992,
25,6013900,4390,9570,35.07009,
26,5993100,4353,9570,34.997536,
27,5957300,4336,9570,34.92226,
28,6663600,4982,9570,34.844257,
29,6553500,4783,9570,34.763527,
30,6449200,4670,9570,34.680073,
31,6414700,4639,9570,34.593895,
32,6332200,4573,9570,34.504993,
33,6259400,4491,9570,34.413364,
34,6745300,5031,9570,34.31901,
35,6713400,4806,9570,34.221935,
36,6589300,4646,9570,34.12213,
37,6451700,4535,9570,34.019604,
38,6461100,4502,9570,33.91435,
39,6868800,4984,9570,33.806374,
40,7033800,5009,9570,33.69567,
41,6882900,4852,9570,33.58224,
42,6745400,4753,9570,33.466087,
43,6726100,4728,9570,33.34721,
44,7016800,4996,9570,33.22561,
45,7183600,5112,9570,33.10128,
46,6991800,4923,9570,32.974224,
47,6875000,4760,9570,32.844448,
48,7076900,5001,9570,32.711945,
49,7283400,5139,9570,32.576717,
50,7126500,4996,9570,32.438763,
51,6968800,4871,9570,32.298084,
52,7501500,5093,9570,32.154682,
53,7146500,4972,9570,32.008553,
54,6957600,4792,9570,31.8597,
55,6907500,4796,9570,31.70812,
56,7168400,4911,9570,31.553818,
57,6990700,4780,9570,31.39679,
58,6869200,4734,9570,31.237036,
59,6920000,4748,9570,31.074558,
60,6840500,4704,9570,30.909355,
61,6823600,4678,9570,30.741426,
62,6833500,4666,9570,30.570772,
63,6770200,4609,9570,30.397394,
64,6792600,4623,9570,30.22129,
65,7074200,4625,9570,30.042463,
66,7129900,4579,9570,29.860909,
67,6746600,4610,9570,29.67663,
68,6672700,4550,9570,29.489626,
69,6664200,4524,9570,29.299898,
70,6676000,4535,9570,29.107445,
71,6657700,4528,9570,28.912266,
72,6695200,4533,9570,28.714361,
73,6651500,4529,9570,28.745474,
74,6633900,4530,9570,28.77165,
75,6668200,4529,9570,28.79591,
76,6599700,4524,9570,28.816788,
77,6626100,4517,9570,28.83433,
78,6618500,4520,9570,28.848581,
79,6604100,4514,9568,28.862343,
80,6711900,4519,9568,28.873486,
81,6615400,4518,9568,28.88324,
82,6628900,4518,9568,28.892859,
83,6606200,4516,9568,28.90075,
84,6611300,4517,9567,28.907646,
85,6606100,4508,9565,28.914537,
86,6598700,4519,9565,28.920815,
87,6618700,4516,9565,28.92588,
88,6606300,4518,9565,28.930962,
89,6667100,4519,9565,28.935617,
90,6638600,4514,9565,28.939785,
91,6623900,4516,9565,28.943506,
92,6624100,4512,9565,28.946703,
93,6616200,4508,9565,28.949604,
94,6649700,4522,9565,28.952375,
95,6625400,4519,9565,28.954878,
96,6622100,4521,9565,28.957104,
97,6638800,4517,9565,28.9592,
98,6600900,4515,9565,28.960983,
99,6637000,4520,9565,28.96278,
100,6614600,4521,9564,28.964386,
101,6637500,4521,9564,28.965906,
102,6760600,4521,9563,28.967402,
103,6748500,4520,9563,28.968788,
104,6606200,4522,9563,28.969984,
105,6593500,4518,9563,28.971111,
106,6612500,4521,9563,28.97221,
107,6596600,4523,9563,28.97325,
108,6593800,4515,9562,28.974203,
109,6606100,4517,9562,28.975157,
110,6614000,4516,9562,28.976004,
111,6600600,4515,9562,28.976778,
112,6582700,4519,9562,28.977486,
113,6600800,4520,9562,28.978231,
114,6608300,4520,9562,28.97893,
115,6600000,4519,9561,28.979557,
116,6615300,4526,9561,28.980162,
117,6603100,4519,9561,28.980728,
118,6620000,4521,9561,28.981266,
119,6604300,4517,9561,28.981787,
120,6607600,4523,9561,28.982262,
121,6611700,4523,9561,28.98269,
122,6613500,4521,9561,28.983118,
123,6628700,4522,9561,28.98351,
124,6610300,4518,9561,28.98387,
125,6597100,4521,9561,28.984217,
126,6626600,4521,9561,28.984558,
127,6604000,4517,9561,28.98485,
128,6622400,4522,9561,28.98514,
129,6602000,4521,9561,28.98541,
130,6611100,4519,9560,28.98568,
131,6590700,4526,9559,28.98593,
132,6592400,4524,9559,28.986149,
133,6603500,4516,9559,28.98636,
134,6587000,4520,9559,28.98657,
135,6601300,4522,9559,28.986776,
136,6600000,4519,9559,28.986969,
137,6587000,4521,9559,28.987137,
138,6608600,4521,9559,28.9873,
139,6596000,4521,9559,28.987465,
140,6655300,4518,9559,28.987623,
141,6611600,4523,9559,28.987766,
142,6636900,4524,9559,28.987892,
143,7120300,4523,9559,28.98802,
144,6626700,4520,9559,28.988153,
145,6604900,4519,9559,28.98826,
