step,wall_ns,manifolds,pairs,top_y,awake
0,8612900,4495,9570,35.998295,
1,7411700,4196,9570,35.993866,
2,7225900,4142,9570,35.986713,
3,7225300,4111,9570,35.976837,
4,7178700,4100,9570,35.964233,
5,7209100,4087,9570,35.948902,
6,7170600,4079,9570,35.93085,
7,7194300,4073,9570,35.910072,
8,7172700,4066,9570,35.88657,
9,7165100,4061,9570,35.86034,
10,7286700,4053,9570,35.831387,
11,7146500,4054,9570,35.79971,
12,7186100,4056,9570,35.765305,
13,7178400,4055,9570,35.728176,
14,7162200,4060,9570,35.688324,
15,7153000,4057,9570,35.64575,
16,7180600,4055,9570,35.600445,
17,7152100,4051,9570,35.552414,
18,7159600,4049,9570,35.501663,
19,7141500,4050,9570,35.448185,
20,7904900,4829,9570,35.391983,
21,8034300,4715,9570,35.333054,
22,7873700,4565,9570,35.2714,
23,7803700,4496,9570,35.207024,
24,7683800,4419,9570,35.13992,
25,7666400,4390,9570,35.07009,
26,7637100,4353,9570,34.997536,
27,7616500,4336,9570,34.92226,
28,8286400,4982,9570,34.844257,
29,8248600,4783,9570,34.763527,
30,8131700,4670,9570,34.680073,
31,8096400,4639,9570,34.593895,
32,7999300,4573,9570,34.504993,
33,7912200,4491,9570,34.413364,
34,8405800,5031,9570,34.31901,
35,8383500,4806,9570,34.221935,
36,8222400,4646,9570,34.12213,
37,8123600,4535,9570,34.019604,
38,8098900,4502,9570,33.91435,
39,8510200,4984,9570,33.806374,
40,8655100,5009,9570,33.69567,
41,8451900,4852,9570,33.58224,
42,8370500,4753,9570,33.466087,
43,8346400,4728,9570,33.34721,
44,8932400,4996,9570,33.22561,
45,9237200,5112,9570,33.10128,
46,9343900,4923,9570,32.974224,
47,8499100,4760,9570,32.844448,
48,8714500,5001,9570,32.711945,
49,8860300,5139,9570,32.576717,
50,9017200,4996,9570,32.438763,
51,9369200,4871,9570,32.298084,
52,8824600,5093,9570,32.154682,
53,8810900,4972,9570,32.008553,
54,9172200,4792,9570,31.8597,
