step,wall_ns,manifolds,pairs,top_y,awake
0,3288900,4495,9570,35.998295,
1,2071100,4196,9570,35.993866,
2,1991000,4142,9570,35.986713,
3,1975800,4111,9570,35.976837,
4,2095300,4100,9570,35.964233,
5,1958800,4087,9570,35.948902,
6,1958500,4079,9570,35.93085,
7,1957300,4073,9570,35.910072,
8,1952100,4066,9570,35.88657,
9,1977000,4061,9570,35.86034,
10,1942300,4053,9570,35.831387,
11,1993000,4054,9570,35.79971,
12,1960600,4056,9570,35.765305,
13,1958500,4055,9570,35.728176,
14,1952600,4060,9570,35.688324,
15,1950900,4057,9570,35.64575,
16,1963700,4055,9570,35.600445,
17,1957400,4051,9570,35.552414,
18,1945600,4049,9570,35.501663,
19,1945800,4050,9570,35.448185,
20,2312600,4829,9570,35.391983,
21,2295500,4715,9570,35.333054,
22,2234500,4565,9570,35.2714,
23,2218000,4496,9570,35.207024,
24,2151900,4419,9570,35.13992,
25,2145800,4390,9570,35.07009,
26,2196300,4353,9570,34.997536,
27,2120000,4336,9570,34.92226,
28,2408400,4982,9570,34.844257,
29,2310200,4783,9570,34.763527,
30,2293100,4670,9570,34.680073,
31,2267300,4639,9570,34.593895,
32,2242100,4573,9570,34.504993,
33,2230600,4491,9570,34.413364,
34,2427000,5031,9570,34.31901,
35,2364900,4806,9570,34.221935,
36,2337400,4646,9570,34.12213,
37,2305400,4535,9570,34.019604,
38,2279600,4502,9570,33.91435,
39,2436800,4984,9570,33.806374,
40,2601900,5009,9570,33.69567,
41,2479100,4852,9570,33.58224,
42,2395000,4753,9570,33.466087,
43,2381400,4728,9570,33.34721,
44,2488200,4996,9570,33.22561,
45,2574600,5112,9570,33.10128,
46,2511300,4923,9570,32.974224,
47,2432500,4760,9570,32.844448,
48,2507800,5001,9570,32.711945,
49,2600100,5139,9570,32.576717,
50,2505200,4996,9570,32.438763,
51,2440000,4871,9570,32.298084,
52,2550200,5093,9570,32.154682,
53,2600400,4972,9570,32.008553,
54,2432800,4792,9570,31.8597,
55,2434100,4796,9570,31.70812,
56,2469100,4911,9570,31.553818,
57,2397600,4780,9570,31.39679,
58,2409300,4734,9570,31.237036,
59,2407200,4748,9570,31.074558,
60,2374000,4704,9570,30.909355,
61,2335400,4678,9570,30.741426,
62,2349600,4666,9570,30.570772,
63,2319500,4609,9570,30.397394,
64,2330400,4623,9570,30.22129,
65,2318800,4625,9570,30.042463,
66,2332900,4579,9570,29.860909,
67,2301200,4610,9570,29.67663,
68,2283800,4550,9570,29.489626,
69,2273000,4524,9570,29.299898,
70,2284800,4535,9570,29.107445,
71,2255600,4528,9570,28.912266,
72,2279300,4533,9570,28.714361,
73,2264100,4529,9570,28.745474,
74,2261200,4530,9570,28.77165,
75,2247100,4529,9570,28.79591,
76,2240000,4524,9570,28.816788,
77,2231300,4517,9570,28.83433,
78,2233800,4520,9570,28.848581,
79,2240400,4514,9568,28.862343,
80,2301500,4519,9568,28.873486,
81,2259200,4518,9568,28.88324,
82,2258000,4518,9568,28.892859,
83,2225400,4516,9568,28.90075,
84,2243000,4517,9567,28.907646,
85,2250800,4508,9565,28.914537,
86,2245400,4519,9565,28.920815,
87,2583600,4516,9565,28.92588,
88,2255900,4518,9565,28.930962,
89,2249100,4519,9565,28.935617,
90,2251700,4514,9565,28.939785,
91,2264300,4516,9565,28.943506,
92,2263700,4512,9565,28.946703,
93,2260100,4508,9565,28.949604,
94,2296700,4522,9565,28.952375,
95,2266700,4519,9565,28.954878,
96,2259900,4521,9565,28.957104,
97,2250100,4517,9565,28.9592,
98,2237200,4515,9565,28.960983,
99,2247800,4520,9565,28.96278,
100,2245500,4521,9564,28.964386,
101,2363000,4521,9564,28.965906,
102,2261200,4521,9563,28.967402,
103,2236700,4520,9563,28.968788,
104,2246000,4522,9563,28.969984,
105,2242900,4518,9563,28.971111,
106,2243500,4521,9563,28.97221,
107,2241800,4523,9563,28.97325,
108,2317000,4515,9562,28.974203,
109,2244700,4517,9562,28.975157,
110,2239300,4516,9562,28.976004,
111,2231300,4515,9562,28.976778,
112,2224200,4519,9562,28.977486,
113,2221500,4520,9562,28.978231,
114,2222300,4520,9562,28.97893,
115,2363900,4519,9561,28.979557,
116,2241000,4526,9561,28.980162,
117,2263000,4519,9561,28.980728,
118,2272000,4521,9561,28.981266,
119,2252300,4517,9561,28.981787,
120,2241000,4523,9561,28.982262,
121,2243000,4523,9561,28.98269,
122,2250900,4521,9561,28.983118,
123,2249400,4522,9561,28.98351,
124,2240400,4518,9561,28.98387,
125,2235300,4521,9561,28.984217,
126,2243400,4521,9561,28.984558,
127,2230700,4517,9561,28.98485,
128,2226500,4522,9561,28.98514,
129,2230700,4521,9561,28.98541,
130,2228800,4519,9560,28.98568,
131,2242600,4526,9559,28.98593,
132,2219300,4524,9559,28.986149,
133,2227400,4516,9559,28.98636,
134,2220600,4520,9559,28.98657,
135,2235500,4522,9559,28.986776,
136,2232600,4519,9559,28.986969,
137,2247700,4521,9559,28.987137,
138,2229500,4521,9559,28.9873,
139,2230300,4521,9559,28.987465,
140,2240400,4518,9559,28.987623,
141,2243900,4523,9559,28.987766,
142,2250300,4524,9559,28.987892,
143,2287300,4523,9559,28.98802,
144,2254500,4520,9559,28.988153,
145,2243900,4519,9559,28.98826,
146,2248200,4520,9559,28.988363,
147,2247600,4522,9559,28.988459,
148,2238700,4517,9559,28.988543,
149,2229500,4519,9559,28.988642,
150,2231400,4522,9559,28.98874,
151,2224500,4520,9559,28.98882,
152,2239600,4523,9559,28.988888,
153,2238300,4523,9559,28.988964,
154,2251600,4524,9559,28.989048,
155,2229000,4521,9559,28.989117,
156,2226300,4520,9559,28.989172,
157,2230900,4519,9559,28.989218,
158,2223300,4519,9559,28.98927,
159,2254200,4518,9559,28.98933,
160,2228700,4519,9559,28.989386,
161,2239500,4521,9559,28.989433,
162,2245300,4518,9559,28.989477,
163,2218800,4520,9559,28.989515,
164,2220200,4520,9559,28.989552,
165,2236600,4519,9559,28.989582,
166,2232100,4516,9559,28.989613,
167,2225100,4518,9559,28.989645,
168,2224200,4518,9559,28.989676,
169,2222100,4514,9559,28.9897,
170,2224300,4515,9559,28.989725,
171,2246900,4512,9559,28.989754,
172,2234300,4513,9559,28.98977,
173,2231300,4515,9559,28.989801,
174,2223900,4515,9559,28.989834,
175,2218800,4515,9559,28.989851,
176,2231400,4514,9559,28.989864,
177,2220100,4516,9559,28.989883,
178,2260300,4515,9559,28.989906,
179,2256900,4515,9559,28.989923,
180,2237700,4515,9559,28.98993,
181,2230000,4517,9559,28.98993,
182,2230600,4517,9559,28.98994,
183,2249000,4516,9559,28.989958,
184,2222800,4516,9559,28.98997,
185,2229600,4514,9559,28.989977,
186,2250900,4515,9559,28.98999,
