step,wall_ns,manifolds,pairs,top_y,awake
0,3386100,4495,9570,35.998295,
1,2088200,4196,9570,35.993866,
2,1992900,4142,9570,35.986713,
3,1963100,4111,9570,35.976837,
4,1963000,4100,9570,35.964233,
5,1938100,4087,9570,35.948902,
6,1943200,4079,9570,35.93085,
7,1937800,4073,9570,35.910072,
8,2215400,4066,9570,35.88657,
9,2083300,4061,9570,35.86034,
10,2061100,4053,9570,35.831387,
11,2161100,4054,9570,35.79971,
12,1980300,4056,9570,35.765305,
13,1964000,4055,9570,35.728176,
14,1949400,4060,9570,35.688324,
15,2051900,4057,9570,35.64575,
16,1993000,4055,9570,35.600445,
17,1982600,4051,9570,35.552414,
18,1969500,4049,9570,35.501663,
19,1963500,4050,9570,35.448185,
20,2414200,4829,9570,35.391983,
21,2283300,4715,9570,35.333054,
22,2248700,4565,9570,35.2714,
23,2332400,4496,9570,35.207024,
24,2362300,4419,9570,35.13992,
25,2373400,4390,9570,35.07009,
26,2309300,4353,9570,34.997536,
27,2278100,4336,9570,34.92226,
28,2459800,4982,9570,34.844257,
29,2463700,4783,9570,34.763527,
30,2495000,4670,9570,34.680073,
31,2412200,4639,9570,34.593895,
32,2235000,4573,9570,34.504993,
33,2217000,4491,9570,34.413364,
34,2461200,5031,9570,34.31901,
35,2393400,4806,9570,34.221935,
36,2333700,4646,9570,34.12213,
37,2313900,4535,9570,34.019604,
38,2262500,4502,9570,33.91435,
39,2450400,4984,9570,33.806374,
40,2512400,5009,9570,33.69567,
41,2439200,4852,9570,33.58224,
42,2386200,4753,9570,33.466087,
43,2400900,4728,9570,33.34721,
44,2477200,4996,9570,33.22561,
45,2549700,5112,9570,33.10128,
46,2513400,4923,9570,32.974224,
47,2433200,4760,9570,32.844448,
48,2517600,5001,9570,32.711945,
49,2571800,5139,9570,32.576717,
50,2497600,4996,9570,32.438763,
51,2441200,4871,9570,32.298084,
52,2533000,5093,9570,32.154682,
53,2496500,4972,9570,32.008553,
54,2415400,4792,9570,31.8597,
55,2497500,4796,9570,31.70812,
56,2607800,4911,9570,31.553818,
57,2406800,4780,9570,31.39679,
58,2377700,4734,9570,31.237036,
59,2376600,4748,9570,31.074558,
60,2347200,4704,9570,30.909355,
61,2346300,4678,9570,30.741426,
62,2436600,4666,9570,30.570772,
63,2347000,4609,9570,30.397394,
64,2335600,4623,9570,30.22129,
65,2318700,4625,9570,30.042463,
66,2289800,4579,9570,29.860909,
67,2288900,4610,9570,29.67663,
68,2333300,4550,9570,29.489626,
69,2278400,4524,9570,29.299898,
70,2276900,4535,9570,29.107445,
71,2265200,4528,9570,28.912266,
72,2264600,4533,9570,28.714361,
73,2259200,4529,9570,28.745474,
74,2282100,4530,9570,28.77165,
75,2283600,4529,9570,28.79591,
76,2247000,4524,9570,28.816788,
77,2257100,4517,9570,28.83433,
78,2246800,4520,9570,28.848581,
79,2244400,4514,9568,28.862343,
80,2259000,4519,9568,28.873486,
81,2228600,4518,9568,28.88324,
82,2263600,4518,9568,28.892859,
83,2243600,4516,9568,28.90075,
84,2235900,4517,9567,28.907646,
85,2244400,4508,9565,28.914537,
86,2236900,4519,9565,28.920815,
87,2232600,4516,9565,28.92588,
88,2234400,4518,9565,28.930962,
89,2309300,4519,9565,28.935617,
90,2325900,4514,9565,28.939785,
91,2253600,4516,9565,28.943506,
92,2266200,4512,9565,28.946703,
93,2253500,4508,9565,28.949604,
94,2269200,4522,9565,28.952375,
95,2269100,4519,9565,28.954878,
96,2303500,4521,9565,28.957104,
97,2257600,4517,9565,28.9592,
98,2247400,4515,9565,28.960983,
99,2250600,4520,9565,28.96278,
100,2233100,4521,9564,28.964386,
101,2235100,4521,9564,28.965906,
102,2239800,4521,9563,28.967402,
103,2291800,4520,9563,28.968788,
104,2256100,4522,9563,28.969984,
105,2230800,4518,9563,28.971111,
106,2231900,4521,9563,28.97221,
107,2239200,4523,9563,28.97325,
108,2234300,4515,9562,28.974203,
109,2236600,4517,9562,28.975157,
110,2240800,4516,9562,28.976004,
111,2229400,4515,9562,28.976778,
112,2232900,4519,9562,28.977486,
113,2228300,4520,9562,28.978231,
114,2227800,4520,9562,28.97893,
115,2227900,4519,9561,28.979557,
116,2243200,4526,9561,28.980162,
117,2232200,4519,9561,28.980728,
118,2248700,4521,9561,28.981266,
119,2231400,4517,9561,28.981787,
120,2235100,4523,9561,28.982262,
121,2246600,4523,9561,28.98269,
122,2250900,4521,9561,28.983118,
123,2227500,4522,9561,28.98351,
124,2249000,4518,9561,28.98387,
125,2227800,4521,9561,28.984217,
126,2225600,4521,9561,28.984558,
127,2213800,4517,9561,28.98485,
128,2215200,4522,9561,28.98514,
129,2233800,4521,9561,28.98541,
130,2252300,4519,9560,28.98568,
131,2245800,4526,9559,28.98593,
132,2257300,4524,9559,28.986149,
133,2222800,4516,9559,28.98636,
134,2227000,4520,9559,28.98657,
135,2223200,4522,9559,28.986776,
136,2212300,4519,9559,28.986969,
137,2231300,4521,9559,28.987137,
138,2236700,4521,9559,28.9873,
139,2359200,4521,9559,28.987465,
140,2254300,4518,9559,28.987623,
141,2248900,4523,9559,28.987766,
142,2256700,4524,9559,28.987892,
143,2234400,4523,9559,28.98802,
144,2225700,4520,9559,28.988153,
145,2288800,4519,9559,28.98826,
146,2244000,4520,9559,28.988363,
147,2218600,4522,9559,28.988459,
148,2212200,4517,9559,28.988543,
149,2216700,4519,9559,28.988642,
150,2252000,4522,9559,28.98874,
151,2221200,4520,9559,28.98882,
152,2323100,4523,9559,28.988888,
153,2299300,4523,9559,28.988964,
154,2279400,4524,9559,28.989048,
155,2229200,4521,9559,28.989117,
156,2219600,4520,9559,28.989172,
157,2241000,4519,9559,28.989218,
158,2225300,4519,9559,28.98927,
159,2470200,4518,9559,28.98933,
160,2318100,4519,9559,28.989386,
161,2254100,4521,9559,28.989433,
162,2234300,4518,9559,28.989477,
163,2210800,4520,9559,28.989515,
164,2367600,4520,9559,28.989552,
165,2396800,4519,9559,28.989582,
166,2293700,4516,9559,28.989613,
167,2299600,4518,9559,28.989645,
168,2271200,4518,9559,28.989676,
169,2236200,4514,9559,28.9897,
170,2253200,4515,9559,28.989725,
171,2267800,4512,9559,28.989754,
172,2278500,4513,9559,28.98977,
173,2266900,4515,9559,28.989801,
174,2267400,4515,9559,28.989834,
175,2276400,4515,9559,28.989851,
176,2252700,4514,9559,28.989864,
177,2253800,4516,9559,28.989883,
178,2273800,4515,9559,28.989906,
179,2247600,4515,9559,28.989923,
180,2292200,4515,9559,28.98993,
181,2351100,4517,9559,28.98993,
182,2234200,4517,9559,28.98994,
183,2242200,4516,9559,28.989958,
184,2235700,4516,9559,28.98997,
185,2228500,4514,9559,28.989977,
186,2228400,4515,9559,28.98999,
187,2229200,4516,9559,28.990005,
188,2237700,4519,9559,28.990013,
189,2220400,4519,9559,28.990015,
190,2222000,4519,9559,28.990025,
191,2240100,4520,9559,28.99004,
192,2226400,4522,9559,28.990047,
193,2235500,4521,9559,28.990053,
194,2266700,4522,9559,28.990055,
195,2254900,4521,9559,28.99006,
196,2264300,4522,9559,28.99006,
197,2221900,4523,9559,28.990076,
198,2219300,4523,9559,28.990084,
199,2223600,4524,9559,28.990086,
200,2238900,4522,9559,28.990088,
201,2246600,4522,9559,28.990097,
202,2226700,4521,9559,28.99011,
203,2227600,4525,9559,28.990112,
204,2251900,4526,9559,28.990108,
205,2243100,4524,9559,28.990114,
206,2229500,4523,9559,28.99012,
207,2223600,4523,9559,28.990118,
208,2239600,4523,9559,28.990112,
209,2243100,4522,9559,28.990116,
210,2229300,4522,9559,28.990122,
211,2227000,4523,9559,28.990128,
212,2239500,4523,9559,28.990124,
213,2245700,4523,9559,28.99013,
214,2248100,4524,9559,28.990137,
215,2314500,4524,9559,28.990137,
216,2260100,4526,9559,28.990137,
217,2241600,4524,9559,28.990143,
218,2242500,4525,9559,28.990149,
219,2240200,4524,9559,28.990149,
220,2234600,4523,9559,28.990152,
221,2245900,4522,9559,28.99016,
222,2228500,4522,9559,28.990164,
223,2231700,4520,9559,28.990162,
224,2255400,4521,9559,28.99016,
225,2240400,4522,9559,28.990166,
226,2245100,4521,9559,28.990166,
227,2231700,4522,9559,28.990166,
228,2231100,4521,9559,28.990168,
229,2238500,4519,9559,28.990175,
230,2242000,4521,9559,28.990171,
231,2235900,4522,9559,28.990166,
232,2235400,4523,9559,28.990173,
233,2235600,4527,9559,28.990175,
234,2224100,4523,9559,28.990168,
235,2243400,4525,9559,28.99017,
236,2292500,4525,9559,28.990175,
237,2282600,4526,9559,28.990175,
238,2306500,4525,9559,28.990175,
239,2254600,4524,9559,28.990175,
240,2235400,4524,9559,28.990175,
241,2238100,4521,9559,28.990175,
242,2243400,4520,9559,28.990175,
243,2259600,4520,9559,28.990175,
244,2260300,4521,9559,28.990171,
245,2253100,4520,9559,28.990164,
246,2243500,4521,9559,28.990164,
247,2227400,4521,9559,28.990164,
248,2218300,4520,9559,28.990164,
249,2243800,4522,9559,28.990164,
250,2255100,4521,9559,28.990164,
251,2237100,4522,9559,28.990164,
252,2244900,4523,9559,28.990164,
253,2241600,4523,9559,28.99017,
254,2239800,4523,9559,28.99017,
255,2234100,4521,9559,28.99017,
256,2252100,4519,9559,28.99017,
257,2224000,4519,9559,28.990171,
258,2245600,4520,9559,28.990177,
259,2251200,4520,9559,28.990177,
260,2228800,4520,9559,28.990177,
261,2250000,4519,9559,28.99018,
262,2231300,4518,9559,28.990187,
263,2281800,4518,9559,28.990187,
264,2237000,4518,9559,28.990187,
265,2219100,4518,9559,28.990187,
266,2223700,4518,9559,28.990187,
267,2241300,4518,9559,28.990187,
268,2222900,4518,9559,28.990187,
269,2229200,4518,9559,28.990187,
270,2217600,4518,9559,28.990187,
271,2259000,4518,9559,28.990187,
272,2250000,4518,9559,28.990187,
273,2230500,4518,9559,28.990187,
274,2229900,4518,9559,28.990187,
275,2235400,4518,9559,28.990187,
276,2250400,4519,9559,28.990183,
277,2253900,4518,9559,28.990183,
278,2230800,4518,9559,28.990183,
279,2239300,4519,9559,28.990183,
280,2227700,4518,9559,28.990183,
281,2236200,4520,9559,28.990183,
282,2245200,4520,9559,28.990185,
283,2250600,4518,9559,28.990185,
284,2232000,4518,9559,28.990185,
285,2246400,4519,9559,28.990185,
286,2265500,4520,9559,28.990185,
287,2254200,4519,9559,28.990185,
288,2271400,4520,9559,28.990185,
289,2239400,4518,9559,28.990185,
290,2232100,4517,9559,28.99019,
291,2259600,4517,9559,28.99019,
292,2251100,4519,9559,28.99019,
293,2237800,4517,9559,28.990187,
294,2231800,4517,9559,28.990185,
295,2235900,4516,9559,28.990192,
296,2229000,4516,9559,28.990198,
297,2235900,4515,9559,28.990198,
298,2215900,4515,9559,28.990196,
299,2248300,4515,9559,28.990194,
300,2229500,4515,9559,28.990194,
301,2252100,4515,9559,28.990194,
302,2277200,4515,9559,28.990194,
303,2235100,4516,9559,28.990194,
304,2220200,4515,9559,28.990194,
305,2239100,4517,9559,28.990194,
306,2239400,4517,9559,28.990194,
307,2247400,4517,9559,28.990194,
308,2233400,4516,9559,28.990194,
309,2246900,4516,9559,28.990194,
310,2226000,4516,9559,28.990194,
311,2228600,4516,9559,28.990194,
312,2286700,4515,9559,28.990194,
313,2251900,4515,9559,28.990194,
314,2246600,4515,9559,28.990194,
315,2246700,4517,9559,28.990194,
316,2220400,4515,9559,28.990194,
317,2226700,4517,9559,28.990194,
318,2225000,4516,9559,28.990192,
319,2219600,4516,9559,28.99019,
320,2222100,4515,9559,28.990196,
321,2233500,4515,9559,28.990198,
322,2237700,4517,9559,28.990198,
323,2230700,4517,9559,28.990198,
324,2236800,4517,9559,28.990198,
325,2247700,4516,9559,28.990194,
326,2235000,4516,9559,28.990189,
327,2265800,4516,9559,28.990189,
328,2232000,4515,9559,28.990189,
329,2240100,4514,9559,28.990189,
330,2263800,4515,9559,28.990189,
331,2244300,4513,9559,28.990189,
332,2225900,4513,9559,28.990189,
333,2235000,4512,9559,28.990185,
334,2255900,4513,9559,28.990185,
335,2227300,4514,9559,28.990185,
336,2227400,4513,9559,28.990185,
337,2228200,4516,9559,28.990185,
338,2253900,4517,9559,28.990185,
339,2227900,4518,9559,28.990185,
340,2243800,4517,9559,28.990185,
341,2272700,4517,9559,28.990185,
342,2241100,4517,9559,28.990185,
343,2237000,4517,9559,28.990185,
344,2235800,4517,9559,28.990185,
345,2232100,4517,9559,28.990189,
346,2242300,4517,9559,28.990189,
