step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,5418700,4495,9570,35.998295,,0,9,9,108,71990,5852,3046,5346710,16,160,321,1,123526,1,70,1,526868,1,1012118,1,173365,1,3498689,1,11753,1,554894,1,14228,4,552158,4,103285,4,759631,4,1477519,8,2234103,108,0,0,4529,1,23547,1,3046,1,0,0,0,0,0,0,664546,1,154006,1,76252,1,44168,1,74839,1,355778,1,49569,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,1241,1,0,1,0,1
1,3671500,4196,9570,35.993866,,0,8,8,96,42877,1333,1734,3628623,16,149,80,1,33777,1,70,1,304816,1,359200,1,100851,1,2816673,1,13156,1,383282,1,12425,4,504764,4,78717,4,618641,4,1189125,8,1806032,96,0,0,3136,1,22585,1,2665,1,0,0,0,0,0,0,334571,1,16934,1,4419,1,10321,1,25401,1,247823,1,20992,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,1241,1,0,1,0,1
2,3614100,4142,9570,35.986713,,0,8,8,96,32296,1323,1824,3581804,16,149,160,1,30410,1,80,1,306239,1,345066,1,100219,1,2788867,1,10761,1,281380,1,11944,4,478241,4,78506,4,616406,4,1293683,8,1908265,96,0,0,3016,1,21783,1,2585,1,0,0,0,0,0,0,318343,1,18918,1,4589,1,24869,1,22304,1,225148,1,33577,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,1240,1,1,1,1,1
3,3423400,4111,9570,35.976837,,0,8,8,96,32876,1112,1644,3390524,16,149,60,1,24559,1,60,1,274606,1,333904,1,86252,1,2660452,1,10631,1,276249,1,11854,4,474744,4,78186,4,614011,4,1175879,8,1788246,96,0,0,3016,1,22775,1,2625,1,0,0,0,0,0,0,309696,1,17575,1,3938,1,4950,1,21653,1,219076,1,28667,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,1240,1,1,1,0,1
4,3429900,4100,9570,35.964233,,0,8,8,96,32963,1022,3066,3396937,16,149,50,1,24459,1,40,1,265398,1,332682,1,86372,1,2677225,1,10711,1,275408,1,11924,4,475846,4,78787,4,617238,4,1188755,8,1802926,96,0,0,2786,1,22906,1,2555,1,0,0,0,0,0,0,310167,1,16092,1,3717,1,4870,1,20731,1,211180,1,28447,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,1240,1,1,1,0,1
5,3430900,4087,9570,35.948902,,0,8,8,96,30897,2495,1624,3400003,16,149,70,1,24619,1,40,1,261030,1,335177,1,85390,1,2682796,1,10882,1,274696,1,11864,4,476478,4,79198,4,620214,4,1189666,8,1808256,96,0,0,2816,1,22775,1,2595,1,0,0,0,0,0,0,311810,1,16944,1,3697,1,4749,1,21132,1,206551,1,28417,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,1240,1,1,1,0,1
6,3429500,4079,9570,35.93085,,0,8,8,96,31421,2525,1694,3398079,16,149,140,1,24679,1,130,1,258985,1,337331,1,85400,1,2680682,1,10731,1,273434,1,11733,4,477069,4,79017,4,618430,4,1191049,8,1807786,96,0,0,2705,1,22154,1,2565,1,0,0,0,0,0,0,313874,1,17124,1,3657,1,4810,1,20791,1,204797,1,28386,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,1240,1,1,1,0,1
7,3501100,4073,9570,35.910072,,0,8,8,96,31579,1072,3026,3469521,16,149,100,1,24749,1,30,1,266490,1,353152,1,86482,1,2727585,1,10932,1,278554,1,11934,4,484253,4,79087,4,635544,4,1209706,8,1842224,96,0,0,2745,1,22014,1,2675,1,0,0,0,0,0,0,327972,1,18567,1,3798,1,4830,1,20701,1,212122,1,28657,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
8,3453700,4066,9570,35.88657,,0,8,8,96,30671,1122,1814,3423029,16,149,30,1,24910,1,30,1,270498,1,352431,1,85710,1,2678508,1,10912,1,274266,1,11773,4,477500,4,78787,4,618570,4,1188985,8,1805741,96,0,0,2796,1,22114,1,2595,1,0,0,0,0,0,0,328543,1,17144,1,3958,1,4830,1,21212,1,215809,1,28427,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
9,3452600,4061,9570,35.86034,,0,8,8,96,30213,1042,1734,3422387,16,149,10,1,24659,1,110,1,260699,1,350507,1,85861,1,2689700,1,10842,1,274726,1,11783,4,478752,4,79488,4,623460,4,1193574,8,1815300,96,0,0,2725,1,21523,1,2625,1,0,0,0,0,0,0,326660,1,17324,1,3767,1,4810,1,19629,1,207763,1,28286,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,1240,1,1,1,0,1
10,3448700,4053,9570,35.831387,,0,8,8,96,29770,1082,1954,3418930,16,149,50,1,24719,1,70,1,257542,1,347882,1,89157,1,2688608,1,10902,1,273825,1,11834,4,479414,4,78666,4,624673,4,1192061,8,1814780,96,0,0,2645,1,21813,1,2595,1,0,0,0,0,0,0,323974,1,17495,1,3607,1,4800,1,20942,1,203264,1,28336,1,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,48,1,1240,1,1,1,0,1
11,3450100,4054,9570,35.79971,,0,8,8,96,30077,1052,1834,3420023,16,149,100,1,24699,1,30,1,257803,1,352110,1,89157,1,2685111,1,11012,1,272151,1,11703,4,477460,4,78526,4,621917,4,1194987,8,1815070,96,0,0,2896,1,21773,1,2645,1,0,0,0,0,0,0,327832,1,17675,1,3757,1,4810,1,20170,1,203585,1,29068,1,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,48,1,1240,1,1,1,0,1
12,3484100,4056,9570,35.765305,,0,8,8,96,30020,1152,1664,3454080,16,149,30,1,24559,1,70,1,259256,1,376148,1,88496,1,2694660,1,10862,1,267632,1,11803,4,480546,4,79047,4,624141,4,1203183,8,1825660,96,0,0,2665,1,21874,1,2615,1,0,0,0,0,0,0,354285,1,15361,1,3647,1,4689,1,20070,1,206040,1,28266,1,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,48,1,1240,1,1,1,0,1
13,3461200,4055,9570,35.728176,,0,8,8,96,29684,1072,1714,3431516,16,149,40,1,24839,1,50,1,258334,1,351810,1,88927,1,2696744,1,10771,1,285718,1,11783,4,479293,4,78336,4,621526,4,1191971,8,1811783,96,0,0,2886,1,21563,1,2595,1,0,0,0,0,0,0,327972,1,17405,1,3587,1,4769,1,19689,1,205258,1,28427,1,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,48,1,1240,1,1,1,0,1
14,3441800,4060,9570,35.688324,,0,8,8,96,29433,1012,1664,3412367,16,149,50,1,24649,1,30,1,256160,1,341569,1,88686,1,2690321,1,10902,1,273183,1,11583,4,480105,4,78987,4,622929,4,1195127,8,1816392,96,0,0,2766,1,22024,1,2605,1,0,0,0,0,0,0,316449,1,18377,1,3878,1,4739,1,20371,1,202342,1,28527,1,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,48,1,1240,1,1,1,0,1
15,3479300,4057,9570,35.64575,,0,8,8,96,30580,1082,2185,3448720,16,149,10,1,24769,1,20,1,258033,1,353563,1,88496,1,2712706,1,11122,1,276179,1,11904,4,484604,4,79177,4,626015,4,1206229,8,1830059,96,0,0,2826,1,22014,1,2675,1,0,0,0,0,0,0,329355,1,17715,1,3647,1,4759,1,21132,1,203705,1,28276,1,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,48,1,1240,1,1,1,0,1
