step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,7355700,4495,9570,35.998295,,0,9,9,108,145135,5951,3447,7210565,16,149,711,1,132755,1,261,1,2269461,1,936810,1,172301,1,3686584,1,11682,1,589022,1,15450,4,572741,4,96365,4,785389,4,1590125,8,2372068,108,0,0,5320,1,23615,1,2605,1,0,0,0,0,0,0,656822,1,139789,1,18195,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0
1,5418900,4196,9570,35.993866,,0,8,8,96,43091,1363,2314,5375809,16,142,160,1,41329,1,80,1,1986497,1,427161,1,90935,1,2816943,1,12704,1,337699,1,11622,4,485663,4,78260,4,653065,4,1220475,8,1871226,96,0,0,3316,1,22894,1,2585,1,0,0,0,0,0,0,401622,1,16622,1,4368,1,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,0,0,0,0,0,0
2,5186700,4142,9570,35.986713,,0,8,8,96,32486,2715,2174,5154214,16,142,40,1,24657,1,50,1,1913186,1,411861,1,86065,1,2705679,1,12674,1,282733,1,11983,4,478189,4,78671,4,632295,4,1190037,8,1820157,96,0,0,3186,1,23195,1,2675,1,0,0,0,0,0,0,385801,1,18926,1,4218,1,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,0,0,0,0,0,0
3,5174800,4111,9570,35.976837,,0,8,8,96,31858,1132,3658,5142942,16,142,90,1,24828,1,40,1,1935239,1,410579,1,85915,1,2673507,1,12744,1,275249,1,11963,4,477337,4,78341,4,621314,4,1180047,8,1797704,96,0,0,2765,1,22804,1,2555,1,0,0,0,0,0,0,384008,1,17684,1,5080,1,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,0,0,0,0,0,0
4,5283800,4100,9570,35.964233,,0,8,8,96,31929,1162,3427,5251871,16,142,30,1,24808,1,70,1,1937483,1,497195,1,82699,1,2696912,1,12674,1,271943,1,12043,4,477057,4,78371,4,626193,4,1203262,8,1826028,96,0,0,2745,1,21561,1,2575,1,0,0,0,0,0,0,474031,1,15540,1,3817,1,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,0,0,0,0,0,0
5,5223000,4087,9570,35.948902,,0,8,8,96,30974,1122,3647,5192026,16,142,40,1,24677,1,70,1,1932974,1,401231,1,83420,1,2736859,1,12755,1,273736,1,11713,4,476566,4,78390,4,645861,4,1222228,8,1864442,96,0,0,2755,1,21922,1,2565,1,0,0,0,0,0,0,375171,1,18305,1,3807,1,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,0,0,0,0,0,0
6,5250800,4079,9570,35.93085,,0,8,8,96,33104,1313,2455,5217696,16,142,160,1,29857,1,80,1,1970085,1,409036,1,85965,1,2712001,1,10510,1,270179,1,11863,4,474622,4,78781,4,649007,4,1198323,8,1844874,96,0,0,3276,1,21962,1,2675,1,0,0,0,0,0,0,381663,1,20299,1,3877,1,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,0,0,0,0,0,0
7,5310900,4073,9570,35.910072,,0,8,8,96,34341,1282,1844,5276559,16,142,30,1,24647,1,50,1,1926772,1,431539,1,85053,1,2795562,1,12905,1,271351,1,12254,4,486314,4,78601,4,667092,4,1246465,8,1911713,96,0,0,2725,1,26691,1,2785,1,0,0,0,0,0,0,408274,1,15750,1,3717,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,0,0,0,0,0,0
8,5308100,4066,9570,35.88657,,0,8,8,96,38685,1403,1944,5269415,16,142,180,1,30669,1,80,1,1955327,1,398776,1,85444,1,2786093,1,12845,1,279707,1,11783,4,481535,4,78751,4,653766,4,1251495,8,1903317,96,0,0,2815,1,22213,1,2625,1,0,0,0,0,0,0,373237,1,18646,1,3877,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,0,0,0,0,0,0
9,5232900,4061,9570,35.86034,,0,8,8,96,31987,1132,1865,5200913,16,142,60,1,24808,1,70,1,1935499,1,386342,1,84092,1,2757278,1,12765,1,274307,1,11773,4,481435,4,78882,4,649939,4,1231617,8,1879691,96,0,0,2835,1,22774,1,2585,1,0,0,0,0,0,0,361455,1,18375,1,3767,1,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,0,0,0,0,0,0
