step,wall_ns,manifolds,pairs,top_y,awake
0,5824700,4495,9570,35.998295,
1,4586500,4196,9570,35.993866,
2,4180200,4142,9570,35.986713,
3,4163400,4111,9570,35.976837,
4,4281200,4100,9570,35.964233,
5,4148400,4087,9570,35.948902,
6,4114400,4079,9570,35.93085,
7,4165700,4073,9570,35.910072,
8,4234000,4066,9570,35.88657,
9,4213300,4061,9570,35.86034,
10,4251300,4053,9570,35.831387,
11,4128500,4054,9570,35.79971,
12,4193500,4056,9570,35.765305,
13,4231300,4055,9570,35.728176,
14,4231000,4060,9570,35.688324,
15,4250100,4057,9570,35.64575,
16,4210400,4055,9570,35.600445,
17,4207800,4051,9570,35.552414,
18,4361400,4049,9570,35.501663,
19,4616300,4050,9570,35.448185,
20,4799500,4829,9570,35.391983,
21,4661000,4715,9570,35.333054,
22,4696700,4565,9570,35.2714,
23,4708100,4496,9570,35.207024,
24,4959500,4419,9570,35.13992,
25,5686700,4390,9570,35.07009,
26,4628300,4353,9570,34.997536,
27,4446400,4336,9570,34.92226,
28,4945100,4982,9570,34.844257,
29,5552000,4783,9570,34.763527,
30,5582800,4670,9570,34.680073,
31,4669100,4639,9570,34.593895,
32,4619100,4573,9570,34.504993,
33,4571700,4491,9570,34.413364,
34,4942300,5031,9570,34.31901,
35,4799800,4806,9570,34.221935,
36,5004300,4646,9570,34.12213,
37,4759500,4535,9570,34.019604,
38,4795000,4502,9570,33.91435,
39,5078200,4984,9570,33.806374,
40,5031700,5009,9570,33.69567,
41,4880000,4852,9570,33.58224,
42,4799400,4753,9570,33.466087,
43,5255400,4728,9570,33.34721,
44,5615800,4996,9570,33.22561,
45,5305300,5112,9570,33.10128,
46,5006800,4923,9570,32.974224,
47,5571100,4760,9570,32.844448,
48,5696800,5001,9570,32.711945,
49,5150700,5139,9570,32.576717,
50,5058300,4996,9570,32.438763,
51,5008300,4871,9570,32.298084,
52,5150200,5093,9570,32.154682,
53,5067000,4972,9570,32.008553,
54,4871500,4792,9570,31.8597,
55,5361100,4796,9570,31.70812,
56,5162400,4911,9570,31.553818,
57,4885400,4780,9570,31.39679,
58,5006000,4734,9570,31.237036,
59,5027400,4748,9570,31.074558,
60,4806600,4704,9570,30.909355,
61,4747200,4678,9570,30.741426,
62,4868100,4666,9570,30.570772,
63,4879000,4609,9570,30.397394,
64,5379300,4623,9570,30.22129,
65,5441300,4625,9570,30.042463,
66,5159100,4579,9570,29.860909,
67,5070200,4610,9570,29.67663,
68,4682800,4550,9570,29.489626,
69,4753400,4524,9570,29.299898,
70,4942000,4535,9570,29.107445,
71,4681700,4528,9570,28.912266,
72,4561500,4533,9570,28.714361,
73,4805100,4529,9570,28.745474,
74,4697500,4530,9570,28.77165,
75,4659900,4529,9570,28.79591,
76,4726500,4524,9570,28.816788,
77,4586600,4517,9570,28.83433,
78,4763600,4520,9570,28.848581,
79,5059400,4514,9568,28.862343,
80,4659600,4519,9568,28.873486,
81,4614400,4518,9568,28.88324,
82,5213800,4518,9568,28.892859,
83,4665500,4516,9568,28.90075,
84,4794900,4517,9567,28.907646,
85,5039300,4508,9565,28.914537,
86,4742500,4519,9565,28.920815,
87,4839100,4516,9565,28.92588,
88,4717400,4518,9565,28.930962,
89,4742100,4519,9565,28.935617,
90,4710100,4514,9565,28.939785,
91,4939100,4516,9565,28.943506,
92,4852600,4512,9565,28.946703,
93,4750000,4508,9565,28.949604,
94,5345700,4522,9565,28.952375,
95,4774800,4519,9565,28.954878,
96,4753800,4521,9565,28.957104,
97,4631800,4517,9565,28.9592,
98,4654500,4515,9565,28.960983,
99,4708700,4520,9565,28.96278,
100,4607300,4521,9564,28.964386,
101,4718800,4521,9564,28.965906,
102,4718200,4521,9563,28.967402,
103,4596200,4520,9563,28.968788,
104,4649200,4522,9563,28.969984,
105,4698000,4518,9563,28.971111,
106,4610500,4521,9563,28.97221,
107,4654400,4523,9563,28.97325,
108,4690900,4515,9562,28.974203,
109,4591300,4517,9562,28.975157,
110,4614600,4516,9562,28.976004,
111,4671900,4515,9562,28.976778,
112,4573200,4519,9562,28.977486,
113,4563800,4520,9562,28.978231,
114,5062700,4520,9562,28.97893,
115,4674800,4519,9561,28.979557,
116,4713500,4526,9561,28.980162,
117,5025500,4519,9561,28.980728,
118,4584000,4521,9561,28.981266,
119,4626400,4517,9561,28.981787,
120,4713300,4523,9561,28.982262,
121,4544200,4523,9561,28.98269,
122,4551500,4521,9561,28.983118,
123,4976000,4522,9561,28.98351,
124,4603000,4518,9561,28.98387,
125,5459400,4521,9561,28.984217,
126,4577200,4521,9561,28.984558,
127,4687600,4517,9561,28.98485,
128,4698900,4522,9561,28.98514,
129,4748800,4521,9561,28.98541,
130,5224100,4519,9560,28.98568,
131,5473200,4526,9559,28.98593,
132,4724900,4524,9559,28.986149,
133,4754300,4516,9559,28.98636,
134,4701200,4520,9559,28.98657,
135,4635900,4522,9559,28.986776,
136,4710900,4519,9559,28.986969,
137,4625000,4521,9559,28.987137,
138,4607000,4521,9559,28.9873,
139,4859900,4521,9559,28.987465,
140,4750500,4518,9559,28.987623,
141,4622700,4523,9559,28.987766,
142,4759700,4524,9559,28.987892,
143,4730700,4523,9559,28.98802,
144,4588700,4520,9559,28.988153,
145,4959200,4519,9559,28.98826,
146,4938800,4520,9559,28.988363,
147,4635700,4522,9559,28.988459,
148,4667700,4517,9559,28.988543,
149,4683600,4519,9559,28.988642,
150,4596000,4522,9559,28.98874,
151,4548600,4520,9559,28.98882,
152,4812400,4523,9559,28.988888,
153,4613000,4523,9559,28.988964,
154,4760600,4524,9559,28.989048,
155,4774000,4521,9559,28.989117,
156,4541800,4520,9559,28.989172,
157,4729700,4519,9559,28.989218,
158,4722300,4519,9559,28.98927,
159,4524900,4518,9559,28.98933,
160,4776600,4519,9559,28.989386,
161,4631000,4521,9559,28.989433,
162,4529400,4518,9559,28.989477,
163,4537300,4520,9559,28.989515,
164,4805900,4520,9559,28.989552,
165,4568800,4519,9559,28.989582,
166,4569000,4516,9559,28.989613,
167,4650600,4518,9559,28.989645,
168,4598200,4518,9559,28.989676,
169,4542400,4514,9559,28.9897,
170,4734700,4515,9559,28.989725,
171,4643300,4512,9559,28.989754,
172,4591900,4513,9559,28.98977,
173,4829000,4515,9559,28.989801,
174,4654500,4515,9559,28.989834,
175,5229100,4515,9559,28.989851,
176,4909600,4514,9559,28.989864,
177,4738500,4516,9559,28.989883,
178,5247200,4515,9559,28.989906,
179,5108100,4515,9559,28.989923,
180,5271200,4515,9559,28.98993,
181,4976900,4517,9559,28.98993,
182,4650400,4517,9559,28.98994,
183,4796200,4516,9559,28.989958,
184,4687800,4516,9559,28.98997,
185,5007800,4514,9559,28.989977,
186,4682700,4515,9559,28.98999,
187,4703800,4516,9559,28.990005,
188,5181500,4519,9559,28.990013,
189,4810400,4519,9559,28.990015,
190,4828100,4519,9559,28.990025,
191,5186500,4520,9559,28.99004,
192,4619600,4522,9559,28.990047,
193,4915400,4521,9559,28.990053,
194,4732800,4522,9559,28.990055,
195,4622000,4521,9559,28.99006,
196,4526800,4522,9559,28.99006,
197,4635200,4523,9559,28.990076,
198,4655600,4523,9559,28.990084,
199,4619500,4524,9559,28.990086,
200,4696800,4522,9559,28.990088,
201,4557200,4522,9559,28.990097,
202,4641200,4521,9559,28.99011,
203,4678900,4525,9559,28.990112,
204,4724700,4526,9559,28.990108,
205,4678700,4524,9559,28.990114,
206,4703500,4523,9559,28.99012,
207,4626900,4523,9559,28.990118,
208,4751200,4523,9559,28.990112,
209,4858600,4522,9559,28.990116,
210,4562500,4522,9559,28.990122,
211,4619700,4523,9559,28.990128,
212,5027800,4523,9559,28.990124,
213,4989200,4523,9559,28.99013,
214,4893800,4524,9559,28.990137,
215,4675800,4524,9559,28.990137,
216,4650800,4526,9559,28.990137,
217,4571100,4524,9559,28.990143,
218,5235800,4525,9559,28.990149,
219,5289900,4524,9559,28.990149,
220,4651300,4523,9559,28.990152,
221,4641800,4522,9559,28.99016,
222,4699800,4522,9559,28.990164,
223,4620500,4520,9559,28.990162,
224,4500300,4521,9559,28.99016,
225,4755400,4522,9559,28.990166,
226,4609400,4521,9559,28.990166,
227,4554000,4522,9559,28.990166,
228,4826100,4521,9559,28.990168,
229,4597500,4519,9559,28.990175,
230,4561900,4521,9559,28.990171,
231,4899800,4522,9559,28.990166,
232,4902600,4523,9559,28.990173,
233,4682600,4527,9559,28.990175,
234,5129600,4523,9559,28.990168,
235,4949700,4525,9559,28.99017,
236,4738800,4525,9559,28.990175,
237,5308700,4526,9559,28.990175,
238,5338400,4525,9559,28.990175,
239,4750600,4524,9559,28.990175,
240,4683900,4524,9559,28.990175,
241,4828100,4521,9559,28.990175,
242,4846000,4520,9559,28.990175,
243,4632500,4520,9559,28.990175,
244,4792500,4521,9559,28.990171,
245,4676300,4520,9559,28.990164,
246,4632400,4521,9559,28.990164,
247,4678600,4521,9559,28.990164,
248,4723300,4520,9559,28.990164,
249,4625000,4522,9559,28.990164,
250,5011100,4521,9559,28.990164,
251,4937600,4522,9559,28.990164,
252,4691800,4523,9559,28.990164,
253,4535500,4523,9559,28.99017,
254,4734400,4523,9559,28.99017,
255,4627300,4521,9559,28.99017,
256,4603200,4519,9559,28.99017,
257,4664900,4519,9559,28.990171,
258,4698400,4520,9559,28.990177,
259,4585800,4520,9559,28.990177,
260,4844000,4520,9559,28.990177,
261,4877700,4519,9559,28.99018,
