Frame, Time (ms)
0, 6.6082
1, 0.9755
2, 0.9724
3, 0.9811
4, 0.9151
5, 0.8846
6, 0.8792
7, 0.8911
8, 0.8813
9, 0.8776
10, 0.958
11, 0.8954
12, 0.8769
13, 0.8731
14, 0.8797
15, 0.8699
16, 0.8562
17, 0.8892
18, 0.8958
19, 1.3642
20, 1.2205
21, 1.2441
22, 1.3026
23, 1.444
24, 1.2802
25, 1.1921
26, 1.1768
27, 1.6633
28, 1.8196
29, 2.3357
30, 2.0867
31, 1.8204
32, 1.7196
33, 2.0592
34, 2.5813
35, 3.3702
36, 2.5694
37, 2.3725
38, 2.4128
39, 3.0769
40, 3.4526
41, 2.9484
42, 2.7349
43, 2.7861
44, 3.7966
45, 3.2664
46, 3.5214
47, 3.7962
48, 3.8213
49, 2.8493
50, 3.5681
51, 3.5483
52, 3.8093
53, 3.0168
54, 3.452
55, 3.6928
56, 3.9991
57, 3.2665
58, 3.5261
59, 3.4229
60, 3.3083
61, 3.436
62, 3.3531
63, 2.9531
64, 3.654
65, 3.3518
66, 3.4188
67, 3.487
68, 3.944
69, 3.2024
70, 3.3967
71, 3.0918
72, 3.0991
73, 3.0693
74, 3.221
75, 3.6142
76, 3.2807
77, 3.1751
78, 2.9581
79, 2.8884
80, 2.7105
81, 3.0464
82, 2.7635
83, 2.7776
84, 2.8703
85, 2.6751
86, 2.9797
87, 2.7393
88, 2.7923
89, 2.7006
90, 2.6619
91, 2.9788
92, 2.7538
93, 2.7497
94, 2.6788
95, 2.7308
96, 3.2693
97, 2.9991
98, 2.9428
99, 2.902
100, 2.8959
101, 2.6553
102, 2.5992
103, 3.042
104, 2.834
105, 3.2397
106, 3.0446
107, 3.1359
108, 3.4372
109, 3.2302
110, 3.3851
111, 3.0252
112, 3.0556
113, 2.8853
114, 3.1753
115, 2.9472
116, 2.7738
117, 2.7296
118, 2.7458
119, 2.9
120, 2.721
121, 2.7343
122, 2.713
123, 2.6582
124, 2.7769
125, 2.7862
126, 3.0697
127, 3.1032
128, 3.0659
129, 3.0663
130, 3.0715
131, 3.2498
132, 3.0793
133, 3.1234
134, 2.8616
135, 2.8782
136, 2.768
137, 2.5746
138, 3.0213
139, 2.701
140, 2.8023
141, 2.9788
142, 2.7655
143, 2.8303
144, 2.661
145, 2.6792
146, 2.7165
147, 2.7401
148, 2.8575
149, 2.8733
150, 3.2508
151, 3.0963
152, 3.1701
153, 3.1054
154, 3.1874
155, 3.0152
156, 3.039
157, 3.2406
158, 2.9964
159, 2.9905
160, 2.5366
161, 2.8696
162, 2.9179
163, 2.7806
164, 3.0541
165, 2.7667
166, 2.6711
167, 2.6579
168, 2.7289
169, 2.9094
170, 2.8266
171, 3.0162
172, 3.006
173, 3.1478
174, 3.1871
175, 3.5513
176, 3.1867
177, 3.0835
178, 2.9686
179, 2.8825
180, 3.3632
181, 2.6969
182, 2.6921
183, 2.7183
184, 2.7168
185, 3.0563
186, 2.9046
187, 2.9151
188, 3.2488
189, 2.9105
190, 2.9408
191, 2.6101
192, 3.1674
193, 2.9173
194, 3.2411
195, 3.307
196, 3.4891
197, 3.6508
198, 3.5265
199, 3.543
200, 3.7233
201, 3.305
202, 3.4164
203, 3.1288
204, 3.4413
205, 2.8878
206, 2.7959
207, 2.6628
208, 2.6655
209, 2.9608
210, 2.7224
211, 2.8006
212, 2.6847
213, 2.5651
214, 2.7558
215, 2.6525
216, 2.8984
217, 2.7433
218, 2.8025
219, 3.1903
220, 2.9585
221, 3.1972
222, 3.0156
223, 3.0055
224, 3.021
225, 3.1212
226, 3.2432
227, 2.7156
228, 2.8844
229, 2.8775
230, 2.7758
231, 2.7486
232, 2.7355
233, 2.9505
234, 2.609
235, 2.7256
236, 2.6899
237, 2.7189
238, 2.9706
239, 2.9449
240, 3.135
241, 3.0897
242, 3.1985
243, 3.1136
244, 3.2308
245, 3.1492
246, 2.9149
247, 3.0994
248, 2.7434
249, 3.0091
250, 2.7108
251, 2.8812
252, 2.81
253, 2.7233
254, 2.9857
255, 2.803
256, 2.7016
257, 2.669
258, 2.602
259, 2.8009
260, 2.838
261, 3.2274
262, 3.02
263, 3.1275
264, 3.2161
265, 3.1772
266, 3.218
267, 3.1745
268, 3.2729
269, 3.0629
270, 3.1791
271, 2.8432
272, 2.7081
273, 2.6514
274, 2.5703
275, 2.6846
276, 2.7232
277, 2.7382
278, 2.8297
279, 2.6605
280, 2.848
281, 2.6433
282, 2.6811
283, 2.7832
284, 2.7667
285, 3.3772
286, 2.9754
287, 2.9912
288, 3.2619
289, 2.9834
290, 3.0453
291, 2.8065
292, 3.2267
293, 2.9819
294, 2.8498
295, 2.6982
296, 2.886
297, 2.7819
298, 2.6423
299, 2.7725
300, 2.6855
301, 2.6557
302, 2.9081
303, 2.69
304, 2.9195
305, 2.8261
306, 2.8667
307, 2.8598
308, 2.7989
309, 2.9725
310, 3.0488
311, 2.8185
312, 2.6911
313, 2.5858
314, 2.6815
315, 2.7823
316, 3.0106
317, 2.7928
318, 2.7071
319, 2.7565
320, 2.6519
321, 2.7844
322, 2.8077
323, 2.9156
324, 3.09
325, 3.1104
326, 3.4677
327, 3.1702
328, 3.4349
329, 3.4913
330, 3.2844
331, 3.0351
332, 3.0029
333, 2.9013
334, 2.7772
335, 2.6685
336, 2.7032
337, 2.8236
338, 2.6796
339, 2.7514
340, 2.8478
341, 2.7518
342, 2.7297
343, 2.6909
344, 2.8384
345, 2.9906
346, 2.9994
