step,wall_ns,manifolds,pairs,top_y,awake
0,8557700,4495,9570,35.998295,
1,7357000,4196,9570,35.993866,
2,7076900,4142,9570,35.986713,
3,6938000,4111,9570,35.976837,
4,7316300,4100,9570,35.964233,
5,7071700,4087,9570,35.948902,
6,6856500,4079,9570,35.93085,
7,6842300,4073,9570,35.910072,
8,7057100,4066,9570,35.88657,
9,7046200,4061,9570,35.86034,
10,7494300,4053,9570,35.831387,
11,6875300,4054,9570,35.79971,
12,6852400,4056,9570,35.765305,
13,6817000,4055,9570,35.728176,
14,6807400,4060,9570,35.688324,
15,6904300,4057,9570,35.64575,
16,7082900,4055,9570,35.600445,
17,6781300,4051,9570,35.552414,
18,7085400,4049,9570,35.501663,
19,6797200,4050,9570,35.448185,
20,7732100,4829,9570,35.391983,
21,7841600,4715,9570,35.333054,
22,7620600,4565,9570,35.2714,
23,7507200,4496,9570,35.207024,
24,7808500,4419,9570,35.13992,
25,7384900,4390,9570,35.07009,
26,7714500,4353,9570,34.997536,
27,7326300,4336,9570,34.92226,
28,8132100,4982,9570,34.844257,
29,8065300,4783,9570,34.763527,
30,7897900,4670,9570,34.680073,
31,8394000,4639,9570,34.593895,
32,7902400,4573,9570,34.504993,
33,8371700,4491,9570,34.413364,
34,8337600,5031,9570,34.31901,
35,8067200,4806,9570,34.221935,
36,8132000,4646,9570,34.12213,
37,7849400,4535,9570,34.019604,
38,7703400,4502,9570,33.91435,
39,8660700,4984,9570,33.806374,
40,8826800,5009,9570,33.69567,
41,8313800,4852,9570,33.58224,
42,8116700,4753,9570,33.466087,
43,7975600,4728,9570,33.34721,
44,8460600,4996,9570,33.22561,
45,8561400,5112,9570,33.10128,
46,8332400,4923,9570,32.974224,
47,8746600,4760,9570,32.844448,
48,9049700,5001,9570,32.711945,
49,8761100,5139,9570,32.576717,
50,8773200,4996,9570,32.438763,
51,8269400,4871,9570,32.298084,
52,9180300,5093,9570,32.154682,
53,8895300,4972,9570,32.008553,
54,8502600,4792,9570,31.8597,
55,8250900,4796,9570,31.70812,
56,8505300,4911,9570,31.553818,
57,8213700,4780,9570,31.39679,
58,8339900,4734,9570,31.237036,
59,8408600,4748,9570,31.074558,
60,8211600,4704,9570,30.909355,
61,8271100,4678,9570,30.741426,
62,8444300,4666,9570,30.570772,
63,8430700,4609,9570,30.397394,
64,8233200,4623,9570,30.22129,
65,7983000,4625,9570,30.042463,
66,7934500,4579,9570,29.860909,
67,8262100,4610,9570,29.67663,
68,8376800,4550,9570,29.489626,
69,7926600,4524,9570,29.299898,
70,7742500,4535,9570,29.107445,
71,7757200,4528,9570,28.912266,
72,7769000,4533,9570,28.714361,
73,7835400,4529,9570,28.745474,
74,7767100,4530,9570,28.77165,
75,7821700,4529,9570,28.79591,
76,7899800,4524,9570,28.816788,
77,8207800,4517,9570,28.83433,
78,7953400,4520,9570,28.848581,
79,8709700,4514,9568,28.862343,
80,7848000,4519,9568,28.873486,
81,7760400,4518,9568,28.88324,
82,7767800,4518,9568,28.892859,
83,7708200,4516,9568,28.90075,
84,7783600,4517,9567,28.907646,
85,8104600,4508,9565,28.914537,
86,8554400,4519,9565,28.920815,
87,8553600,4516,9565,28.92588,
88,8033000,4518,9565,28.930962,
89,8018500,4519,9565,28.935617,
90,8060500,4514,9565,28.939785,
91,7785700,4516,9565,28.943506,
92,7768900,4512,9565,28.946703,
93,8055900,4508,9565,28.949604,
94,8614800,4522,9565,28.952375,
95,8206300,4519,9565,28.954878,
96,7765000,4521,9565,28.957104,
97,8429100,4517,9565,28.9592,
98,7760500,4515,9565,28.960983,
99,7814000,4520,9565,28.96278,
100,7900600,4521,9564,28.964386,
101,7786500,4521,9564,28.965906,
102,7747300,4521,9563,28.967402,
103,7719200,4520,9563,28.968788,
104,7892500,4522,9563,28.969984,
105,7976800,4518,9563,28.971111,
106,7973000,4521,9563,28.97221,
107,8066300,4523,9563,28.97325,
108,7790100,4515,9562,28.974203,
109,7768500,4517,9562,28.975157,
110,7765800,4516,9562,28.976004,
111,7754600,4515,9562,28.976778,
112,7761400,4519,9562,28.977486,
113,7701800,4520,9562,28.978231,
114,7748100,4520,9562,28.97893,
115,8174200,4519,9561,28.979557,
116,8633300,4526,9561,28.980162,
117,8596400,4519,9561,28.980728,
118,7901600,4521,9561,28.981266,
119,7819400,4517,9561,28.981787,
120,7799200,4523,9561,28.982262,
121,7918600,4523,9561,28.98269,
122,7809800,4521,9561,28.983118,
123,7893900,4522,9561,28.98351,
124,7752600,4518,9561,28.98387,
125,7765700,4521,9561,28.984217,
126,7843900,4521,9561,28.984558,
127,8086700,4517,9561,28.98485,
128,8866800,4522,9561,28.98514,
129,8628500,4521,9561,28.98541,
130,8520100,4519,9560,28.98568,
131,9658500,4526,9559,28.98593,
132,8700100,4524,9559,28.986149,
133,7989500,4516,9559,28.98636,
134,7841000,4520,9559,28.98657,
135,7811200,4522,9559,28.986776,
136,7823600,4519,9559,28.986969,
137,7899400,4521,9559,28.987137,
138,7904800,4521,9559,28.9873,
139,7845500,4521,9559,28.987465,
140,7931600,4518,9559,28.987623,
141,7777400,4523,9559,28.987766,
142,7764600,4524,9559,28.987892,
143,7727000,4523,9559,28.98802,
144,7721600,4520,9559,28.988153,
145,7727500,4519,9559,28.98826,
146,7754600,4520,9559,28.988363,
147,7862800,4522,9559,28.988459,
148,7784600,4517,9559,28.988543,
149,7928000,4519,9559,28.988642,
150,7797100,4522,9559,28.98874,
151,8498800,4520,9559,28.98882,
152,9446300,4523,9559,28.988888,
153,8085900,4523,9559,28.988964,
154,7724800,4524,9559,28.989048,
155,8045200,4521,9559,28.989117,
156,7855000,4520,9559,28.989172,
157,8068700,4519,9559,28.989218,
158,8095300,4519,9559,28.98927,
159,7942400,4518,9559,28.98933,
160,7890500,4519,9559,28.989386,
161,7765100,4521,9559,28.989433,
162,7780800,4518,9559,28.989477,
163,7768400,4520,9559,28.989515,
164,8324600,4520,9559,28.989552,
165,8404900,4519,9559,28.989582,
166,7820100,4516,9559,28.989613,
167,8520000,4518,9559,28.989645,
168,8138100,4518,9559,28.989676,
169,7725600,4514,9559,28.9897,
170,7675700,4515,9559,28.989725,
171,7737800,4512,9559,28.989754,
172,7718700,4513,9559,28.98977,
173,7818000,4515,9559,28.989801,
174,7882600,4515,9559,28.989834,
175,7722300,4515,9559,28.989851,
176,7736100,4514,9559,28.989864,
177,7680400,4516,9559,28.989883,
178,7688800,4515,9559,28.989906,
179,7802500,4515,9559,28.989923,
180,8236100,4515,9559,28.98993,
181,7800000,4517,9559,28.98993,
182,7720600,4517,9559,28.98994,
183,7698500,4516,9559,28.989958,
184,8335800,4516,9559,28.98997,
185,7957600,4514,9559,28.989977,
186,7804800,4515,9559,28.98999,
187,8326800,4516,9559,28.990005,
188,7964900,4519,9559,28.990013,
189,7860000,4519,9559,28.990015,
190,7717800,4519,9559,28.990025,
191,7718900,4520,9559,28.99004,
192,7847200,4522,9559,28.990047,
193,7770300,4521,9559,28.990053,
194,8164300,4522,9559,28.990055,
195,7993100,4521,9559,28.99006,
196,7779500,4522,9559,28.99006,
197,7741600,4523,9559,28.990076,
198,8131600,4523,9559,28.990084,
199,8558300,4524,9559,28.990086,
200,7890800,4522,9559,28.990088,
201,7886500,4522,9559,28.990097,
202,7839000,4521,9559,28.99011,
203,7931800,4525,9559,28.990112,
204,7759100,4526,9559,28.990108,
205,7728700,4524,9559,28.990114,
206,7734300,4523,9559,28.99012,
207,7730200,4523,9559,28.990118,
208,7760000,4523,9559,28.990112,
209,7740600,4522,9559,28.990116,
210,7725600,4522,9559,28.990122,
211,7701400,4523,9559,28.990128,
212,7838800,4523,9559,28.990124,
213,7786900,4523,9559,28.99013,
214,8504500,4524,9559,28.990137,
215,7821100,4524,9559,28.990137,
216,7886900,4526,9559,28.990137,
217,7840800,4524,9559,28.990143,
218,7778700,4525,9559,28.990149,
219,7845700,4524,9559,28.990149,
220,7819200,4523,9559,28.990152,
221,8202800,4522,9559,28.99016,
222,8118700,4522,9559,28.990164,
223,7800700,4520,9559,28.990162,
224,8016000,4521,9559,28.99016,
225,7983200,4522,9559,28.990166,
226,7712400,4521,9559,28.990166,
227,7808900,4522,9559,28.990166,
228,7843800,4521,9559,28.990168,
229,7791200,4519,9559,28.990175,
230,7787700,4521,9559,28.990171,
231,8204600,4522,9559,28.990166,
