step,wall_ns,manifolds,pairs,top_y,awake
0,4397500,4495,9570,35.998295,
1,2804400,4196,9570,35.993866,
2,2477400,4142,9570,35.986713,
3,2574800,4111,9570,35.976837,
4,2385900,4100,9570,35.964233,
5,2404300,4087,9570,35.948902,
6,2528400,4079,9570,35.93085,
7,2468600,4073,9570,35.910072,
8,2460700,4066,9570,35.88657,
9,2962300,4061,9570,35.86034,
10,2841700,4053,9570,35.831387,
11,2486800,4054,9570,35.79971,
12,2419200,4056,9570,35.765305,
13,2367000,4055,9570,35.728176,
14,2482100,4060,9570,35.688324,
15,2406500,4057,9570,35.64575,
16,2429000,4055,9570,35.600445,
17,2583600,4051,9570,35.552414,
18,2412600,4049,9570,35.501663,
19,2432100,4050,9570,35.448185,
20,3130300,4829,9570,35.391983,
21,2918500,4715,9570,35.333054,
22,2960800,4565,9570,35.2714,
23,2816600,4496,9570,35.207024,
24,2758600,4419,9570,35.13992,
25,2764200,4390,9570,35.07009,
26,2610000,4353,9570,34.997536,
27,2749200,4336,9570,34.92226,
28,3047500,4982,9570,34.844257,
29,3033800,4783,9570,34.763527,
30,2973500,4670,9570,34.680073,
31,2871000,4639,9570,34.593895,
32,3599200,4573,9570,34.504993,
33,3010400,4491,9570,34.413364,
34,3616800,5031,9570,34.31901,
35,3109200,4806,9570,34.221935,
36,3188400,4646,9570,34.12213,
37,2880000,4535,9570,34.019604,
38,2920000,4502,9570,33.91435,
39,3192400,4984,9570,33.806374,
40,3406000,5009,9570,33.69567,
41,3379900,4852,9570,33.58224,
42,3083800,4753,9570,33.466087,
43,3217600,4728,9570,33.34721,
44,3094000,4996,9570,33.22561,
45,3390700,5112,9570,33.10128,
46,3085800,4923,9570,32.974224,
47,3353200,4760,9570,32.844448,
48,3230100,5001,9570,32.711945,
49,3330100,5139,9570,32.576717,
50,3152700,4996,9570,32.438763,
51,3181100,4871,9570,32.298084,
52,3189000,5093,9570,32.154682,
53,3480000,4972,9570,32.008553,
54,3241500,4792,9570,31.8597,
55,3114200,4796,9570,31.70812,
56,3167500,4911,9570,31.553818,
57,3104600,4780,9570,31.39679,
58,3560000,4734,9570,31.237036,
59,3552400,4748,9570,31.074558,
60,3567300,4704,9570,30.909355,
61,3022400,4678,9570,30.741426,
62,3058600,4666,9570,30.570772,
63,2874500,4609,9570,30.397394,
64,3115500,4623,9570,30.22129,
65,2909200,4625,9570,30.042463,
66,2908300,4579,9570,29.860909,
67,2963500,4610,9570,29.67663,
68,2828300,4550,9570,29.489626,
69,2855100,4524,9570,29.299898,
70,2800900,4535,9570,29.107445,
71,2935700,4528,9570,28.912266,
72,2858300,4533,9570,28.714361,
73,2939600,4529,9570,28.745474,
74,2866100,4530,9570,28.77165,
75,2762900,4529,9570,28.79591,
76,3037800,4524,9570,28.816788,
77,2811500,4517,9570,28.83433,
78,2974500,4520,9570,28.848581,
79,2914500,4514,9568,28.862343,
80,2771200,4519,9568,28.873486,
81,2971200,4518,9568,28.88324,
82,2768800,4518,9568,28.892859,
83,2855600,4516,9568,28.90075,
84,2817800,4517,9567,28.907646,
85,2870100,4508,9565,28.914537,
86,2838800,4519,9565,28.920815,
87,2746700,4516,9565,28.92588,
88,2953700,4518,9565,28.930962,
89,3321200,4519,9565,28.935617,
90,2865200,4514,9565,28.939785,
91,2830500,4516,9565,28.943506,
92,2780500,4512,9565,28.946703,
93,2891400,4508,9565,28.949604,
94,2763400,4522,9565,28.952375,
95,2841900,4519,9565,28.954878,
96,2806300,4521,9565,28.957104,
97,2814800,4517,9565,28.9592,
98,3015800,4515,9565,28.960983,
99,2810900,4520,9565,28.96278,
100,3437100,4521,9564,28.964386,
101,2800100,4521,9564,28.965906,
102,2965900,4521,9563,28.967402,
103,3054100,4520,9563,28.968788,
104,2818300,4522,9563,28.969984,
105,3006900,4518,9563,28.971111,
106,2821800,4521,9563,28.97221,
107,2928500,4523,9563,28.97325,
108,2845900,4515,9562,28.974203,
109,2846800,4517,9562,28.975157,
110,2855200,4516,9562,28.976004,
111,2746800,4515,9562,28.976778,
112,3107000,4519,9562,28.977486,
113,2819000,4520,9562,28.978231,
114,2873500,4520,9562,28.97893,
115,3236100,4519,9561,28.979557,
116,2820500,4526,9561,28.980162,
117,3402100,4519,9561,28.980728,
118,2874300,4521,9561,28.981266,
119,3301600,4517,9561,28.981787,
120,2785500,4523,9561,28.982262,
121,2824500,4523,9561,28.98269,
122,2964800,4521,9561,28.983118,
123,2819800,4522,9561,28.98351,
124,2809000,4518,9561,28.98387,
125,2741100,4521,9561,28.984217,
126,2816300,4521,9561,28.984558,
127,2886800,4517,9561,28.98485,
128,2879400,4522,9561,28.98514,
129,2948900,4521,9561,28.98541,
130,2759300,4519,9560,28.98568,
131,2835800,4526,9559,28.98593,
132,2775100,4524,9559,28.986149,
133,2823000,4516,9559,28.98636,
134,2986800,4520,9559,28.98657,
135,2796600,4522,9559,28.986776,
136,3322400,4519,9559,28.986969,
137,2827700,4521,9559,28.987137,
138,2879900,4521,9559,28.9873,
139,2796700,4521,9559,28.987465,
140,2814800,4518,9559,28.987623,
141,3229400,4523,9559,28.987766,
142,2871000,4524,9559,28.987892,
143,2994200,4523,9559,28.98802,
144,2765200,4520,9559,28.988153,
145,3112500,4519,9559,28.98826,
146,2911500,4520,9559,28.988363,
147,2832400,4522,9559,28.988459,
148,2860400,4517,9559,28.988543,
149,2765800,4519,9559,28.988642,
150,2793100,4522,9559,28.98874,
151,2747000,4520,9559,28.98882,
152,2836900,4523,9559,28.988888,
153,2836600,4523,9559,28.988964,
154,2744300,4524,9559,28.989048,
155,2818900,4521,9559,28.989117,
156,2760100,4520,9559,28.989172,
157,2865200,4519,9559,28.989218,
158,2894900,4519,9559,28.98927,
159,2845300,4518,9559,28.98933,
160,2837500,4519,9559,28.989386,
161,2733500,4521,9559,28.989433,
162,2786700,4518,9559,28.989477,
163,2802800,4520,9559,28.989515,
164,2760600,4520,9559,28.989552,
165,3042600,4519,9559,28.989582,
166,2750700,4516,9559,28.989613,
167,2797600,4518,9559,28.989645,
168,2847500,4518,9559,28.989676,
169,2732000,4514,9559,28.9897,
170,3000300,4515,9559,28.989725,
171,2779700,4512,9559,28.989754,
172,2787700,4513,9559,28.98977,
173,2855300,4515,9559,28.989801,
174,2842700,4515,9559,28.989834,
175,3346100,4515,9559,28.989851,
176,2748200,4514,9559,28.989864,
177,2857500,4516,9559,28.989883,
178,2733900,4515,9559,28.989906,
179,2822400,4515,9559,28.989923,
180,2850900,4515,9559,28.98993,
181,2737200,4517,9559,28.98993,
182,2795300,4517,9559,28.98994,
183,2742700,4516,9559,28.989958,
184,2850000,4516,9559,28.98997,
185,2847600,4514,9559,28.989977,
186,2728300,4515,9559,28.98999,
187,2952300,4516,9559,28.990005,
188,2756500,4519,9559,28.990013,
189,2822400,4519,9559,28.990015,
190,2811100,4519,9559,28.990025,
191,2735700,4520,9559,28.99004,
192,2908200,4522,9559,28.990047,
193,2767000,4521,9559,28.990053,
194,2811500,4522,9559,28.990055,
195,2829100,4521,9559,28.99006,
196,2795700,4522,9559,28.99006,
197,2898300,4523,9559,28.990076,
198,2719400,4523,9559,28.990084,
199,2849600,4524,9559,28.990086,
200,2808100,4522,9559,28.990088,
