step,wall_ns,manifolds,pairs,top_y,awake
0,3828000,4495,9570,35.998295,
1,2850600,4196,9570,35.993866,
2,2412400,4142,9570,35.986713,
3,2035900,4111,9570,35.976837,
4,1963000,4100,9570,35.964233,
5,1998300,4087,9570,35.948902,
6,1975100,4079,9570,35.93085,
7,2051700,4073,9570,35.910072,
8,2415500,4066,9570,35.88657,
9,1966500,4061,9570,35.86034,
10,1992000,4053,9570,35.831387,
11,1950000,4054,9570,35.79971,
12,1995500,4056,9570,35.765305,
13,1989500,4055,9570,35.728176,
14,2104900,4060,9570,35.688324,
15,2332800,4057,9570,35.64575,
16,2108300,4055,9570,35.600445,
17,2087600,4051,9570,35.552414,
18,2519400,4049,9570,35.501663,
19,2100300,4050,9570,35.448185,
20,2564100,4829,9570,35.391983,
21,2445800,4715,9570,35.333054,
22,2364800,4565,9570,35.2714,
23,2530700,4496,9570,35.207024,
24,2986200,4419,9570,35.13992,
25,2575400,4390,9570,35.07009,
26,2533900,4353,9570,34.997536,
27,2383800,4336,9570,34.92226,
28,2679600,4982,9570,34.844257,
29,3026500,4783,9570,34.763527,
30,2483600,4670,9570,34.680073,
31,2473000,4639,9570,34.593895,
32,2377200,4573,9570,34.504993,
33,2364200,4491,9570,34.413364,
34,2581500,5031,9570,34.31901,
35,2863100,4806,9570,34.221935,
36,2745900,4646,9570,34.12213,
37,2927200,4535,9570,34.019604,
38,2568900,4502,9570,33.91435,
39,2568400,4984,9570,33.806374,
40,2846500,5009,9570,33.69567,
41,3130800,4852,9570,33.58224,
42,3811900,4753,9570,33.466087,
43,2894100,4728,9570,33.34721,
44,2880500,4996,9570,33.22561,
45,3147800,5112,9570,33.10128,
46,3232100,4923,9570,32.974224,
47,3189500,4760,9570,32.844448,
48,4275000,5001,9570,32.711945,
49,5494200,5139,9570,32.576717,
50,5826200,4996,9570,32.438763,
51,3352500,4871,9570,32.298084,
52,3010800,5093,9570,32.154682,
53,3051300,4972,9570,32.008553,
54,2950100,4792,9570,31.8597,
55,2681000,4796,9570,31.70812,
56,2605700,4911,9570,31.553818,
57,2575300,4780,9570,31.39679,
58,2465400,4734,9570,31.237036,
59,2557200,4748,9570,31.074558,
60,2473400,4704,9570,30.909355,
61,2421800,4678,9570,30.741426,
62,2395800,4666,9570,30.570772,
63,2354200,4609,9570,30.397394,
64,2360800,4623,9570,30.22129,
65,2324600,4625,9570,30.042463,
66,2358400,4579,9570,29.860909,
67,2261400,4610,9570,29.67663,
68,2221700,4550,9570,29.489626,
69,2232300,4524,9570,29.299898,
70,2236100,4535,9570,29.107445,
71,2206400,4528,9570,28.912266,
72,2334200,4533,9570,28.714361,
73,2292800,4529,9570,28.745474,
74,2224000,4530,9570,28.77165,
75,2323100,4529,9570,28.79591,
76,2865100,4524,9570,28.816788,
77,2966200,4517,9570,28.83433,
78,2674800,4520,9570,28.848581,
79,2522400,4514,9568,28.862343,
80,3335100,4519,9568,28.873486,
81,2591500,4518,9568,28.88324,
82,2236500,4518,9568,28.892859,
83,2445600,4516,9568,28.90075,
84,2947200,4517,9567,28.907646,
85,2359900,4508,9565,28.914537,
86,2250100,4519,9565,28.920815,
87,2217600,4516,9565,28.92588,
88,2231800,4518,9565,28.930962,
89,2389800,4519,9565,28.935617,
90,2764700,4514,9565,28.939785,
91,2348600,4516,9565,28.943506,
92,2273700,4512,9565,28.946703,
93,2240500,4508,9565,28.949604,
94,2351400,4522,9565,28.952375,
95,2233700,4519,9565,28.954878,
96,2183900,4521,9565,28.957104,
97,2254000,4517,9565,28.9592,
98,2593700,4515,9565,28.960983,
99,2453400,4520,9565,28.96278,
100,2317100,4521,9564,28.964386,
101,2246200,4521,9564,28.965906,
102,2198400,4521,9563,28.967402,
103,2210000,4520,9563,28.968788,
104,2561400,4522,9563,28.969984,
105,3321500,4518,9563,28.971111,
106,3690300,4521,9563,28.97221,
107,2364800,4523,9563,28.97325,
108,2479700,4515,9562,28.974203,
109,2616900,4517,9562,28.975157,
110,2702500,4516,9562,28.976004,
111,2401900,4515,9562,28.976778,
112,2840500,4519,9562,28.977486,
113,2434100,4520,9562,28.978231,
114,2392200,4520,9562,28.97893,
115,2360700,4519,9561,28.979557,
116,2292500,4526,9561,28.980162,
117,2415100,4519,9561,28.980728,
118,2558800,4521,9561,28.981266,
119,2419000,4517,9561,28.981787,
120,2307200,4523,9561,28.982262,
121,2286100,4523,9561,28.98269,
122,2384800,4521,9561,28.983118,
123,2834600,4522,9561,28.98351,
124,2605600,4518,9561,28.98387,
125,2302200,4521,9561,28.984217,
126,2422700,4521,9561,28.984558,
127,2323300,4517,9561,28.98485,
128,2329700,4522,9561,28.98514,
129,2685400,4521,9561,28.98541,
130,4014700,4519,9560,28.98568,
131,3841000,4526,9559,28.98593,
132,2561800,4524,9559,28.986149,
133,2796400,4516,9559,28.98636,
134,2573700,4520,9559,28.98657,
135,2518700,4522,9559,28.986776,
136,2811300,4519,9559,28.986969,
137,2318600,4521,9559,28.987137,
138,2282300,4521,9559,28.9873,
139,2243200,4521,9559,28.987465,
140,2204100,4518,9559,28.987623,
141,2184500,4523,9559,28.987766,
142,2175200,4524,9559,28.987892,
143,2164700,4523,9559,28.98802,
144,2225700,4520,9559,28.988153,
145,2690300,4519,9559,28.98826,
146,2250300,4520,9559,28.988363,
147,2525200,4522,9559,28.988459,
148,2563300,4517,9559,28.988543,
149,2384200,4519,9559,28.988642,
150,2385500,4522,9559,28.98874,
151,2483800,4520,9559,28.98882,
152,2909700,4523,9559,28.988888,
153,3862600,4523,9559,28.988964,
154,3639400,4524,9559,28.989048,
155,4193700,4521,9559,28.989117,
156,4647000,4520,9559,28.989172,
157,2891400,4519,9559,28.989218,
158,2660300,4519,9559,28.98927,
159,3271300,4518,9559,28.98933,
160,2407800,4519,9559,28.989386,
161,2780700,4521,9559,28.989433,
162,2317900,4518,9559,28.989477,
163,2342800,4520,9559,28.989515,
164,2316200,4520,9559,28.989552,
165,2251000,4519,9559,28.989582,
166,2223000,4516,9559,28.989613,
167,2744200,4518,9559,28.989645,
168,2438700,4518,9559,28.989676,
169,2421200,4514,9559,28.9897,
170,2260700,4515,9559,28.989725,
171,2227200,4512,9559,28.989754,
172,2231100,4513,9559,28.98977,
173,2288600,4515,9559,28.989801,
174,2172400,4515,9559,28.989834,
175,2258100,4515,9559,28.989851,
176,3293500,4514,9559,28.989864,
177,2280700,4516,9559,28.989883,
178,2320100,4515,9559,28.989906,
179,2208800,4515,9559,28.989923,
180,2209000,4515,9559,28.98993,
181,2293200,4517,9559,28.98993,
182,2757000,4517,9559,28.98994,
183,3235900,4516,9559,28.989958,
184,3106000,4516,9559,28.98997,
185,2288300,4514,9559,28.989977,
186,2423000,4515,9559,28.98999,
187,3054600,4516,9559,28.990005,
188,2390700,4519,9559,28.990013,
189,2306600,4519,9559,28.990015,
190,2256600,4519,9559,28.990025,
191,2275100,4520,9559,28.99004,
192,2141500,4522,9559,28.990047,
193,2150300,4521,9559,28.990053,
194,2175400,4522,9559,28.990055,
195,2385100,4521,9559,28.99006,
196,2778300,4522,9559,28.99006,
197,2294200,4523,9559,28.990076,
198,2236000,4523,9559,28.990084,
199,2191800,4524,9559,28.990086,
200,2201600,4522,9559,28.990088,
201,2791500,4522,9559,28.990097,
202,3084400,4521,9559,28.99011,
203,2380400,4525,9559,28.990112,
204,2405300,4526,9559,28.990108,
205,2338200,4524,9559,28.990114,
206,2281900,4523,9559,28.99012,
207,3270900,4523,9559,28.990118,
208,4241700,4523,9559,28.990112,
209,3116000,4522,9559,28.990116,
210,2372800,4522,9559,28.990122,
211,2912700,4523,9559,28.990128,
212,2424500,4523,9559,28.990124,
213,2337900,4523,9559,28.99013,
214,2767400,4524,9559,28.990137,
215,2294800,4524,9559,28.990137,
216,2271900,4526,9559,28.990137,
217,2246700,4524,9559,28.990143,
218,2195700,4525,9559,28.990149,
219,2229600,4524,9559,28.990149,
220,2666400,4523,9559,28.990152,
221,2256600,4522,9559,28.99016,
222,2249600,4522,9559,28.990164,
223,2188100,4520,9559,28.990162,
224,2201200,4521,9559,28.99016,
225,2255500,4522,9559,28.990166,
226,2389800,4521,9559,28.990166,
227,2220300,4522,9559,28.990166,
228,2266200,4521,9559,28.990168,
229,2636600,4519,9559,28.990175,
230,2235500,4521,9559,28.990171,
231,2202400,4522,9559,28.990166,
232,2243100,4523,9559,28.990173,
233,2229400,4527,9559,28.990175,
234,2329000,4523,9559,28.990168,
235,2645900,4525,9559,28.99017,
236,2492700,4525,9559,28.990175,
237,3191900,4526,9559,28.990175,
238,3264100,4525,9559,28.990175,
239,2738400,4524,9559,28.990175,
240,3031000,4524,9559,28.990175,
241,2529700,4521,9559,28.990175,
242,2628800,4520,9559,28.990175,
243,2388900,4520,9559,28.990175,
244,2349400,4521,9559,28.990171,
245,2264100,4520,9559,28.990164,
246,2219900,4521,9559,28.990164,
247,2266900,4521,9559,28.990164,
248,2366400,4520,9559,28.990164,
249,2361100,4522,9559,28.990164,
250,2328300,4521,9559,28.990164,
251,2432700,4522,9559,28.990164,
252,2361300,4523,9559,28.990164,
253,2332300,4523,9559,28.99017,
254,2420100,4523,9559,28.99017,
255,2547100,4521,9559,28.99017,
256,2948600,4519,9559,28.99017,
257,3653400,4519,9559,28.990171,
258,3776300,4520,9559,28.990177,
259,2787300,4520,9559,28.990177,
260,2501800,4520,9559,28.990177,
261,2879200,4519,9559,28.99018,
262,2785200,4518,9559,28.990187,
263,3519100,4518,9559,28.990187,
264,3288700,4518,9559,28.990187,
265,2562100,4518,9559,28.990187,
266,2964000,4518,9559,28.990187,
267,2457600,4518,9559,28.990187,
268,2293300,4518,9559,28.990187,
269,2231200,4518,9559,28.990187,
270,2253900,4518,9559,28.990187,
271,2235300,4518,9559,28.990187,
272,2204700,4518,9559,28.990187,
273,2204400,4518,9559,28.990187,
274,2326000,4518,9559,28.990187,
275,2443800,4518,9559,28.990187,
276,2217000,4519,9559,28.990183,
277,2541900,4518,9559,28.990183,
278,2296300,4518,9559,28.990183,
279,2318500,4519,9559,28.990183,
280,2580600,4518,9559,28.990183,
281,2855400,4520,9559,28.990183,
282,2334700,4520,9559,28.990185,
283,2462500,4518,9559,28.990185,
284,2321100,4518,9559,28.990185,
285,2480000,4519,9559,28.990185,
286,2709700,4520,9559,28.990185,
287,3173300,4519,9559,28.990185,
288,3201900,4520,9559,28.990185,
289,2333700,4518,9559,28.990185,
290,2555000,4517,9559,28.99019,
291,2925700,4517,9559,28.99019,
292,2333500,4519,9559,28.99019,
293,2365600,4517,9559,28.990187,
294,2629500,4517,9559,28.990185,
295,2290400,4516,9559,28.990192,
296,2292900,4516,9559,28.990198,
297,2224400,4515,9559,28.990198,
298,2218900,4515,9559,28.990196,
299,2474300,4515,9559,28.990194,
300,2645700,4515,9559,28.990194,
301,2273600,4515,9559,28.990194,
302,2241700,4515,9559,28.990194,
303,2229400,4516,9559,28.990194,
304,2256100,4515,9559,28.990194,
305,2361100,4517,9559,28.990194,
306,2385100,4517,9559,28.990194,
307,2446200,4517,9559,28.990194,
308,2510800,4516,9559,28.990194,
309,2645000,4516,9559,28.990194,
310,2367000,4516,9559,28.990194,
311,2242700,4516,9559,28.990194,
312,2314900,4515,9559,28.990194,
313,2369100,4515,9559,28.990194,
314,2701400,4515,9559,28.990194,
315,3186700,4517,9559,28.990194,
316,3292600,4515,9559,28.990194,
317,2278100,4517,9559,28.990194,
318,2442300,4516,9559,28.990192,
319,3625700,4516,9559,28.99019,
320,2693000,4515,9559,28.990196,
321,2354200,4515,9559,28.990198,
322,2256300,4517,9559,28.990198,
323,2269100,4517,9559,28.990198,
324,2250700,4517,9559,28.990198,
325,2251600,4516,9559,28.990194,
326,2220100,4516,9559,28.990189,
327,2345000,4516,9559,28.990189,
328,2693500,4515,9559,28.990189,
329,2335600,4514,9559,28.990189,
330,2305600,4515,9559,28.990189,
331,2355100,4513,9559,28.990189,
332,2351500,4513,9559,28.990189,
333,2488500,4512,9559,28.990185,
334,2491100,4513,9559,28.990185,
335,2306300,4514,9559,28.990185,
336,2254800,4513,9559,28.990185,
337,2223400,4516,9559,28.990185,
338,2487100,4517,9559,28.990185,
339,2672500,4518,9559,28.990185,
340,3202600,4517,9559,28.990185,
341,3079400,4517,9559,28.990185,
342,2246100,4517,9559,28.990185,
343,2297800,4517,9559,28.990185,
344,2668000,4517,9559,28.990185,
345,2503700,4517,9559,28.990189,
346,2331700,4517,9559,28.990189,
347,2458500,4517,9559,28.990189,
348,2336500,4517,9559,28.990189,
349,2244600,4516,9559,28.990189,
350,2258600,4515,9559,28.990189,
351,2234400,4516,9559,28.990189,
352,2299500,4517,9559,28.990189,
353,2648700,4518,9559,28.990189,
354,2314200,4518,9559,28.990189,
355,2307800,4519,9559,28.990189,
356,2387900,4518,9559,28.990189,
357,2850900,4519,9559,28.990189,
358,3622800,4520,9559,28.990189,
359,3487700,4521,9559,28.990189,
360,3467400,4521,9559,28.990189,
361,4024700,4521,9559,28.990189,
362,2957900,4521,9559,28.990189,
363,2590000,4521,9559,28.990189,
364,2411700,4521,9559,28.990189,
365,2696300,4521,9559,28.990189,
366,3727800,4521,9559,28.990189,
367,3207000,4521,9559,28.990189,
368,2814000,4521,9559,28.990187,
369,3686900,4520,9559,28.990185,
370,3672800,4520,9559,28.990189,
371,2657300,4520,9559,28.990189,
372,2812400,4520,9559,28.990189,
373,2579900,4520,9559,28.990189,
374,2615700,4520,9559,28.990189,
375,2436000,4520,9559,28.990189,
376,2938300,4520,9559,28.990189,
377,2776300,4520,9559,28.990189,
378,2462200,4520,9559,28.990189,
379,2443000,4520,9559,28.990189,
380,2495000,4521,9559,28.990189,
381,2494300,4521,9559,28.990189,
382,2389900,4521,9559,28.990189,
383,2441300,4521,9559,28.990189,
384,2440900,4521,9559,28.990189,
385,2388300,4521,9559,28.990189,
386,2477700,4520,9559,28.990189,
387,2372900,4520,9559,28.990189,
388,2422400,4520,9559,28.990189,
389,3160100,4520,9559,28.990189,
390,3526900,4521,9559,28.990189,
391,2392700,4521,9559,28.990189,
392,2343200,4521,9559,28.990189,
393,2666300,4521,9559,28.990189,
394,2264700,4521,9559,28.990189,
395,2739100,4520,9559,28.990189,
396,2570900,4520,9559,28.990189,
397,2310700,4520,9559,28.990189,
398,2219400,4520,9559,28.990187,
399,2215600,4519,9559,28.990181,
400,2235800,4520,9559,28.990177,
401,2327700,4520,9559,28.990183,
402,2515200,4520,9559,28.990183,
403,2293200,4520,9559,28.990175,
404,2657300,4520,9559,28.990175,
405,2388600,4520,9559,28.990175,
406,2469700,4520,9559,28.99018,
407,2332700,4519,9559,28.99018,
408,2247200,4519,9559,28.99018,
409,2296600,4518,9559,28.99018,
410,2423100,4519,9559,28.99018,
411,2570400,4519,9559,28.99018,
412,2285200,4519,9559,28.99018,
413,2276500,4519,9559,28.99018,
414,2212700,4519,9559,28.99018,
415,2311600,4519,9559,28.99018,
416,2706400,4519,9559,28.99018,
417,3229800,4519,9559,28.990177,
418,2639000,4519,9559,28.990175,
419,2243500,4519,9559,28.990168,
420,2299600,4519,9559,28.990166,
421,2554900,4520,9559,28.990166,
422,2570500,4519,9559,28.990166,
423,2277000,4519,9559,28.990166,
424,2317100,4519,9559,28.990166,
425,2765000,4518,9559,28.990166,
426,2300800,4520,9559,28.990166,
427,2417000,4519,9559,28.990158,
428,2603100,4519,9559,28.990158,
429,2531900,4519,9559,28.990156,
430,2923600,4518,9559,28.990152,
431,2280500,4518,9559,28.990156,
432,2290900,4518,9559,28.990158,
433,2300800,4518,9559,28.990156,
434,2250800,4518,9559,28.990156,
435,2297700,4519,9559,28.990156,
436,2229500,4519,9559,28.990156,
437,2216800,4519,9559,28.990156,
438,2377100,4519,9559,28.990156,
439,2560400,4520,9559,28.990156,
440,2430200,4521,9559,28.990154,
441,2615200,4521,9559,28.990154,
442,2359800,4522,9559,28.990156,
443,2333000,4523,9559,28.990156,
444,2577500,4524,9559,28.990156,
445,3394000,4523,9559,28.990156,
446,4111300,4522,9559,28.990156,
447,2547100,4523,9559,28.990156,
448,2771400,4523,9559,28.990156,
449,4039100,4522,9559,28.990156,
450,2627000,4522,9559,28.990156,
451,2404400,4523,9559,28.990152,
