step,wall_ns,manifolds,pairs,top_y,awake
0,4444900,4495,9570,35.998295,
1,2950000,4196,9570,35.993866,
2,3504200,4142,9570,35.986713,
3,3132600,4111,9570,35.976837,
4,2545200,4100,9570,35.964233,
5,2512500,4087,9570,35.948902,
6,2543300,4079,9570,35.93085,
7,2519500,4073,9570,35.910072,
8,2446800,4066,9570,35.88657,
9,2522500,4061,9570,35.86034,
10,3196100,4053,9570,35.831387,
11,2597300,4054,9570,35.79971,
12,2597500,4056,9570,35.765305,
13,2541700,4055,9570,35.728176,
14,2564700,4060,9570,35.688324,
15,3406000,4057,9570,35.64575,
16,2963200,4055,9570,35.600445,
17,2940700,4051,9570,35.552414,
18,2655500,4049,9570,35.501663,
19,2643500,4050,9570,35.448185,
20,3725400,4829,9570,35.391983,
21,3111600,4715,9570,35.333054,
22,2935000,4565,9570,35.2714,
23,2923600,4496,9570,35.207024,
24,2873200,4419,9570,35.13992,
25,2753000,4390,9570,35.07009,
26,2883700,4353,9570,34.997536,
27,3062700,4336,9570,34.92226,
28,3469100,4982,9570,34.844257,
29,3691000,4783,9570,34.763527,
30,3366800,4670,9570,34.680073,
31,3661600,4639,9570,34.593895,
32,3032200,4573,9570,34.504993,
33,2944600,4491,9570,34.413364,
34,3320600,5031,9570,34.31901,
35,3340000,4806,9570,34.221935,
36,3160000,4646,9570,34.12213,
37,3543300,4535,9570,34.019604,
38,3041800,4502,9570,33.91435,
39,3701500,4984,9570,33.806374,
40,3639200,5009,9570,33.69567,
41,3786700,4852,9570,33.58224,
42,3612600,4753,9570,33.466087,
43,3472700,4728,9570,33.34721,
44,3330900,4996,9570,33.22561,
45,4821200,5112,9570,33.10128,
46,3345200,4923,9570,32.974224,
47,3283900,4760,9570,32.844448,
48,3424600,5001,9570,32.711945,
49,3568300,5139,9570,32.576717,
50,3358600,4996,9570,32.438763,
51,3857600,4871,9570,32.298084,
52,3547600,5093,9570,32.154682,
53,4200900,4972,9570,32.008553,
54,3860600,4792,9570,31.8597,
55,3551000,4796,9570,31.70812,
56,3541200,4911,9570,31.553818,
57,3340200,4780,9570,31.39679,
58,3439800,4734,9570,31.237036,
59,3331200,4748,9570,31.074558,
60,3524600,4704,9570,30.909355,
61,3124200,4678,9570,30.741426,
62,3189300,4666,9570,30.570772,
63,3076300,4609,9570,30.397394,
64,3220900,4623,9570,30.22129,
65,3379300,4625,9570,30.042463,
66,3011600,4579,9570,29.860909,
67,3049700,4610,9570,29.67663,
68,3349300,4550,9570,29.489626,
69,3594600,4524,9570,29.299898,
70,2944700,4535,9570,29.107445,
71,2972000,4528,9570,28.912266,
72,3003000,4533,9570,28.714361,
73,3110100,4529,9570,28.745474,
74,2983400,4530,9570,28.77165,
75,3383000,4529,9570,28.79591,
76,3518500,4524,9570,28.816788,
77,3330700,4517,9570,28.83433,
78,3501900,4520,9570,28.848581,
79,3295000,4514,9568,28.862343,
80,3734700,4519,9568,28.873486,
81,3029900,4518,9568,28.88324,
82,3508400,4518,9568,28.892859,
83,2979300,4516,9568,28.90075,
84,3034100,4517,9567,28.907646,
85,3022200,4508,9565,28.914537,
86,3598100,4519,9565,28.920815,
87,2998800,4516,9565,28.92588,
88,2952400,4518,9565,28.930962,
89,2947200,4519,9565,28.935617,
90,3077900,4514,9565,28.939785,
91,3472900,4516,9565,28.943506,
92,4316700,4512,9565,28.946703,
93,4154600,4508,9565,28.949604,
94,4531400,4522,9565,28.952375,
95,3460800,4519,9565,28.954878,
96,3280300,4521,9565,28.957104,
