Frame, Time (ms)
0, 10.5954
1, 1.3534
2, 1.2485
3, 1.239
4, 1.2465
5, 1.2301
6, 1.216
7, 1.1992
8, 1.2042
9, 1.2455
10, 1.1977
11, 1.1997
12, 1.1974
13, 1.1901
14, 1.2469
15, 1.3182
16, 1.3503
17, 1.2961
18, 1.2187
19, 1.9193
20, 1.6978
21, 1.7745
22, 1.9347
23, 2.0218
24, 1.922
25, 1.7864
26, 1.6679
27, 2.4401
28, 2.5516
29, 3.6906
30, 3.3208
31, 2.6399
32, 2.3082
33, 2.8702
34, 4.0497
35, 4.8805
36, 4.9966
37, 3.6992
38, 3.7239
39, 5.0054
40, 4.6829
41, 4.5602
42, 3.9652
43, 4.3439
44, 5.7777
45, 4.7786
46, 5.3642
47, 5.3403
48, 5.7196
49, 4.6064
50, 5.1848
51, 5.6213
52, 5.9073
53, 4.7325
54, 4.8926
55, 5.7806
56, 5.7604
57, 5.0119
58, 5.1915
59, 5.3402
60, 4.6173
61, 5.3263
62, 4.9217
63, 4.7241
64, 4.7612
65, 4.786
66, 4.1635
67, 4.4402
68, 4.2229
69, 4.238
70, 4.5618
71, 4.4333
72, 4.1544
73, 4.6525
74, 4.3421
75, 4.136
76, 4.0301
77, 4.2997
78, 4.26
79, 4.0151
80, 3.7206
81, 4.3095
82, 4.0394
83, 3.8304
84, 3.8775
85, 4.061
86, 3.6453
87, 3.693
88, 3.692
89, 3.8239
90, 3.8418
91, 3.946
92, 4.4005
93, 5.3605
94, 4.1747
95, 4.2892
96, 3.7762
97, 3.7962
98, 3.7759
99, 4.0168
100, 4.0506
101, 3.7941
102, 3.6376
103, 3.7708
104, 3.6222
105, 4.6327
106, 4.0586
107, 3.7806
108, 3.6767
109, 4.0155
110, 3.833
111, 4.3649
112, 3.7367
113, 3.9133
114, 3.9541
115, 3.8485
116, 3.6819
117, 4.011
118, 3.6876
119, 4.6528
120, 3.8399
121, 3.6778
122, 3.5968
123, 4.0222
124, 3.7493
125, 4.0586
126, 3.7488
127, 4.5039
128, 3.7627
129, 3.9256
130, 3.666
131, 3.8304
