Frame, Time (ms)
0, 10.4991
1, 1.3253
2, 1.3178
3, 1.2671
4, 1.188
5, 1.2503
6, 1.1985
7, 1.243
8, 1.2513
9, 1.2178
10, 1.2344
11, 1.2052
12, 1.1884
13, 1.2275
14, 1.1994
15, 1.3657
16, 1.2273
17, 1.2003
18, 1.2345
19, 1.9097
20, 1.7078
21, 1.7322
22, 1.9195
23, 2.1115
24, 1.8552
25, 1.6832
26, 1.5975
27, 2.3491
28, 2.5466
29, 3.7205
30, 3.2954
31, 2.619
32, 2.3007
33, 2.8562
34, 3.9713
35, 4.4649
36, 3.9291
37, 3.2457
38, 3.4762
39, 4.944
40, 4.7179
41, 4.574
42, 3.9487
43, 4.1928
44, 5.5579
45, 4.7817
46, 5.3357
47, 5.443
48, 5.7594
49, 4.7589
50, 5.2558
51, 5.3471
52, 6.1422
53, 4.7409
54, 5.1482
55, 5.5918
56, 5.7724
57, 4.8938
58, 5.2516
59, 5.1947
60, 4.5772
61, 5.2146
62, 4.8158
63, 4.2435
64, 4.7419
65, 4.5118
66, 4.2195
67, 4.3528
68, 4.3209
69, 4.0473
70, 4.2621
71, 4.1445
72, 4.3677
73, 4.212
74, 4.072
75, 4.1325
76, 4.0875
77, 3.9135
78, 3.9078
79, 3.8565
80, 3.8348
81, 3.7254
82, 3.7748
83, 3.79
84, 4.2973
85, 3.7788
86, 3.8572
87, 3.7271
88, 3.7654
89, 3.7007
90, 3.6924
91, 4.3249
92, 4.1185
93, 3.6667
94, 3.7086
95, 3.7492
96, 3.7068
97, 3.7293
98, 3.694
99, 3.6169
100, 3.8521
101, 3.7226
102, 3.7227
103, 3.6208
104, 3.7435
105, 3.6096
106, 3.6305
107, 3.6259
108, 3.6546
109, 3.6553
110, 3.6283
111, 3.6225
112, 3.6548
113, 3.7286
114, 3.667
115, 3.702
116, 3.6131
117, 3.8139
118, 3.6468
119, 3.5971
120, 3.7146
121, 3.5964
122, 3.6863
123, 3.6174
124, 3.6408
125, 3.6076
126, 3.7692
127, 3.7227
128, 3.6592
129, 3.5942
130, 3.7856
131, 3.6097
132, 3.6766
133, 3.6128
134, 3.6652
135, 3.6816
136, 3.7724
137, 3.6214
138, 3.6206
139, 3.7681
140, 3.6341
141, 3.6025
142, 3.6374
143, 3.6967
144, 3.6742
145, 3.5905
146, 3.6169
147, 3.794
148, 3.7898
149, 3.7013
150, 3.6025
151, 3.5948
152, 3.7481
153, 3.5835
154, 3.5971
155, 3.5661
156, 3.9544
157, 3.7255
158, 3.8922
159, 4.0186
160, 4.4339
161, 3.914
162, 3.9273
163, 4.3934
164, 4.1447
165, 3.9423
166, 4.2821
167, 4.6994
168, 3.973
169, 3.7262
170, 3.9917
171, 4.0885
172, 4.2144
173, 3.7349
174, 3.8186
175, 4.2291
176, 4.0671
177, 3.8333
178, 4.2928
179, 5.3675
180, 4.0562
181, 4.1338
182, 4.0955
183, 3.8829
184, 4.1844
185, 4.0014
186, 3.9212
187, 4.0259
188, 4.3592
189, 5.2108
190, 4.1871
191, 4.2034
192, 4.0072
193, 3.8975
194, 4.3411
195, 4.1177
196, 3.9622
197, 3.889
198, 4.4406
199, 4.463
200, 4.2729
201, 4.1987
202, 3.8762
203, 3.8202
204, 4.1629
205, 4.2355
206, 3.9172
207, 3.7862
208, 3.8116
209, 4.0878
210, 4.4267
211, 4.962
212, 4.3018
213, 4.5523
214, 4.0224
215, 3.818
216, 4.4459
217, 4.3831
218, 4.1254
219, 3.7258
220, 3.8904
221, 3.9985
222, 4.4347
223, 4.1515
224, 3.9531
225, 3.7332
226, 3.9161
227, 4.2372
228, 4.2344
229, 3.8179
230, 3.7721
231, 3.7618
232, 3.9681
233, 4.2562
234, 4.1661
235, 3.8824
236, 4.4858
237, 4.8375
238, 4.1495
239, 4.1636
240, 4.4795
241, 3.7798
242, 4.1844
243, 4.4564
244, 4.0491
245, 3.9516
246, 4.3486
247, 5.1561
248, 4.4603
249, 4.2252
250, 4.2121
251, 4.2299
252, 4.8531
253, 4.1286
254, 4.0181
255, 4.1341
256, 5.3043
257, 4.0756
258, 5.1102
259, 3.9606
260, 4.0191
261, 4.0891
262, 4.4135
263, 3.8274
264, 4.3394
265, 4.9864
266, 4.3389
267, 4.1739
268, 4.2938
269, 3.9453
270, 4.0119
271, 4.3366
272, 4.067
273, 3.9606
274, 4.3927
275, 5.0087
276, 4.5004
277, 4.3066
278, 4.048
279, 3.9416
280, 4.3898
281, 4.1196
282, 4.077
283, 4.3062
284, 5.9035
285, 4.0303
286, 4.4064
287, 3.9712
288, 4.1298
289, 4.1521
290, 4.2185
291, 3.9739
292, 4.2604
293, 4.7208
