step,wall_ns,manifolds,pairs,top_y,awake
0,3817200,4495,9570,35.998295,
1,2207900,4196,9570,35.993866,
2,1990900,4142,9570,35.986713,
3,1931100,4111,9570,35.976837,
4,2071300,4100,9570,35.964233,
5,1921600,4087,9570,35.948902,
6,1908200,4079,9570,35.93085,
7,1908300,4073,9570,35.910072,
8,1952500,4066,9570,35.88657,
9,1948400,4061,9570,35.86034,
10,2029000,4053,9570,35.831387,
11,2033600,4054,9570,35.79971,
12,1904900,4056,9570,35.765305,
13,1915100,4055,9570,35.728176,
14,1892300,4060,9570,35.688324,
15,1880400,4057,9570,35.64575,
16,1914700,4055,9570,35.600445,
17,1913900,4051,9570,35.552414,
18,1945300,4049,9570,35.501663,
19,1903300,4050,9570,35.448185,
20,2360100,4829,9570,35.391983,
21,2239600,4715,9570,35.333054,
22,2189500,4565,9570,35.2714,
23,2162400,4496,9570,35.207024,
24,2123500,4419,9570,35.13992,
25,2097700,4390,9570,35.07009,
26,2101000,4353,9570,34.997536,
27,2102200,4336,9570,34.92226,
28,2397900,4982,9570,34.844257,
29,2351100,4783,9570,34.763527,
30,2249100,4670,9570,34.680073,
31,2222400,4639,9570,34.593895,
32,2295900,4573,9570,34.504993,
33,2218600,4491,9570,34.413364,
34,2416700,5031,9570,34.31901,
35,2325300,4806,9570,34.221935,
36,2251500,4646,9570,34.12213,
37,2239200,4535,9570,34.019604,
38,2216300,4502,9570,33.91435,
39,2524000,4984,9570,33.806374,
40,2800000,5009,9570,33.69567,
41,2438200,4852,9570,33.58224,
42,2342500,4753,9570,33.466087,
43,2345000,4728,9570,33.34721,
44,2437500,4996,9570,33.22561,
45,2515200,5112,9570,33.10128,
46,2471600,4923,9570,32.974224,
47,2392900,4760,9570,32.844448,
48,2440700,5001,9570,32.711945,
49,2508400,5139,9570,32.576717,
50,2440100,4996,9570,32.438763,
51,2437800,4871,9570,32.298084,
52,2506600,5093,9570,32.154682,
53,2441700,4972,9570,32.008553,
54,2363700,4792,9570,31.8597,
55,2378200,4796,9570,31.70812,
56,2415800,4911,9570,31.553818,
57,2342800,4780,9570,31.39679,
58,2399300,4734,9570,31.237036,
59,2337300,4748,9570,31.074558,
60,2292900,4704,9570,30.909355,
61,2270200,4678,9570,30.741426,
62,2289400,4666,9570,30.570772,
63,2249800,4609,9570,30.397394,
64,2260900,4623,9570,30.22129,
65,2299600,4625,9570,30.042463,
66,2266100,4579,9570,29.860909,
67,2249500,4610,9570,29.67663,
68,2199100,4550,9570,29.489626,
69,2186000,4524,9570,29.299898,
70,2209300,4535,9570,29.107445,
71,2200800,4528,9570,28.912266,
72,2205300,4533,9570,28.714361,
73,2183000,4529,9570,28.745474,
74,2234300,4530,9570,28.77165,
75,2174800,4529,9570,28.79591,
76,2169400,4524,9570,28.816788,
77,2175800,4517,9570,28.83433,
78,2160500,4520,9570,28.848581,
79,2193100,4514,9568,28.862343,
80,2156900,4519,9568,28.873486,
81,2159000,4518,9568,28.88324,
82,2167100,4518,9568,28.892859,
83,2162200,4516,9568,28.90075,
84,2171900,4517,9567,28.907646,
85,2173500,4508,9565,28.914537,
86,2175400,4519,9565,28.920815,
87,2155800,4516,9565,28.92588,
88,2163800,4518,9565,28.930962,
89,2181600,4519,9565,28.935617,
90,2186200,4514,9565,28.939785,
91,2186900,4516,9565,28.943506,
92,2177500,4512,9565,28.946703,
93,2177800,4508,9565,28.949604,
94,2312500,4522,9565,28.952375,
95,2287900,4519,9565,28.954878,
96,2268900,4521,9565,28.957104,
97,2198600,4517,9565,28.9592,
98,2173100,4515,9565,28.960983,
99,2184200,4520,9565,28.96278,
100,2163000,4521,9564,28.964386,
101,2161600,4521,9564,28.965906,
102,2163100,4521,9563,28.967402,
103,2163400,4520,9563,28.968788,
104,2154600,4522,9563,28.969984,
105,2170100,4518,9563,28.971111,
106,2148100,4521,9563,28.97221,
107,2153700,4523,9563,28.97325,
108,2163800,4515,9562,28.974203,
109,2163400,4517,9562,28.975157,
110,2152400,4516,9562,28.976004,
111,2159900,4515,9562,28.976778,
112,2156800,4519,9562,28.977486,
113,2146600,4520,9562,28.978231,
114,2138600,4520,9562,28.97893,
115,2189700,4519,9561,28.979557,
116,2175900,4526,9561,28.980162,
