step,wall_ns,manifolds,pairs,top_y,awake
0,3667000,4495,9570,35.998295,
1,2605600,4196,9570,35.993866,
2,2336200,4142,9570,35.986713,
3,2046300,4111,9570,35.976837,
4,2002200,4100,9570,35.964233,
5,1993800,4087,9570,35.948902,
6,1951700,4079,9570,35.93085,
7,1948800,4073,9570,35.910072,
8,1909000,4066,9570,35.88657,
9,1888400,4061,9570,35.86034,
10,1884300,4053,9570,35.831387,
11,1890300,4054,9570,35.79971,
12,1894600,4056,9570,35.765305,
13,1916200,4055,9570,35.728176,
14,1933900,4060,9570,35.688324,
15,2002300,4057,9570,35.64575,
16,1925300,4055,9570,35.600445,
17,1922900,4051,9570,35.552414,
18,1926200,4049,9570,35.501663,
19,1906200,4050,9570,35.448185,
20,2360200,4829,9570,35.391983,
21,2283400,4715,9570,35.333054,
22,2225400,4565,9570,35.2714,
23,2182200,4496,9570,35.207024,
24,2189100,4419,9570,35.13992,
25,2884900,4390,9570,35.07009,
26,2291300,4353,9570,34.997536,
27,2209000,4336,9570,34.92226,
28,2489100,4982,9570,34.844257,
29,2457400,4783,9570,34.763527,
30,2382000,4670,9570,34.680073,
31,2481400,4639,9570,34.593895,
32,2302300,4573,9570,34.504993,
33,2270000,4491,9570,34.413364,
34,2464100,5031,9570,34.31901,
35,2340000,4806,9570,34.221935,
36,2308200,4646,9570,34.12213,
37,2285500,4535,9570,34.019604,
38,2260300,4502,9570,33.91435,
39,2482100,4984,9570,33.806374,
40,2483200,5009,9570,33.69567,
41,2376300,4852,9570,33.58224,
42,2344100,4753,9570,33.466087,
43,2334400,4728,9570,33.34721,
44,2462700,4996,9570,33.22561,
45,2512600,5112,9570,33.10128,
46,2449500,4923,9570,32.974224,
47,2343500,4760,9570,32.844448,
48,2454600,5001,9570,32.711945,
49,2746200,5139,9570,32.576717,
50,2760200,4996,9570,32.438763,
51,2603600,4871,9570,32.298084,
52,2683000,5093,9570,32.154682,
53,2478800,4972,9570,32.008553,
54,2440800,4792,9570,31.8597,
55,2427700,4796,9570,31.70812,
56,2432200,4911,9570,31.553818,
57,2350200,4780,9570,31.39679,
58,2302000,4734,9570,31.237036,
59,2333100,4748,9570,31.074558,
60,2274800,4704,9570,30.909355,
61,2311300,4678,9570,30.741426,
62,2304400,4666,9570,30.570772,
63,2247200,4609,9570,30.397394,
64,2261000,4623,9570,30.22129,
65,2249200,4625,9570,30.042463,
66,2205000,4579,9570,29.860909,
67,2220200,4610,9570,29.67663,
68,2247700,4550,9570,29.489626,
69,2228500,4524,9570,29.299898,
70,2191600,4535,9570,29.107445,
71,2194100,4528,9570,28.912266,
72,2211000,4533,9570,28.714361,
73,2291000,4529,9570,28.745474,
74,2235400,4530,9570,28.77165,
75,2248900,4529,9570,28.79591,
76,2240100,4524,9570,28.816788,
77,2188000,4517,9570,28.83433,
78,2178000,4520,9570,28.848581,
79,2161700,4514,9568,28.862343,
80,2169400,4519,9568,28.873486,
81,2172000,4518,9568,28.88324,
82,2229400,4518,9568,28.892859,
83,2170000,4516,9568,28.90075,
84,2186500,4517,9567,28.907646,
85,2184000,4508,9565,28.914537,
86,2173100,4519,9565,28.920815,
87,2176700,4516,9565,28.92588,
88,2149100,4518,9565,28.930962,
89,2165500,4519,9565,28.935617,
90,2180300,4514,9565,28.939785,
91,2172100,4516,9565,28.943506,
92,2180800,4512,9565,28.946703,
93,2190900,4508,9565,28.949604,
94,2257500,4522,9565,28.952375,
95,2221700,4519,9565,28.954878,
96,2200300,4521,9565,28.957104,
97,2374300,4517,9565,28.9592,
98,2327000,4515,9565,28.960983,
99,2218800,4520,9565,28.96278,
100,2182800,4521,9564,28.964386,
101,2174400,4521,9564,28.965906,
102,2169800,4521,9563,28.967402,
103,2175500,4520,9563,28.968788,
104,2167800,4522,9563,28.969984,
105,2150800,4518,9563,28.971111,
106,2141400,4521,9563,28.97221,
107,2151900,4523,9563,28.97325,
108,2162800,4515,9562,28.974203,
109,2170100,4517,9562,28.975157,
110,2155500,4516,9562,28.976004,
111,2333800,4515,9562,28.976778,
112,2287200,4519,9562,28.977486,
113,2183300,4520,9562,28.978231,
114,2184100,4520,9562,28.97893,
115,2185400,4519,9561,28.979557,
116,2181900,4526,9561,28.980162,
117,2169800,4519,9561,28.980728,
118,2211200,4521,9561,28.981266,
119,2176800,4517,9561,28.981787,
120,2170200,4523,9561,28.982262,
121,2148900,4523,9561,28.98269,
122,2180600,4521,9561,28.983118,
123,2181000,4522,9561,28.98351,
124,2151100,4518,9561,28.98387,
125,2253500,4521,9561,28.984217,
126,2194200,4521,9561,28.984558,
127,2176100,4517,9561,28.98485,
128,2179600,4522,9561,28.98514,
129,2182800,4521,9561,28.98541,
130,2155500,4519,9560,28.98568,
131,2154400,4526,9559,28.98593,
132,2229500,4524,9559,28.986149,
133,2169300,4516,9559,28.98636,
134,2165100,4520,9559,28.98657,
135,2164000,4522,9559,28.986776,
136,2173500,4519,9559,28.986969,
137,2161000,4521,9559,28.987137,
138,2170900,4521,9559,28.9873,
139,2205300,4521,9559,28.987465,
140,2169600,4518,9559,28.987623,
141,2162300,4523,9559,28.987766,
142,2176400,4524,9559,28.987892,
143,2167900,4523,9559,28.98802,
144,2158600,4520,9559,28.988153,
145,2180200,4519,9559,28.98826,
146,2223500,4520,9559,28.988363,
147,2201500,4522,9559,28.988459,
148,2178500,4517,9559,28.988543,
149,2207500,4519,9559,28.988642,
150,2180700,4522,9559,28.98874,
151,2161100,4520,9559,28.98882,
152,2168400,4523,9559,28.988888,
153,2197500,4523,9559,28.988964,
154,2225300,4524,9559,28.989048,
155,2187200,4521,9559,28.989117,
156,2169700,4520,9559,28.989172,
157,2315300,4519,9559,28.989218,
158,2294400,4519,9559,28.98927,
159,2218700,4518,9559,28.98933,
160,2284600,4519,9559,28.989386,
161,2238400,4521,9559,28.989433,
162,2171200,4518,9559,28.989477,
163,2158600,4520,9559,28.989515,
164,2161400,4520,9559,28.989552,
165,2155800,4519,9559,28.989582,
166,2177400,4516,9559,28.989613,
167,2189200,4518,9559,28.989645,
168,2193100,4518,9559,28.989676,
169,2146600,4514,9559,28.9897,
170,2172100,4515,9559,28.989725,
171,2156000,4512,9559,28.989754,
172,2163500,4513,9559,28.98977,
173,2168000,4515,9559,28.989801,
174,2174700,4515,9559,28.989834,
175,2152800,4515,9559,28.989851,
176,2156600,4514,9559,28.989864,
177,2146900,4516,9559,28.989883,
178,2149500,4515,9559,28.989906,
179,2163200,4515,9559,28.989923,
180,2178000,4515,9559,28.98993,
181,2157000,4517,9559,28.98993,
182,2473600,4517,9559,28.98994,
183,2500200,4516,9559,28.989958,
184,2408300,4516,9559,28.98997,
185,2389400,4514,9559,28.989977,
186,2338500,4515,9559,28.98999,
187,2275900,4516,9559,28.990005,
188,2304300,4519,9559,28.990013,
189,2421800,4519,9559,28.990015,
190,2279700,4519,9559,28.990025,
191,2300100,4520,9559,28.99004,
192,2260000,4522,9559,28.990047,
193,2409700,4521,9559,28.990053,
194,2484100,4522,9559,28.990055,
195,2383900,4521,9559,28.99006,
196,2359100,4522,9559,28.99006,
197,2222000,4523,9559,28.990076,
198,2171000,4523,9559,28.990084,
