step,wall_ns,manifolds,pairs,top_y,awake
0,8310700,4495,9570,35.998295,
1,7013100,4196,9570,35.993866,
2,6841000,4142,9570,35.986713,
3,6796100,4111,9570,35.976837,
4,6801000,4100,9570,35.964233,
5,6781600,4087,9570,35.948902,
6,6774500,4079,9570,35.93085,
7,6801700,4073,9570,35.910072,
8,6755100,4066,9570,35.88657,
9,6748200,4061,9570,35.86034,
10,6801000,4053,9570,35.831387,
11,6744100,4054,9570,35.79971,
12,6793300,4056,9570,35.765305,
13,6777100,4055,9570,35.728176,
14,6808000,4060,9570,35.688324,
15,6758800,4057,9570,35.64575,
16,6753200,4055,9570,35.600445,
17,6764000,4051,9570,35.552414,
18,6761900,4049,9570,35.501663,
19,6787600,4050,9570,35.448185,
20,7700000,4829,9570,35.391983,
21,7764500,4715,9570,35.333054,
22,7564800,4565,9570,35.2714,
23,7481100,4496,9570,35.207024,
24,7326600,4419,9570,35.13992,
25,7287500,4390,9570,35.07009,
26,7226600,4353,9570,34.997536,
27,7254500,4336,9570,34.92226,
28,8037500,4982,9570,34.844257,
29,7896300,4783,9570,34.763527,
30,7804300,4670,9570,34.680073,
31,7693300,4639,9570,34.593895,
32,7602200,4573,9570,34.504993,
33,7732300,4491,9570,34.413364,
34,8712100,5031,9570,34.31901,
35,8237300,4806,9570,34.221935,
36,7888200,4646,9570,34.12213,
37,8138000,4535,9570,34.019604,
38,8058800,4502,9570,33.91435,
39,8219500,4984,9570,33.806374,
40,8369500,5009,9570,33.69567,
41,8148800,4852,9570,33.58224,
42,7996400,4753,9570,33.466087,
43,7941900,4728,9570,33.34721,
44,8362800,4996,9570,33.22561,
45,8503700,5112,9570,33.10128,
46,8258400,4923,9570,32.974224,
47,8049600,4760,9570,32.844448,
48,8352200,5001,9570,32.711945,
49,8595400,5139,9570,32.576717,
50,8359700,4996,9570,32.438763,
51,8173600,4871,9570,32.298084,
52,8438300,5093,9570,32.154682,
53,8956600,4972,9570,32.008553,
54,8172400,4792,9570,31.8597,
55,8847700,4796,9570,31.70812,
56,8369000,4911,9570,31.553818,
57,8098300,4780,9570,31.39679,
58,8028600,4734,9570,31.237036,
59,8061800,4748,9570,31.074558,
60,8002900,4704,9570,30.909355,
61,8517600,4678,9570,30.741426,
62,8021900,4666,9570,30.570772,
63,7940100,4609,9570,30.397394,
64,7929700,4623,9570,30.22129,
65,7876700,4625,9570,30.042463,
66,7804500,4579,9570,29.860909,
67,7861300,4610,9570,29.67663,
68,7709400,4550,9570,29.489626,
69,7739200,4524,9570,29.299898,
70,7805400,4535,9570,29.107445,
71,7703400,4528,9570,28.912266,
72,7688900,4533,9570,28.714361,
73,7680400,4529,9570,28.745474,
74,7667800,4530,9570,28.77165,
75,7682400,4529,9570,28.79591,
76,7642500,4524,9570,28.816788,
77,7685600,4517,9570,28.83433,
78,7687300,4520,9570,28.848581,
79,7845900,4514,9568,28.862343,
80,7684600,4519,9568,28.873486,
81,7811400,4518,9568,28.88324,
82,7750200,4518,9568,28.892859,
83,7680500,4516,9568,28.90075,
84,7641100,4517,9567,28.907646,
85,7669000,4508,9565,28.914537,
86,7650400,4519,9565,28.920815,
87,7677600,4516,9565,28.92588,
88,7638100,4518,9565,28.930962,
89,7632200,4519,9565,28.935617,
90,7651000,4514,9565,28.939785,
91,7650500,4516,9565,28.943506,
92,7648000,4512,9565,28.946703,
93,7633700,4508,9565,28.949604,
94,7669300,4522,9565,28.952375,
95,7659500,4519,9565,28.954878,
96,8292200,4521,9565,28.957104,
97,7930000,4517,9565,28.9592,
98,7864400,4515,9565,28.960983,
99,7815700,4520,9565,28.96278,
100,7987700,4521,9564,28.964386,
101,7613900,4521,9564,28.965906,
102,7643600,4521,9563,28.967402,
103,7631400,4520,9563,28.968788,
104,7667100,4522,9563,28.969984,
105,7621000,4518,9563,28.971111,
106,7687400,4521,9563,28.97221,
107,7634200,4523,9563,28.97325,
108,7701700,4515,9562,28.974203,
109,7627400,4517,9562,28.975157,
110,7669100,4516,9562,28.976004,
111,7621900,4515,9562,28.976778,
112,7626200,4519,9562,28.977486,
113,7619200,4520,9562,28.978231,
114,7630800,4520,9562,28.97893,
115,7617400,4519,9561,28.979557,
116,7660500,4526,9561,28.980162,
117,7626300,4519,9561,28.980728,
118,7633600,4521,9561,28.981266,
119,7628800,4517,9561,28.981787,
120,7658300,4523,9561,28.982262,
121,7646700,4523,9561,28.98269,
122,7637000,4521,9561,28.983118,
123,7647100,4522,9561,28.98351,
124,7616700,4518,9561,28.98387,
125,7662100,4521,9561,28.984217,
126,7627100,4521,9561,28.984558,
127,7625600,4517,9561,28.98485,
128,7613700,4522,9561,28.98514,
129,7697800,4521,9561,28.98541,
130,7641700,4519,9560,28.98568,
131,7668000,4526,9559,28.98593,
132,7630200,4524,9559,28.986149,
133,7648500,4516,9559,28.98636,
134,7616500,4520,9559,28.98657,
135,7693600,4522,9559,28.986776,
136,7625900,4519,9559,28.986969,
137,7652600,4521,9559,28.987137,
138,7630100,4521,9559,28.9873,
139,7637600,4521,9559,28.987465,
140,7617800,4518,9559,28.987623,
141,7679100,4523,9559,28.987766,
142,7652700,4524,9559,28.987892,
143,7854700,4523,9559,28.98802,
144,7640500,4520,9559,28.988153,
145,7643600,4519,9559,28.98826,
146,7655400,4520,9559,28.988363,
147,7627400,4522,9559,28.988459,
148,7654600,4517,9559,28.988543,
149,7644200,4519,9559,28.988642,
150,7654200,4522,9559,28.98874,
151,7641000,4520,9559,28.98882,
152,7666500,4523,9559,28.988888,
153,7638700,4523,9559,28.988964,
154,8033800,4524,9559,28.989048,
155,7626000,4521,9559,28.989117,
156,7666000,4520,9559,28.989172,
157,7609100,4519,9559,28.989218,
158,7630800,4519,9559,28.98927,
159,7625100,4518,9559,28.98933,
160,7640800,4519,9559,28.989386,
161,7622600,4521,9559,28.989433,
162,7906000,4518,9559,28.989477,
163,7807400,4520,9559,28.989515,
164,7674200,4520,9559,28.989552,
165,7661000,4519,9559,28.989582,
166,8586000,4516,9559,28.989613,
167,8215900,4518,9559,28.989645,
168,7900500,4518,9559,28.989676,
169,7820200,4514,9559,28.9897,
170,7653700,4515,9559,28.989725,
171,7676900,4512,9559,28.989754,
172,7989300,4513,9559,28.98977,
173,7728300,4515,9559,28.989801,
174,7993300,4515,9559,28.989834,
175,7861600,4515,9559,28.989851,
176,7745100,4514,9559,28.989864,
177,7669800,4516,9559,28.989883,
178,7677100,4515,9559,28.989906,
179,7671500,4515,9559,28.989923,
180,7666800,4515,9559,28.98993,
181,7679900,4517,9559,28.98993,
182,7681700,4517,9559,28.98994,
183,7704700,4516,9559,28.989958,
184,7714200,4516,9559,28.98997,
185,7668500,4514,9559,28.989977,
186,7676100,4515,9559,28.98999,
187,7662500,4516,9559,28.990005,
188,7686400,4519,9559,28.990013,
189,7617400,4519,9559,28.990015,
190,7632900,4519,9559,28.990025,
191,7695500,4520,9559,28.99004,
192,7618400,4522,9559,28.990047,
193,7625300,4521,9559,28.990053,
194,7632300,4522,9559,28.990055,
195,7625700,4521,9559,28.99006,
196,7645100,4522,9559,28.99006,
197,7708600,4523,9559,28.990076,
198,7621000,4523,9559,28.990084,
199,7672900,4524,9559,28.990086,
200,7628800,4522,9559,28.990088,
201,7624700,4522,9559,28.990097,
202,7602900,4521,9559,28.99011,
203,7622100,4525,9559,28.990112,
204,7629700,4526,9559,28.990108,
205,7625900,4524,9559,28.990114,
206,7608600,4523,9559,28.99012,
207,7630400,4523,9559,28.990118,
208,7615800,4523,9559,28.990112,
209,7641500,4522,9559,28.990116,
210,7609900,4522,9559,28.990122,
211,7649700,4523,9559,28.990128,
212,8074000,4523,9559,28.990124,
213,7724400,4523,9559,28.99013,
214,7687900,4524,9559,28.990137,
215,7656700,4524,9559,28.990137,
216,7690400,4526,9559,28.990137,
217,8020900,4524,9559,28.990143,
218,7683600,4525,9559,28.990149,
219,7716000,4524,9559,28.990149,
220,7852400,4523,9559,28.990152,
221,8094600,4522,9559,28.99016,
222,7656900,4522,9559,28.990164,
223,7672600,4520,9559,28.990162,
224,7702900,4521,9559,28.99016,
225,7668400,4522,9559,28.990166,
226,7674300,4521,9559,28.990166,
227,7668600,4522,9559,28.990166,
228,8175700,4521,9559,28.990168,
229,7940500,4519,9559,28.990175,
230,7617300,4521,9559,28.990171,
231,7614000,4522,9559,28.990166,
232,7631900,4523,9559,28.990173,
233,7631800,4527,9559,28.990175,
234,7669700,4523,9559,28.990168,
235,7663500,4525,9559,28.99017,
236,7671900,4525,9559,28.990175,
237,7637100,4526,9559,28.990175,
238,7651700,4525,9559,28.990175,
239,7636600,4524,9559,28.990175,
240,7660700,4524,9559,28.990175,
241,7626100,4521,9559,28.990175,
242,7639000,4520,9559,28.990175,
243,7652900,4520,9559,28.990175,
244,7995100,4521,9559,28.990171,
245,8170600,4520,9559,28.990164,
246,8106400,4521,9559,28.990164,
247,7983400,4521,9559,28.990164,
248,8053000,4520,9559,28.990164,
249,8042800,4522,9559,28.990164,
250,8232700,4521,9559,28.990164,
251,8156900,4522,9559,28.990164,
252,7979500,4523,9559,28.990164,
253,7653700,4523,9559,28.99017,
254,7964900,4523,9559,28.99017,
255,8026700,4521,9559,28.99017,
256,8233500,4519,9559,28.99017,
257,7697900,4519,9559,28.990171,
258,7755000,4520,9559,28.990177,
259,7599200,4520,9559,28.990177,
260,7622700,4520,9559,28.990177,
261,7605300,4519,9559,28.99018,
262,7624800,4518,9559,28.990187,
263,7605600,4518,9559,28.990187,
264,7698300,4518,9559,28.990187,
265,7623900,4518,9559,28.990187,
266,7649000,4518,9559,28.990187,
267,7948900,4518,9559,28.990187,
268,7661800,4518,9559,28.990187,
269,7654800,4518,9559,28.990187,
270,7625900,4518,9559,28.990187,
271,7934500,4518,9559,28.990187,
272,7888600,4518,9559,28.990187,
273,7666800,4518,9559,28.990187,
274,7638900,4518,9559,28.990187,
275,7662000,4518,9559,28.990187,
276,7855800,4519,9559,28.990183,
277,7820900,4518,9559,28.990183,
278,7605700,4518,9559,28.990183,
279,7668100,4519,9559,28.990183,
280,7668100,4518,9559,28.990183,
281,7648200,4520,9559,28.990183,
282,7647300,4520,9559,28.990185,
283,7700400,4518,9559,28.990185,
284,7637700,4518,9559,28.990185,
285,7661400,4519,9559,28.990185,
286,7640200,4520,9559,28.990185,
287,7656000,4519,9559,28.990185,
288,7653300,4520,9559,28.990185,
289,7622800,4518,9559,28.990185,
290,7658200,4517,9559,28.99019,
291,7734200,4517,9559,28.99019,
292,8095100,4519,9559,28.99019,
293,7797500,4517,9559,28.990187,
294,7721900,4517,9559,28.990185,
295,8041600,4516,9559,28.990192,
296,8061000,4516,9559,28.990198,
297,7748700,4515,9559,28.990198,
298,7687400,4515,9559,28.990196,
299,7690000,4515,9559,28.990194,
300,7651700,4515,9559,28.990194,
301,7675100,4515,9559,28.990194,
302,7626100,4515,9559,28.990194,
303,7717100,4516,9559,28.990194,
304,7699100,4515,9559,28.990194,
305,7881000,4517,9559,28.990194,
306,7703500,4517,9559,28.990194,
307,7670100,4517,9559,28.990194,
308,7765000,4516,9559,28.990194,
309,7687600,4516,9559,28.990194,
310,7685900,4516,9559,28.990194,
311,7686700,4516,9559,28.990194,
