step,wall_ns,manifolds,pairs,top_y,awake
0,9846900,4495,9570,35.998295,
1,7227900,4300,9570,35.993866,
2,6753700,4339,9570,35.986713,
3,7076400,4335,9570,35.976837,
4,6896600,4329,9570,35.964233,
5,9225900,4324,9570,35.948902,
6,7828800,4326,9570,35.93085,
7,7338300,4319,9570,35.910072,
8,6892300,4316,9570,35.88657,
9,6851500,4312,9570,35.86034,
10,7033000,4307,9570,35.831387,
11,6665700,4307,9570,35.79971,
12,7429200,4306,9570,35.765305,
13,6765200,4306,9570,35.728176,
14,7530200,4307,9570,35.688324,
15,7807900,4306,9570,35.64575,
16,11027200,4303,9570,35.600445,
17,9206200,4298,9570,35.552414,
18,8205300,4298,9570,35.501663,
19,6793800,4297,9570,35.448185,
20,8392500,5077,9570,35.391983,
21,8516300,4687,9570,35.333054,
22,10562200,4536,9570,35.2714,
23,8135300,4464,9570,35.207024,
24,7659900,4397,9570,35.13992,
25,7326600,4359,9570,35.07009,
26,7238800,4312,9570,34.997536,
27,7239200,4295,9570,34.92226,
28,8318100,4934,9570,34.844257,
29,8275100,4786,9570,34.763527,
30,10493900,4665,9570,34.680073,
31,8813700,4617,9570,34.593895,
32,7985700,4578,9570,34.504993,
33,7724700,4536,9570,34.413364,
34,8663100,5039,9570,34.31901,
35,8017600,4827,9570,34.221935,
36,7959800,4630,9570,34.12213,
37,7771400,4510,9570,34.019604,
38,7819900,4408,9570,33.91435,
39,8532900,4880,9570,33.806374,
40,9303500,4979,9570,33.69567,
41,8580500,4855,9570,33.58224,
42,8188100,4689,9570,33.466087,
43,8005200,4655,9570,33.34721,
44,8780900,5072,9570,33.22561,
45,8854700,5053,9570,33.10128,
46,11961400,4767,9570,32.974224,
47,11672600,4624,9570,32.844448,
48,10285500,4898,9570,32.711945,
49,10498300,5015,9570,32.576717,
50,9206400,4836,9570,32.438763,
51,8550500,4704,9570,32.298084,
52,8886000,4886,9570,32.154682,
53,8883300,4850,9570,32.008553,
54,9790200,4701,9570,31.8597,
55,8267100,4656,9570,31.70812,
56,8345200,4755,9570,31.553818,
57,8146800,4733,9570,31.39679,
58,8201700,4658,9570,31.237036,
59,8622300,4682,9570,31.074558,
60,9888000,4642,9570,30.909355,
61,8504900,4557,9570,30.741426,
62,8007100,4591,9570,30.570772,
63,8094500,4578,9570,30.397394,
64,7868900,4530,9570,30.22129,
65,8067500,4530,9570,30.042463,
66,7846300,4531,9570,29.860909,
67,8184500,4532,9570,29.67663,
68,8130000,4513,9570,29.489626,
69,7737700,4475,9570,29.299898,
70,7960100,4477,9570,29.107445,
71,8465200,4474,9569,28.912266,
72,7803400,4455,9569,28.714361,
73,8149200,4472,9569,28.745037,
74,7744600,4465,9569,28.771923,
75,8046900,4458,9569,28.794498,
76,9642300,4464,9569,28.81284,
77,8729500,4463,9569,28.827902,
78,8821500,4462,9568,28.840885,
79,8642100,4456,9567,28.852116,
80,7835600,4458,9567,28.861916,
81,7778800,4462,9566,28.87016,
82,8059900,4462,9566,28.877672,
83,8453100,4464,9566,28.884876,
84,9774700,4460,9566,28.891674,
85,8156200,4454,9564,28.89812,
86,8357100,4452,9563,28.90361,
87,8171300,4461,9563,28.9092,
88,7681000,4461,9561,28.91393,
89,7871200,4461,9561,28.918192,
90,7830500,4460,9560,28.922281,
91,7899500,4461,9557,28.926441,
92,7766000,4462,9557,28.930197,
93,9323500,4459,9555,28.933605,
94,7993900,4455,9554,28.936785,
95,8208900,4464,9554,28.939753,
96,7486300,4454,9554,28.942532,
97,7547700,4453,9554,28.9452,
98,7605500,4449,9553,28.947609,
