step,wall_ns,manifolds,pairs,top_y,awake
0,6993400,4495,9570,35.998295,
1,4738100,4300,9570,35.993866,
2,4163900,4339,9570,35.986713,
3,3963700,4335,9570,35.976837,
4,3922900,4329,9570,35.964233,
5,4479900,4324,9570,35.948902,
6,4005300,4326,9570,35.93085,
7,4076100,4319,9570,35.910072,
8,3949000,4316,9570,35.88657,
9,3908700,4312,9570,35.86034,
10,4256200,4307,9570,35.831387,
11,4311600,4307,9570,35.79971,
12,3950500,4306,9570,35.765305,
13,4021800,4306,9570,35.728176,
14,4862300,4307,9570,35.688324,
15,4258000,4306,9570,35.64575,
16,4447400,4303,9570,35.600445,
17,5455900,4298,9570,35.552414,
18,4254200,4298,9570,35.501663,
19,3996900,4297,9570,35.448185,
20,4581500,5077,9570,35.391983,
21,5192800,4687,9570,35.333054,
22,4788800,4536,9570,35.2714,
23,4581000,4464,9570,35.207024,
24,4709100,4397,9570,35.13992,
25,4772100,4359,9570,35.07009,
26,4873000,4312,9570,34.997536,
27,5067000,4295,9570,34.92226,
28,5533600,4934,9570,34.844257,
29,4933700,4786,9570,34.763527,
30,4654800,4665,9570,34.680073,
31,5565000,4617,9570,34.593895,
32,4673100,4578,9570,34.504993,
33,4565800,4536,9570,34.413364,
34,4941300,5039,9570,34.31901,
35,4722100,4827,9570,34.221935,
36,4648800,4630,9570,34.12213,
37,4565900,4510,9570,34.019604,
38,4840500,4408,9570,33.91435,
39,4987400,4880,9570,33.806374,
40,4887800,4979,9570,33.69567,
41,5607300,4855,9570,33.58224,
42,5980100,4689,9570,33.466087,
43,4914500,4655,9570,33.34721,
44,4946500,5072,9570,33.22561,
45,5856100,5053,9570,33.10128,
46,4929300,4767,9570,32.974224,
47,5035400,4624,9570,32.844448,
48,5306200,4898,9570,32.711945,
49,4963900,5015,9570,32.576717,
50,5334400,4836,9570,32.438763,
51,4931700,4704,9570,32.298084,
52,5681600,4886,9570,32.154682,
53,6516000,4850,9570,32.008553,
54,5912300,4701,9570,31.8597,
55,7654500,4656,9570,31.70812,
56,5723100,4755,9570,31.553818,
57,5892400,4733,9570,31.39679,
58,5535400,4658,9570,31.237036,
59,5073900,4682,9570,31.074558,
60,5360600,4642,9570,30.909355,
61,4777900,4557,9570,30.741426,
62,4934500,4591,9570,30.570772,
63,4729300,4578,9570,30.397394,
64,4666000,4530,9570,30.22129,
65,5271200,4530,9570,30.042463,
66,5466400,4531,9570,29.860909,
67,4739800,4532,9570,29.67663,
68,5752400,4513,9570,29.489626,
69,5189000,4475,9570,29.299898,
70,4666200,4477,9570,29.107445,
71,4506700,4474,9569,28.912266,
72,5140700,4455,9569,28.714361,
73,4873700,4472,9569,28.745037,
74,4563100,4465,9569,28.771923,
75,4391300,4458,9569,28.794498,
76,4620400,4464,9569,28.81284,
77,4797900,4463,9569,28.827902,
78,4370400,4462,9568,28.840885,
79,4508000,4456,9567,28.852116,
80,5764100,4458,9567,28.861916,
81,5932400,4462,9566,28.87016,
82,6521200,4462,9566,28.877672,
83,5192400,4464,9566,28.884876,
84,4533900,4460,9566,28.891674,
85,4428300,4454,9564,28.89812,
86,5032900,4452,9563,28.90361,
87,4458400,4461,9563,28.9092,
88,4374200,4461,9561,28.91393,
89,4547200,4461,9561,28.918192,
90,4443300,4460,9560,28.922281,
91,4259500,4461,9557,28.926441,
92,4831100,4462,9557,28.930197,
93,5324000,4459,9555,28.933605,
94,4701300,4455,9554,28.936785,
95,5102200,4464,9554,28.939753,
96,4775500,4454,9554,28.942532,
97,4409400,4453,9554,28.9452,
98,4301500,4449,9553,28.947609,
99,4362300,4452,9552,28.949892,
100,4396300,4462,9549,28.952118,
101,4708600,4454,9548,28.954184,
102,4300400,4455,9548,28.956179,
103,4274400,4460,9548,28.957949,
104,4772700,4463,9546,28.959707,
105,4289900,4462,9546,28.9613,
106,4211700,4463,9546,28.962826,
107,4896900,4465,9546,28.964285,
108,4545500,4465,9546,28.965742,
109,4302400,4465,9546,28.967031,
110,4400400,4466,9546,28.968155,
111,4500500,4468,9546,28.969242,
112,4579500,4464,9546,28.970312,
113,4232800,4466,9546,28.971327,
114,4270700,4467,9546,28.972305,
115,4519700,4467,9546,28.97322,
116,4194300,4465,9546,28.974094,
117,4144700,4465,9546,28.974928,
118,4906900,4466,9546,28.975708,
119,4346600,4467,9546,28.97645,
120,4208300,4463,9546,28.977146,
121,4431700,4463,9546,28.977818,
122,5184300,4462,9546,28.978441,
123,4663100,4463,9546,28.979033,
124,5623800,4462,9546,28.979574,
125,4666000,4463,9546,28.98009,
126,4257800,4466,9546,28.980558,
127,4202000,4466,9546,28.98101,
128,4197300,4468,9546,28.981445,
129,4093000,4465,9546,28.981846,
