step,wall_ns,manifolds,pairs,top_y,awake
0,6873100,4495,9570,35.998295,
1,5385300,4196,9570,35.993866,
2,5691100,4142,9570,35.986713,
3,5156100,4111,9570,35.976837,
4,5784900,4100,9570,35.964233,
5,5792200,4087,9570,35.948902,
6,5340300,4079,9570,35.93085,
7,6126300,4073,9570,35.910072,
8,5360100,4066,9570,35.88657,
9,5146400,4061,9570,35.86034,
10,5716400,4053,9570,35.831387,
11,5275600,4054,9570,35.79971,
12,5298300,4056,9570,35.765305,
13,5445300,4055,9570,35.728176,
14,5419100,4060,9570,35.688324,
15,5264400,4057,9570,35.64575,
16,5818100,4055,9570,35.600445,
17,6014300,4051,9570,35.552414,
18,6246900,4049,9570,35.501663,
19,5707100,4050,9570,35.448185,
20,6214700,4829,9570,35.391983,
21,5864700,4715,9570,35.333054,
22,5775900,4565,9570,35.2714,
23,6011800,4496,9570,35.207024,
24,5973400,4419,9570,35.13992,
25,6987100,4390,9570,35.07009,
26,5792300,4353,9570,34.997536,
27,6119500,4336,9570,34.92226,
28,6674600,4982,9570,34.844257,
29,6094400,4783,9570,34.763527,
30,6085700,4670,9570,34.680073,
31,5887300,4639,9570,34.593895,
32,5822100,4573,9570,34.504993,
33,6315900,4491,9570,34.413364,
34,6972900,5031,9570,34.31901,
35,6822100,4806,9570,34.221935,
36,6553500,4646,9570,34.12213,
37,5957700,4535,9570,34.019604,
38,5920300,4502,9570,33.91435,
39,6323300,4984,9570,33.806374,
40,6716900,5009,9570,33.69567,
41,6252700,4852,9570,33.58224,
42,5924200,4753,9570,33.466087,
43,6378100,4728,9570,33.34721,
44,7662200,4996,9570,33.22561,
45,9134800,5112,9570,33.10128,
46,7472400,4923,9570,32.974224,
47,8889100,4760,9570,32.844448,
48,10105200,5001,9570,32.711945,
49,10842200,5139,9570,32.576717,
50,9253800,4996,9570,32.438763,
51,8185000,4871,9570,32.298084,
52,7994000,5093,9570,32.154682,
53,8154200,4972,9570,32.008553,
54,7758200,4792,9570,31.8597,
55,8112400,4796,9570,31.70812,
56,8087700,4911,9570,31.553818,
57,8020300,4780,9570,31.39679,
58,7292900,4734,9570,31.237036,
59,7950300,4748,9570,31.074558,
60,7341400,4704,9570,30.909355,
61,7256600,4678,9570,30.741426,
62,6999200,4666,9570,30.570772,
