step,wall_ns,manifolds,pairs,top_y,awake
0,9465500,4495,9570,35.998295,
1,9166100,4300,9570,35.993866,
2,7471900,4339,9570,35.986713,
3,7289800,4335,9570,35.976837,
4,7059700,4329,9570,35.964233,
5,6941900,4324,9570,35.948902,
6,6831700,4326,9570,35.93085,
7,6993100,4319,9570,35.910072,
8,7019800,4316,9570,35.88657,
9,6561100,4312,9570,35.86034,
10,6570300,4307,9570,35.831387,
11,5735200,4307,9570,35.79971,
12,6839700,4306,9570,35.765305,
13,5863000,4306,9570,35.728176,
14,5684500,4307,9570,35.688324,
15,6570400,4306,9570,35.64575,
16,7325400,4303,9570,35.600445,
17,6364200,4298,9570,35.552414,
18,6788700,4298,9570,35.501663,
19,6825300,4297,9570,35.448185,
20,7951900,5077,9570,35.391983,
21,7709800,4687,9570,35.333054,
22,6457900,4536,9570,35.2714,
23,7174200,4464,9570,35.207024,
24,6498100,4397,9570,35.13992,
25,6309200,4359,9570,35.07009,
26,7400500,4312,9570,34.997536,
27,6474600,4295,9570,34.92226,
28,8280600,4934,9570,34.844257,
29,7258100,4786,9570,34.763527,
30,7760100,4665,9570,34.680073,
31,7455500,4617,9570,34.593895,
32,6314200,4578,9570,34.504993,
33,7464200,4536,9570,34.413364,
34,8165100,5039,9570,34.31901,
35,6870300,4827,9570,34.221935,
36,6898000,4630,9570,34.12213,
37,6489900,4510,9570,34.019604,
38,6937000,4408,9570,33.91435,
39,7981600,4880,9570,33.806374,
40,7516600,4979,9570,33.69567,
41,9914600,4855,9570,33.58224,
42,8464000,4689,9570,33.466087,
43,8886100,4655,9570,33.34721,
44,8563000,5072,9570,33.22561,
45,8690700,5053,9570,33.10128,
46,7459900,4767,9570,32.974224,
47,6970800,4624,9570,32.844448,
48,7159900,4898,9570,32.711945,
49,7255200,5015,9570,32.576717,
50,7135200,4836,9570,32.438763,
51,8023700,4704,9570,32.298084,
52,7053200,4886,9570,32.154682,
53,6802300,4850,9570,32.008553,
54,6864900,4701,9570,31.8597,
55,6788800,4656,9570,31.70812,
56,7357100,4755,9570,31.553818,
57,6902500,4733,9570,31.39679,
58,6808900,4658,9570,31.237036,
59,8133400,4682,9570,31.074558,
60,7527100,4642,9570,30.909355,
61,9164900,4557,9570,30.741426,
62,7542200,4591,9570,30.570772,
63,7054700,4578,9570,30.397394,
64,6548200,4530,9570,30.22129,
65,7011300,4530,9570,30.042463,
66,7684600,4531,9570,29.860909,
67,6873500,4532,9570,29.67663,
68,7853200,4513,9570,29.489626,
69,7187600,4475,9570,29.299898,
70,6126000,4477,9570,29.107445,
71,6437500,4474,9569,28.912266,
72,6035300,4455,9569,28.714361,
73,6192200,4472,9569,28.745037,
74,6211700,4465,9569,28.771923,
75,5947500,4458,9569,28.794498,
76,5785000,4464,9569,28.81284,
77,5847100,4463,9569,28.827902,
78,6246600,4462,9568,28.840885,
79,5905800,4456,9567,28.852116,
80,5898500,4458,9567,28.861916,
81,5989800,4462,9566,28.87016,
82,5728200,4462,9566,28.877672,
83,5721300,4464,9566,28.884876,
84,5878600,4460,9566,28.891674,
85,6509400,4454,9564,28.89812,
86,5977800,4452,9563,28.90361,
87,6047100,4461,9563,28.9092,
88,5715200,4461,9561,28.91393,
89,6767100,4461,9561,28.918192,
90,5921500,4460,9560,28.922281,
91,5617200,4461,9557,28.926441,
92,5946000,4462,9557,28.930197,
93,5991500,4459,9555,28.933605,
94,5743200,4455,9554,28.936785,
95,5889800,4464,9554,28.939753,
96,6301300,4454,9554,28.942532,
97,5734200,4453,9554,28.9452,
98,6178100,4449,9553,28.947609,
99,5778200,4452,9552,28.949892,
100,6214700,4462,9549,28.952118,
101,6593800,4454,9548,28.954184,
102,5783200,4455,9548,28.956179,
103,6387900,4460,9548,28.957949,
104,6162900,4463,9546,28.959707,
105,5698700,4462,9546,28.9613,
106,6232100,4463,9546,28.962826,
107,6301700,4465,9546,28.964285,
108,5827300,4465,9546,28.965742,
109,5928800,4465,9546,28.967031,
110,6090600,4466,9546,28.968155,
111,5924400,4468,9546,28.969242,
112,6530100,4464,9546,28.970312,
113,5729200,4466,9546,28.971327,
114,6100200,4467,9546,28.972305,
115,5677500,4467,9546,28.97322,
116,5681600,4465,9546,28.974094,
117,6741300,4465,9546,28.974928,
118,6205400,4466,9546,28.975708,
119,5754100,4467,9546,28.97645,
120,6200300,4463,9546,28.977146,
121,5739100,4463,9546,28.977818,
122,6041400,4462,9546,28.978441,
123,5732400,4463,9546,28.979033,
124,5679900,4462,9546,28.979574,
125,5771800,4463,9546,28.98009,
126,5914600,4466,9546,28.980558,
127,5667200,4466,9546,28.98101,
128,6285800,4468,9546,28.981445,
129,5940300,4465,9546,28.981846,
130,5853000,4468,9546,28.982235,
131,6368900,4466,9546,28.982603,
132,5683800,4467,9546,28.982958,
133,5755800,4465,9546,28.983284,
134,5981200,4464,9546,28.983583,
135,5774100,4468,9546,28.98386,
136,6016400,4468,9546,28.984129,
137,5980600,4466,9546,28.984394,
138,5671500,4469,9546,28.984627,
139,5645900,4467,9545,28.984867,
140,5956400,4466,9545,28.985088,
141,5862100,4466,9545,28.985296,
142,5772600,4466,9545,28.985493,
143,5723400,4468,9545,28.98568,
144,5788300,4471,9545,28.985857,
145,6262300,4470,9545,28.986025,
146,5817800,4468,9545,28.986183,
147,5902000,4467,9545,28.98633,
148,6070500,4465,9545,28.98647,
149,5648400,4466,9545,28.986603,
150,5782900,4467,9545,28.986732,
151,6240100,4467,9545,28.986855,
152,6544600,4465,9545,28.986967,
153,6241900,4464,9545,28.987074,
154,6851900,4465,9545,28.987171,
155,6023000,4466,9545,28.987276,
156,6622200,4466,9545,28.98737,
157,7143500,4464,9545,28.987461,
158,6352700,4468,9545,28.987545,
159,5770300,4466,9545,28.987621,
160,5630800,4466,9545,28.98769,
161,5801500,4467,9545,28.98776,
162,6285300,4469,9545,28.987827,
163,5780800,4469,9545,28.987888,
164,6490800,4466,9545,28.98795,
165,6100600,4468,9545,28.988005,
166,5752600,4469,9545,28.988058,
167,5732500,4468,9545,28.98811,
168,5750500,4469,9545,28.988153,
169,5636300,4468,9545,28.988195,
170,5699900,4471,9545,28.98824,
171,5704700,4470,9545,28.988277,
172,6327600,4471,9545,28.988316,
173,6563500,4469,9545,28.98835,
174,6279300,4470,9545,28.988382,
175,6513200,4470,9545,28.988405,
176,6747100,4470,9545,28.988434,
177,6479800,4471,9545,28.988464,
178,6410800,4468,9545,28.988497,
179,5824900,4470,9545,28.988514,
180,5666600,4469,9545,28.988539,
181,6357300,4470,9545,28.988562,
182,6113100,4469,9545,28.988585,
183,6265300,4469,9545,28.988605,
184,5749700,4468,9545,28.98862,
185,5965800,4468,9545,28.988636,
186,6355800,4468,9545,28.988659,
187,5774200,4468,9545,28.988678,
188,5683900,4467,9545,28.988693,
189,6218600,4468,9545,28.988708,
190,6216800,4469,9545,28.988724,
191,6267100,4467,9545,28.988739,
192,5686000,4469,9545,28.988747,
193,5678200,4468,9545,28.988762,
194,5646600,4469,9545,28.988777,
195,5866000,4470,9545,28.988789,
196,5779900,4469,9545,28.988796,
197,6165100,4470,9545,28.988804,
198,5896600,4471,9545,28.988811,
199,5815900,4470,9545,28.98882,
200,6020800,4470,9545,28.988827,
201,5637200,4471,9545,28.988834,
202,5668100,4472,9545,28.988842,
203,6153600,4472,9545,28.98885,
204,5621900,4472,9545,28.988857,
205,5921900,4470,9545,28.988865,
206,6045700,4470,9545,28.98887,
207,6074100,4469,9545,28.98887,
208,5595300,4466,9545,28.988878,
209,5692700,4467,9545,28.988882,
210,6135400,4467,9545,28.988888,
211,5640400,4466,9545,28.988894,
212,5612600,4466,9545,28.988894,
213,6566700,4467,9545,28.988894,
214,8323000,4467,9545,28.988894,
215,6298500,4468,9545,28.9889,
216,6255500,4467,9545,28.9889,
217,6892200,4468,9545,28.9889,
218,6403600,4467,9545,28.9889,
219,5903100,4468,9545,28.9889,
220,5765400,4468,9545,28.9889,
221,5713000,4468,9545,28.9889,
222,5583700,4467,9545,28.9889,
223,5605800,4468,9545,28.9889,
224,6814800,4467,9545,28.9889,
225,6059300,4467,9545,28.9889,
226,5728500,4468,9545,28.9889,
227,6135700,4467,9545,28.9889,
228,5861000,4467,9545,28.9889,
229,5857900,4468,9545,28.9889,
230,5774100,4467,9545,28.9889,
231,5935300,4467,9545,28.9889,
232,5657700,4467,9545,28.9889,
233,5923100,4468,9545,28.9889,
234,5852300,4467,9545,28.9889,
235,5591200,4467,9545,28.9889,
236,5864800,4467,9545,28.9889,
237,5824900,4467,9545,28.9889,
238,5685400,4467,9545,28.9889,
239,5654300,4467,9545,28.9889,
240,5637200,4467,9545,28.9889,
241,5950000,4468,9545,28.9889,
242,6151800,4467,9545,28.9889,
243,6154800,4467,9545,28.9889,
244,5623000,4467,9545,28.988903,
245,5640400,4468,9545,28.988903,
246,5547300,4467,9545,28.988903,
247,6088400,4467,9545,28.988903,
248,5567500,4468,9545,28.988903,
249,5597500,4467,9545,28.988903,
250,5642800,4467,9545,28.988903,
251,6059200,4467,9545,28.988903,
252,5984500,4467,9545,28.988903,
253,5917400,4468,9545,28.988903,
254,5582100,4467,9545,28.988903,
255,5642800,4467,9545,28.988903,
256,5742600,4467,9545,28.988903,
257,6973000,4468,9545,28.988903,
258,5936500,4467,9545,28.988903,
259,5925100,4467,9545,28.988903,
260,5720000,4468,9545,28.988903,
261,6027800,4467,9545,28.988903,
262,5681600,4467,9545,28.988903,
263,5742800,4468,9545,28.988903,
264,5571800,4467,9545,28.988903,
265,6362500,4467,9545,28.988903,
266,6079600,4468,9545,28.988903,
267,6933000,4467,9545,28.988903,
268,5603200,4467,9545,28.988903,
269,6211500,4468,9545,28.988903,
270,6236600,4467,9545,28.988903,
271,5749000,4467,9545,28.988903,
272,5551700,4467,9545,28.988903,
273,6843600,4467,9545,28.988903,
274,5951800,4468,9545,28.988905,
275,6225300,4467,9545,28.988905,
276,5668400,4468,9545,28.988905,
277,5546900,4467,9545,28.988905,
278,5610100,4467,9545,28.988905,
279,6035400,4467,9545,28.988905,
280,5896300,4468,9545,28.988905,
281,6031000,4467,9545,28.988905,
282,5940300,4467,9545,28.988905,
283,6274400,4467,9545,28.988905,
284,5928400,4468,9545,28.988905,
285,5871800,4467,9545,28.988905,
286,5658400,4467,9545,28.988905,
287,6148400,4468,9545,28.988905,
288,5621500,4467,9545,28.988905,
289,5622400,4467,9545,28.988905,
290,5716100,4468,9545,28.988905,
291,5603500,4467,9545,28.988905,
292,5972400,4467,9545,28.988905,
293,6022200,4467,9545,28.988905,
294,5846000,4468,9545,28.988905,
295,6095300,4467,9545,28.988905,
296,5655400,4467,9545,28.988905,
297,5699900,4468,9545,28.988905,
298,6201800,4467,9545,28.988905,
299,6382700,4467,9545,28.988905,
300,5848000,4467,9545,28.988905,
301,5822900,4468,9545,28.988905,
302,5632300,4467,9545,28.988905,
303,5641400,4467,9545,28.988905,
304,5938900,4467,9545,28.988905,
305,5752400,4467,9545,28.988905,
306,5573400,4467,9545,28.988905,
307,6130300,4467,9545,28.988905,
308,6112300,4468,9545,28.988905,
309,6040100,4467,9545,28.988905,
310,5679100,4467,9545,28.988905,
311,5922100,4467,9545,28.988905,
312,5992500,4468,9545,28.988905,
313,5895500,4467,9545,28.988905,
314,5632000,4467,9545,28.988905,
315,6035900,4467,9545,28.988905,
316,5560400,4467,9545,28.988905,
317,5642300,4467,9545,28.988905,
318,5649800,4467,9545,28.988905,
319,5552500,4467,9545,28.988905,
320,5544200,4468,9545,28.988905,
321,5666900,4468,9545,28.98891,
322,6317200,4468,9545,28.988914,
323,6115300,4468,9545,28.988914,
324,5963000,4467,9545,28.988914,
325,7052300,4467,9545,28.988914,
326,6448200,4467,9545,28.988914,
327,5771700,4467,9545,28.988914,
328,5675100,4467,9545,28.988914,
329,5919000,4467,9545,28.988914,
330,6332200,4467,9545,28.988914,
331,5929800,4467,9545,28.988914,
332,5957100,4467,9545,28.988914,
333,5704500,4467,9545,28.988914,
334,5688600,4467,9545,28.988914,
335,6126800,4467,9545,28.988914,
336,5615000,4467,9545,28.988914,
337,5694700,4467,9545,28.988914,
338,6302800,4467,9545,28.988914,
339,5751300,4467,9545,28.988914,
340,5685800,4468,9545,28.988914,
341,5632200,4468,9545,28.988914,
342,5836800,4468,9545,28.988914,
343,5984500,4468,9545,28.988914,
344,6029200,4468,9545,28.988914,
345,5670800,4468,9545,28.988914,
346,5696400,4468,9545,28.988914,
347,5636400,4468,9545,28.988914,
348,6154900,4468,9545,28.988914,
349,6504000,4468,9545,28.988914,
350,6306500,4468,9545,28.988914,
351,6235000,4468,9545,28.988914,
352,5934900,4468,9545,28.988914,
353,5874600,4468,9545,28.988914,
354,5748400,4467,9545,28.988914,
355,5624400,4467,9545,28.988914,
356,5627100,4467,9545,28.988914,
357,5994500,4467,9545,28.988914,
358,6270700,4467,9545,28.988914,
359,5779900,4467,9545,28.988914,
360,5757700,4467,9545,28.988914,
361,5652800,4467,9545,28.988914,
362,5532600,4467,9545,28.988914,
363,5671800,4467,9545,28.988914,
364,5932700,4467,9545,28.988914,
365,5681300,4467,9545,28.988914,
366,5839500,4467,9545,28.988914,
367,5948300,4468,9545,28.988914,
368,6110200,4469,9545,28.988914,
369,5906000,4469,9545,28.988914,
370,5687800,4469,9545,28.988914,
371,5686300,4469,9545,28.988914,
372,5864200,4469,9545,28.988914,
373,5650900,4469,9545,28.988914,
374,6209100,4469,9545,28.988914,
375,6279300,4469,9545,28.988914,
376,6093800,4469,9545,28.988914,
377,5941800,4469,9545,28.988914,
378,5960700,4469,9545,28.988914,
379,5857600,4469,9545,28.988914,
380,6421700,4469,9545,28.988914,
381,5653900,4469,9545,28.988914,
382,6063900,4469,9545,28.988914,
383,5621500,4469,9545,28.988914,
384,5592700,4469,9545,28.988914,
385,5677700,4469,9545,28.988914,
386,5768800,4469,9545,28.988914,
387,5826100,4469,9545,28.988914,
388,6011300,4469,9545,28.988914,
389,5703000,4469,9545,28.988914,
390,5633000,4469,9545,28.988914,
391,5924500,4469,9545,28.988914,
392,5922500,4469,9545,28.988914,
393,6941100,4469,9545,28.988914,
394,7783600,4469,9545,28.988914,
395,6271900,4469,9545,28.988914,
396,6448700,4469,9545,28.988914,
397,5950600,4469,9545,28.988914,
398,6160100,4469,9545,28.988914,
399,6631400,4469,9545,28.988914,
400,6041000,4469,9545,28.988914,
401,5811900,4469,9545,28.988914,
402,5920400,4469,9545,28.988914,
403,6027000,4469,9545,28.988914,
404,5830600,4469,9545,28.988914,
405,6544700,4469,9545,28.988914,
406,5665200,4469,9545,28.988914,
407,6153700,4469,9545,28.988914,
408,5972500,4469,9545,28.988914,
409,5781200,4469,9545,28.988914,
410,5932600,4469,9545,28.988914,
411,5665000,4469,9545,28.988914,
412,5642000,4469,9545,28.988914,
413,6096900,4469,9545,28.988914,
414,6246200,4469,9545,28.988914,
415,6065900,4469,9545,28.988914,
416,6221300,4469,9545,28.988914,
417,5903700,4469,9545,28.988914,
418,5610700,4469,9545,28.988914,
419,6173500,4469,9545,28.988914,
420,5914400,4469,9545,28.988914,
421,6058700,4468,9545,28.988914,
422,5777200,4468,9545,28.988914,
423,5853900,4468,9545,28.988914,
424,5966400,4468,9545,28.988914,
425,5934400,4468,9545,28.988914,
426,5624400,4468,9545,28.988918,
427,6426400,4468,9545,28.988918,
428,6895100,4468,9545,28.988918,
429,7924400,4468,9545,28.988918,
430,6776700,4468,9545,28.988918,
431,5717200,4468,9545,28.988918,
432,5616900,4468,9545,28.988918,
433,5907700,4468,9545,28.988918,
434,6049400,4469,9545,28.988918,
435,5773700,4469,9545,28.988918,
436,5659800,4469,9545,28.988918,
437,5626600,4469,9545,28.988918,
438,5725400,4469,9545,28.988918,
439,6063300,4469,9545,28.988918,
440,6565100,4469,9545,28.988918,
441,6744100,4469,9545,28.988918,
442,6572700,4468,9545,28.988918,
443,6466600,4468,9545,28.988918,
444,5865100,4469,9545,28.988918,
445,5778700,4469,9545,28.988918,
446,6316200,4468,9545,28.988918,
447,5943400,4469,9545,28.988918,
448,6098900,4468,9545,28.988918,
449,6559200,4469,9545,28.988918,
450,5955600,4468,9545,28.988918,
451,7551000,4468,9545,28.988918,
452,6158000,4469,9545,28.988918,
453,6470400,4470,9545,28.988918,
454,5954500,4469,9545,28.988918,
455,5736000,4469,9545,28.988918,
456,6222900,4469,9545,28.988918,
457,6535300,4469,9545,28.988918,
458,5740300,4469,9545,28.988918,
459,5751000,4469,9545,28.988918,
460,6432700,4469,9545,28.988918,
461,7470300,4469,9545,28.988918,
462,6705900,4469,9545,28.988922,
463,6058100,4468,9545,28.988922,
464,5928800,4469,9545,28.988922,
465,5671300,4469,9545,28.988922,
466,5604300,4469,9545,28.988922,
467,5930600,4469,9545,28.988922,
468,5674400,4469,9545,28.988922,
469,5820900,4469,9545,28.988922,
470,5816100,4467,9545,28.988922,
471,5967700,4468,9545,28.988922,
472,7006400,4467,9545,28.988922,
473,7602300,4467,9545,28.988922,
474,6219800,4467,9545,28.988922,
475,6214000,4467,9545,28.988922,
476,5763500,4467,9545,28.988922,
477,5850700,4467,9545,28.988922,
478,6035700,4467,9545,28.988922,
479,5683300,4467,9545,28.988922,
480,5788800,4468,9545,28.988922,
481,6083700,4468,9545,28.988922,
482,5677800,4468,9545,28.988922,
483,5809700,4468,9545,28.988922,
484,7027200,4469,9545,28.988922,
485,6148200,4469,9545,28.988922,
486,7085300,4469,9545,28.988922,
487,6855400,4469,9545,28.988922,
488,7176400,4469,9545,28.988922,
489,7063900,4469,9545,28.988922,
490,6089100,4469,9545,28.988922,
491,6685100,4469,9545,28.988922,
492,6522700,4469,9545,28.988922,
493,7846900,4469,9545,28.988922,
494,6440200,4469,9545,28.988922,
495,7105900,4469,9545,28.988922,
496,6034000,4469,9545,28.988922,
497,6418600,4469,9545,28.988922,
498,5811800,4469,9545,28.988922,
499,6575800,4468,9545,28.988922,
