step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,19395200,4495,9570,35.998295,,0,9,9,108,136555,4890,4980,19258645,16,154,792,1,109273,1,271,1,2186632,1,2848622,1,138881,1,13955519,1,18656,1,564089,1,9388,4,542878,4,66880,4,4296824,4,8445059,8,12736903,108,0,0,4729,1,18195,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,16224800,4300,9570,35.993866,,0,9,8,96,164509,3507,2505,16060291,16,154,190,1,44577,1,160,1,2129851,1,961314,1,125575,1,12785940,1,12685,1,489714,1,8306,4,548850,4,64917,4,4088238,4,7540005,8,11603855,96,21883,12,3196,1,36621,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
2,15382900,4339,9570,35.986713,,0,9,8,96,135483,1423,5040,15247417,16,154,30,1,32694,1,150,1,1927938,1,753709,1,115916,1,12406811,1,10170,1,364701,1,7986,4,528640,4,66189,4,3854102,4,7555926,8,11375871,96,29117,12,3206,1,22063,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
3,15516600,4335,9570,35.976837,,0,9,8,96,125162,4088,2405,15391438,16,154,190,1,32804,1,130,1,2141414,1,754821,1,98993,1,12347134,1,15951,1,301848,1,7485,4,497500,4,65057,4,3855695,4,7588670,8,11417823,96,24137,12,3337,1,20841,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
4,15446600,4329,9570,35.964233,,0,9,8,96,87786,1212,4208,15358814,16,154,80,1,25450,1,120,1,2047370,1,749130,1,95236,1,12425417,1,16011,1,329663,1,7575,4,529572,4,65678,4,3886765,4,7579051,8,11436930,96,24678,12,3186,1,20159,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
5,15548900,4324,9570,35.948902,,0,9,8,96,98247,3237,2366,15450653,16,154,60,1,25780,1,120,1,2168146,1,754591,1,100937,1,12384908,1,16111,1,284224,1,7454,4,504223,4,65387,4,3860955,4,7632896,8,11468761,96,22724,12,3206,1,20730,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
6,15474500,4326,9570,35.93085,,0,9,8,96,95867,1272,2315,15378633,16,154,20,1,27213,1,140,1,2048973,1,750853,1,97961,1,12437821,1,15651,1,331145,1,7555,4,525143,4,64987,4,3899320,4,7583069,8,11454965,96,25109,12,3216,1,19558,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
7,15475000,4319,9570,35.910072,,0,9,8,96,93782,1453,2365,15381218,16,154,30,1,25089,1,120,1,2143007,1,751815,1,96378,1,12348958,1,15821,1,284865,1,7024,4,519863,4,68654,4,3860474,4,7580534,8,11416791,96,21853,12,3246,1,20310,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
8,15473900,4316,9570,35.88657,,0,9,8,96,89135,1403,2386,15384765,16,154,10,1,25159,1,120,1,2043332,1,750172,1,97530,1,12452259,1,16182,1,335083,1,7785,4,525845,4,69455,4,3901384,4,7583741,8,11460916,96,21823,12,3467,1,21572,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
9,15523500,4312,9570,35.86034,,0,9,8,96,99118,1513,2465,15424382,16,154,50,1,27484,1,180,1,2159850,1,754671,1,98352,1,12367995,1,15801,1,304934,1,7044,4,499814,4,72571,4,3870814,4,7581386,8,11435087,96,14649,12,3086,1,24257,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
