step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,8054300,4495,9570,35.998295,,0,9,9,108,89732,6122,3517,7964568,16,156,1122,1,142726,1,331,1,1950539,1,1465522,1,280061,1,4110221,1,14047,1,1066430,1,18406,4,598446,4,91968,4,802059,4,1470812,8,2269354,108,0,0,5561,1,47422,1,2996,1,0,0,0,0,0,0,937692,1,211469,1,114782,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,5433000,4196,9570,35.993866,,0,8,8,96,45220,1232,2305,5387780,16,145,601,1,40438,1,150,1,1996798,1,414571,1,93531,1,2830879,1,10811,1,397067,1,11973,4,484997,4,78401,4,623875,4,1205309,8,1826879,96,0,0,3036,1,22353,1,2635,1,0,0,0,0,0,0,374974,1,25760,1,5721,1,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,0,0,0,0,0,0,0,1,5075,1,4495,1
2,6276800,4142,9570,35.986713,,0,8,8,96,39574,4028,2786,6237226,16,145,130,1,30639,1,50,1,1957913,1,408695,1,111275,1,3716130,1,12394,1,386637,1,32693,4,597815,4,125562,4,889278,4,1625160,8,2511652,96,0,0,4479,1,47492,1,2986,1,0,0,0,0,0,0,367205,1,24868,1,6543,1,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,0,0,0,0,0,0,0,1,5157,1,4413,1
3,8203000,4111,9570,35.976837,,0,8,8,96,47593,1914,2926,8155407,16,145,1032,1,33004,1,120,1,2217194,1,626155,1,282175,1,4984766,1,10961,1,904127,1,19808,4,958271,4,131785,4,988555,4,1919088,8,2904716,96,0,0,6272,1,49385,1,5561,1,0,0,0,0,0,0,499500,1,93551,1,13506,1,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,0,0,0,0,0,0,0,1,5389,1,4181,1
4,6654700,4100,9570,35.964233,,0,8,8,96,37139,1653,13457,6617561,16,145,281,1,60637,1,150,1,2530950,1,413694,1,121986,1,3477709,1,12153,1,479867,1,15440,4,699111,4,88030,4,757353,4,1397230,8,2141126,96,0,0,3336,1,32232,1,3457,1,0,0,0,0,0,0,351093,1,44105,1,6933,1,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,0,0,0,0,0,0,0,1,5440,1,4130,1
5,5818500,4087,9570,35.948902,,0,8,8,96,38352,9669,2174,5780148,16,145,200,1,28806,1,160,1,1980076,1,426494,1,95424,1,3237796,1,11192,1,342071,1,14759,4,626060,4,84253,4,696065,4,1424723,8,2118613,96,0,0,4970,1,31331,1,3898,1,0,0,0,0,0,0,387008,1,24798,1,5060,1,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,0,0,0,0,0,0,0,1,5459,1,4111,1
6,5678300,4079,9570,35.93085,,0,8,8,96,34576,1253,5070,5643724,16,145,50,1,29828,1,40,1,2124114,1,371969,1,97629,1,3008352,1,11743,1,292205,1,13526,4,533511,4,82469,4,702137,4,1347844,8,2044911,96,0,0,3056,1,29257,1,3096,1,0,0,0,0,0,0,340939,1,17494,1,5671,1,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,0,0,0,0,0,0,0,1,5474,1,4096,1
7,5473100,4073,9570,35.910072,,0,8,8,96,34041,1222,22814,5439059,16,145,90,1,29096,1,461,1,1982340,1,370877,1,95995,1,2948617,1,11582,1,293317,1,12294,4,480919,4,79013,4,669814,4,1369616,8,2016616,96,0,0,3016,1,36300,1,3106,1,0,0,0,0,0,0,335548,1,22093,1,4950,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,0,0,0,0,0,0,0,1,5484,1,4086,1
8,5776900,4066,9570,35.88657,,0,8,8,96,33674,1262,4539,5743226,16,145,331,1,29096,1,130,1,2207946,1,453186,1,130913,1,2909772,1,11853,1,329978,1,11773,4,480068,4,78281,4,638023,4,1334047,8,1967531,96,0,0,5190,1,28405,1,2745,1,0,0,0,0,0,0,403520,1,33435,1,6923,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,0,0,0,0,0,0,0,1,5493,1,4077,1
9,5221200,4061,9570,35.86034,,0,8,8,96,34809,1012,2014,5186391,16,145,20,1,28265,1,130,1,1936251,1,365035,1,89042,1,2756366,1,11282,1,274731,1,11763,4,481811,4,78411,4,666388,4,1213224,8,1877597,96,0,0,2986,1,23415,1,2625,1,0,0,0,0,0,0,333585,1,18937,1,4799,1,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,0,0,0,0,0,0,0,1,5502,1,4068,1
