step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,7883900,4495,9570,35.998295,,0,9,9,108,88054,5751,4078,7795846,16,156,1142,1,199177,1,1653,1,2146733,1,1194731,1,255454,1,3983550,1,13405,1,958494,1,16862,4,560190,4,103997,4,773324,4,1506852,8,2276098,108,0,0,5631,1,49193,1,3256,1,0,0,0,0,0,0,756342,1,176374,1,106081,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,6052000,4196,9570,35.993866,,0,8,8,96,41313,1212,2084,6010687,16,145,110,1,43001,1,60,1,2271870,1,537387,1,91072,1,3053029,1,14157,1,396701,1,12714,4,485930,4,79000,4,663836,4,1381365,8,2043117,96,0,0,3066,1,26340,1,2865,1,0,0,0,0,0,0,497291,1,25528,1,5490,1,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,0,0,0,0,0,0,0,1,5075,1,4495,1
2,5763900,4142,9570,35.986713,,0,8,8,96,34706,1222,4028,5729194,16,145,70,1,27833,1,70,1,2432624,1,389407,1,92325,1,2776796,1,10069,1,308193,1,11872,4,478706,4,78228,4,646995,4,1220009,8,1862976,96,0,0,3356,1,25538,1,2675,1,0,0,0,0,0,0,354541,1,20379,1,5450,1,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,0,0,0,0,0,0,0,1,5157,1,4413,1
3,5237400,4111,9570,35.976837,,0,8,8,96,51504,3276,1924,5185896,16,145,90,1,27863,1,80,1,1921597,1,366283,1,87566,1,2772418,1,9999,1,273307,1,11903,4,477053,4,80011,4,645652,4,1252581,8,1896309,96,0,0,2875,1,23064,1,2695,1,0,0,0,0,0,0,332830,1,18836,1,5180,1,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,0,0,0,0,0,0,0,1,5389,1,4181,1
4,6690700,4100,9570,35.964233,,0,8,8,96,50637,5260,1985,6640063,16,140,220,1,35217,1,50,1,2344407,1,473822,1,264751,1,3510545,1,11051,1,704253,1,15700,4,698392,4,78809,4,690727,4,1288329,8,1977071,96,0,0,3026,1,23394,1,2655,1,0,0,0,0,0,0,394492,1,43482,1,16652,1,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,0,0,0,0,0,0,0,1,5440,1,4130,1
5,5676900,4087,9570,35.948902,,0,8,8,96,40732,1312,4980,5636168,16,145,802,1,34876,1,160,1,2346481,1,368768,1,86955,1,2787937,1,10189,1,286021,1,12003,4,477885,4,79110,4,659659,4,1244375,8,1899054,96,0,0,3256,1,21531,1,2785,1,0,0,0,0,0,0,335375,1,19657,1,4879,1,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,0,0,0,0,0,0,0,1,5459,1,4111,1
6,5510600,4079,9570,35.93085,,0,8,8,96,37851,1162,7385,5472749,16,145,100,1,27913,1,50,1,1947156,1,354431,1,90622,1,3041627,1,10851,1,275902,1,12183,4,517620,4,85171,4,715334,4,1380443,8,2088392,96,0,0,5210,1,43322,1,5280,1,0,0,0,0,0,0,323252,1,17533,1,4839,1,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,0,0,0,0,0,0,0,1,5474,1,4096,1
7,5490400,4073,9570,35.910072,,0,8,8,96,37188,1112,2024,5453212,16,145,30,1,39755,1,60,1,2194003,1,354842,1,86644,1,2766817,1,11061,1,285601,1,11662,4,478576,4,78679,4,673425,4,1208027,8,1879427,96,0,0,3366,1,23685,1,2685,1,0,0,0,0,0,0,319906,1,21811,1,4829,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,0,0,0,0,0,0,0,1,5484,1,4086,1
8,5571800,4066,9570,35.88657,,0,8,8,96,42264,1353,2115,5529536,16,145,271,1,32381,1,70,1,2240531,1,358729,1,89880,1,2796954,1,10720,1,271584,1,12103,4,480139,4,79000,4,672703,4,1251479,8,1922067,96,0,0,2956,1,22843,1,2795,1,0,0,0,0,0,0,324785,1,19737,1,4919,1,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,0,0,0,0,0,0,0,1,5493,1,4077,1
9,5718900,4061,9570,35.86034,,0,8,8,96,34220,1323,1924,5684680,16,145,220,1,38763,1,40,1,2316805,1,372375,1,87766,1,2857699,1,11011,1,267526,1,12293,4,483836,4,78649,4,679847,4,1300592,8,1978515,96,0,0,3146,1,27592,1,2895,1,0,0,0,0,0,0,335705,1,19527,1,4779,1,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,0,0,0,0,0,0,0,1,5502,1,4068,1
