step,wall_ns,manifolds,pairs,top_y,awake
0,7887000,4495,9570,35.998295,
1,6304200,4196,9570,35.993866,
2,6176800,4142,9570,35.986713,
3,5340300,4111,9570,35.976837,
4,5524800,4100,9570,35.964233,
5,6017000,4087,9570,35.948902,
6,6008700,4079,9570,35.93085,
7,6041700,4073,9570,35.910072,
8,6880200,4066,9570,35.88657,
9,5922700,4061,9570,35.86034,
10,6157000,4053,9570,35.831387,
11,5527200,4054,9570,35.79971,
12,5794800,4056,9570,35.765305,
13,5962800,4055,9570,35.728176,
14,6193600,4060,9570,35.688324,
15,6009800,4057,9570,35.64575,
16,6105700,4055,9570,35.600445,
17,5913300,4051,9570,35.552414,
18,5667800,4049,9570,35.501663,
19,5941400,4050,9570,35.448185,
20,7015200,4829,9570,35.391983,
21,6815500,4715,9570,35.333054,
22,6353100,4565,9570,35.2714,
23,6272100,4496,9570,35.207024,
24,6498100,4419,9570,35.13992,
25,5977400,4390,9570,35.07009,
26,5819500,4353,9570,34.997536,
27,6167200,4336,9570,34.92226,
28,6581100,4982,9570,34.844257,
29,7040200,4783,9570,34.763527,
30,6243300,4670,9570,34.680073,
31,6174300,4639,9570,34.593895,
32,6560000,4573,9570,34.504993,
33,6136500,4491,9570,34.413364,
34,7114100,5031,9570,34.31901,
35,6509800,4806,9570,34.221935,
36,6287400,4646,9570,34.12213,
37,6878800,4535,9570,34.019604,
38,6386100,4502,9570,33.91435,
39,6691800,4984,9570,33.806374,
40,7095000,5009,9570,33.69567,
41,6652500,4852,9570,33.58224,
42,6547800,4753,9570,33.466087,
43,6422200,4728,9570,33.34721,
44,7040300,4996,9570,33.22561,
45,6987300,5112,9570,33.10128,
46,7114400,4923,9570,32.974224,
47,6758600,4760,9570,32.844448,
48,6738700,5001,9570,32.711945,
49,7107000,5139,9570,32.576717,
50,6523600,4996,9570,32.438763,
51,6506300,4871,9570,32.298084,
52,6744300,5093,9570,32.154682,
53,6530700,4972,9570,32.008553,
54,6557400,4792,9570,31.8597,
55,6433400,4796,9570,31.70812,
56,6430100,4911,9570,31.553818,
57,6603600,4780,9570,31.39679,
58,6342100,4734,9570,31.237036,
59,6821000,4748,9570,31.074558,
60,6511400,4704,9570,30.909355,
61,6283500,4678,9570,30.741426,
62,6356300,4666,9570,30.570772,
63,6112600,4609,9570,30.397394,
64,6295200,4623,9570,30.22129,
65,6535100,4625,9570,30.042463,
66,6645400,4579,9570,29.860909,
67,6938600,4610,9570,29.67663,
68,6313500,4550,9570,29.489626,
69,6238100,4524,9570,29.299898,
70,7588600,4535,9570,29.107445,
71,6073700,4528,9570,28.912266,
72,6950200,4533,9570,28.714361,
73,6478300,4529,9570,28.745474,
74,6472200,4530,9570,28.77165,
75,5991900,4529,9570,28.79591,
76,5863600,4524,9570,28.816788,
77,6392500,4517,9570,28.83433,
78,7009600,4520,9570,28.848581,
79,6566800,4514,9568,28.862343,
80,6570600,4519,9568,28.873486,
81,5964200,4518,9568,28.88324,
82,6125800,4518,9568,28.892859,
83,6187200,4516,9568,28.90075,
84,6079200,4517,9567,28.907646,
85,6422900,4508,9565,28.914537,
86,6032100,4519,9565,28.920815,
87,6044200,4516,9565,28.92588,
88,6214800,4518,9565,28.930962,
89,6161300,4519,9565,28.935617,
90,6164100,4514,9565,28.939785,
91,6278600,4516,9565,28.943506,
92,5995100,4512,9565,28.946703,
93,6658100,4508,9565,28.949604,
94,6001500,4522,9565,28.952375,
95,6385700,4519,9565,28.954878,
96,6556000,4521,9565,28.957104,
97,6169100,4517,9565,28.9592,
98,6037900,4515,9565,28.960983,
99,7159300,4520,9565,28.96278,
100,6307500,4521,9564,28.964386,
101,6061600,4521,9564,28.965906,
102,6215400,4521,9563,28.967402,
103,5969900,4520,9563,28.968788,
104,6800700,4522,9563,28.969984,
105,5992600,4518,9563,28.971111,
106,6646800,4521,9563,28.97221,
107,6192100,4523,9563,28.97325,
108,5942300,4515,9562,28.974203,
109,6183500,4517,9562,28.975157,
110,6672400,4516,9562,28.976004,
111,6161100,4515,9562,28.976778,
112,6552600,4519,9562,28.977486,
113,5982500,4520,9562,28.978231,
114,6240500,4520,9562,28.97893,
115,6161900,4519,9561,28.979557,
116,7438200,4526,9561,28.980162,
117,7732100,4519,9561,28.980728,
118,6340600,4521,9561,28.981266,
119,7053200,4517,9561,28.981787,
120,6496500,4523,9561,28.982262,
121,6802200,4523,9561,28.98269,
122,6867800,4521,9561,28.983118,
123,6186000,4522,9561,28.98351,
124,6546000,4518,9561,28.98387,
125,5982100,4521,9561,28.984217,
126,6565600,4521,9561,28.984558,
127,6067300,4517,9561,28.98485,
128,6054200,4522,9561,28.98514,
129,6111800,4521,9561,28.98541,
130,6145100,4519,9560,28.98568,
131,6108700,4526,9559,28.98593,
132,6500600,4524,9559,28.986149,
133,6045600,4516,9559,28.98636,
