step,wall_ns,manifolds,pairs,top_y,awake
0,13523000,8555,9570,28.99835,
1,8868000,5881,9570,28.995977,
2,10353500,6836,9570,28.994898,
3,10078100,6824,9570,28.994986,
4,8663000,6785,9570,28.995104,
5,8314400,6898,9570,28.994875,
6,8570500,6945,9570,28.994629,
7,8259400,6928,9570,28.99459,
8,8008000,6912,9570,28.994543,
9,8466300,6950,9570,28.99441,
10,8527200,6945,9570,28.9943,
11,8438300,6939,9570,28.994253,
12,8524900,6958,9570,28.99419,
13,8520100,6960,9570,28.994114,
14,8146800,6969,9570,28.994057,
15,7860700,6964,9570,28.993994,
16,7873000,6972,9570,28.993938,
17,7809500,6963,9570,28.993896,
18,7812000,6974,9570,28.993855,
19,7818900,6978,9570,28.993809,
20,7837500,6970,9570,28.993767,
21,7815300,6976,9570,28.993729,
22,7768600,6978,9570,28.99369,
23,7783100,6982,9570,28.993656,
24,7741700,6964,9570,28.993626,
25,7811500,6960,9570,28.993595,
26,8131500,6961,9570,28.993565,
27,7791900,6959,9570,28.993538,
28,7763800,6963,9570,28.993515,
29,7735000,6965,9570,28.993492,
30,7722300,6962,9570,28.99347,
31,7754400,6956,9570,28.993446,
32,7756500,6963,9570,28.993423,
33,7744400,6964,9570,28.993406,
34,7731600,6965,9570,28.993391,
35,7739300,6970,9570,28.993376,
36,7717900,6963,9570,28.99336,
37,7725500,6968,9570,28.993345,
38,7764300,6961,9570,28.99333,
39,7765900,6967,9570,28.993315,
40,7757900,6969,9570,28.9933,
41,7721600,6968,9570,28.993292,
42,7734500,6964,9570,28.993282,
43,7774200,6969,9570,28.993275,
44,8009000,6969,9570,28.993267,
45,7817700,6970,9570,28.99326,
46,7841200,6974,9570,28.993252,
47,7740500,6976,9570,28.993244,
48,7759600,6980,9570,28.993237,
49,7727300,6978,9570,28.993229,
50,7783300,6975,9570,28.993221,
51,7736200,6976,9570,28.993214,
52,7762300,6976,9570,28.993206,
53,7741700,6979,9570,28.993198,
54,7789800,6974,9570,28.99319,
55,7742500,6975,9570,28.993183,
56,8004300,6973,9570,28.993176,
57,7842200,6973,9570,28.993168,
58,7763700,6970,9570,28.993168,
59,7727800,6974,9570,28.993168,
60,7801300,6974,9570,28.993168,
61,7741100,6973,9570,28.993168,
62,7737500,6973,9570,28.993168,
63,7745800,6972,9570,28.993168,
64,7757000,6975,9570,28.993168,
65,7757000,6974,9570,28.993168,
66,7740400,6976,9570,28.993168,
67,7739600,6973,9570,28.993164,
68,7739500,6973,9570,28.993164,
69,7995900,6971,9570,28.993164,
70,7964400,6971,9570,28.993164,
71,7718700,6971,9570,28.993164,
72,7833600,6971,9570,28.993164,
73,8200200,6970,9570,28.993164,
74,8149100,6972,9570,28.993164,
75,7964600,6971,9570,28.993164,
76,8801100,6975,9570,28.993164,
77,8186100,6972,9570,28.993164,
78,8181900,6971,9570,28.993164,
79,7803600,6972,9570,28.993164,
80,7787900,6971,9570,28.993164,
81,7754500,6973,9570,28.993164,
82,7802800,6976,9570,28.993164,
83,7785800,6974,9570,28.993164,
84,7755600,6976,9570,28.993164,
85,7724000,6977,9570,28.993164,
86,7735600,6973,9570,28.993164,
87,7736600,6974,9570,28.993164,
88,7752100,6978,9570,28.993164,
89,7729200,6974,9570,28.993164,
90,7727600,6977,9570,28.993164,
91,7991500,6979,9570,28.993164,
92,7825100,6978,9570,28.993164,
93,7753600,6977,9570,28.993164,
94,7733900,6977,9570,28.993164,
95,7735800,6978,9570,28.993164,
96,7749200,6978,9570,28.993164,
97,7746600,6978,9570,28.993164,
98,7722500,6978,9570,28.993164,
99,7822600,6976,9570,28.993164,
100,7762800,6978,9570,28.993164,
101,7743100,6983,9570,28.993164,
102,7709600,6978,9570,28.993164,
103,7821000,6978,9570,28.993164,
104,7775600,6978,9570,28.993164,
105,7805100,6982,9570,28.993164,
106,7749600,6977,9570,28.993164,
107,7778700,6981,9570,28.993164,
108,7737600,6978,9570,28.993164,
109,7758100,6980,9570,28.993164,
110,7734200,6980,9570,28.993164,
111,7755900,6980,9570,28.993164,
112,7747200,6979,9570,28.993164,
113,7773900,6979,9570,28.993164,
114,7759200,6979,9570,28.993164,
115,7764500,6978,9570,28.993164,
116,7924500,6980,9570,28.993164,
117,7831500,6981,9570,28.993164,
118,7763800,6979,9570,28.993164,
119,7795900,6980,9570,28.993164,
120,7771500,6983,9570,28.993164,
121,7766000,6980,9570,28.993164,
122,7745100,6981,9570,28.993164,
123,7776800,6979,9570,28.993164,
124,7731300,6978,9570,28.993164,
125,7754300,6977,9570,28.993164,
126,7728400,6981,9570,28.993164,
127,7801300,6978,9570,28.993164,
128,7753900,6974,9570,28.993164,
129,7730900,6978,9570,28.993164,
130,7740400,6977,9570,28.993164,
131,7741000,6976,9570,28.993164,
132,7747200,6979,9570,28.993164,
133,7753700,6978,9570,28.993164,
134,7718700,6971,9570,28.993164,
135,7721400,6976,9570,28.993164,
136,7744100,6976,9570,28.993164,
137,7717100,6972,9570,28.993164,
138,7728500,6975,9570,28.993164,
139,7731900,6976,9570,28.993164,
140,7745900,6973,9570,28.993164,
141,7716400,6975,9570,28.993164,
142,7849800,6973,9570,28.993164,
143,7721900,6974,9570,28.993164,
144,7775300,6973,9570,28.993164,
145,7735900,6969,9570,28.993164,
146,7758600,6972,9570,28.993164,
147,7760400,6969,9570,28.993164,
148,7742200,6974,9570,28.993164,
149,7726500,6973,9570,28.993164,
150,7725900,6971,9570,28.993164,
151,7745000,6974,9570,28.993164,
152,7755100,6972,9570,28.993164,
153,7740200,6970,9570,28.993164,
154,7823700,6975,9570,28.993164,
155,7875900,6974,9570,28.993164,
156,7811300,6975,9570,28.993164,
157,7764100,6977,9570,28.993164,
158,7771600,6974,9570,28.993164,
159,7749900,6978,9570,28.993164,
160,7775100,6976,9570,28.993164,
161,7778700,6976,9570,28.993164,
162,7764300,6975,9570,28.993164,
163,7799000,6975,9570,28.993164,
164,7749600,6977,9570,28.993164,
165,7752800,6977,9570,28.993164,
166,7738100,6973,9570,28.993164,
167,7721500,6976,9570,28.993164,
168,7726200,6980,9570,28.993164,
169,7762400,6977,9570,28.993164,
170,7729400,6980,9570,28.993164,
171,7778600,6978,9570,28.993164,
172,8082700,6978,9570,28.993164,
173,7880200,6976,9570,28.993164,
174,7799600,6979,9570,28.993164,
175,7759400,6977,9570,28.993164,
176,7730200,6976,9570,28.993164,
177,7744600,6973,9570,28.993164,
178,7732100,6976,9570,28.993164,
179,7825600,6974,9570,28.993164,
180,7758100,6975,9570,28.993164,
181,7756800,6974,9570,28.993164,
182,7723000,6978,9570,28.993164,
183,7732900,6976,9570,28.993164,
184,7792600,6976,9570,28.993164,
185,7961300,6979,9570,28.993164,
186,7795200,6978,9570,28.993164,
187,7786700,6973,9570,28.993164,
188,7739900,6980,9570,28.993162,
189,7800900,6976,9570,28.993158,
190,7733100,6973,9570,28.993158,
191,7744800,6974,9570,28.993158,
192,7733500,6977,9570,28.993158,
193,7812200,6978,9570,28.993158,
194,7845300,6975,9570,28.993158,
195,7781000,6975,9570,28.993156,
196,7768900,6977,9570,28.993155,
197,7935000,6978,9570,28.993155,
198,7787200,6979,9570,28.993155,
199,8054400,6979,9570,28.99315,
200,8094800,6974,9570,28.993149,
201,7932700,6971,9570,28.993149,
202,7948700,6970,9570,28.993149,
203,8763200,6970,9570,28.993149,
204,8793600,6969,9570,28.993149,
205,8018000,6974,9570,28.993149,
206,7824000,6973,9570,28.993149,
207,7836000,6968,9570,28.993149,
208,7769100,6967,9570,28.993149,
209,7752100,6968,9570,28.993149,
210,7754500,6967,9570,28.993149,
211,7851700,6964,9570,28.993149,
212,8242300,6967,9570,28.993149,
213,8009400,6969,9570,28.993149,
214,7890600,6970,9570,28.993149,
215,7805100,6970,9570,28.993149,
216,7744800,6972,9570,28.993149,
217,7788400,6971,9570,28.993149,
218,7757000,6972,9570,28.993149,
219,7762400,6975,9570,28.993149,
220,7758800,6975,9570,28.993149,
221,7741300,6973,9570,28.993149,
222,7732200,6969,9570,28.993149,
223,7734300,6971,9570,28.993149,
224,7739600,6973,9570,28.993149,
225,7799900,6975,9570,28.993149,
226,7736900,6971,9570,28.993149,
227,7778500,6972,9570,28.993149,
228,7789600,6970,9570,28.993149,
229,7758100,6973,9570,28.993149,
230,7737800,6971,9570,28.993149,
231,7769300,6970,9570,28.993149,
232,7742700,6971,9570,28.993149,
233,7729400,6972,9570,28.993149,
234,7889400,6973,9570,28.993149,
235,7767200,6971,9570,28.993149,
236,7770400,6972,9570,28.993149,
237,7731800,6970,9570,28.993149,
238,7770300,6973,9570,28.993149,
239,7730700,6972,9570,28.993149,
240,7733100,6970,9570,28.993149,
241,7726000,6971,9570,28.993149,
242,7807900,6971,9570,28.993149,
243,7751000,6973,9570,28.993149,
244,7764400,6973,9570,28.993149,
245,7722900,6972,9570,28.993149,
246,7764700,6971,9570,28.993147,
247,7727600,6971,9570,28.993147,
248,7794900,6970,9570,28.993147,
249,7721400,6970,9570,28.993147,
250,7736000,6970,9570,28.993147,
251,7736300,6971,9570,28.993147,
252,7763800,6971,9570,28.993147,
253,7725100,6972,9570,28.993147,
254,7755400,6973,9570,28.993147,
255,7730400,6967,9570,28.993147,
256,7771500,6969,9570,28.993147,
257,7737900,6970,9570,28.993147,
258,7773900,6969,9570,28.993147,
259,7734300,6970,9570,28.993147,
260,7739000,6969,9570,28.993147,
