step,wall_ns,manifolds,pairs,top_y,awake
0,6873200,4495,9570,35.998295,
1,5388400,4196,9570,35.993866,
2,5209100,4142,9570,35.986713,
3,5128900,4111,9570,35.976837,
4,5109500,4100,9570,35.964233,
5,5056200,4087,9570,35.948902,
6,5081000,4079,9570,35.93085,
7,5261700,4073,9570,35.910072,
8,5386800,4066,9570,35.88657,
9,5055900,4061,9570,35.86034,
10,5188600,4053,9570,35.831387,
11,5027500,4054,9570,35.79971,
12,5061000,4056,9570,35.765305,
13,5032200,4055,9570,35.728176,
14,5028800,4060,9570,35.688324,
15,4996100,4057,9570,35.64575,
16,5163800,4055,9570,35.600445,
17,5115800,4051,9570,35.552414,
18,5053900,4049,9570,35.501663,
19,5163900,4050,9570,35.448185,
20,5698700,4829,9570,35.391983,
21,5710700,4715,9570,35.333054,
22,5536600,4565,9570,35.2714,
23,5423400,4496,9570,35.207024,
24,5371100,4419,9570,35.13992,
25,5379900,4390,9570,35.07009,
26,5408200,4353,9570,34.997536,
27,5342700,4336,9570,34.92226,
28,5982300,4982,9570,34.844257,
29,5792100,4783,9570,34.763527,
30,5647500,4670,9570,34.680073,
31,5640100,4639,9570,34.593895,
32,5683600,4573,9570,34.504993,
33,5767900,4491,9570,34.413364,
34,6191900,5031,9570,34.31901,
35,5900300,4806,9570,34.221935,
36,5800600,4646,9570,34.12213,
37,5691500,4535,9570,34.019604,
38,5791000,4502,9570,33.91435,
39,6119400,4984,9570,33.806374,
40,6165500,5009,9570,33.69567,
41,6023500,4852,9570,33.58224,
42,5849000,4753,9570,33.466087,
43,5797200,4728,9570,33.34721,
44,6078500,4996,9570,33.22561,
45,6258900,5112,9570,33.10128,
46,6251000,4923,9570,32.974224,
47,6151600,4760,9570,32.844448,
48,6184600,5001,9570,32.711945,
49,6337300,5139,9570,32.576717,
50,6131700,4996,9570,32.438763,
51,6178900,4871,9570,32.298084,
52,6272900,5093,9570,32.154682,
53,6100500,4972,9570,32.008553,
54,6053400,4792,9570,31.8597,
55,5957400,4796,9570,31.70812,
56,6183600,4911,9570,31.553818,
57,6121600,4780,9570,31.39679,
58,5984500,4734,9570,31.237036,
59,5995600,4748,9570,31.074558,
60,5955200,4704,9570,30.909355,
61,5868100,4678,9570,30.741426,
62,5910100,4666,9570,30.570772,
63,5765900,4609,9570,30.397394,
64,5914300,4623,9570,30.22129,
65,5831800,4625,9570,30.042463,
66,5745900,4579,9570,29.860909,
67,5770000,4610,9570,29.67663,
68,5740000,4550,9570,29.489626,
69,5687600,4524,9570,29.299898,
70,5703100,4535,9570,29.107445,
71,5665600,4528,9570,28.912266,
72,5762500,4533,9570,28.714361,
73,5762500,4529,9570,28.745474,
74,5761300,4530,9570,28.77165,
75,5659000,4529,9570,28.79591,
76,5619100,4524,9570,28.816788,
77,5654400,4517,9570,28.83433,
78,5663800,4520,9570,28.848581,
79,5653400,4514,9568,28.862343,
80,5639600,4519,9568,28.873486,
81,5693100,4518,9568,28.88324,
82,5673300,4518,9568,28.892859,
83,5706100,4516,9568,28.90075,
84,5707200,4517,9567,28.907646,
85,5766900,4508,9565,28.914537,
86,5845500,4519,9565,28.920815,
87,5640600,4516,9565,28.92588,
88,5651200,4518,9565,28.930962,
89,5690100,4519,9565,28.935617,
90,5654000,4514,9565,28.939785,
91,5648500,4516,9565,28.943506,
92,5609500,4512,9565,28.946703,
93,5655000,4508,9565,28.949604,
94,5688300,4522,9565,28.952375,
95,5674200,4519,9565,28.954878,
96,5638500,4521,9565,28.957104,
97,5874400,4517,9565,28.9592,
98,5830100,4515,9565,28.960983,
99,5629000,4520,9565,28.96278,
100,5672500,4521,9564,28.964386,
101,5711500,4521,9564,28.965906,
102,5657200,4521,9563,28.967402,
103,5603300,4520,9563,28.968788,
104,5697600,4522,9563,28.969984,
105,5642200,4518,9563,28.971111,
106,5686700,4521,9563,28.97221,
107,5656400,4523,9563,28.97325,
108,5669100,4515,9562,28.974203,
109,5641900,4517,9562,28.975157,
110,5677100,4516,9562,28.976004,
111,5686400,4515,9562,28.976778,
112,5707900,4519,9562,28.977486,
113,5650000,4520,9562,28.978231,
114,5685400,4520,9562,28.97893,
115,5623400,4519,9561,28.979557,
116,5646200,4526,9561,28.980162,
117,5688700,4519,9561,28.980728,
118,5656800,4521,9561,28.981266,
119,5665200,4517,9561,28.981787,
120,5945000,4523,9561,28.982262,
121,5797100,4523,9561,28.98269,
122,5736200,4521,9561,28.983118,
123,5680700,4522,9561,28.98351,
124,5543100,4518,9561,28.98387,
125,5664200,4521,9561,28.984217,
126,5665900,4521,9561,28.984558,
127,5656300,4517,9561,28.98485,
128,5699300,4522,9561,28.98514,
129,5648800,4521,9561,28.98541,
130,5575800,4519,9560,28.98568,
131,5635800,4526,9559,28.98593,
132,5646000,4524,9559,28.986149,
133,5595900,4516,9559,28.98636,
134,5702500,4520,9559,28.98657,
135,5661300,4522,9559,28.986776,
136,5704700,4519,9559,28.986969,
137,5934900,4521,9559,28.987137,
138,5730300,4521,9559,28.9873,
139,5712000,4521,9559,28.987465,
140,5659400,4518,9559,28.987623,
141,5646600,4523,9559,28.987766,
142,5694400,4524,9559,28.987892,
143,5648600,4523,9559,28.98802,
144,5681300,4520,9559,28.988153,
145,5654200,4519,9559,28.98826,
146,5611600,4520,9559,28.988363,
147,5665800,4522,9559,28.988459,
148,5625700,4517,9559,28.988543,
149,5639300,4519,9559,28.988642,
150,5658500,4522,9559,28.98874,
151,5634300,4520,9559,28.98882,
152,5631800,4523,9559,28.988888,
153,6006700,4523,9559,28.988964,
154,5624300,4524,9559,28.989048,
155,5649000,4521,9559,28.989117,
156,5644000,4520,9559,28.989172,
157,5646500,4519,9559,28.989218,
158,5652800,4519,9559,28.98927,
159,5638200,4518,9559,28.98933,
160,5560000,4519,9559,28.989386,
161,5657800,4521,9559,28.989433,
162,5705300,4518,9559,28.989477,
163,5626300,4520,9559,28.989515,
164,5937600,4520,9559,28.989552,
165,5891000,4519,9559,28.989582,
166,5615100,4516,9559,28.989613,
167,6142700,4518,9559,28.989645,
168,5851000,4518,9559,28.989676,
169,5758900,4514,9559,28.9897,
170,5815600,4515,9559,28.989725,
171,6106300,4512,9559,28.989754,
172,6137200,4513,9559,28.98977,
173,5840700,4515,9559,28.989801,
174,5796400,4515,9559,28.989834,
175,5701400,4515,9559,28.989851,
176,5691300,4514,9559,28.989864,
177,5657600,4516,9559,28.989883,
178,5646000,4515,9559,28.989906,
179,5747200,4515,9559,28.989923,
180,5778400,4515,9559,28.98993,
181,5860600,4517,9559,28.98993,
182,5642400,4517,9559,28.98994,
183,5645900,4516,9559,28.989958,
184,5616800,4516,9559,28.98997,
185,5694400,4514,9559,28.989977,
186,5761800,4515,9559,28.98999,
187,5706400,4516,9559,28.990005,
188,5850900,4519,9559,28.990013,
189,5637200,4519,9559,28.990015,
190,5617700,4519,9559,28.990025,
191,5634800,4520,9559,28.99004,
192,5625800,4522,9559,28.990047,
193,5606800,4521,9559,28.990053,
194,5812800,4522,9559,28.990055,
195,5748500,4521,9559,28.99006,
196,5771900,4522,9559,28.99006,
197,5712200,4523,9559,28.990076,
198,5654900,4523,9559,28.990084,
199,5624800,4524,9559,28.990086,
200,5667300,4522,9559,28.990088,
201,5635300,4522,9559,28.990097,
202,5621800,4521,9559,28.99011,
203,5667000,4525,9559,28.990112,
204,5668500,4526,9559,28.990108,
205,5619000,4524,9559,28.990114,
206,5633700,4523,9559,28.99012,
207,5684200,4523,9559,28.990118,
208,5637700,4523,9559,28.990112,
209,5635500,4522,9559,28.990116,
210,5627900,4522,9559,28.990122,
211,5638400,4523,9559,28.990128,
212,5613500,4523,9559,28.990124,
213,5622100,4523,9559,28.99013,
214,5666100,4524,9559,28.990137,
215,5606000,4524,9559,28.990137,
216,5566500,4526,9559,28.990137,
217,5643700,4524,9559,28.990143,
218,5623000,4525,9559,28.990149,
219,5833800,4524,9559,28.990149,
220,5816200,4523,9559,28.990152,
221,5672900,4522,9559,28.99016,
222,5633600,4522,9559,28.990164,
223,5620700,4520,9559,28.990162,
224,5756600,4521,9559,28.99016,
225,5915800,4522,9559,28.990166,
226,5641000,4521,9559,28.990166,
227,5652500,4522,9559,28.990166,
228,5633600,4521,9559,28.990168,
229,5641300,4519,9559,28.990175,
230,5623400,4521,9559,28.990171,
231,5617700,4522,9559,28.990166,
232,5639700,4523,9559,28.990173,
233,5752900,4527,9559,28.990175,
234,5680700,4523,9559,28.990168,
235,5645500,4525,9559,28.99017,
236,6006400,4525,9559,28.990175,
237,5995000,4526,9559,28.990175,
238,5784800,4525,9559,28.990175,
239,5703200,4524,9559,28.990175,
240,5669100,4524,9559,28.990175,
241,5681000,4521,9559,28.990175,
242,5638500,4520,9559,28.990175,
243,5654700,4520,9559,28.990175,
244,5671200,4521,9559,28.990171,
245,5646000,4520,9559,28.990164,
246,5560500,4521,9559,28.990164,
247,5647100,4521,9559,28.990164,
248,5627500,4520,9559,28.990164,
249,5686800,4522,9559,28.990164,
250,5675500,4521,9559,28.990164,
251,5624700,4522,9559,28.990164,
252,5681700,4523,9559,28.990164,
253,5632100,4523,9559,28.99017,
254,5604600,4523,9559,28.99017,
255,5619900,4521,9559,28.99017,
256,5609100,4519,9559,28.99017,
257,5611300,4519,9559,28.990171,
258,5785600,4520,9559,28.990177,
259,5641500,4520,9559,28.990177,
260,5839300,4520,9559,28.990177,
261,5677200,4519,9559,28.99018,
262,5635600,4518,9559,28.990187,
263,5634800,4518,9559,28.990187,
264,5604500,4518,9559,28.990187,
265,5625200,4518,9559,28.990187,
266,5910800,4518,9559,28.990187,
267,5794100,4518,9559,28.990187,
268,5612700,4518,9559,28.990187,
269,5616800,4518,9559,28.990187,
270,5614300,4518,9559,28.990187,
271,5673200,4518,9559,28.990187,
272,5781300,4518,9559,28.990187,
273,5843600,4518,9559,28.990187,
274,5634600,4518,9559,28.990187,
275,5614500,4518,9559,28.990187,
276,5621800,4519,9559,28.990183,
277,5730800,4518,9559,28.990183,
278,5882500,4518,9559,28.990183,
279,5600500,4519,9559,28.990183,
280,5626900,4518,9559,28.990183,
281,5622300,4520,9559,28.990183,
282,5643100,4520,9559,28.990185,
283,5849200,4518,9559,28.990185,
284,5686800,4518,9559,28.990185,
285,5728100,4519,9559,28.990185,
286,5700900,4520,9559,28.990185,
287,5627400,4519,9559,28.990185,
288,5703200,4520,9559,28.990185,
289,5639000,4518,9559,28.990185,
290,5625600,4517,9559,28.99019,
291,5631500,4517,9559,28.99019,
292,5603600,4519,9559,28.99019,
293,5616500,4517,9559,28.990187,
294,5654900,4517,9559,28.990185,
295,5668900,4516,9559,28.990192,
296,5694800,4516,9559,28.990198,
297,5543500,4515,9559,28.990198,
298,5634800,4515,9559,28.990196,
299,5665700,4515,9559,28.990194,
300,5625800,4515,9559,28.990194,
301,5609600,4515,9559,28.990194,
302,5725100,4515,9559,28.990194,
303,5619200,4516,9559,28.990194,
304,5615500,4515,9559,28.990194,
305,5737400,4517,9559,28.990194,
306,5591000,4517,9559,28.990194,
307,5598300,4517,9559,28.990194,
308,5585700,4516,9559,28.990194,
309,5623600,4516,9559,28.990194,
310,5667700,4516,9559,28.990194,
311,6109500,4516,9559,28.990194,
312,6061700,4515,9559,28.990194,
313,5877500,4515,9559,28.990194,
314,5866900,4515,9559,28.990194,
315,5645400,4517,9559,28.990194,
316,5657100,4515,9559,28.990194,
317,5625100,4517,9559,28.990194,
318,5613500,4516,9559,28.990192,
319,5635300,4516,9559,28.99019,
320,5608600,4515,9559,28.990196,
321,5660600,4515,9559,28.990198,
322,5631800,4517,9559,28.990198,
323,5614500,4517,9559,28.990198,
324,5652400,4517,9559,28.990198,
325,5644200,4516,9559,28.990194,
326,5579600,4516,9559,28.990189,
327,5673300,4516,9559,28.990189,
328,5618000,4515,9559,28.990189,
329,5627300,4514,9559,28.990189,
330,5640100,4515,9559,28.990189,
331,5631000,4513,9559,28.990189,
332,5617200,4513,9559,28.990189,
333,5692000,4512,9559,28.990185,
334,5640000,4513,9559,28.990185,
335,5657800,4514,9559,28.990185,
336,5639500,4513,9559,28.990185,
337,5624500,4516,9559,28.990185,
338,5651500,4517,9559,28.990185,
339,5615100,4518,9559,28.990185,
340,5615900,4517,9559,28.990185,
341,5622600,4517,9559,28.990185,
342,5617900,4517,9559,28.990185,
343,5623900,4517,9559,28.990185,
344,6040400,4517,9559,28.990185,
345,5954900,4517,9559,28.990189,
346,5879300,4517,9559,28.990189,
347,5761300,4517,9559,28.990189,
348,5825800,4517,9559,28.990189,
349,6027100,4516,9559,28.990189,
350,5856100,4515,9559,28.990189,
351,5751300,4516,9559,28.990189,
352,5780500,4517,9559,28.990189,
353,5647900,4518,9559,28.990189,
354,5626200,4518,9559,28.990189,
355,5673500,4519,9559,28.990189,
356,5632500,4518,9559,28.990189,
357,5781800,4519,9559,28.990189,
358,5629000,4520,9559,28.990189,
359,5561700,4521,9559,28.990189,
360,5662100,4521,9559,28.990189,
361,5636200,4521,9559,28.990189,
362,5608000,4521,9559,28.990189,
363,5777100,4521,9559,28.990189,
364,5659900,4521,9559,28.990189,
365,5758900,4521,9559,28.990189,
366,5605100,4521,9559,28.990189,
367,5601200,4521,9559,28.990189,
368,5606100,4521,9559,28.990187,
369,5702600,4520,9559,28.990185,
