step,wall_ns,manifolds,pairs,top_y,awake
0,8554800,8555,9570,28.99835,
1,5805500,5881,9570,28.995977,
2,6491600,6836,9570,28.994898,
3,6275100,6824,9570,28.994986,
4,6062600,6785,9570,28.995104,
5,5705000,6898,9570,28.994875,
6,5428200,6945,9570,28.994629,
7,5989900,6928,9570,28.99459,
8,5631800,6912,9570,28.994543,
9,5955500,6950,9570,28.99441,
10,5437200,6945,9570,28.9943,
11,6720300,6939,9570,28.994253,
12,5720900,6958,9570,28.99419,
13,5889100,6960,9570,28.994114,
14,6199500,6969,9570,28.994057,
15,5415000,6964,9570,28.993994,
16,5538000,6972,9570,28.993938,
17,6440000,6963,9570,28.993896,
18,5488300,6974,9570,28.993855,
19,6059400,6978,9570,28.993809,
20,5796000,6970,9570,28.993767,
21,5323000,6976,9570,28.993729,
22,5785800,6978,9570,28.99369,
23,6717100,6982,9570,28.993656,
24,5921500,6964,9570,28.993626,
25,6942400,6960,9570,28.993595,
26,5407200,6961,9570,28.993565,
27,5774000,6959,9570,28.993538,
28,6065700,6963,9570,28.993515,
29,5340200,6965,9570,28.993492,
30,5447300,6962,9570,28.99347,
31,6822600,6956,9570,28.993446,
32,5509300,6963,9570,28.993423,
33,5838600,6964,9570,28.993406,
34,5949100,6965,9570,28.993391,
35,5504600,6970,9570,28.993376,
36,5651600,6963,9570,28.99336,
37,5679100,6968,9570,28.993345,
38,5642000,6961,9570,28.99333,
39,5710200,6967,9570,28.993315,
40,5436300,6969,9570,28.9933,
41,5571500,6968,9570,28.993292,
42,6498900,6964,9570,28.993282,
43,5832100,6969,9570,28.993275,
44,5733000,6969,9570,28.993267,
45,5592000,6970,9570,28.99326,
46,5956000,6974,9570,28.993252,
47,5587800,6976,9570,28.993244,
48,6406600,6980,9570,28.993237,
49,5499800,6978,9570,28.993229,
50,5517000,6975,9570,28.993221,
51,5630500,6976,9570,28.993214,
52,5741900,6976,9570,28.993206,
53,5401100,6979,9570,28.993198,
54,6064100,6974,9570,28.99319,
55,5464900,6975,9570,28.993183,
56,5977600,6973,9570,28.993176,
57,6580700,6973,9570,28.993168,
58,5931700,6970,9570,28.993168,
59,6891300,6974,9570,28.993168,
60,7669000,6974,9570,28.993168,
61,5892900,6973,9570,28.993168,
62,6346400,6973,9570,28.993168,
63,5640800,6972,9570,28.993168,
64,5511300,6975,9570,28.993168,
65,6674000,6974,9570,28.993168,
66,5659100,6976,9570,28.993168,
67,5848400,6973,9570,28.993164,
68,6524400,6973,9570,28.993164,
69,5745400,6971,9570,28.993164,
70,6196300,6971,9570,28.993164,
71,5872900,6971,9570,28.993164,
72,6893300,6971,9570,28.993164,
73,7498000,6970,9570,28.993164,
74,5602500,6972,9570,28.993164,
75,6519000,6971,9570,28.993164,
76,5699000,6975,9570,28.993164,
77,5549400,6972,9570,28.993164,
78,5394800,6971,9570,28.993164,
79,5803000,6972,9570,28.993164,
80,5870000,6971,9570,28.993164,
81,7419600,6973,9570,28.993164,
82,5639300,6976,9570,28.993164,
83,6190500,6974,9570,28.993164,
84,5562800,6976,9570,28.993164,
85,5382800,6977,9570,28.993164,
86,5515700,6973,9570,28.993164,
87,6193500,6974,9570,28.993164,
88,5482700,6978,9570,28.993164,
89,6019700,6974,9570,28.993164,
90,5882100,6977,9570,28.993164,
91,5497200,6979,9570,28.993164,
92,5688000,6978,9570,28.993164,
93,6994700,6977,9570,28.993164,
94,5723800,6977,9570,28.993164,
95,7221300,6978,9570,28.993164,
96,5579500,6978,9570,28.993164,
97,6636700,6978,9570,28.993164,
98,6223800,6978,9570,28.993164,
99,5434600,6976,9570,28.993164,
100,5541700,6978,9570,28.993164,
101,6036400,6983,9570,28.993164,
102,5515200,6978,9570,28.993164,
103,6243800,6978,9570,28.993164,
104,7450800,6978,9570,28.993164,
105,5789300,6982,9570,28.993164,
106,5644400,6977,9570,28.993164,
107,5436200,6981,9570,28.993164,
108,5647200,6978,9570,28.993164,
109,7328100,6980,9570,28.993164,
110,8069100,6980,9570,28.993164,
111,6632100,6980,9570,28.993164,
112,7334100,6979,9570,28.993164,
113,6709300,6979,9570,28.993164,
114,6298700,6979,9570,28.993164,
115,6160100,6978,9570,28.993164,
116,6106700,6980,9570,28.993164,
117,6700700,6981,9570,28.993164,
118,5379500,6979,9570,28.993164,
119,7033900,6980,9570,28.993164,
120,5946900,6983,9570,28.993164,
121,6784600,6980,9570,28.993164,
122,5933000,6981,9570,28.993164,
123,5776200,6979,9570,28.993164,
124,5406000,6978,9570,28.993164,
125,6864900,6977,9570,28.993164,
126,5558000,6981,9570,28.993164,
127,6855000,6978,9570,28.993164,
128,5564200,6974,9570,28.993164,
129,6197500,6978,9570,28.993164,
130,6380700,6977,9570,28.993164,
131,5430800,6976,9570,28.993164,
132,5796000,6979,9570,28.993164,
133,8001500,6978,9570,28.993164,
134,5991200,6971,9570,28.993164,
135,6629900,6976,9570,28.993164,
136,5456700,6976,9570,28.993164,
137,5301800,6972,9570,28.993164,
138,5856300,6975,9570,28.993164,
139,5702800,6976,9570,28.993164,
140,5469900,6973,9570,28.993164,
141,6531300,6975,9570,28.993164,
142,5839600,6973,9570,28.993164,
143,6529800,6974,9570,28.993164,
144,5883200,6973,9570,28.993164,
145,5714400,6969,9570,28.993164,
146,5814700,6972,9570,28.993164,
147,5842000,6969,9570,28.993164,
148,5402700,6974,9570,28.993164,
149,6665700,6973,9570,28.993164,
150,5399500,6971,9570,28.993164,
151,5320300,6974,9570,28.993164,
152,5650900,6972,9570,28.993164,
153,5907900,6970,9570,28.993164,
154,5809900,6975,9570,28.993164,
155,7207600,6974,9570,28.993164,
156,5904800,6975,9570,28.993164,
157,6994300,6977,9570,28.993164,
158,5344800,6974,9570,28.993164,
159,5490800,6978,9570,28.993164,
160,5354700,6976,9570,28.993164,
161,5770100,6976,9570,28.993164,
162,5481000,6975,9570,28.993164,
163,6344200,6975,9570,28.993164,
164,5567500,6977,9570,28.993164,
165,5559000,6977,9570,28.993164,
166,5515500,6973,9570,28.993164,
167,6737100,6976,9570,28.993164,
168,5615500,6980,9570,28.993164,
169,6870900,6977,9570,28.993164,
170,5630900,6980,9570,28.993164,
171,6266400,6978,9570,28.993164,
172,6123600,6978,9570,28.993164,
173,5481600,6976,9570,28.993164,
174,5543200,6979,9570,28.993164,
175,5944100,6977,9570,28.993164,
176,5552400,6976,9570,28.993164,
177,5646200,6973,9570,28.993164,
178,5531000,6976,9570,28.993164,
179,5608500,6974,9570,28.993164,
180,5706800,6975,9570,28.993164,
181,6153900,6974,9570,28.993164,
182,5567000,6978,9570,28.993164,
183,6109900,6976,9570,28.993164,
184,5817600,6976,9570,28.993164,
185,6122200,6979,9570,28.993164,
186,5607500,6978,9570,28.993164,
187,5361100,6973,9570,28.993164,
188,5736900,6980,9570,28.993162,
189,6486000,6976,9570,28.993158,
190,5770000,6973,9570,28.993158,
191,5707200,6974,9570,28.993158,
192,6142100,6977,9570,28.993158,
193,5524900,6978,9570,28.993158,
194,5394900,6975,9570,28.993158,
195,6763500,6975,9570,28.993156,
196,5559200,6977,9570,28.993155,
197,5591400,6978,9570,28.993155,
198,5913200,6979,9570,28.993155,
199,5864600,6979,9570,28.99315,
200,6139300,6974,9570,28.993149,
201,5900600,6971,9570,28.993149,
202,9112900,6970,9570,28.993149,
203,7217800,6970,9570,28.993149,
204,5853900,6969,9570,28.993149,
205,5783200,6974,9570,28.993149,
206,5931100,6973,9570,28.993149,
207,5711700,6968,9570,28.993149,
208,5519300,6967,9570,28.993149,
209,5902200,6968,9570,28.993149,
210,5962700,6967,9570,28.993149,
211,7055000,6964,9570,28.993149,
212,5945000,6967,9570,28.993149,
213,7382700,6969,9570,28.993149,
214,6967500,6970,9570,28.993149,
215,6346700,6970,9570,28.993149,
216,6834400,6972,9570,28.993149,
217,5482800,6971,9570,28.993149,
218,6087300,6972,9570,28.993149,
219,5875300,6975,9570,28.993149,
220,5488200,6975,9570,28.993149,
221,6512500,6973,9570,28.993149,
222,8148400,6969,9570,28.993149,
223,6153500,6971,9570,28.993149,
224,7818200,6973,9570,28.993149,
225,5962800,6975,9570,28.993149,
226,7838700,6971,9570,28.993149,
227,5668100,6972,9570,28.993149,
228,5496800,6970,9570,28.993149,
229,7382500,6973,9570,28.993149,
230,6826200,6971,9570,28.993149,
231,7587200,6970,9570,28.993149,
232,6162900,6971,9570,28.993149,
233,8352400,6972,9570,28.993149,
234,6739300,6973,9570,28.993149,
235,7021500,6971,9570,28.993149,
236,6176600,6972,9570,28.993149,
237,5641200,6970,9570,28.993149,
238,6879800,6973,9570,28.993149,
239,5855900,6972,9570,28.993149,
240,6214300,6970,9570,28.993149,
241,5925100,6971,9570,28.993149,
242,6097900,6971,9570,28.993149,
243,5819400,6973,9570,28.993149,
244,8736700,6973,9570,28.993149,
245,6276300,6972,9570,28.993149,
246,5941300,6971,9570,28.993147,
247,5946100,6971,9570,28.993147,
248,5630000,6970,9570,28.993147,
249,7049800,6970,9570,28.993147,
250,5942500,6970,9570,28.993147,
251,6830400,6971,9570,28.993147,
252,5801100,6971,9570,28.993147,
253,5685400,6972,9570,28.993147,
254,5798900,6973,9570,28.993147,
255,7747800,6967,9570,28.993147,
256,6253500,6969,9570,28.993147,
257,6611600,6970,9570,28.993147,
258,5716900,6969,9570,28.993147,
259,5889700,6970,9570,28.993147,
260,7324000,6969,9570,28.993147,
261,6025500,6968,9570,28.993147,
262,7486300,6968,9570,28.993147,
263,5730800,6970,9570,28.993147,
264,8264200,6971,9570,28.993147,
265,9046000,6972,9570,28.993147,
266,6172100,6969,9570,28.993147,
267,6076200,6971,9570,28.993147,
268,5678400,6970,9570,28.993147,
269,6200700,6970,9570,28.993147,
270,5568100,6970,9570,28.993147,
271,5721900,6968,9570,28.993147,
272,5856500,6969,9570,28.993147,
273,6804400,6969,9570,28.993147,
274,5924000,6966,9570,28.993147,
275,8112900,6965,9570,28.993147,
276,6723200,6967,9570,28.993147,
277,6557400,6965,9570,28.993147,
278,7094200,6963,9570,28.993147,
279,7647400,6962,9570,28.993147,
280,9211600,6962,9570,28.993147,
281,7689400,6964,9570,28.993147,
282,7060000,6963,9570,28.993147,
283,7033100,6965,9570,28.993147,
284,7202600,6963,9570,28.993147,
285,7408100,6963,9570,28.993147,
286,8038600,6960,9570,28.993147,
287,5731000,6961,9570,28.993147,
288,6433400,6959,9570,28.993147,
289,5817500,6960,9570,28.993147,
290,5603500,6964,9570,28.993147,
291,5649900,6961,9570,28.993147,
292,5989400,6963,9570,28.993147,
293,5687100,6963,9570,28.993147,
294,7925900,6964,9570,28.993147,
295,6486700,6963,9570,28.993147,
296,6642200,6964,9570,28.993147,
297,6799500,6963,9570,28.993147,
298,5851000,6961,9570,28.993147,
299,6589500,6959,9570,28.993147,
300,6123800,6960,9570,28.993147,
301,6464900,6959,9570,28.993147,
302,6343100,6961,9570,28.993147,
303,5773100,6957,9570,28.993147,
304,5797400,6961,9570,28.993147,
305,8420000,6958,9570,28.993147,
306,6201200,6960,9570,28.993147,
307,6441500,6959,9570,28.993147,
308,5511600,6959,9570,28.993147,
309,5655100,6957,9570,28.993147,
310,7390000,6957,9570,28.993147,
311,5807600,6957,9570,28.993147,
312,5726300,6957,9570,28.993147,
313,5616100,6956,9570,28.993147,
314,5775300,6956,9570,28.993147,
315,5882100,6952,9570,28.993147,
316,7765400,6954,9570,28.993147,
317,6038500,6956,9570,28.993147,
318,7961100,6955,9570,28.993147,
319,5771300,6956,9570,28.993147,
320,6553400,6959,9570,28.993147,
321,5686800,6957,9570,28.993147,
322,5700000,6958,9570,28.993147,
323,5914900,6954,9570,28.993147,
324,6399000,6954,9570,28.993147,
325,5884300,6957,9570,28.993147,
326,9417500,6956,9570,28.993147,
327,6395700,6955,9570,28.993147,
328,6301200,6955,9570,28.993147,
329,5642000,6954,9570,28.993147,
330,5525600,6953,9570,28.993147,
331,6823800,6954,9570,28.993147,
332,5953100,6954,9570,28.993147,
333,7919300,6953,9570,28.993147,
334,5962800,6954,9570,28.993147,
335,7231000,6954,9570,28.993147,
336,7080100,6954,9570,28.993147,
337,6283600,6953,9570,28.993147,
338,6778100,6957,9570,28.993147,
339,5685200,6956,9570,28.993147,
340,5909000,6954,9570,28.993147,
341,5725300,6956,9570,28.993147,
342,5598800,6954,9570,28.993145,
343,5822300,6954,9570,28.993145,
344,6326500,6953,9570,28.993145,
345,5819200,6956,9570,28.993145,
346,6020100,6955,9570,28.993145,
347,5855200,6954,9570,28.993145,
348,7510400,6955,9570,28.993145,
349,6722600,6953,9570,28.993145,
350,6750800,6957,9570,28.993145,
351,5933800,6957,9570,28.993145,
352,5921300,6957,9570,28.993145,
353,5798600,6957,9570,28.993145,
354,6803000,6957,9570,28.993145,
355,6009200,6956,9570,28.993145,
356,5576900,6957,9570,28.993145,
357,6003800,6958,9570,28.993145,
358,11032900,6957,9570,28.993145,
359,7426200,6955,9570,28.993145,
360,5785500,6958,9570,28.993145,
361,5563700,6956,9570,28.993145,
362,7230300,6956,9570,28.993145,
363,6002200,6954,9570,28.993145,
364,6737800,6954,9570,28.993145,
365,5837500,6950,9570,28.993145,
366,5864600,6953,9570,28.993145,
367,9024100,6954,9570,28.993145,
368,6172500,6952,9570,28.993145,
369,5938900,6951,9570,28.993145,
370,6271000,6954,9570,28.993145,
371,5614400,6954,9570,28.993145,
372,5867800,6955,9570,28.993145,
373,5758100,6955,9570,28.993145,
374,5762700,6951,9570,28.993145,
375,5792700,6950,9570,28.993145,
376,5531700,6955,9570,28.993145,
377,6530300,6950,9570,28.993145,
378,10828900,6951,9570,28.993145,
379,8619300,6952,9570,28.993145,
380,5834900,6948,9570,28.993145,
381,5926900,6950,9570,28.993145,
382,7022200,6948,9570,28.993145,
