step,wall_ns,manifolds,pairs,top_y,awake
0,6487500,4495,9570,35.998295,
1,4451300,4196,9570,35.993866,
2,4290200,4142,9570,35.986713,
3,3728500,4111,9570,35.976837,
4,3714400,4100,9570,35.964233,
5,3707200,4087,9570,35.948902,
6,3888800,4079,9570,35.93085,
7,4476800,4073,9570,35.910072,
8,4080100,4066,9570,35.88657,
9,3874000,4061,9570,35.86034,
10,3721700,4053,9570,35.831387,
11,3653700,4054,9570,35.79971,
12,3669300,4056,9570,35.765305,
13,4064900,4055,9570,35.728176,
14,5038000,4060,9570,35.688324,
15,3990900,4057,9570,35.64575,
16,3945400,4055,9570,35.600445,
17,4872300,4051,9570,35.552414,
18,3699200,4049,9570,35.501663,
19,3700800,4050,9570,35.448185,
20,4115000,4829,9570,35.391983,
21,4148200,4715,9570,35.333054,
22,4347100,4565,9570,35.2714,
23,3997800,4496,9570,35.207024,
24,4215700,4419,9570,35.13992,
25,5590100,4390,9570,35.07009,
26,4804800,4353,9570,34.997536,
27,4573400,4336,9570,34.92226,
28,5361800,4982,9570,34.844257,
29,5245900,4783,9570,34.763527,
30,7127700,4670,9570,34.680073,
31,6134400,4639,9570,34.593895,
32,5345700,4573,9570,34.504993,
33,4275900,4491,9570,34.413364,
34,5148500,5031,9570,34.31901,
35,4225400,4806,9570,34.221935,
36,4242500,4646,9570,34.12213,
37,4050900,4535,9570,34.019604,
38,4131500,4502,9570,33.91435,
39,4733600,4984,9570,33.806374,
40,4653000,5009,9570,33.69567,
41,4234200,4852,9570,33.58224,
42,5202800,4753,9570,33.466087,
43,6759000,4728,9570,33.34721,
44,4998800,4996,9570,33.22561,
45,4495200,5112,9570,33.10128,
46,4415900,4923,9570,32.974224,
47,4283700,4760,9570,32.844448,
48,4878100,5001,9570,32.711945,
49,4631900,5139,9570,32.576717,
50,4345900,4996,9570,32.438763,
51,4213300,4871,9570,32.298084,
52,5733400,5093,9570,32.154682,
53,4770300,4972,9570,32.008553,
54,4581900,4792,9570,31.8597,
55,4179000,4796,9570,31.70812,
56,5056400,4911,9570,31.553818,
57,6048600,4780,9570,31.39679,
58,4458200,4734,9570,31.237036,
59,5483300,4748,9570,31.074558,
60,4312400,4704,9570,30.909355,
61,4293700,4678,9570,30.741426,
62,4622000,4666,9570,30.570772,
63,4454300,4609,9570,30.397394,
64,4548400,4623,9570,30.22129,
65,4054200,4625,9570,30.042463,
66,4196800,4579,9570,29.860909,
67,5092500,4610,9570,29.67663,
68,5203200,4550,9570,29.489626,
69,4664900,4524,9570,29.299898,
70,5680500,4535,9570,29.107445,
71,4252200,4528,9570,28.912266,
72,4307800,4533,9570,28.714361,
73,4398100,4529,9570,28.745474,
74,4223400,4530,9570,28.77165,
75,4097800,4529,9570,28.79591,
76,4053400,4524,9570,28.816788,
77,4648100,4517,9570,28.83433,
78,4186800,4520,9570,28.848581,
79,4091600,4514,9568,28.862343,
80,4633900,4519,9568,28.873486,
81,4438000,4518,9568,28.88324,
82,4341600,4518,9568,28.892859,
83,4630200,4516,9568,28.90075,
