step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,8184700,4495,9570,35.998295,,0,9,9,108,87522,5380,4669,8097178,16,156,982,1,142471,1,321,1,2099585,1,1539911,1,237522,1,4062631,1,13756,1,848144,1,19387,4,572159,4,103687,4,828497,4,1622337,8,2446164,108,0,0,7424,1,52249,1,3366,1,0,0,0,0,0,0,1103801,1,187527,1,93608,1,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,6446300,4300,9570,35.993866,,0,9,8,96,42575,1723,3787,6403725,16,157,281,1,46018,1,100,1,2118351,1,365225,1,111162,1,3749705,1,12885,1,408357,1,14868,4,613608,4,103777,4,851530,4,1701307,8,2518001,96,31049,12,4979,1,46719,1,2835,1,0,0,0,0,0,0,327553,1,23645,1,4398,1,0,0,0,0,0,0,0,0,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,48,1,0,0,0,0,0,0,4495,1,5075,1,0,1
2,5955900,4339,9570,35.986713,,0,9,8,96,37328,1793,2204,5918572,16,157,200,1,33223,1,140,1,2049620,1,234506,1,116552,1,3471696,1,12634,1,372058,1,11602,4,499190,4,79892,4,878442,4,1581920,8,2425706,96,32452,12,4008,1,39956,1,2835,1,0,0,0,0,0,0,175634,1,40828,1,4368,1,0,0,0,0,0,0,0,0,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,48,1,0,0,0,0,0,0,4495,1,5075,1,0,1
3,5778300,4335,9570,35.976837,,0,9,8,96,37336,1473,6052,5740964,16,157,281,1,28695,1,120,1,1935954,1,200962,1,114558,1,3448262,1,12133,1,377158,1,13636,4,505652,4,84952,4,834768,4,1590116,8,2387943,96,30889,12,4919,1,32893,1,2695,1,0,0,0,0,0,0,149394,1,36650,1,4398,1,0,0,0,0,0,0,0,0,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,48,1,0,0,0,0,0,0,4495,1,5075,1,0,1
4,5623800,4329,9570,35.964233,,0,9,8,96,33593,1723,3868,5590207,16,157,170,1,28464,1,70,1,1946324,1,185693,1,110791,1,3307163,1,11532,1,316873,1,11963,4,502085,4,78249,4,809400,4,1554358,8,2333059,96,26831,12,3056,1,26651,1,2805,1,0,0,0,0,0,0,148172,1,22663,1,4368,1,0,0,0,0,0,0,0,0,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,48,1,0,0,0,0,0,0,4495,1,5075,1,0,1
5,5604400,4324,9570,35.948902,,0,9,8,96,35613,2916,2134,5568787,16,157,80,1,27873,1,120,1,1935002,1,174833,1,94410,1,3324586,1,11883,1,291344,1,12223,4,503087,4,80323,4,827725,4,1560419,8,2360251,96,25759,12,5521,1,37992,1,3036,1,0,0,0,0,0,0,143974,1,17032,1,4338,1,0,0,0,0,0,0,0,0,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,48,1,0,0,0,0,0,0,4495,1,5075,1,0,1
6,6019600,4326,9570,35.93085,,0,9,8,96,40237,2034,5561,5979363,16,157,30,1,27933,1,80,1,1949239,1,260786,1,114778,1,3613972,1,12544,1,416953,1,13746,4,525400,4,80804,4,864796,4,1645306,8,2475886,96,28655,12,6132,1,52821,1,5981,1,0,0,0,0,0,0,203227,1,42922,1,5000,1,0,0,0,0,0,0,0,0,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,48,1,0,0,0,0,0,0,4495,1,5075,1,0,1
7,6818300,4319,9570,35.910072,,0,9,8,96,46304,2735,3407,6771996,16,157,311,1,33814,1,301,1,2284327,1,425640,1,248443,1,3765946,1,13215,1,804130,1,15880,4,516753,4,87587,4,733195,4,1524190,8,2227277,96,26701,12,3677,1,73911,1,3887,1,0,0,0,0,0,0,244726,1,145627,1,4939,1,0,0,0,0,0,0,0,0,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,48,1,0,0,0,0,0,0,4495,1,5075,1,0,1
8,5660100,4316,9570,35.88657,,0,9,8,96,37541,1793,2255,5622559,16,157,501,1,32582,1,100,1,1939150,1,270485,1,122724,1,3244394,1,12624,1,415761,1,13526,4,505281,4,83539,4,773191,4,1390175,8,2135633,96,25478,12,5531,1,52259,1,3336,1,0,0,0,0,0,0,210290,1,45156,1,4599,1,0,0,0,0,0,0,0,0,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,48,1,0,0,0,0,0,0,4495,1,5075,1,0,1
9,7295200,4312,9570,35.86034,,0,9,8,96,67717,4118,3517,7227483,16,156,571,1,33844,1,100,1,2062986,1,540739,1,142862,1,4422125,1,24256,1,991376,1,16712,4,557581,4,92266,4,888631,4,1723229,8,2590069,96,18275,12,11762,1,132081,1,4368,1,0,0,0,0,0,0,394821,1,129106,1,4338,1,0,0,0,0,0,0,0,0,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,48,1,0,0,0,0,0,0,4495,1,5075,1,0,1
