step,wall_ns,manifolds,pairs,top_y,awake
0,7461000,8555,9570,28.99835,
1,5193300,5761,9570,28.995926,
2,5124000,6723,9570,28.994566,
3,5360200,6695,9570,28.994541,
4,5487800,6672,9570,28.994545,
5,5488300,6758,9570,28.994184,
6,5244900,6793,9570,28.993921,
7,5114700,6783,9570,28.993895,
8,5082500,6772,9570,28.993822,
9,5088300,6790,9570,28.993675,
10,5094400,6786,9570,28.993578,
11,5122400,6806,9570,28.99352,
12,5121800,6806,9570,28.993486,
13,5423400,6780,9570,28.993422,
14,5649800,6784,9570,28.99337,
15,5563400,6765,9570,28.993326,
16,5416000,6760,9570,28.993288,
17,5150400,6761,9570,28.993235,
18,5707500,6734,9570,28.99321,
19,6451100,6754,9570,28.99318,
20,5558000,6753,9570,28.99314,
21,5241400,6741,9570,28.993107,
22,5179600,6739,9570,28.993093,
23,5163400,6730,9570,28.993065,
24,5000600,6730,9570,28.993042,
25,5010300,6722,9570,28.99303,
26,5009200,6733,9570,28.993017,
27,5101600,6733,9570,28.992998,
28,5252000,6715,9570,28.992983,
29,5025700,6720,9570,28.992973,
30,5275500,6719,9570,28.99296,
31,5008500,6717,9570,28.992933,
32,5278200,6716,9570,28.992924,
33,5058200,6704,9570,28.992918,
34,5193700,6697,9570,28.992907,
35,5163000,6701,9570,28.992893,
36,5475900,6705,9570,28.992886,
37,5041500,6721,9570,28.992884,
38,5021100,6725,9570,28.99288,
39,5066900,6710,9570,28.992878,
40,5084200,6708,9570,28.992876,
41,5035100,6708,9570,28.992876,
42,4966800,6700,9570,28.99287,
43,5164200,6693,9570,28.99286,
44,5169600,6701,9570,28.992851,
45,5294000,6708,9570,28.99285,
46,5046000,6706,9570,28.992847,
47,4989300,6703,9570,28.99284,
48,5004400,6704,9570,28.99284,
49,4987600,6704,9570,28.992838,
50,5280200,6707,9570,28.99283,
51,5094300,6705,9570,28.992828,
52,5033700,6714,9570,28.992826,
53,5010200,6704,9570,28.992823,
54,4986500,6700,9570,28.992823,
55,4972300,6707,9570,28.992817,
56,5025100,6699,9570,28.992815,
57,4969200,6699,9570,28.99282,
58,5037700,6707,9570,28.99282,
59,5186500,6702,9570,28.992815,
60,4992000,6706,9570,28.99281,
61,5014000,6701,9570,28.992811,
62,5289700,6695,9570,28.992815,
63,5121300,6694,9570,28.992807,
64,5054000,6691,9570,28.992807,
65,5147900,6698,9570,28.992807,
66,5065300,6700,9570,28.992807,
67,4987500,6693,9570,28.992805,
68,4998900,6701,9570,28.992804,
69,5213200,6699,9570,28.992804,
70,4984600,6702,9570,28.992807,
71,5003000,6703,9570,28.992807,
72,4959300,6700,9570,28.992807,
73,4935400,6694,9570,28.992807,
74,5012600,6690,9570,28.992807,
75,5050800,6685,9570,28.992804,
76,4980200,6687,9570,28.992804,
77,5085100,6684,9570,28.99281,
78,5006200,6684,9570,28.99281,
79,4958000,6685,9570,28.99281,
80,4957900,6680,9570,28.99281,
81,4968200,6679,9570,28.99281,
82,4993100,6674,9570,28.99281,
83,5098300,6676,9570,28.992811,
84,5096200,6676,9570,28.992811,
85,4964500,6667,9570,28.992811,
86,5006600,6676,9570,28.992817,
87,4984200,6672,9570,28.992817,
88,4933400,6678,9570,28.992817,
89,5236200,6678,9570,28.992817,
90,5189300,6680,9570,28.992817,
91,5241700,6683,9570,28.992815,
92,5065800,6678,9570,28.992807,
93,5083900,6674,9570,28.992805,
94,4962700,6680,9570,28.9928,
95,4994500,6674,9570,28.992796,
96,5142300,6668,9570,28.992794,
97,5070200,6672,9570,28.992796,
98,5069500,6675,9570,28.992798,
99,5086900,6676,9570,28.992798,
100,5080700,6677,9570,28.992798,
101,5002600,6675,9570,28.992796,
102,5175500,6673,9570,28.992798,
103,5134500,6669,9570,28.992802,
104,5057700,6665,9570,28.992802,
105,5059000,6665,9570,28.992802,
106,4974700,6661,9570,28.992785,
107,4932700,6657,9570,28.992767,
108,4974500,6664,9570,28.992775,
109,5014300,6665,9570,28.992783,
110,5241200,6667,9570,28.992783,
111,5100600,6669,9570,28.992788,
112,5094800,6665,9570,28.992788,
113,4981100,6672,9570,28.992786,
114,5030000,6676,9570,28.992786,
115,5024300,6674,9570,28.99279,
116,5119000,6671,9570,28.99279,
117,5115000,6675,9570,28.992794,
118,4929500,6671,9570,28.992794,
119,5003500,6674,9570,28.992794,
120,5012600,6674,9570,28.992794,
121,4981600,6677,9570,28.992794,
122,4974400,6679,9570,28.992794,
123,5033800,6679,9570,28.992794,
124,4993900,6685,9570,28.992796,
125,4996000,6684,9570,28.992796,
126,5015700,6676,9570,28.992796,
127,5098900,6678,9570,28.992796,
128,5013300,6675,9570,28.992798,
129,4967700,6679,9570,28.992798,
130,5141400,6676,9570,28.992798,
131,5006700,6680,9570,28.992798,
132,4974100,6677,9570,28.992796,
133,5171800,6674,9570,28.992796,
134,5020100,6675,9570,28.992796,
135,5139700,6676,9570,28.992796,
136,5293600,6676,9570,28.992796,
137,5016500,6673,9570,28.992796,
138,5000300,6675,9570,28.992796,
139,4956300,6677,9570,28.992796,
140,5290200,6677,9570,28.992796,
141,5101300,6679,9570,28.992796,
142,5000200,6680,9570,28.992796,
143,5112400,6681,9570,28.992796,
144,4961100,6687,9570,28.992796,
145,4998600,6682,9570,28.992796,
146,4981800,6680,9570,28.992796,
147,5223600,6681,9570,28.992796,
148,4954000,6680,9570,28.992796,
149,5061800,6676,9570,28.992796,
150,5035000,6675,9570,28.992796,
151,5053700,6673,9570,28.992796,
152,5033400,6677,9570,28.992796,
153,5265900,6678,9570,28.992796,
154,5265100,6676,9570,28.992796,
155,5033400,6675,9570,28.992796,
156,4977500,6673,9570,28.992796,
157,4961700,6676,9570,28.992796,
158,5134100,6672,9570,28.992796,
159,5051100,6672,9570,28.992796,
160,5059800,6672,9570,28.992796,
161,5026900,6672,9570,28.992796,
162,5068900,6674,9570,28.992796,
163,5046900,6674,9570,28.992796,
164,5118100,6674,9570,28.992796,
165,5003500,6677,9570,28.992796,
166,4936200,6674,9570,28.992796,
167,5272200,6672,9570,28.992796,
168,4967600,6674,9570,28.992796,
169,4928900,6675,9570,28.992796,
170,4972800,6674,9570,28.992796,
171,5015500,6674,9570,28.992796,
172,4976500,6672,9570,28.992796,
173,5172800,6673,9570,28.992796,
174,5056200,6671,9570,28.992796,
175,5002700,6671,9570,28.992796,
176,5012900,6675,9570,28.992796,
177,5161400,6671,9570,28.992796,
178,5024300,6671,9570,28.992796,
179,4986900,6674,9570,28.992796,
180,5181200,6675,9570,28.992796,
181,4998800,6672,9570,28.992796,
182,4965700,6673,9570,28.992796,
183,4967500,6671,9570,28.992796,
184,4996200,6672,9570,28.992794,
185,4997500,6671,9570,28.99279,
186,4943400,6672,9570,28.992775,
187,4965100,6668,9570,28.992775,
188,4962100,6673,9570,28.99278,
189,4973700,6670,9570,28.99278,
190,4973700,6672,9570,28.992777,
191,5105200,6672,9570,28.992777,
192,4997800,6672,9570,28.992777,
193,5085900,6673,9570,28.992779,
194,4997700,6676,9570,28.99278,
195,4954400,6674,9570,28.99278,
196,4979500,6675,9570,28.992779,
197,4992300,6675,9570,28.992773,
198,4994000,6674,9570,28.992773,
199,5341100,6673,9570,28.992773,
200,4983200,6672,9570,28.99278,
201,4928100,6673,9570,28.99278,
202,5075700,6672,9570,28.99278,
203,5434600,6674,9570,28.99278,
204,5173900,6674,9570,28.99278,
205,5085900,6677,9570,28.99278,
206,4975100,6675,9570,28.99278,
207,4978600,6678,9570,28.99278,
208,4986000,6675,9570,28.992786,
209,5380000,6676,9570,28.992786,
210,5374200,6675,9570,28.992786,
211,5329600,6678,9570,28.992786,
212,5281600,6677,9570,28.992786,
213,5245200,6674,9570,28.992786,
214,5673200,6675,9570,28.992786,
215,6025700,6675,9570,28.992786,
216,5345400,6678,9570,28.992786,
217,5070300,6677,9570,28.992786,
218,5003600,6679,9570,28.992786,
219,5005600,6676,9570,28.992786,
220,5000100,6679,9570,28.992786,
221,5103100,6673,9570,28.992786,
222,6060100,6671,9570,28.992786,
223,6882300,6670,9570,28.992786,
224,6054300,6672,9570,28.992786,
225,5312800,6674,9570,28.992786,
226,5243300,6673,9570,28.992786,
227,5128900,6671,9570,28.992786,
228,4992300,6674,9570,28.992786,
229,5066100,6674,9570,28.992786,
230,4987300,6673,9570,28.992786,
231,5043200,6673,9570,28.992786,
232,5135800,6672,9570,28.992786,
233,5135900,6676,9570,28.992786,
234,5062400,6675,9570,28.992788,
235,5058400,6678,9570,28.992788,
236,5166200,6677,9570,28.99278,
237,5062300,6677,9570,28.99278,
238,5362100,6676,9570,28.99278,
239,5309200,6676,9570,28.992777,
240,5418000,6681,9570,28.992779,
241,5115600,6678,9570,28.992779,
242,6072600,6676,9570,28.992779,
243,6716000,6676,9570,28.992779,
244,5828900,6674,9570,28.992779,
245,5509700,6674,9570,28.992779,
246,5201600,6675,9570,28.992771,
247,5071000,6675,9570,28.992779,
248,5025500,6671,9570,28.992779,
249,5117800,6671,9570,28.992779,
250,5020700,6674,9570,28.992779,
251,5075200,6671,9570,28.992786,
252,5068900,6673,9570,28.992786,
253,5233100,6675,9570,28.992786,
254,5210500,6672,9570,28.992786,
255,5141000,6672,9570,28.992786,
256,5131600,6674,9570,28.992786,
257,5044000,6673,9570,28.992786,
258,5001600,6672,9570,28.992786,
259,4987700,6672,9570,28.992786,
260,4970300,6671,9570,28.992786,
261,4951200,6670,9570,28.992786,
262,5290300,6672,9570,28.992786,
263,6051200,6670,9570,28.992786,
264,5562500,6671,9570,28.992786,
265,5647700,6670,9570,28.992786,
266,5082000,6673,9570,28.992786,
267,5025500,6673,9570,28.992786,
268,4989800,6672,9570,28.992786,
269,5210800,6673,9570,28.992786,
270,5285100,6673,9570,28.992786,
271,5731300,6673,9570,28.992786,
272,5489900,6675,9570,28.992786,
273,5300500,6673,9570,28.992786,
274,4992100,6676,9570,28.992786,
275,5214000,6674,9570,28.992786,
276,4968600,6679,9570,28.992786,
277,5036100,6681,9570,28.992786,
278,5229800,6681,9570,28.992786,
279,4978700,6682,9570,28.992786,
280,5292100,6679,9570,28.992786,
281,5242200,6677,9570,28.992786,
282,5057500,6674,9570,28.992786,
283,4994900,6676,9570,28.992786,
284,5141700,6674,9570,28.992786,
285,5006100,6675,9570,28.992786,
286,5284400,6675,9570,28.992786,
287,5326400,6675,9570,28.992786,
288,5185500,6678,9570,28.992786,
289,5126600,6677,9570,28.992786,
290,5064600,6677,9570,28.992786,
291,4992200,6678,9570,28.992786,
292,5118000,6678,9570,28.992786,
293,4961500,6677,9570,28.992786,
294,4936500,6679,9570,28.992786,
295,5138700,6680,9570,28.992786,
296,5010300,6680,9570,28.992786,
297,5051200,6677,9570,28.992786,
298,4984200,6679,9570,28.992786,
299,4940200,6681,9570,28.992786,
300,4938900,6681,9570,28.992786,
301,5003400,6682,9570,28.992786,
302,5067600,6680,9570,28.992786,
303,5192300,6679,9570,28.992786,
304,5129500,6680,9570,28.992794,
305,5236200,6682,9570,28.992794,
306,4968600,6682,9570,28.992794,
307,5028200,6682,9570,28.992794,
308,4999500,6681,9570,28.992794,
309,4988200,6682,9570,28.992794,
310,5185300,6681,9570,28.992794,
311,5101100,6680,9570,28.992794,
312,5237300,6680,9570,28.992794,
313,5096400,6680,9570,28.992794,
314,5012400,6677,9570,28.992794,
315,5077700,6678,9570,28.992794,
316,5013300,6673,9570,28.992794,
317,5012500,6674,9570,28.992794,
318,5059600,6675,9570,28.992794,
319,5396500,6676,9570,28.992794,
320,5073400,6676,9570,28.992794,
321,5004300,6680,9570,28.992794,
322,5048000,6679,9570,28.992794,
323,5076900,6675,9570,28.992794,
324,5017100,6676,9570,28.992794,
325,5053100,6677,9570,28.992794,
326,5180500,6678,9570,28.992794,
327,5016700,6678,9570,28.992794,
328,5001300,6679,9570,28.992794,
329,5078500,6678,9570,28.992794,
330,5049000,6675,9570,28.992794,
331,4989100,6673,9570,28.992794,
332,5017500,6674,9570,28.992794,
333,5188700,6673,9570,28.992794,
334,4942700,6672,9570,28.992794,
335,5033000,6674,9570,28.992794,
336,5180800,6676,9570,28.992794,
337,4993100,6673,9570,28.992794,
338,4966700,6672,9570,28.992794,
339,4961200,6670,9570,28.992794,
340,4988200,6672,9570,28.992794,
341,5042100,6671,9570,28.992794,
342,5266900,6671,9570,28.992794,
343,4999400,6673,9570,28.992794,
344,5145600,6671,9570,28.992794,
345,5110400,6671,9570,28.992794,
346,5010500,6674,9570,28.992794,
347,5089200,6671,9570,28.992794,
348,4981200,6672,9570,28.992794,
349,5080700,6672,9570,28.992794,
350,5044700,6672,9570,28.992794,
351,5109600,6673,9570,28.992794,
352,5026800,6674,9570,28.992794,
