step,wall_ns,manifolds,pairs,top_y,awake
0,7496500,4495,9570,35.998295,
1,5929200,4196,9570,35.993866,
2,5481000,4142,9570,35.986713,
3,5453800,4111,9570,35.976837,
4,5472800,4100,9570,35.964233,
5,5415700,4087,9570,35.948902,
6,5401800,4079,9570,35.93085,
7,5749800,4073,9570,35.910072,
8,5408200,4066,9570,35.88657,
9,5432200,4061,9570,35.86034,
10,5580800,4053,9570,35.831387,
11,5499700,4054,9570,35.79971,
12,5519200,4056,9570,35.765305,
13,5466200,4055,9570,35.728176,
14,5212900,4060,9570,35.688324,
15,5238600,4057,9570,35.64575,
16,5247200,4055,9570,35.600445,
17,5270300,4051,9570,35.552414,
18,5210000,4049,9570,35.501663,
19,5190900,4050,9570,35.448185,
20,6196800,4829,9570,35.391983,
21,5949900,4715,9570,35.333054,
22,5810000,4565,9570,35.2714,
23,5698300,4496,9570,35.207024,
24,5595500,4419,9570,35.13992,
25,5750800,4390,9570,35.07009,
26,5685600,4353,9570,34.997536,
27,5843100,4336,9570,34.92226,
28,6352700,4982,9570,34.844257,
29,5976800,4783,9570,34.763527,
30,5814900,4670,9570,34.680073,
31,5756700,4639,9570,34.593895,
32,6204300,4573,9570,34.504993,
33,5664300,4491,9570,34.413364,
34,6576200,5031,9570,34.31901,
35,6009900,4806,9570,34.221935,
36,5804900,4646,9570,34.12213,
37,5967600,4535,9570,34.019604,
38,5685700,4502,9570,33.91435,
39,6165200,4984,9570,33.806374,
40,6218000,5009,9570,33.69567,
41,6002700,4852,9570,33.58224,
42,5912300,4753,9570,33.466087,
43,5922300,4728,9570,33.34721,
44,6150500,4996,9570,33.22561,
45,6528300,5112,9570,33.10128,
46,6369600,4923,9570,32.974224,
47,5925700,4760,9570,32.844448,
48,6102600,5001,9570,32.711945,
49,6271900,5139,9570,32.576717,
50,6044700,4996,9570,32.438763,
51,6045700,4871,9570,32.298084,
52,6196300,5093,9570,32.154682,
53,6200600,4972,9570,32.008553,
54,5920300,4792,9570,31.8597,
55,6072800,4796,9570,31.70812,
56,6155700,4911,9570,31.553818,
57,5946300,4780,9570,31.39679,
58,5868100,4734,9570,31.237036,
59,5957200,4748,9570,31.074558,
60,5961600,4704,9570,30.909355,
61,5882500,4678,9570,30.741426,
62,5905100,4666,9570,30.570772,
63,5890000,4609,9570,30.397394,
64,5880900,4623,9570,30.22129,
65,5873500,4625,9570,30.042463,
66,5808400,4579,9570,29.860909,
67,5761500,4610,9570,29.67663,
68,5900300,4550,9570,29.489626,
69,5750200,4524,9570,29.299898,
70,5698300,4535,9570,29.107445,
71,5722800,4528,9570,28.912266,
72,5701900,4533,9570,28.714361,
