step,wall_ns,manifolds,pairs,top_y,awake
0,10713400,8555,9570,28.99835,
1,7430200,5761,9570,28.995926,
2,7713300,6723,9570,28.994566,
3,7640700,6695,9570,28.994541,
4,7697600,6672,9570,28.994545,
5,7733300,6758,9570,28.994184,
6,7949100,6793,9570,28.993921,
7,7585600,6783,9570,28.993895,
8,7801000,6772,9570,28.993822,
9,7714600,6790,9570,28.993675,
10,7525300,6786,9570,28.993578,
11,7584200,6806,9570,28.99352,
12,7489000,6806,9570,28.993486,
13,7461600,6780,9570,28.993422,
14,7702600,6784,9570,28.99337,
15,7490500,6765,9570,28.993326,
16,7677900,6760,9570,28.993288,
17,7411700,6761,9570,28.993235,
18,7498500,6734,9570,28.99321,
19,7438600,6754,9570,28.99318,
20,7560300,6753,9570,28.99314,
21,7488700,6741,9570,28.993107,
22,7595400,6739,9570,28.993093,
23,7482900,6730,9570,28.993065,
24,7561500,6730,9570,28.993042,
25,7471100,6722,9570,28.99303,
26,8129000,6733,9570,28.993017,
27,7775500,6733,9570,28.992998,
28,7832400,6715,9570,28.992983,
29,7534500,6720,9570,28.992973,
30,7551600,6719,9570,28.99296,
31,7688600,6717,9570,28.992933,
32,7519900,6716,9570,28.992924,
33,7549500,6704,9570,28.992918,
34,7357700,6697,9570,28.992907,
35,7649700,6701,9570,28.992893,
36,7710300,6705,9570,28.992886,
37,7609900,6721,9570,28.992884,
38,7630300,6725,9570,28.99288,
39,7685300,6710,9570,28.992878,
40,7734200,6708,9570,28.992876,
41,7801400,6708,9570,28.992876,
42,7650800,6700,9570,28.99287,
43,7630600,6693,9570,28.99286,
44,7592200,6701,9570,28.992851,
45,7504900,6708,9570,28.99285,
46,7624100,6706,9570,28.992847,
47,7439000,6703,9570,28.99284,
48,7475400,6704,9570,28.99284,
49,7350800,6704,9570,28.992838,
50,7526700,6707,9570,28.99283,
51,7346100,6705,9570,28.992828,
52,7786400,6714,9570,28.992826,
53,7843400,6704,9570,28.992823,
54,7437500,6700,9570,28.992823,
55,7602100,6707,9570,28.992817,
56,7376600,6699,9570,28.992815,
57,7442400,6699,9570,28.99282,
58,7461900,6707,9570,28.99282,
59,7607800,6702,9570,28.992815,
60,7515700,6706,9570,28.99281,
61,7546500,6701,9570,28.992811,
62,7546000,6695,9570,28.992815,
63,7523900,6694,9570,28.992807,
64,7538100,6691,9570,28.992807,
65,7515700,6698,9570,28.992807,
66,7667400,6700,9570,28.992807,
67,7412300,6693,9570,28.992805,
68,7364800,6701,9570,28.992804,
69,7518000,6699,9570,28.992804,
70,7471200,6702,9570,28.992807,
71,7635400,6703,9570,28.992807,
72,7450400,6700,9570,28.992807,
73,7556300,6694,9570,28.992807,
74,7369600,6690,9570,28.992807,
75,7509200,6685,9570,28.992804,
76,7339300,6687,9570,28.992804,
77,7840300,6684,9570,28.99281,
78,7557400,6684,9570,28.99281,
79,8796600,6685,9570,28.99281,
80,8125300,6680,9570,28.99281,
81,7852600,6679,9570,28.99281,
82,8216700,6674,9570,28.99281,
83,8025000,6676,9570,28.992811,
84,7733000,6676,9570,28.992811,
85,7789200,6667,9570,28.992811,
86,7743400,6676,9570,28.992817,
87,7484100,6672,9570,28.992817,
88,7559800,6678,9570,28.992817,
89,7388700,6678,9570,28.992817,
90,7423900,6680,9570,28.992817,
91,7403700,6683,9570,28.992815,
