step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,20073700,4495,9570,35.998295,,0,9,9,108,117766,5080,4840,19955934,18,155,982,1,138642,1,441,1,2080015,1,2815025,1,831749,1,139634,1,13930240,1,19208,1,554376,1,9539,4,542282,4,66540,4,4290856,4,8433872,8,12719888,108,0,0,5471,1,19508,1,2715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,16896200,4300,9570,35.993866,,0,9,8,96,191084,3347,2385,16705116,18,155,481,1,45309,1,100,1,2095696,1,1009177,1,831579,1,113061,1,12595926,1,13787,1,398591,1,7515,4,525930,4,65328,4,4028021,4,7542606,8,11546420,96,21823,12,3126,1,18807,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
2,16221600,4339,9570,35.986713,,0,9,8,96,106670,1272,5100,16114930,18,155,381,1,33265,1,110,1,2098040,1,775559,1,831609,1,95417,1,12270458,1,10090,1,266692,1,7234,4,495060,4,64677,4,3858268,4,7551914,8,11376016,96,29067,12,3206,1,19538,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
3,16776300,4335,9570,35.976837,,0,9,8,96,137404,1403,5051,16638896,18,155,170,1,37383,1,90,1,2257082,1,803905,1,831559,1,122310,1,12576378,1,10020,1,326409,1,7785,4,530409,4,65138,4,4042930,4,7575320,8,11588762,96,24438,12,3707,1,20660,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
4,16081100,4329,9570,35.964233,,0,9,8,96,53942,4038,2335,16027158,18,155,170,1,36331,1,80,1,2090946,1,643771,1,831589,1,95257,1,12319043,1,9970,1,273195,1,7184,4,497895,4,65408,4,3861886,4,7584128,8,11418769,96,24909,12,3246,1,19448,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
5,15942400,4324,9570,35.948902,,0,9,8,96,51158,1283,5080,15891242,18,155,140,1,26051,1,50,1,1955200,1,653059,1,831589,1,95116,1,12319815,1,10220,1,264809,1,7605,4,498296,4,64927,4,3868729,4,7588606,8,11429490,96,22765,12,3417,1,19488,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
6,15964300,4326,9570,35.93085,,0,9,8,96,61105,1262,2435,15903195,18,155,140,1,26432,1,60,1,1955641,1,650615,1,831589,1,95217,1,12326388,1,17114,1,269077,1,7405,4,498837,4,65198,4,3861946,4,7594708,8,11429109,96,25109,12,3316,1,22023,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
7,16079600,4319,9570,35.910072,,0,9,8,96,135685,1393,2656,15943915,18,155,140,1,32073,1,80,1,1955160,1,642609,1,831569,1,94756,1,12373620,1,13907,1,308394,1,7304,4,501342,4,64697,4,3861475,4,7601001,8,11437465,96,22354,12,3306,1,22073,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
8,16257500,4316,9570,35.88657,,0,9,8,96,135446,1363,2395,16122054,18,155,140,1,33415,1,261,1,1921925,1,761001,1,831489,1,120957,1,12442585,1,10280,1,329175,1,7505,4,527644,4,65158,4,3921422,4,7554860,8,11452115,96,21773,12,3156,1,29578,1,2725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
9,16656700,4312,9570,35.86034,,0,9,8,96,151065,1282,2415,16505635,18,155,170,1,37824,1,140,1,2193116,1,802232,1,831689,1,121408,1,12508966,1,10090,1,345146,1,7585,4,528896,4,67091,4,3979626,4,7551604,8,11514146,96,14669,12,3216,1,21873,1,2645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
