step,wall_ns,manifolds,pairs,top_y,awake
0,6247700,4495,9570,35.998295,
1,4158200,4300,9570,35.993866,
2,3841400,4339,9570,35.986713,
3,3860300,4335,9570,35.976837,
4,3924100,4329,9570,35.964233,
5,3889100,4324,9570,35.948902,
6,3851800,4326,9570,35.93085,
7,3878500,4319,9570,35.910072,
8,3900700,4316,9570,35.88657,
9,3994500,4312,9570,35.86034,
10,3923600,4307,9570,35.831387,
11,3958100,4307,9570,35.79971,
12,3815400,4306,9570,35.765305,
13,3860500,4306,9570,35.728176,
14,3884500,4307,9570,35.688324,
15,3870500,4306,9570,35.64575,
16,4024100,4303,9570,35.600445,
17,3890300,4298,9570,35.552414,
18,3889700,4298,9570,35.501663,
19,3904800,4297,9570,35.448185,
20,4508900,5077,9570,35.391983,
21,4367400,4687,9570,35.333054,
22,4330100,4536,9570,35.2714,
23,4388200,4464,9570,35.207024,
24,4216200,4397,9570,35.13992,
25,4138300,4359,9570,35.07009,
26,4154600,4312,9570,34.997536,
27,4146400,4295,9570,34.92226,
28,4488400,4934,9570,34.844257,
29,4616300,4786,9570,34.763527,
30,4428200,4665,9570,34.680073,
31,4434300,4617,9570,34.593895,
32,4401400,4578,9570,34.504993,
33,4372800,4536,9570,34.413364,
34,4677800,5039,9570,34.31901,
35,4845800,4827,9570,34.221935,
36,4576600,4630,9570,34.12213,
37,4565300,4510,9570,34.019604,
38,4406700,4408,9570,33.91435,
39,4722600,4880,9570,33.806374,
40,4761400,4979,9570,33.69567,
41,4694100,4855,9570,33.58224,
42,4661300,4689,9570,33.466087,
43,4606100,4655,9570,33.34721,
44,4784900,5072,9570,33.22561,
45,4909700,5053,9570,33.10128,
46,4675000,4767,9570,32.974224,
47,4655400,4624,9570,32.844448,
48,4786800,4898,9570,32.711945,
49,4880500,5015,9570,32.576717,
50,4731700,4836,9570,32.438763,
51,4718600,4704,9570,32.298084,
52,4744800,4886,9570,32.154682,
53,4830900,4850,9570,32.008553,
54,4732800,4701,9570,31.8597,
55,4708800,4656,9570,31.70812,
56,4747500,4755,9570,31.553818,
57,4709600,4733,9570,31.39679,
58,4596000,4658,9570,31.237036,
59,4724300,4682,9570,31.074558,
60,4580900,4642,9570,30.909355,
61,4577800,4557,9570,30.741426,
62,4754400,4591,9570,30.570772,
63,4574400,4578,9570,30.397394,
64,4506900,4530,9570,30.22129,
65,4577100,4530,9570,30.042463,
66,4495100,4531,9570,29.860909,
67,4486700,4532,9570,29.67663,
68,4436100,4513,9570,29.489626,
69,4595600,4475,9570,29.299898,
70,4654500,4477,9570,29.107445,
71,4601100,4474,9569,28.912266,
72,4466400,4455,9569,28.714361,
73,4465700,4472,9569,28.745037,
74,4399400,4465,9569,28.771923,
75,4620700,4458,9569,28.794498,
76,4975400,4464,9569,28.81284,
77,4395200,4463,9569,28.827902,
78,4388900,4462,9568,28.840885,
79,4297100,4456,9567,28.852116,
80,4291400,4458,9567,28.861916,
81,4333200,4462,9566,28.87016,
82,4315300,4462,9566,28.877672,
83,4246400,4464,9566,28.884876,
84,4293200,4460,9566,28.891674,
85,4323400,4454,9564,28.89812,
86,4446600,4452,9563,28.90361,
87,4454100,4461,9563,28.9092,
88,4275000,4461,9561,28.91393,
89,4236000,4461,9561,28.918192,
90,4212600,4460,9560,28.922281,
91,4315700,4461,9557,28.926441,
92,4196200,4462,9557,28.930197,
93,4208100,4459,9555,28.933605,
94,4165200,4455,9554,28.936785,
95,4239500,4464,9554,28.939753,
96,4237200,4454,9554,28.942532,
97,4156400,4453,9554,28.9452,
98,4132000,4449,9553,28.947609,
99,4114400,4452,9552,28.949892,
100,4147700,4462,9549,28.952118,
101,4138500,4454,9548,28.954184,
102,4199900,4455,9548,28.956179,
103,4119300,4460,9548,28.957949,
104,4138200,4463,9546,28.959707,
105,4098800,4462,9546,28.9613,
106,4145200,4463,9546,28.962826,
107,4212100,4465,9546,28.964285,
108,4138900,4465,9546,28.965742,
109,4070600,4465,9546,28.967031,
110,4196800,4466,9546,28.968155,
111,4127700,4468,9546,28.969242,
112,4045600,4464,9546,28.970312,
113,4060300,4466,9546,28.971327,
114,4210500,4467,9546,28.972305,
115,4205800,4467,9546,28.97322,
116,4095300,4465,9546,28.974094,
117,4126100,4465,9546,28.974928,
118,4089900,4466,9546,28.975708,
119,4047400,4467,9546,28.97645,
120,4042600,4463,9546,28.977146,
121,4111000,4463,9546,28.977818,
122,4073700,4462,9546,28.978441,
123,4003500,4463,9546,28.979033,
124,4021200,4462,9546,28.979574,
125,3990700,4463,9546,28.98009,
126,4136600,4466,9546,28.980558,
127,4438800,4466,9546,28.98101,
128,4012100,4468,9546,28.981445,
129,4083900,4465,9546,28.981846,
130,4027400,4468,9546,28.982235,
131,4008200,4466,9546,28.982603,
132,4004700,4467,9546,28.982958,
133,4043100,4465,9546,28.983284,
134,4001200,4464,9546,28.983583,
135,4003200,4468,9546,28.98386,
136,3989900,4468,9546,28.984129,
137,4073500,4466,9546,28.984394,
138,3988000,4469,9546,28.984627,
139,4000800,4467,9545,28.984867,
140,4299000,4466,9545,28.985088,
141,4621300,4466,9545,28.985296,
142,3987100,4466,9545,28.985493,
143,4002800,4468,9545,28.98568,
144,3994100,4471,9545,28.985857,
145,4026600,4470,9545,28.986025,
146,3965900,4468,9545,28.986183,
147,4004300,4467,9545,28.98633,
148,3975300,4465,9545,28.98647,
149,4002900,4466,9545,28.986603,
150,3993900,4467,9545,28.986732,
151,4035800,4467,9545,28.986855,
152,3973300,4465,9545,28.986967,
153,4101200,4464,9545,28.987074,
154,4002400,4465,9545,28.987171,
155,4048900,4466,9545,28.987276,
156,4045200,4466,9545,28.98737,
157,4008800,4464,9545,28.987461,
158,3983200,4468,9545,28.987545,
159,3967200,4466,9545,28.987621,
160,3967800,4466,9545,28.98769,
161,3990700,4467,9545,28.98776,
162,3967500,4469,9545,28.987827,
163,3967400,4469,9545,28.987888,
164,3968100,4466,9545,28.98795,
165,4059900,4468,9545,28.988005,
166,3996400,4469,9545,28.988058,
167,3999600,4468,9545,28.98811,
168,3985200,4469,9545,28.988153,
169,4017200,4468,9545,28.988195,
170,3978800,4471,9545,28.98824,
171,3989800,4470,9545,28.988277,
172,3984500,4471,9545,28.988316,
173,4014100,4469,9545,28.98835,
174,4202600,4470,9545,28.988382,
175,3990100,4470,9545,28.988405,
176,4071400,4470,9545,28.988434,
177,4120600,4471,9545,28.988464,
178,4014400,4468,9545,28.988497,
179,4031900,4470,9545,28.988514,
180,4181000,4469,9545,28.988539,
181,4045000,4470,9545,28.988562,
182,3987000,4469,9545,28.988585,
183,4005500,4469,9545,28.988605,
184,4044200,4468,9545,28.98862,
185,4025300,4468,9545,28.988636,
186,3980100,4468,9545,28.988659,
187,3983700,4468,9545,28.988678,
188,4040900,4467,9545,28.988693,
189,4006000,4468,9545,28.988708,
190,3992700,4469,9545,28.988724,
191,3990700,4467,9545,28.988739,
192,4040400,4469,9545,28.988747,
193,4020600,4468,9545,28.988762,
194,3992200,4469,9545,28.988777,
195,3996300,4470,9545,28.988789,
196,4070000,4469,9545,28.988796,
197,4008700,4470,9545,28.988804,
198,3997700,4471,9545,28.988811,
199,4006000,4470,9545,28.98882,
200,4202300,4470,9545,28.988827,
201,4014000,4471,9545,28.988834,
202,3982700,4472,9545,28.988842,
203,3971000,4472,9545,28.98885,
204,4013700,4472,9545,28.988857,
205,4001700,4470,9545,28.988865,
206,3982400,4470,9545,28.98887,
207,3976600,4469,9545,28.98887,
208,4036900,4466,9545,28.988878,
209,3986400,4467,9545,28.988882,
210,3960600,4467,9545,28.988888,
211,4050000,4466,9545,28.988894,
212,3991900,4466,9545,28.988894,
213,3975400,4467,9545,28.988894,
214,3962900,4467,9545,28.988894,
215,3964100,4468,9545,28.9889,
216,4067900,4467,9545,28.9889,
217,4019300,4468,9545,28.9889,
218,3970200,4467,9545,28.9889,
219,3963700,4468,9545,28.9889,
220,4044700,4468,9545,28.9889,
221,3989200,4468,9545,28.9889,
222,3982300,4467,9545,28.9889,
223,3962800,4468,9545,28.9889,
224,4017100,4467,9545,28.9889,
225,4002200,4467,9545,28.9889,
226,4039400,4468,9545,28.9889,
227,3983000,4467,9545,28.9889,
228,4013400,4467,9545,28.9889,
229,4168400,4468,9545,28.9889,
230,4151500,4467,9545,28.9889,
231,4030400,4467,9545,28.9889,
232,4084000,4467,9545,28.9889,
233,4043900,4468,9545,28.9889,
234,4023500,4467,9545,28.9889,
235,4002600,4467,9545,28.9889,
236,4342000,4467,9545,28.9889,
237,4089900,4467,9545,28.9889,
238,3976200,4467,9545,28.9889,
239,3973800,4467,9545,28.9889,
240,3970400,4467,9545,28.9889,
241,3980000,4468,9545,28.9889,
242,3970800,4467,9545,28.9889,
243,3993000,4467,9545,28.9889,
244,4002800,4467,9545,28.988903,
245,3975900,4468,9545,28.988903,
246,3982500,4467,9545,28.988903,
247,3981900,4467,9545,28.988903,
248,4234300,4468,9545,28.988903,
249,3985900,4467,9545,28.988903,
250,3995100,4467,9545,28.988903,
251,3986800,4467,9545,28.988903,
252,4279400,4467,9545,28.988903,
253,4063300,4468,9545,28.988903,
254,4056300,4467,9545,28.988903,
255,4040600,4467,9545,28.988903,
256,3976800,4467,9545,28.988903,
257,4020000,4468,9545,28.988903,
258,4020000,4467,9545,28.988903,
259,4015100,4467,9545,28.988903,
260,4020000,4468,9545,28.988903,
261,4051000,4467,9545,28.988903,
262,4015000,4467,9545,28.988903,
263,3986000,4468,9545,28.988903,
264,3997500,4467,9545,28.988903,
265,4029400,4467,9545,28.988903,
266,3998500,4468,9545,28.988903,
267,3998300,4467,9545,28.988903,
268,4010000,4467,9545,28.988903,
269,4223800,4468,9545,28.988903,
270,4285100,4467,9545,28.988903,
271,4006100,4467,9545,28.988903,
272,3969800,4467,9545,28.988903,
273,4059900,4467,9545,28.988903,
274,4489300,4468,9545,28.988905,
275,4212700,4467,9545,28.988905,
276,5285800,4468,9545,28.988905,
277,4004100,4467,9545,28.988905,
278,3971700,4467,9545,28.988905,
279,4009700,4467,9545,28.988905,
280,3979800,4468,9545,28.988905,
281,3979600,4467,9545,28.988905,
282,3972400,4467,9545,28.988905,
283,4080000,4467,9545,28.988905,
284,4036100,4468,9545,28.988905,
285,3972300,4467,9545,28.988905,
286,3971100,4467,9545,28.988905,
287,3985200,4468,9545,28.988905,
288,3977300,4467,9545,28.988905,
289,4000200,4467,9545,28.988905,
290,3970400,4468,9545,28.988905,
291,4032800,4467,9545,28.988905,
292,3973000,4467,9545,28.988905,
293,3961100,4467,9545,28.988905,
294,4044500,4468,9545,28.988905,
295,4045200,4467,9545,28.988905,
296,3970200,4467,9545,28.988905,
297,3950900,4468,9545,28.988905,
298,3974400,4467,9545,28.988905,
299,4031600,4467,9545,28.988905,
300,3994400,4467,9545,28.988905,
301,3965900,4468,9545,28.988905,
302,3985700,4467,9545,28.988905,
303,4145900,4467,9545,28.988905,
304,3955400,4467,9545,28.988905,
305,3964100,4467,9545,28.988905,
306,3962000,4467,9545,28.988905,
307,4150200,4467,9545,28.988905,
