step,wall_ns,manifolds,pairs,top_y,awake
0,8904200,4495,9570,35.998295,
1,7097100,4196,9570,35.993866,
2,6914100,4142,9570,35.986713,
3,6906600,4111,9570,35.976837,
4,6819900,4100,9570,35.964233,
5,6866800,4087,9570,35.948902,
6,6870300,4079,9570,35.93085,
7,6854900,4073,9570,35.910072,
8,6833700,4066,9570,35.88657,
9,6891300,4061,9570,35.86034,
10,6977500,4053,9570,35.831387,
11,6898700,4054,9570,35.79971,
12,6935200,4056,9570,35.765305,
13,6874900,4055,9570,35.728176,
14,6890200,4060,9570,35.688324,
15,6832600,4057,9570,35.64575,
16,6882900,4055,9570,35.600445,
17,6881000,4051,9570,35.552414,
18,6903500,4049,9570,35.501663,
19,6844300,4050,9570,35.448185,
20,8055300,4829,9570,35.391983,
21,7750800,4715,9570,35.333054,
22,7578500,4565,9570,35.2714,
23,7526200,4496,9570,35.207024,
24,7338000,4419,9570,35.13992,
25,7417000,4390,9570,35.07009,
26,7564100,4353,9570,34.997536,
27,7312200,4336,9570,34.92226,
28,8339700,4982,9570,34.844257,
29,7932600,4783,9570,34.763527,
30,7792800,4670,9570,34.680073,
31,7835300,4639,9570,34.593895,
32,7656900,4573,9570,34.504993,
33,7480500,4491,9570,34.413364,
34,8383300,5031,9570,34.31901,
35,7893000,4806,9570,34.221935,
36,7683800,4646,9570,34.12213,
37,7666500,4535,9570,34.019604,
38,7489800,4502,9570,33.91435,
39,8118200,4984,9570,33.806374,
40,8141000,5009,9570,33.69567,
41,7938700,4852,9570,33.58224,
42,7687400,4753,9570,33.466087,
43,7843600,4728,9570,33.34721,
44,8160500,4996,9570,33.22561,
45,8239500,5112,9570,33.10128,
46,7971800,4923,9570,32.974224,
47,7823400,4760,9570,32.844448,
48,8111300,5001,9570,32.711945,
49,8546700,5139,9570,32.576717,
50,8020600,4996,9570,32.438763,
51,7999800,4871,9570,32.298084,
52,8250700,5093,9570,32.154682,
53,8136800,4972,9570,32.008553,
54,7756200,4792,9570,31.8597,
55,7955500,4796,9570,31.70812,
56,8078100,4911,9570,31.553818,
57,7920300,4780,9570,31.39679,
58,7850100,4734,9570,31.237036,
59,7911800,4748,9570,31.074558,
60,7760500,4704,9570,30.909355,
61,7788900,4678,9570,30.741426,
62,7745600,4666,9570,30.570772,
63,7942900,4609,9570,30.397394,
64,7881400,4623,9570,30.22129,
65,7932200,4625,9570,30.042463,
66,7766600,4579,9570,29.860909,
67,8023000,4610,9570,29.67663,
68,8009900,4550,9570,29.489626,
69,7868600,4524,9570,29.299898,
70,7663100,4535,9570,29.107445,
71,7820700,4528,9570,28.912266,
72,7774500,4533,9570,28.714361,
73,7906100,4529,9570,28.745474,
74,7878900,4530,9570,28.77165,
75,7740200,4529,9570,28.79591,
76,7749800,4524,9570,28.816788,
77,7700800,4517,9570,28.83433,
78,7757200,4520,9570,28.848581,
79,7814400,4514,9568,28.862343,
80,8432500,4519,9568,28.873486,
81,8714000,4518,9568,28.88324,
82,7924900,4518,9568,28.892859,
83,7958200,4516,9568,28.90075,
84,8053100,4517,9567,28.907646,
85,7840700,4508,9565,28.914537,
86,7728600,4519,9565,28.920815,
87,7889100,4516,9565,28.92588,
88,7796600,4518,9565,28.930962,
89,7862800,4519,9565,28.935617,
90,7707500,4514,9565,28.939785,
91,7699200,4516,9565,28.943506,
92,7742300,4512,9565,28.946703,
93,7741200,4508,9565,28.949604,
94,7744000,4522,9565,28.952375,
95,7812900,4519,9565,28.954878,
96,7769900,4521,9565,28.957104,
97,7848900,4517,9565,28.9592,
98,7773200,4515,9565,28.960983,
99,7769200,4520,9565,28.96278,
100,7953600,4521,9564,28.964386,
101,7813000,4521,9564,28.965906,
102,7766700,4521,9563,28.967402,
103,7842200,4520,9563,28.968788,
104,7800900,4522,9563,28.969984,
105,7861800,4518,9563,28.971111,
106,7820400,4521,9563,28.97221,
107,7813200,4523,9563,28.97325,
108,7824000,4515,9562,28.974203,
109,7835600,4517,9562,28.975157,
110,7741600,4516,9562,28.976004,
111,7860200,4515,9562,28.976778,
112,7804400,4519,9562,28.977486,
113,7859600,4520,9562,28.978231,
114,7816000,4520,9562,28.97893,
115,7825000,4519,9561,28.979557,
116,7986600,4526,9561,28.980162,
117,7831700,4519,9561,28.980728,
118,7783500,4521,9561,28.981266,
119,7882100,4517,9561,28.981787,
120,7822000,4523,9561,28.982262,
121,7834200,4523,9561,28.98269,
122,7816900,4521,9561,28.983118,
123,7773900,4522,9561,28.98351,
124,7760700,4518,9561,28.98387,
125,7750000,4521,9561,28.984217,
126,7814000,4521,9561,28.984558,
127,7933500,4517,9561,28.98485,
128,7766900,4522,9561,28.98514,
129,7841200,4521,9561,28.98541,
130,7925800,4519,9560,28.98568,
131,8003300,4526,9559,28.98593,
132,7820800,4524,9559,28.986149,
133,7769800,4516,9559,28.98636,
134,7784600,4520,9559,28.98657,
135,7813900,4522,9559,28.986776,
136,7824400,4519,9559,28.986969,
137,7717800,4521,9559,28.987137,
138,7809700,4521,9559,28.9873,
139,7824200,4521,9559,28.987465,
140,7844800,4518,9559,28.987623,
141,7832500,4523,9559,28.987766,
142,7849400,4524,9559,28.987892,
143,7841800,4523,9559,28.98802,
144,7840600,4520,9559,28.988153,
145,7877900,4519,9559,28.98826,
146,7919500,4520,9559,28.988363,
147,7759300,4522,9559,28.988459,
148,7829200,4517,9559,28.988543,
149,7813100,4519,9559,28.988642,
150,7756900,4522,9559,28.98874,
151,7749400,4520,9559,28.98882,
152,7834000,4523,9559,28.988888,
153,7830200,4523,9559,28.988964,
154,7883100,4524,9559,28.989048,
155,7811600,4521,9559,28.989117,
156,7862400,4520,9559,28.989172,
157,7757200,4519,9559,28.989218,
158,7779400,4519,9559,28.98927,
159,7794200,4518,9559,28.98933,
160,7753100,4519,9559,28.989386,
161,7745100,4521,9559,28.989433,
162,7717800,4518,9559,28.989477,
163,7749300,4520,9559,28.989515,
164,7755800,4520,9559,28.989552,
165,7718800,4519,9559,28.989582,
166,7767800,4516,9559,28.989613,
167,7690600,4518,9559,28.989645,
168,7831900,4518,9559,28.989676,
169,7703700,4514,9559,28.9897,
170,7769700,4515,9559,28.989725,
171,7725100,4512,9559,28.989754,
172,7781900,4513,9559,28.98977,
173,7766100,4515,9559,28.989801,
174,7776500,4515,9559,28.989834,
175,7742800,4515,9559,28.989851,
176,7723200,4514,9559,28.989864,
177,7667000,4516,9559,28.989883,
178,7702400,4515,9559,28.989906,
179,7794500,4515,9559,28.989923,
180,7708100,4515,9559,28.98993,
181,7740000,4517,9559,28.98993,
182,7712100,4517,9559,28.98994,
183,7699900,4516,9559,28.989958,
184,7747900,4516,9559,28.98997,
185,7748400,4514,9559,28.989977,
186,7714400,4515,9559,28.98999,
187,7719900,4516,9559,28.990005,
188,7688900,4519,9559,28.990013,
189,7703800,4519,9559,28.990015,
190,7634200,4519,9559,28.990025,
191,7762100,4520,9559,28.99004,
192,7698200,4522,9559,28.990047,
193,7795800,4521,9559,28.990053,
194,7721600,4522,9559,28.990055,
