step,wall_ns,manifolds,pairs,top_y,awake
0,8619000,4495,9570,35.998295,
1,7306500,4196,9570,35.993866,
2,6964300,4142,9570,35.986713,
3,6922000,4111,9570,35.976837,
4,6900000,4100,9570,35.964233,
5,6986500,4087,9570,35.948902,
6,6925300,4079,9570,35.93085,
7,6961300,4073,9570,35.910072,
8,6901500,4066,9570,35.88657,
9,6921300,4061,9570,35.86034,
10,6908200,4053,9570,35.831387,
11,6964700,4054,9570,35.79971,
12,6974300,4056,9570,35.765305,
13,6958200,4055,9570,35.728176,
14,6945500,4060,9570,35.688324,
15,6989500,4057,9570,35.64575,
16,6931500,4055,9570,35.600445,
17,6932400,4051,9570,35.552414,
18,6963100,4049,9570,35.501663,
19,7238900,4050,9570,35.448185,
20,8044700,4829,9570,35.391983,
21,7749100,4715,9570,35.333054,
22,7614700,4565,9570,35.2714,
23,7550000,4496,9570,35.207024,
24,7321600,4419,9570,35.13992,
25,7493300,4390,9570,35.07009,
26,7475600,4353,9570,34.997536,
27,7433400,4336,9570,34.92226,
28,8445000,4982,9570,34.844257,
29,7878900,4783,9570,34.763527,
30,7795700,4670,9570,34.680073,
31,7792400,4639,9570,34.593895,
32,7703900,4573,9570,34.504993,
33,7668000,4491,9570,34.413364,
34,8454600,5031,9570,34.31901,
35,8102000,4806,9570,34.221935,
36,7924000,4646,9570,34.12213,
37,7668500,4535,9570,34.019604,
38,7477000,4502,9570,33.91435,
39,8150600,4984,9570,33.806374,
40,8188900,5009,9570,33.69567,
41,8164500,4852,9570,33.58224,
42,7725900,4753,9570,33.466087,
43,8106600,4728,9570,33.34721,
44,8348200,4996,9570,33.22561,
45,8306000,5112,9570,33.10128,
46,8232500,4923,9570,32.974224,
47,7723200,4760,9570,32.844448,
48,8138800,5001,9570,32.711945,
49,8488100,5139,9570,32.576717,
50,8172800,4996,9570,32.438763,
51,8023200,4871,9570,32.298084,
52,8282300,5093,9570,32.154682,
53,8192100,4972,9570,32.008553,
54,7790800,4792,9570,31.8597,
55,7934200,4796,9570,31.70812,
56,8042700,4911,9570,31.553818,
57,8054300,4780,9570,31.39679,
58,7975800,4734,9570,31.237036,
59,8013600,4748,9570,31.074558,
60,8011700,4704,9570,30.909355,
61,8014100,4678,9570,30.741426,
62,7933700,4666,9570,30.570772,
63,7842000,4609,9570,30.397394,
64,7863500,4623,9570,30.22129,
65,7928600,4625,9570,30.042463,
66,7818700,4579,9570,29.860909,
67,7800200,4610,9570,29.67663,
68,7765900,4550,9570,29.489626,
69,7680200,4524,9570,29.299898,
70,7772500,4535,9570,29.107445,
71,7769600,4528,9570,28.912266,
72,7727400,4533,9570,28.714361,
73,7848700,4529,9570,28.745474,
74,8012800,4530,9570,28.77165,
75,7734600,4529,9570,28.79591,
76,7679600,4524,9570,28.816788,
77,7720000,4517,9570,28.83433,
78,7820500,4520,9570,28.848581,
79,7822800,4514,9568,28.862343,
80,7807900,4519,9568,28.873486,
81,7791100,4518,9568,28.88324,
82,7706300,4518,9568,28.892859,
83,7785200,4516,9568,28.90075,
84,7702900,4517,9567,28.907646,
85,7767900,4508,9565,28.914537,
86,7836600,4519,9565,28.920815,
87,7858900,4516,9565,28.92588,
88,7735000,4518,9565,28.930962,
89,7783300,4519,9565,28.935617,
90,7670200,4514,9565,28.939785,
91,7788400,4516,9565,28.943506,
92,7716300,4512,9565,28.946703,
93,7735300,4508,9565,28.949604,
94,7778400,4522,9565,28.952375,
95,7828300,4519,9565,28.954878,
96,7762200,4521,9565,28.957104,
97,7798300,4517,9565,28.9592,
98,7758300,4515,9565,28.960983,
99,7948100,4520,9565,28.96278,
100,7736100,4521,9564,28.964386,
101,8138300,4521,9564,28.965906,
102,7821200,4521,9563,28.967402,
103,8123400,4520,9563,28.968788,
104,7744800,4522,9563,28.969984,
105,7897700,4518,9563,28.971111,
106,7770800,4521,9563,28.97221,
107,7903600,4523,9563,28.97325,
108,7838500,4515,9562,28.974203,
109,7945300,4517,9562,28.975157,
110,7783700,4516,9562,28.976004,
111,7834400,4515,9562,28.976778,
112,7739500,4519,9562,28.977486,
113,7877600,4520,9562,28.978231,
114,7811500,4520,9562,28.97893,
115,7876400,4519,9561,28.979557,
116,7816100,4526,9561,28.980162,
117,7839200,4519,9561,28.980728,
118,7789000,4521,9561,28.981266,
119,7907000,4517,9561,28.981787,
120,7821100,4523,9561,28.982262,
121,7834000,4523,9561,28.98269,
122,7835900,4521,9561,28.983118,
123,7821900,4522,9561,28.98351,
124,7779200,4518,9561,28.98387,
125,7899000,4521,9561,28.984217,
126,7833600,4521,9561,28.984558,
127,7973800,4517,9561,28.98485,
128,7899300,4522,9561,28.98514,
129,8081700,4521,9561,28.98541,
130,8310100,4519,9560,28.98568,
131,8015000,4526,9559,28.98593,
132,8048900,4524,9559,28.986149,
133,7902400,4516,9559,28.98636,
134,7785300,4520,9559,28.98657,
135,7837400,4522,9559,28.986776,
136,8030100,4519,9559,28.986969,
137,8880600,4521,9559,28.987137,
138,8256800,4521,9559,28.9873,
139,8019200,4521,9559,28.987465,
140,7927900,4518,9559,28.987623,
141,7838900,4523,9559,28.987766,
142,7868300,4524,9559,28.987892,
143,7982600,4523,9559,28.98802,
144,7947000,4520,9559,28.988153,
145,8042500,4519,9559,28.98826,
146,8004400,4520,9559,28.988363,
147,8112700,4522,9559,28.988459,
148,7987000,4517,9559,28.988543,
149,8129900,4519,9559,28.988642,
150,7937600,4522,9559,28.98874,
151,7923600,4520,9559,28.98882,
152,7856300,4523,9559,28.988888,
153,7931500,4523,9559,28.988964,
154,7939100,4524,9559,28.989048,
155,7999800,4521,9559,28.989117,
156,7888100,4520,9559,28.989172,
157,7899400,4519,9559,28.989218,
158,7776700,4519,9559,28.98927,
159,7941000,4518,9559,28.98933,
160,7772600,4519,9559,28.989386,
161,7812700,4521,9559,28.989433,
162,7762000,4518,9559,28.989477,
163,7717900,4520,9559,28.989515,
164,7821600,4520,9559,28.989552,
165,7865000,4519,9559,28.989582,
166,7743000,4516,9559,28.989613,
167,7739000,4518,9559,28.989645,
168,7757500,4518,9559,28.989676,
169,7907200,4514,9559,28.9897,
170,7895300,4515,9559,28.989725,
171,7766600,4512,9559,28.989754,
172,7812900,4513,9559,28.98977,
173,8106500,4515,9559,28.989801,
174,8213400,4515,9559,28.989834,
175,8721700,4515,9559,28.989851,
176,8109600,4514,9559,28.989864,
177,7785800,4516,9559,28.989883,
178,7796300,4515,9559,28.989906,
179,7848500,4515,9559,28.989923,
180,7712700,4515,9559,28.98993,
181,7782300,4517,9559,28.98993,
182,7727300,4517,9559,28.98994,
183,7901500,4516,9559,28.989958,
184,7891200,4516,9559,28.98997,
185,7899600,4514,9559,28.989977,
186,8144900,4515,9559,28.98999,
187,7983500,4516,9559,28.990005,
188,8137000,4519,9559,28.990013,
189,8182600,4519,9559,28.990015,
190,8001300,4519,9559,28.990025,
191,7820700,4520,9559,28.99004,
192,7680700,4522,9559,28.990047,
193,7931900,4521,9559,28.990053,
194,7968900,4522,9559,28.990055,
195,7886600,4521,9559,28.99006,
196,7763600,4522,9559,28.99006,
