step,wall_ns,manifolds,pairs,top_y,awake
0,9012100,4495,9570,35.998295,
1,7166000,4196,9570,35.993866,
2,6926700,4142,9570,35.986713,
3,6910600,4111,9570,35.976837,
4,6849200,4100,9570,35.964233,
5,6890200,4087,9570,35.948902,
6,6861700,4079,9570,35.93085,
7,7054400,4073,9570,35.910072,
8,7025300,4066,9570,35.88657,
9,6920000,4061,9570,35.86034,
10,6975900,4053,9570,35.831387,
11,6963400,4054,9570,35.79971,
12,7024000,4056,9570,35.765305,
13,6986400,4055,9570,35.728176,
14,6994700,4060,9570,35.688324,
15,6980600,4057,9570,35.64575,
16,6896800,4055,9570,35.600445,
17,6831500,4051,9570,35.552414,
18,6911800,4049,9570,35.501663,
19,6896300,4050,9570,35.448185,
20,8066300,4829,9570,35.391983,
21,7770800,4715,9570,35.333054,
22,7591300,4565,9570,35.2714,
23,7673800,4496,9570,35.207024,
24,7309900,4419,9570,35.13992,
25,7590500,4390,9570,35.07009,
26,7861000,4353,9570,34.997536,
27,7625800,4336,9570,34.92226,
28,8687200,4982,9570,34.844257,
29,8179100,4783,9570,34.763527,
30,7920200,4670,9570,34.680073,
31,8021700,4639,9570,34.593895,
32,8139100,4573,9570,34.504993,
33,7944300,4491,9570,34.413364,
34,8453000,5031,9570,34.31901,
35,8061200,4806,9570,34.221935,
36,7951600,4646,9570,34.12213,
37,7653600,4535,9570,34.019604,
38,7436900,4502,9570,33.91435,
39,8166400,4984,9570,33.806374,
40,8209200,5009,9570,33.69567,
41,8059200,4852,9570,33.58224,
42,7686700,4753,9570,33.466087,
43,7856500,4728,9570,33.34721,
44,8458400,4996,9570,33.22561,
45,8229100,5112,9570,33.10128,
46,7977400,4923,9570,32.974224,
47,7908300,4760,9570,32.844448,
48,8288100,5001,9570,32.711945,
49,8251800,5139,9570,32.576717,
50,7993700,4996,9570,32.438763,
51,8084900,4871,9570,32.298084,
52,8363400,5093,9570,32.154682,
53,8412700,4972,9570,32.008553,
54,7967100,4792,9570,31.8597,
55,7881000,4796,9570,31.70812,
56,8216200,4911,9570,31.553818,
57,7864400,4780,9570,31.39679,
58,7848500,4734,9570,31.237036,
59,7942500,4748,9570,31.074558,
60,7860400,4704,9570,30.909355,
61,7733100,4678,9570,30.741426,
62,7872200,4666,9570,30.570772,
63,7793400,4609,9570,30.397394,
64,7862300,4623,9570,30.22129,
65,7889000,4625,9570,30.042463,
66,7846600,4579,9570,29.860909,
67,7821400,4610,9570,29.67663,
68,7802200,4550,9570,29.489626,
69,7686500,4524,9570,29.299898,
70,7776400,4535,9570,29.107445,
71,7793200,4528,9570,28.912266,
72,7838200,4533,9570,28.714361,
73,7759100,4529,9570,28.745474,
74,7837000,4530,9570,28.77165,
75,7801900,4529,9570,28.79591,
76,7813400,4524,9570,28.816788,
77,8028800,4517,9570,28.83433,
78,7757200,4520,9570,28.848581,
79,7752900,4514,9568,28.862343,
80,7746800,4519,9568,28.873486,
81,7731900,4518,9568,28.88324,
82,7686700,4518,9568,28.892859,
83,7714800,4516,9568,28.90075,
84,7717700,4517,9567,28.907646,
85,7735400,4508,9565,28.914537,
86,7781500,4519,9565,28.920815,
87,7738500,4516,9565,28.92588,
