step,wall_ns,manifolds,pairs,top_y,awake
0,6491500,4495,9570,35.998295,
1,5301700,4196,9570,35.993866,
2,5138600,4142,9570,35.986713,
3,5152400,4111,9570,35.976837,
4,5244500,4100,9570,35.964233,
5,5179800,4087,9570,35.948902,
6,5162400,4079,9570,35.93085,
7,5294800,4073,9570,35.910072,
8,5501200,4066,9570,35.88657,
9,5191900,4061,9570,35.86034,
10,5221000,4053,9570,35.831387,
11,5194300,4054,9570,35.79971,
12,5305000,4056,9570,35.765305,
13,5251500,4055,9570,35.728176,
14,5259000,4060,9570,35.688324,
15,5243300,4057,9570,35.64575,
16,5246600,4055,9570,35.600445,
17,5180700,4051,9570,35.552414,
18,5177300,4049,9570,35.501663,
19,5278100,4050,9570,35.448185,
20,6268600,4829,9570,35.391983,
21,5850600,4715,9570,35.333054,
22,5694400,4565,9570,35.2714,
23,5752100,4496,9570,35.207024,
24,5611900,4419,9570,35.13992,
25,5521800,4390,9570,35.07009,
26,5643300,4353,9570,34.997536,
27,5513600,4336,9570,34.92226,
28,6420700,4982,9570,34.844257,
29,5943300,4783,9570,34.763527,
30,5797400,4670,9570,34.680073,
31,5861500,4639,9570,34.593895,
32,5779800,4573,9570,34.504993,
33,5720500,4491,9570,34.413364,
34,6322700,5031,9570,34.31901,
35,5960300,4806,9570,34.221935,
36,5828100,4646,9570,34.12213,
37,5917500,4535,9570,34.019604,
38,5834200,4502,9570,33.91435,
39,6045800,4984,9570,33.806374,
40,6074200,5009,9570,33.69567,
41,6227400,4852,9570,33.58224,
42,6088200,4753,9570,33.466087,
43,5970400,4728,9570,33.34721,
44,6147200,4996,9570,33.22561,
45,6207700,5112,9570,33.10128,
46,6283000,4923,9570,32.974224,
47,5888700,4760,9570,32.844448,
48,6041100,5001,9570,32.711945,
49,6191700,5139,9570,32.576717,
50,6003300,4996,9570,32.438763,
51,6006200,4871,9570,32.298084,
52,6082400,5093,9570,32.154682,
53,6049000,4972,9570,32.008553,
54,5890000,4792,9570,31.8597,
55,6029500,4796,9570,31.70812,
56,5984700,4911,9570,31.553818,
57,5978500,4780,9570,31.39679,
58,5713100,4734,9570,31.237036,
59,5792200,4748,9570,31.074558,
60,5766000,4704,9570,30.909355,
61,5754100,4678,9570,30.741426,
62,5834800,4666,9570,30.570772,
63,5776100,4609,9570,30.397394,
64,5707800,4623,9570,30.22129,
65,5774300,4625,9570,30.042463,
66,5690500,4579,9570,29.860909,
67,5636200,4610,9570,29.67663,
68,5640500,4550,9570,29.489626,
69,5514700,4524,9570,29.299898,
70,5692900,4535,9570,29.107445,
71,5656200,4528,9570,28.912266,
72,5492700,4533,9570,28.714361,
73,5714700,4529,9570,28.745474,
74,5587000,4530,9570,28.77165,
75,5578800,4529,9570,28.79591,
76,5561100,4524,9570,28.816788,
77,5552000,4517,9570,28.83433,
78,5827800,4520,9570,28.848581,
79,5620700,4514,9568,28.862343,
80,5751900,4519,9568,28.873486,
81,5697200,4518,9568,28.88324,
82,5765400,4518,9568,28.892859,
83,5515000,4516,9568,28.90075,
84,5580700,4517,9567,28.907646,
85,5579000,4508,9565,28.914537,
86,5543900,4519,9565,28.920815,
87,5523100,4516,9565,28.92588,
88,5513900,4518,9565,28.930962,
89,5494600,4519,9565,28.935617,
90,5568600,4514,9565,28.939785,
