step,wall_ns,manifolds,pairs,top_y,awake
0,12321000,4495,9570,35.998295,
1,10265900,4196,9570,35.993866,
2,10064700,4142,9570,35.986713,
3,10291700,4111,9570,35.976837,
4,10243700,4100,9570,35.964233,
5,10280900,4087,9570,35.948902,
6,10123600,4079,9570,35.93085,
7,10073200,4073,9570,35.910072,
8,10137300,4066,9570,35.88657,
9,10155700,4061,9570,35.86034,
10,10163600,4053,9570,35.831387,
11,10203400,4054,9570,35.79971,
12,10343300,4056,9570,35.765305,
13,10376600,4055,9570,35.728176,
14,10461900,4060,9570,35.688324,
15,10167200,4057,9570,35.64575,
16,10213400,4055,9570,35.600445,
17,10507400,4051,9570,35.552414,
18,10261300,4049,9570,35.501663,
19,10532000,4050,9570,35.448185,
20,12856400,4829,9570,35.391983,
21,11470400,4715,9570,35.333054,
22,11187300,4565,9570,35.2714,
23,11133900,4496,9570,35.207024,
24,10911600,4419,9570,35.13992,
25,11225700,4390,9570,35.07009,
26,11047900,4353,9570,34.997536,
27,11025100,4336,9570,34.92226,
28,12420500,4982,9570,34.844257,
29,11759900,4783,9570,34.763527,
30,11600300,4670,9570,34.680073,
31,11578700,4639,9570,34.593895,
32,11454500,4573,9570,34.504993,
33,11001800,4491,9570,34.413364,
34,12981800,5031,9570,34.31901,
35,12237900,4806,9570,34.221935,
36,11432500,4646,9570,34.12213,
37,11191600,4535,9570,34.019604,
38,11300600,4502,9570,33.91435,
39,12097300,4984,9570,33.806374,
40,12137300,5009,9570,33.69567,
41,11798500,4852,9570,33.58224,
42,12084500,4753,9570,33.466087,
43,12080200,4728,9570,33.34721,
44,12342100,4996,9570,33.22561,
45,12426300,5112,9570,33.10128,
46,11920300,4923,9570,32.974224,
47,11649800,4760,9570,32.844448,
48,12516800,5001,9570,32.711945,
49,12827600,5139,9570,32.576717,
50,12321700,4996,9570,32.438763,
51,12071200,4871,9570,32.298084,
52,12538200,5093,9570,32.154682,
53,12474800,4972,9570,32.008553,
54,11856300,4792,9570,31.8597,
55,11988000,4796,9570,31.70812,
56,12417000,4911,9570,31.553818,
57,11947300,4780,9570,31.39679,
58,11641200,4734,9570,31.237036,
59,11768900,4748,9570,31.074558,
60,12139300,4704,9570,30.909355,
61,11685000,4678,9570,30.741426,
62,11648800,4666,9570,30.570772,
63,11748200,4609,9570,30.397394,
64,11808900,4623,9570,30.22129,
65,11626300,4625,9570,30.042463,
66,11675100,4579,9570,29.860909,
67,11802200,4610,9570,29.67663,
68,11698300,4550,9570,29.489626,
69,11514000,4524,9570,29.299898,
70,11821700,4535,9570,29.107445,
71,11730100,4528,9570,28.912266,
72,11580200,4533,9570,28.714361,
73,12070400,4529,9570,28.745474,
74,11937600,4530,9570,28.77165,
75,11730200,4529,9570,28.79591,
76,11526300,4524,9570,28.816788,
77,11733300,4517,9570,28.83433,
78,11991000,4520,9570,28.848581,
79,11695300,4514,9568,28.862343,
80,11724300,4519,9568,28.873486,
81,11728000,4518,9568,28.88324,
82,11650000,4518,9568,28.892859,
83,11765700,4516,9568,28.90075,
84,11720200,4517,9567,28.907646,
85,12129500,4508,9565,28.914537,
86,11615900,4519,9565,28.920815,
87,11940700,4516,9565,28.92588,
