step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,4030800,4495,9570,35.998295,,0,9,9,108,98886,11543,3778,3931914,16,162,451,1,140496,1,271,1,520581,1,1064428,1,190243,1,2004382,1,11062,1,805150,1,17795,4,316521,4,92401,4,244409,4,458149,8,698780,108,0,0,4599,1,51000,1,2816,1,0,0,0,0,0,0,687649,1,138031,1,87772,1,40930,1,79987,1,343644,1,51190,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,1241,1,0,1,0,1,0,1,0,1,9570,1
1,2213100,4196,9570,35.993866,,0,8,8,96,41770,1262,1514,2171330,16,152,150,1,45319,1,70,1,324226,1,354556,1,88965,1,1348005,1,10040,1,403802,1,11282,4,277955,4,78103,4,194792,4,352762,8,546040,96,0,0,2695,1,22725,1,2625,1,0,0,0,0,0,0,323234,1,17574,1,5501,1,9178,1,26282,1,246273,1,42123,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,1241,1,0,1,0,1,0,1,5075,1,4495,1
2,1959200,4142,9570,35.986713,,0,8,8,96,32801,1082,1474,1926399,16,152,40,1,26562,1,30,1,287604,1,303004,1,85518,1,1213661,1,9980,1,289999,1,11563,4,268076,4,78243,4,188700,4,347672,8,534898,96,0,0,2655,1,23035,1,2635,1,0,0,0,0,0,0,269899,1,17494,1,5190,1,12855,1,21542,1,223689,1,29287,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,1240,1,1,1,1,1,0,1,5157,1,4413,1
3,1944800,4111,9570,35.976837,,0,8,8,96,31857,1052,3086,1912943,16,152,40,1,27314,1,60,1,273717,1,320859,1,83794,1,1197199,1,9960,1,278707,1,11503,4,266142,4,78333,4,189382,4,344957,8,531252,96,0,0,2575,1,21773,1,2775,1,0,0,0,0,0,0,290470,1,16362,1,5020,1,4920,1,21192,1,216485,1,30921,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5389,1,4181,1
4,1922200,4100,9570,35.964233,,0,8,8,96,31441,1072,3017,1890759,16,152,50,1,27514,1,110,1,265691,1,304578,1,84265,1,1198621,1,9929,1,272414,1,11483,4,266643,4,78484,4,191426,4,349315,8,537723,96,0,0,3357,1,21723,1,2705,1,0,0,0,0,0,0,275531,1,15500,1,4850,1,4860,1,21723,1,209952,1,28977,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5440,1,4130,1
5,1994200,4087,9570,35.948902,,0,8,8,96,31510,1222,3187,1962690,16,152,130,1,27434,1,40,1,263036,1,300670,1,83594,1,1277656,1,10130,1,272104,1,12334,4,298055,4,78414,4,194431,4,386157,8,577402,96,0,0,4439,1,27083,1,3417,1,0,0,0,0,0,0,269910,1,17504,1,4809,1,4699,1,21773,1,207437,1,28977,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5459,1,4111,1
6,1988300,4079,9570,35.93085,,0,8,8,96,33200,1333,3497,1955100,16,152,60,1,30309,1,120,1,265952,1,302929,1,101639,1,1243950,1,10140,1,290149,1,12144,4,296412,4,77963,4,191716,4,346881,8,535099,96,0,0,2675,1,21913,1,2765,1,0,0,0,0,0,0,271648,1,16482,1,4819,1,4789,1,21312,1,210713,1,28947,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5474,1,4096,1
7,1951400,4073,9570,35.910072,,0,8,8,96,33748,1222,1974,1917652,16,152,100,1,27213,1,60,1,288025,1,306732,1,85788,1,1198050,1,11683,1,273597,1,11352,4,267495,4,78183,4,189642,4,348664,8,536332,96,0,0,2675,1,22504,1,2715,1,0,0,0,0,0,0,276743,1,16072,1,4839,1,11623,1,21432,1,225302,1,29297,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5484,1,4086,1
8,2063300,4066,9570,35.88657,,0,8,8,96,32040,1283,1884,2031260,16,152,30,1,30400,1,50,1,275480,1,302458,1,101259,1,1311553,1,10030,1,322112,1,12254,4,330639,4,78083,4,192578,4,347592,8,538286,96,0,0,2615,1,21683,1,2715,1,0,0,0,0,0,0,269854,1,17765,1,4709,1,5421,1,23566,1,209942,1,36321,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5493,1,4077,1
9,1996100,4061,9570,35.86034,,0,8,8,96,31731,1082,1724,1964369,16,152,20,1,30029,1,90,1,273446,1,298801,1,93423,1,1258559,1,10000,1,296852,1,12084,4,308355,4,79255,4,188039,4,346099,8,532414,96,0,0,2595,1,21512,1,2685,1,0,0,0,0,0,0,269544,1,15581,1,4629,1,5872,1,23907,1,204712,1,38796,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5502,1,4068,1
