step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,7195900,4495,9570,35.998295,,0,9,9,108,179721,7415,5763,7016179,16,161,421,1,134692,1,631,1,429809,1,2510116,1,189423,1,3735003,1,16083,1,820770,1,12585,4,324366,4,66655,4,858165,4,1591519,8,2443921,108,0,0,5150,1,44981,1,3397,1,0,0,0,0,0,0,0,0,0,0,0,0,43358,1,65913,1,274756,1,41514,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1,0,1,0,1,9570,1
1,5887100,4196,9570,35.993866,,0,8,8,96,64334,1734,2535,5822766,16,149,150,1,43298,1,150,1,314827,1,1925123,1,91866,1,3436279,1,11072,1,745317,1,8247,4,291730,4,64801,4,803024,4,1476847,8,2277335,96,0,0,3277,1,38798,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,4930,1,22465,1,244234,1,41634,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1,0,1,5075,1,4495,1
2,5554000,4142,9570,35.986713,,0,8,8,96,50791,1232,3758,5503209,16,149,190,1,35953,1,40,1,362293,1,2141561,1,85914,1,2866507,1,10752,1,314376,1,7154,4,264836,4,65312,4,734696,4,1455654,8,2186591,96,0,0,2726,1,17976,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,22425,1,27265,1,277271,1,34871,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1,0,1,5157,1,4413,1
3,5182800,4111,9570,35.976837,,0,8,8,96,46292,3938,2095,5136508,16,149,150,1,27175,1,80,1,278293,1,1917307,1,86174,1,2816596,1,10732,1,258934,1,7175,4,266309,4,65633,4,738473,4,1453008,8,2189387,96,0,0,2675,1,17916,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,5050,1,21764,1,222811,1,28327,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1,0,1,5389,1,4181,1
4,5181700,4100,9570,35.964233,,0,8,8,96,46816,4068,2255,5134884,16,149,160,1,27766,1,30,1,280147,1,1911305,1,83830,1,2820594,1,11052,1,253833,1,7285,4,266008,4,65703,4,739566,4,1461045,8,2198355,96,0,0,2695,1,17826,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,5040,1,21934,1,224103,1,28708,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1,0,1,5440,1,4130,1
5,5161600,4087,9570,35.948902,,0,8,8,96,44672,1243,4770,5116928,16,149,150,1,27576,1,20,1,280096,1,1913119,1,85453,1,2799692,1,10822,1,252050,1,7315,4,264244,4,65543,4,734095,4,1452177,8,2181501,96,0,0,2756,1,17706,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,4910,1,21604,1,224755,1,28458,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1,0,1,5459,1,4111,1
6,5161600,4079,9570,35.93085,,0,8,8,96,44472,1293,2415,5117128,16,149,160,1,27506,1,30,1,280367,1,1913690,1,85523,1,2799091,1,10762,1,252671,1,7245,4,264264,4,65903,4,733393,4,1451255,8,2182233,96,0,0,2675,1,17826,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,4970,1,21884,1,224454,1,28678,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1,0,1,5474,1,4096,1
7,5187500,4073,9570,35.910072,,0,8,8,96,46263,1253,2135,5141237,16,149,160,1,27395,1,30,1,280096,1,1947959,1,84441,1,2790393,1,10762,1,252060,1,7315,4,264375,4,65292,4,727942,4,1449421,8,2175229,96,0,0,2705,1,17505,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,4970,1,21313,1,224825,1,28628,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1,0,1,5484,1,4086,1
8,5156100,4066,9570,35.88657,,0,8,8,96,44883,1243,2205,5111217,16,149,160,1,27716,1,30,1,280858,1,1910634,1,84601,1,2796145,1,11072,1,251849,1,7305,4,263633,4,65592,4,734465,4,1449070,8,2181331,96,0,0,2675,1,17746,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,5020,1,21824,1,224925,1,28698,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1,0,1,5493,1,4077,1
9,5148600,4061,9570,35.86034,,0,8,8,96,44428,1243,2144,5104172,16,149,150,1,27866,1,30,1,280387,1,1910303,1,85303,1,2789251,1,10882,1,252390,1,7385,4,263393,4,65973,4,731289,4,1444752,8,2173896,96,0,0,2665,1,17626,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,5030,1,21874,1,224624,1,28498,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1,0,1,5502,1,4068,1
