Frame, Time (ms)
0, 6.1063
1, 1.5035
2, 1.1993
3, 1.1471
4, 1.1465
5, 1.1365
6, 1.1365
7, 1.1162
8, 1.1596
9, 1.1142
10, 1.0951
11, 1.1001
12, 1.0892
13, 1.085
14, 1.085
15, 1.0799
16, 1.08
17, 1.083
18, 1.0751
19, 1.6519
20, 1.4709
21, 1.5138
22, 1.6883
23, 1.7559
24, 1.663
25, 1.528
26, 1.5703
27, 2.0409
28, 2.0749
29, 2.5411
30, 2.3078
31, 1.9681
32, 1.872
33, 2.3312
34, 2.864
35, 3.0921
36, 2.8442
37, 2.4441
38, 2.7463
39, 3.4804
40, 3.3182
41, 3.24
42, 2.8663
43, 3.0711
44, 3.7791
45, 3.3421
46, 3.5506
47, 3.6652
48, 3.8877
49, 3.1263
50, 3.6134
51, 3.7901
52, 4.0874
53, 3.3663
54, 3.5795
55, 3.8379
56, 4.002
57, 3.5888
58, 3.7779
59, 3.697
60, 3.4667
61, 3.7641
62, 3.5002
63, 3.2716
64, 3.4413
65, 3.3554
66, 3.2601
67, 3.3624
68, 3.2269
69, 3.1496
70, 3.5307
71, 3.4372
72, 3.2078
73, 3.2763
74, 3.1281
75, 3.1083
76, 3.0934
77, 3.0734
78, 3.034
79, 3.0183
80, 3.0419
81, 3
82, 2.9664
83, 2.9978
84, 2.9823
85, 2.9947
86, 2.9839
87, 2.9829
88, 2.9745
89, 2.9808
90, 2.9631
91, 2.982
92, 2.966
93, 2.976
94, 2.9325
95, 2.9502
96, 2.9535
97, 2.9738
98, 2.9437
99, 2.958
100, 2.9318
101, 3.5498
102, 3.0027
103, 2.9341
104, 2.9791
105, 2.9576
106, 2.9904
107, 2.935
108, 2.9146
109, 2.9095
110, 2.9124
111, 2.9227
112, 3.0331
113, 2.9729
114, 2.8981
115, 2.9144
116, 2.9118
117, 2.9011
118, 2.9019
119, 2.9196
120, 2.93
121, 2.9286
122, 2.9276
123, 2.9171
124, 2.935
125, 2.9345
126, 2.9339
127, 2.9222
128, 2.9165
129, 2.9086
130, 2.8981
131, 2.9075
132, 2.9057
133, 2.9403
134, 2.9253
135, 2.923
136, 2.9309
137, 2.9252
138, 2.9153
139, 3.0231
140, 2.9634
141, 2.9348
142, 2.931
143, 2.9168
144, 2.9136
145, 2.9022
146, 2.8994
147, 2.9124
148, 2.9096
149, 2.9702
150, 3.0099
151, 2.9841
152, 3.1482
153, 2.9257
154, 2.9164
155, 2.9159
156, 2.9513
157, 2.9137
158, 2.8918
159, 2.92
160, 2.9293
161, 2.9189
162, 2.9262
163, 2.9016
164, 2.9003
165, 3.0317
166, 2.9169
167, 2.8895
168, 2.8928
169, 2.9172
170, 2.917
171, 2.9862
172, 2.9627
173, 2.888
174, 2.8887
175, 2.8931
176, 3.0227
177, 2.9187
178, 2.8987
179, 2.8841
180, 2.8896
181, 2.9306
182, 2.9217
183, 2.9163
184, 2.9343
185, 2.9007
186, 2.9148
187, 2.9537
188, 2.9232
189, 2.8943
190, 2.8991
191, 2.8834
192, 2.9069
193, 2.8848
194, 2.911
195, 2.8868
196, 2.8907
197, 2.9011
198, 3.0269
199, 2.9547
200, 2.9029
201, 3.4264
202, 2.8847
203, 2.8828
204, 2.8752
205, 2.8916
206, 2.8669
207, 2.9007
208, 2.8892
209, 2.93
210, 2.9286
211, 2.9009
212, 2.8932
213, 2.903
214, 2.8699
215, 2.8912
216, 2.8888
217, 2.8951
218, 2.8896
219, 2.8825
220, 2.9037
221, 2.9057
222, 2.9041
223, 2.8825
224, 2.8814
225, 2.8766
226, 2.9081
227, 2.8835
228, 2.886
229, 2.9017
230, 2.919
231, 2.9304
232, 2.9688
233, 2.9799
234, 2.9278
235, 2.8808
236, 2.9059
237, 2.9208
238, 2.9475
239, 2.929
240, 2.9096
241, 2.9104
242, 2.9216
243, 2.9104
244, 2.9201
245, 2.8963
246, 2.903
247, 2.9274
248, 2.95
249, 2.9276
250, 2.9123
251, 2.9209
252, 2.9275
253, 2.948
254, 2.9466
255, 2.9351
256, 2.9054
257, 2.892
258, 2.929
259, 2.9452
260, 2.9363
261, 2.9122
262, 2.9096
263, 2.9275
264, 2.9979
265, 3.014
266, 2.9181
267, 2.9261
268, 2.9213
269, 2.9285
270, 2.9443
271, 2.9469
272, 2.9447
273, 2.9539
274, 3.0231
275, 2.9786
276, 2.9569
277, 2.9572
278, 2.942
279, 2.9303
280, 3.0757
281, 3.1423
282, 2.9495
283, 2.9597
284, 2.9586
285, 3.1329
286, 3.0384
287, 2.9453
288, 2.9348
289, 2.9405
290, 2.9558
291, 2.9619
292, 2.9434
293, 2.9446
294, 2.9354
295, 2.973
296, 3.0067
297, 2.9524
298, 2.928
299, 2.927
300, 2.9274
301, 3.4158
302, 2.9871
303, 2.9174
304, 2.919
305, 2.9104
306, 2.9143
307, 2.9222
308, 2.9255
309, 2.926
310, 2.9348
311, 2.9357
312, 2.9635
313, 3.0498
314, 2.9767
315, 2.9483
316, 2.9373
317, 2.9334
318, 3.0455
319, 2.962
320, 2.9399
321, 2.9364
322, 2.9273
323, 3.1559
324, 3.2265
325, 2.9635
326, 2.9345
327, 2.9415
328, 2.9972
329, 2.9364
330, 2.9375
331, 2.9338
332, 2.929
333, 2.9288
334, 3.2052
335, 3.3486
336, 3.2049
337, 3.0483
338, 3.0792
339, 3.2461
340, 3.0304
341, 3.0126
342, 2.9968
343, 3.2876
344, 3.4141
345, 3.2869
346, 3.1021
347, 3.1094
348, 3.1611
349, 3.1748
350, 3.1332
351, 3.1196
352, 3.0944
353, 3.2404
354, 3.1014
355, 2.9974
356, 2.965
357, 2.9573
358, 2.9516
359, 2.9796
360, 2.9483
361, 2.9461
362, 2.9286
363, 2.9462
364, 2.9716
365, 2.9543
366, 2.9351
367, 2.9206
368, 2.917
369, 2.9561
370, 2.9726
371, 2.9691
372, 2.9665
373, 2.956
374, 2.9628
375, 2.9864
376, 2.9576
377, 2.9559
378, 2.9449
379, 2.9486
380, 2.9743
381, 3.0179
382, 2.9539
383, 2.9268
384, 2.9355
385, 2.9342
386, 2.9262
387, 2.9357
388, 2.9241
389, 2.9409
390, 2.9587
391, 2.9836
392, 2.9512
393, 2.943
394, 2.9573
395, 2.9691
396, 2.9822
397, 2.976
398, 2.9659
399, 2.9638
400, 2.9734
401, 3.3959
402, 3.0767
403, 2.9046
404, 2.9007
405, 2.9157
406, 2.912
407, 2.9275
408, 2.9317
409, 2.911
410, 2.9463
411, 2.9177
412, 2.9076
413, 2.9257
414, 2.9158
415, 2.9366
416, 2.93
417, 2.9477
418, 3.081
419, 2.9655
420, 2.9577
421, 2.9384
422, 2.931
423, 3.0899
424, 3.117
425, 2.994
426, 2.9398
427, 2.94
428, 2.9552
429, 2.9405
430, 2.9456
431, 2.9407
432, 2.9323
433, 2.9354
434, 2.9951
435, 2.9461
436, 2.9142
437, 2.9309
438, 2.9449
439, 3.5131
440, 3.1801
441, 2.9866
442, 2.9632
443, 2.9618
444, 2.9639
445, 2.9726
446, 2.9481
447, 2.9626
448, 2.9651
449, 2.9567
450, 2.9844
451, 3.0287
452, 2.9598
453, 2.9552
454, 2.9621
455, 2.9683
456, 2.9425
457, 2.9832
458, 2.9386
459, 2.9357
460, 3.0333
461, 3.0055
462, 2.9327
463, 2.9672
464, 2.9616
465, 3.0407
466, 3.0713
467, 2.9751
468, 3.0037
469, 2.9714
470, 2.9697
471, 2.99
472, 2.953
473, 2.9634
474, 2.9521
475, 2.9775
476, 3.0039
477, 3.0151
478, 3.0047
479, 2.9844
480, 2.9815
481, 2.9617
482, 2.9498
483, 2.9693
484, 2.9438
485, 2.939
486, 2.9445
487, 2.9875
488, 2.9307
489, 2.9426
490, 2.9579
491, 2.9513
492, 2.971
493, 2.9456
494, 2.9403
495, 2.9505
496, 2.9413
497, 2.983
498, 2.9718
499, 2.9399
