Frame, Time (ms)
0, 6.4212
1, 1.3337
2, 1.2121
3, 1.1921
4, 1.158
5, 1.1279
6, 1.1299
7, 1.1333
8, 1.1542
9, 1.1391
10, 1.1263
11, 1.1126
12, 1.1059
13, 1.0991
14, 1.1071
15, 1.1099
16, 1.1153
17, 1.1063
18, 1.1038
19, 1.6407
20, 1.5054
21, 1.5517
22, 1.6222
23, 1.6344
24, 1.5701
25, 1.4866
26, 1.4641
27, 1.9717
28, 2.046
29, 2.6194
30, 2.391
31, 2.0414
32, 1.9104
33, 2.3609
34, 2.9411
35, 3.1346
36, 2.9168
37, 2.5335
38, 2.7374
39, 3.4779
40, 3.4746
41, 3.4323
42, 2.9908
43, 3.1406
44, 3.8371
45, 3.4363
46, 3.8694
47, 3.8094
48, 3.9752
49, 3.2394
50, 3.7025
51, 3.9132
52, 4.1204
53, 3.4886
54, 3.7911
55, 4.0207
56, 4.1177
57, 3.717
58, 3.8951
59, 3.8171
60, 3.4914
61, 3.8221
62, 3.6974
63, 3.3995
64, 3.5833
65, 3.4477
66, 3.351
67, 3.5181
68, 3.3348
69, 3.2602
70, 3.4005
71, 3.3643
72, 3.3105
73, 3.4338
74, 3.2655
75, 3.2424
76, 3.2705
77, 3.3376
78, 3.211
79, 3.1407
80, 3.1062
81, 3.1179
82, 3.1034
83, 3.1434
84, 3.0949
85, 3.0729
86, 3.1334
87, 3.1133
88, 3.0912
89, 3.0703
90, 3.0834
91, 3.0845
92, 3.1009
93, 3.0709
94, 3.0606
95, 3.0699
96, 3.1411
97, 3.3216
98, 3.2191
99, 3.1622
100, 3.2245
101, 3.8584
102, 3.6097
103, 3.5503
104, 3.3401
105, 3.178
106, 3.0908
107, 3.1225
108, 3.1092
109, 3.117
110, 3.1293
111, 3.1573
112, 3.0965
113, 3.0755
114, 3.1201
115, 3.0248
116, 3.0325
117, 3.0422
118, 3.0428
119, 3.0297
120, 3.0429
121, 3.0161
122, 3.0951
123, 3.065
124, 3.0366
125, 3.1256
126, 3.0547
127, 3.5219
128, 3.2012
129, 3.0768
130, 3.0658
131, 3.0558
