Frame, Time (ms)
0, 5.6071
1, 0.9297
2, 0.9189
3, 0.8361
4, 0.9721
5, 0.8308
6, 0.8168
7, 0.8456
8, 0.8031
9, 0.7968
10, 0.7925
11, 0.8812
12, 0.817
13, 0.8048
14, 0.796
15, 0.8076
16, 0.794
17, 0.874
18, 0.869
19, 1.2666
20, 1.1378
21, 1.1912
22, 1.2007
23, 1.1996
24, 1.2239
25, 1.1407
26, 1.2212
27, 1.6373
28, 1.6163
29, 1.9676
30, 1.7982
31, 1.6029
32, 1.5709
33, 1.8411
34, 2.2459
35, 2.438
36, 2.2674
37, 1.9759
38, 2.1664
39, 2.7093
40, 2.5824
41, 2.5881
42, 2.335
43, 2.5083
44, 3.0603
45, 2.7311
46, 2.8709
47, 2.9242
48, 3.1982
49, 2.5997
50, 2.8472
51, 3.1414
52, 3.2787
53, 2.8461
54, 2.8983
55, 3.4697
56, 3.2698
57, 2.953
58, 3.0118
59, 3.0019
60, 2.778
61, 3.1189
62, 2.8717
63, 2.8583
64, 2.9754
65, 2.7583
66, 2.7031
67, 2.7436
68, 2.7108
69, 2.6358
70, 2.7528
71, 2.6255
72, 2.6433
73, 2.6699
74, 2.6317
75, 2.605
76, 2.5594
77, 2.6264
78, 2.6731
79, 2.4968
80, 2.4987
81, 2.5035
82, 2.4925
83, 2.5443
84, 2.582
85, 2.6221
86, 2.596
87, 2.5656
88, 2.6033
89, 2.5143
90, 2.5422
91, 2.4509
92, 2.4601
93, 2.4383
94, 2.469
95, 2.4336
96, 2.4296
97, 2.4926
98, 2.4108
99, 2.4412
100, 2.4872
101, 2.4276
102, 2.4681
103, 2.5835
104, 2.5481
105, 2.5213
106, 2.5425
107, 2.571
108, 2.4525
109, 2.5603
110, 2.4173
111, 2.4116
112, 2.421
113, 2.4002
114, 2.3952
115, 2.4073
116, 2.4527
117, 2.4232
118, 2.4198
119, 2.4668
120, 2.5661
121, 2.5229
122, 2.5965
123, 2.5557
124, 2.5426
125, 2.508
126, 2.5145
127, 2.4577
128, 2.4407
129, 2.4189
130, 2.4039
131, 2.4112
132, 2.4251
133, 2.4122
134, 2.4419
135, 2.4204
136, 2.4219
137, 2.3982
138, 2.4698
139, 2.4391
140, 2.5244
141, 2.4774
142, 2.4757
143, 2.4833
144, 2.4459
145, 2.4287
146, 2.4357
147, 2.4512
148, 2.4349
149, 2.4209
150, 2.4085
151, 2.4105
152, 2.3656
153, 2.3664
154, 2.4204
155, 2.4874
156, 2.4673
157, 2.5298
158, 2.5544
159, 2.4867
160, 2.5023
161, 2.4548
162, 2.4435
163, 2.4306
164, 2.3888
165, 2.3765
166, 2.3418
167, 2.4327
168, 2.3711
169, 2.3731
170, 2.3986
171, 2.3721
172, 2.4165
173, 2.3962
174, 2.4859
175, 2.538
176, 2.4609
177, 2.4497
178, 2.4461
179, 2.4598
180, 2.4468
181, 2.4446
182, 2.4017
183, 2.4125
184, 2.387
185, 2.3643
186, 2.4148
187, 2.4732
188, 2.4718
189, 2.685
190, 2.4862
191, 2.5279
192, 2.4528
193, 2.487
194, 2.4942
195, 2.4818
196, 2.4879
197, 2.3924
198, 2.3985
199, 2.5079
200, 2.4037
201, 2.5418
202, 2.7179
203, 2.6901
204, 2.6347
205, 2.7025
206, 2.5651
207, 2.6353
208, 2.7982
209, 2.91
210, 2.9791
211, 3.0565
212, 3.0279
213, 3.0528
214, 3.0031
215, 2.9945
216, 2.9505
217, 2.8016
218, 2.796
219, 2.6604
220, 2.5867
221, 2.4637
222, 2.4134
223, 2.459
224, 2.396
225, 2.3529
226, 2.3641
227, 2.3829
228, 2.3269
229, 2.4598
230, 2.4286
231, 2.4321
232, 2.5516
233, 2.4162
234, 2.4081
235, 2.41
236, 2.3778
237, 2.3418
238, 2.3801
239, 2.3963
240, 2.4581
241, 2.4702
242, 2.5276
243, 2.5185
244, 2.4849
245, 2.4861
246, 2.4608
247, 2.4095
248, 2.4086
249, 2.3776
250, 2.386
251, 2.3758
252, 2.4172
253, 2.3707
254, 2.4225
255, 2.3912
256, 2.3694
257, 2.4037
258, 2.3584
259, 2.359
260, 2.4647
261, 2.3866
262, 2.476
263, 2.4977
264, 2.4475
265, 2.4619
266, 2.4815
267, 2.4884
268, 2.4513
269, 2.4295
270, 2.3997
271, 2.3806
272, 2.3633
273, 2.3705
274, 2.3978
275, 2.4471
276, 2.389
277, 2.3997
278, 2.4087
279, 2.4298
280, 2.4236
281, 2.495
282, 2.4489
283, 2.4691
284, 2.4363
285, 2.4387
286, 2.4706
287, 2.3956
288, 2.4224
289, 2.3907
290, 2.3974
291, 2.4189
292, 2.3969
293, 2.3817
294, 2.4575
295, 2.4032
296, 2.4204
297, 2.472
298, 2.4803
299, 2.4898
300, 2.4673
301, 2.5114
302, 2.4509
303, 2.4422
304, 2.3811
305, 2.3795
306, 2.4188
307, 2.419
308, 2.4095
309, 2.3666
310, 2.3718
311, 2.4056
312, 2.3806
313, 2.3833
314, 2.4781
315, 2.4333
316, 2.4494
317, 2.4502
318, 2.4525
319, 2.4779
320, 2.4798
321, 2.4634
322, 2.4372
323, 2.4017
324, 2.3869
325, 2.418
326, 2.3937
327, 2.4781
328, 2.418
329, 2.4025
330, 2.3927
331, 2.406
332, 2.4158
333, 2.4434
334, 2.4475
335, 2.4492
336, 2.5022
337, 2.5113
338, 2.4695
339, 2.4586
340, 2.4405
341, 2.4162
342, 2.4113
343, 2.418
344, 2.3975
345, 2.3718
346, 2.411
347, 2.3867
348, 2.4414
349, 2.3566
350, 2.389
351, 2.4558
352, 2.488
353, 2.4662
354, 2.508
355, 2.4753
356, 2.4865
357, 2.4895
358, 2.4765
359, 2.4133
360, 2.3834
361, 2.446
362, 2.4297
363, 2.3768
364, 2.3731
365, 2.4269
366, 2.3767
367, 2.4313
368, 2.4468
369, 2.441
370, 2.4603
371, 2.4414
372, 2.4857
373, 2.4401
374, 2.4686
375, 2.425
376, 2.4227
377, 2.4037
378, 2.4229
379, 2.4363
380, 2.3906
381, 2.4209
382, 2.3895
383, 2.4129
384, 2.4268
385, 2.4513
386, 2.3873
387, 2.4383
388, 2.4664
389, 2.4363
390, 2.486
391, 2.6324
392, 2.5485
393, 2.4591
394, 2.4462
395, 2.4432
396, 2.4563
397, 2.4618
398, 2.4696
399, 2.4759
400, 2.4193
401, 2.3744
402, 2.4083
403, 2.4396
404, 2.3905
405, 2.396
406, 2.4195
407, 2.4491
408, 2.4771
409, 2.5215
410, 2.5625
411, 2.5252
412, 2.452
413, 2.4928
414, 2.4434
415, 2.4017
416, 2.3629
417, 2.4549
418, 2.4109
419, 2.3866
420, 2.365
421, 2.3539
422, 2.4171
423, 2.4341
424, 2.4469
425, 2.5068
426, 2.4614
427, 2.4734
428, 2.4473
429, 2.4796
430, 2.5144
431, 2.4374
432, 2.4163
433, 2.4459
434, 2.4101
435, 2.4109
436, 2.4553
437, 2.3761
438, 2.4083
439, 2.3602
440, 2.4244
441, 2.4369
442, 2.5578
443, 2.5074
444, 2.4577
445, 2.5129
446, 2.4652
447, 2.5407
448, 2.448
449, 2.5321
450, 2.4344
451, 2.4317
452, 2.3963
453, 2.4207
454, 2.4016
455, 2.4586
456, 2.4398
457, 2.3793
458, 2.3795
459, 2.4347
460, 2.4082
461, 2.4473
462, 2.5203
463, 2.4818
464, 2.5525
465, 2.5223
