step,wall_ns,manifolds,pairs,top_y,awake
0,5442400,4495,9570,35.998295,
1,4234100,4196,9570,35.993866,
2,3844100,4142,9570,35.986713,
3,3915400,4111,9570,35.976837,
4,3834100,4100,9570,35.964233,
5,3856000,4087,9570,35.948902,
6,3886700,4079,9570,35.93085,
7,3918900,4073,9570,35.910072,
8,3852200,4066,9570,35.88657,
9,3838300,4061,9570,35.86034,
10,3872500,4053,9570,35.831387,
11,3922600,4054,9570,35.79971,
12,3855500,4056,9570,35.765305,
13,3856900,4055,9570,35.728176,
14,3880500,4060,9570,35.688324,
15,3944700,4057,9570,35.64575,
16,3896500,4055,9570,35.600445,
17,3829600,4051,9570,35.552414,
18,3858100,4049,9570,35.501663,
19,3866000,4050,9570,35.448185,
20,4416600,4829,9570,35.391983,
21,4158900,4715,9570,35.333054,
22,4162500,4565,9570,35.2714,
23,4105500,4496,9570,35.207024,
24,4030500,4419,9570,35.13992,
25,4248800,4390,9570,35.07009,
26,4342600,4353,9570,34.997536,
27,6751400,4336,9570,34.92226,
28,4488900,4982,9570,34.844257,
29,4480200,4783,9570,34.763527,
30,4243700,4670,9570,34.680073,
31,4249400,4639,9570,34.593895,
32,4155900,4573,9570,34.504993,
33,4263600,4491,9570,34.413364,
34,4342400,5031,9570,34.31901,
35,4264800,4806,9570,34.221935,
36,4178300,4646,9570,34.12213,
37,4312200,4535,9570,34.019604,
38,4136100,4502,9570,33.91435,
39,4328500,4984,9570,33.806374,
40,4652000,5009,9570,33.69567,
41,4535000,4852,9570,33.58224,
42,4518000,4753,9570,33.466087,
43,4730100,4728,9570,33.34721,
44,4429400,4996,9570,33.22561,
45,5052700,5112,9570,33.10128,
46,4913400,4923,9570,32.974224,
47,5227300,4760,9570,32.844448,
48,4687900,5001,9570,32.711945,
49,4486300,5139,9570,32.576717,
50,4361200,4996,9570,32.438763,
51,4309400,4871,9570,32.298084,
52,4393600,5093,9570,32.154682,
53,4443800,4972,9570,32.008553,
54,4390800,4792,9570,31.8597,
55,4446400,4796,9570,31.70812,
56,4343700,4911,9570,31.553818,
57,4271800,4780,9570,31.39679,
58,4243100,4734,9570,31.237036,
59,4188900,4748,9570,31.074558,
60,4191200,4704,9570,30.909355,
61,4184700,4678,9570,30.741426,
62,4135900,4666,9570,30.570772,
63,4151100,4609,9570,30.397394,
64,4233500,4623,9570,30.22129,
65,4201800,4625,9570,30.042463,
66,4259200,4579,9570,29.860909,
67,4143900,4610,9570,29.67663,
68,4053000,4550,9570,29.489626,
69,4037000,4524,9570,29.299898,
70,4027300,4535,9570,29.107445,
71,4025800,4528,9570,28.912266,
72,4091300,4533,9570,28.714361,
73,4058600,4529,9570,28.745474,
74,4078500,4530,9570,28.77165,
75,4155600,4529,9570,28.79591,
76,4072000,4524,9570,28.816788,
77,4025900,4517,9570,28.83433,
78,4022700,4520,9570,28.848581,
79,4051400,4514,9568,28.862343,
80,4226900,4519,9568,28.873486,
81,4187100,4518,9568,28.88324,
82,4049000,4518,9568,28.892859,
83,4079000,4516,9568,28.90075,
84,4069100,4517,9567,28.907646,
85,4218600,4508,9565,28.914537,
86,4173300,4519,9565,28.920815,
87,4071000,4516,9565,28.92588,
88,4020700,4518,9565,28.930962,
89,4023800,4519,9565,28.935617,
90,4074100,4514,9565,28.939785,
91,4018000,4516,9565,28.943506,
92,4196500,4512,9565,28.946703,
93,4065200,4508,9565,28.949604,
94,4060500,4522,9565,28.952375,
95,4067200,4519,9565,28.954878,
96,4010000,4521,9565,28.957104,
97,4185800,4517,9565,28.9592,
98,4192600,4515,9565,28.960983,
99,4016600,4520,9565,28.96278,
100,4019100,4521,9564,28.964386,
101,4200000,4521,9564,28.965906,
102,4208700,4521,9563,28.967402,
103,4202600,4520,9563,28.968788,
104,4222500,4522,9563,28.969984,
105,4079800,4518,9563,28.971111,
106,4043500,4521,9563,28.97221,
107,4092800,4523,9563,28.97325,
108,4084700,4515,9562,28.974203,
109,4062400,4517,9562,28.975157,
110,4105100,4516,9562,28.976004,
111,3989300,4515,9562,28.976778,
112,4178000,4519,9562,28.977486,
113,4020900,4520,9562,28.978231,
114,4019400,4520,9562,28.97893,
115,4016200,4519,9561,28.979557,
116,4086900,4526,9561,28.980162,
117,4180700,4519,9561,28.980728,
118,4197800,4521,9561,28.981266,
119,4094900,4517,9561,28.981787,
120,4068200,4523,9561,28.982262,
121,4048700,4523,9561,28.98269,
122,4080500,4521,9561,28.983118,
123,4031300,4522,9561,28.98351,
124,4038300,4518,9561,28.98387,
125,4017500,4521,9561,28.984217,
126,4076900,4521,9561,28.984558,
127,4031500,4517,9561,28.98485,
128,4024300,4522,9561,28.98514,
129,4178600,4521,9561,28.98541,
130,4007500,4519,9560,28.98568,
131,4170600,4526,9559,28.98593,
132,4048000,4524,9559,28.986149,
133,4007100,4516,9559,28.98636,
134,4055200,4520,9559,28.98657,
135,4044200,4522,9559,28.986776,
136,4061900,4519,9559,28.986969,
137,4061700,4521,9559,28.987137,
138,4059900,4521,9559,28.9873,
139,4112900,4521,9559,28.987465,
140,4190200,4518,9559,28.987623,
141,4221700,4523,9559,28.987766,
142,4057400,4524,9559,28.987892,
143,4197900,4523,9559,28.98802,
144,4197700,4520,9559,28.988153,
145,4045400,4519,9559,28.98826,
146,4063200,4520,9559,28.988363,
147,4031400,4522,9559,28.988459,
148,4026400,4517,9559,28.988543,
149,4084400,4519,9559,28.988642,
150,4058000,4522,9559,28.98874,
151,4031200,4520,9559,28.98882,
152,4042300,4523,9559,28.988888,
153,4018100,4523,9559,28.988964,
154,4049900,4524,9559,28.989048,
155,4010200,4521,9559,28.989117,
156,4181000,4520,9559,28.989172,
157,4074800,4519,9559,28.989218,
158,4230200,4519,9559,28.98927,
159,4036400,4518,9559,28.98933,
160,4087200,4519,9559,28.989386,
161,4064500,4521,9559,28.989433,
162,4038200,4518,9559,28.989477,
163,4076600,4520,9559,28.989515,
164,4077600,4520,9559,28.989552,
165,4111700,4519,9559,28.989582,
166,4159300,4516,9559,28.989613,
167,4039400,4518,9559,28.989645,
168,4173200,4518,9559,28.989676,
169,4055400,4514,9559,28.9897,
170,4092800,4515,9559,28.989725,
171,4056700,4512,9559,28.989754,
172,4063400,4513,9559,28.98977,
173,4019300,4515,9559,28.989801,
174,4043300,4515,9559,28.989834,
175,4073400,4515,9559,28.989851,
176,4091600,4514,9559,28.989864,
177,4041700,4516,9559,28.989883,
178,4180000,4515,9559,28.989906,
179,4217200,4515,9559,28.989923,
180,4109100,4515,9559,28.98993,
181,4263100,4517,9559,28.98993,
182,4006000,4517,9559,28.98994,
183,4083500,4516,9559,28.989958,
184,4217200,4516,9559,28.98997,
185,4030100,4514,9559,28.989977,
186,4051500,4515,9559,28.98999,
187,4143900,4516,9559,28.990005,
188,4251000,4519,9559,28.990013,
189,4056200,4519,9559,28.990015,
190,4064400,4519,9559,28.990025,
191,4004900,4520,9559,28.99004,
192,4028000,4522,9559,28.990047,
193,4011300,4521,9559,28.990053,
194,4019800,4522,9559,28.990055,
195,4196600,4521,9559,28.99006,
196,4277200,4522,9559,28.99006,
197,4042600,4523,9559,28.990076,
198,4026800,4523,9559,28.990084,
199,4073800,4524,9559,28.990086,
200,4178200,4522,9559,28.990088,
201,4220200,4522,9559,28.990097,
202,4018700,4521,9559,28.99011,
203,4004500,4525,9559,28.990112,
204,4021200,4526,9559,28.990108,
205,4004100,4524,9559,28.990114,
206,4154500,4523,9559,28.99012,
207,4189500,4523,9559,28.990118,
208,4213800,4523,9559,28.990112,
209,4043400,4522,9559,28.990116,
210,4025900,4522,9559,28.990122,
211,4045400,4523,9559,28.990128,
212,4275300,4523,9559,28.990124,
213,4143300,4523,9559,28.99013,
214,4153400,4524,9559,28.990137,
215,4363100,4524,9559,28.990137,
216,4205600,4526,9559,28.990137,
217,4047800,4524,9559,28.990143,
218,4082100,4525,9559,28.990149,
219,4039500,4524,9559,28.990149,
220,4029900,4523,9559,28.990152,
221,4076600,4522,9559,28.99016,
222,4051200,4522,9559,28.990164,
