step,wall_ns,manifolds,pairs,top_y,awake
0,3412200,4495,9570,35.998295,
1,2082700,4196,9570,35.993866,
2,1974700,4142,9570,35.986713,
3,1924000,4111,9570,35.976837,
4,1916400,4100,9570,35.964233,
5,1977500,4087,9570,35.948902,
6,1952100,4079,9570,35.93085,
7,1932900,4073,9570,35.910072,
8,1892700,4066,9570,35.88657,
9,1910200,4061,9570,35.86034,
10,1901100,4053,9570,35.831387,
11,1891900,4054,9570,35.79971,
12,1907700,4056,9570,35.765305,
13,1912500,4055,9570,35.728176,
14,1993800,4060,9570,35.688324,
15,1906900,4057,9570,35.64575,
16,1916700,4055,9570,35.600445,
17,1907700,4051,9570,35.552414,
18,1908700,4049,9570,35.501663,
19,1906500,4050,9570,35.448185,
20,2332700,4829,9570,35.391983,
21,2245900,4715,9570,35.333054,
22,2213900,4565,9570,35.2714,
23,2198300,4496,9570,35.207024,
24,2122000,4419,9570,35.13992,
25,2111500,4390,9570,35.07009,
26,2090200,4353,9570,34.997536,
27,2090000,4336,9570,34.92226,
28,2379900,4982,9570,34.844257,
29,2363200,4783,9570,34.763527,
30,2246100,4670,9570,34.680073,
31,2216000,4639,9570,34.593895,
32,2189400,4573,9570,34.504993,
33,2153400,4491,9570,34.413364,
34,2413000,5031,9570,34.31901,
35,2323300,4806,9570,34.221935,
36,2369500,4646,9570,34.12213,
37,2273100,4535,9570,34.019604,
38,2224800,4502,9570,33.91435,
39,2407800,4984,9570,33.806374,
40,2474100,5009,9570,33.69567,
41,2378000,4852,9570,33.58224,
42,2440100,4753,9570,33.466087,
43,2431000,4728,9570,33.34721,
44,2438600,4996,9570,33.22561,
45,2517900,5112,9570,33.10128,
46,2462300,4923,9570,32.974224,
47,2400500,4760,9570,32.844448,
48,2479000,5001,9570,32.711945,
49,2561400,5139,9570,32.576717,
50,2453300,4996,9570,32.438763,
51,2379000,4871,9570,32.298084,
52,2492100,5093,9570,32.154682,
53,2435500,4972,9570,32.008553,
54,2360300,4792,9570,31.8597,
55,2366900,4796,9570,31.70812,
56,2430000,4911,9570,31.553818,
57,2356400,4780,9570,31.39679,
58,2317100,4734,9570,31.237036,
59,2314500,4748,9570,31.074558,
60,2296100,4704,9570,30.909355,
61,2271300,4678,9570,30.741426,
62,2307000,4666,9570,30.570772,
63,2266800,4609,9570,30.397394,
64,2268300,4623,9570,30.22129,
65,2242900,4625,9570,30.042463,
66,2231600,4579,9570,29.860909,
67,2228600,4610,9570,29.67663,
68,2191500,4550,9570,29.489626,
69,2207900,4524,9570,29.299898,
70,2197100,4535,9570,29.107445,
71,2202300,4528,9570,28.912266,
72,2178500,4533,9570,28.714361,
73,2177900,4529,9570,28.745474,
74,2188000,4530,9570,28.77165,
75,2164100,4529,9570,28.79591,
76,2176900,4524,9570,28.816788,
77,2161500,4517,9570,28.83433,
78,2155500,4520,9570,28.848581,
79,2165100,4514,9568,28.862343,
80,2161700,4519,9568,28.873486,
81,2142500,4518,9568,28.88324,
82,2162000,4518,9568,28.892859,
83,2184900,4516,9568,28.90075,
84,2157700,4517,9567,28.907646,
85,2165900,4508,9565,28.914537,
86,2155900,4519,9565,28.920815,
87,2159100,4516,9565,28.92588,
88,2158700,4518,9565,28.930962,
89,2162800,4519,9565,28.935617,
90,2186200,4514,9565,28.939785,
91,2224600,4516,9565,28.943506,
92,2191600,4512,9565,28.946703,
93,2209900,4508,9565,28.949604,
94,2211000,4522,9565,28.952375,
95,2185300,4519,9565,28.954878,
96,2194600,4521,9565,28.957104,
97,2182300,4517,9565,28.9592,
98,2167300,4515,9565,28.960983,
99,2170500,4520,9565,28.96278,
100,2181100,4521,9564,28.964386,
101,2150500,4521,9564,28.965906,
102,2157200,4521,9563,28.967402,
103,2154500,4520,9563,28.968788,
104,2167700,4522,9563,28.969984,
105,2179500,4518,9563,28.971111,
106,2163800,4521,9563,28.97221,
107,2158000,4523,9563,28.97325,
108,2159200,4515,9562,28.974203,
109,2168400,4517,9562,28.975157,
