step,wall_ns,manifolds,pairs,top_y,awake
0,3238300,4495,9570,35.998295,
1,2170200,4196,9570,35.993866,
2,1968100,4142,9570,35.986713,
3,1916700,4111,9570,35.976837,
4,1902800,4100,9570,35.964233,
5,2065600,4087,9570,35.948902,
6,2018300,4079,9570,35.93085,
7,1919200,4073,9570,35.910072,
8,1887200,4066,9570,35.88657,
9,1899300,4061,9570,35.86034,
10,1881700,4053,9570,35.831387,
11,1882400,4054,9570,35.79971,
12,1892200,4056,9570,35.765305,
13,2031800,4055,9570,35.728176,
14,2028200,4060,9570,35.688324,
15,2043200,4057,9570,35.64575,
16,1930200,4055,9570,35.600445,
17,1921400,4051,9570,35.552414,
18,1903100,4049,9570,35.501663,
19,1896600,4050,9570,35.448185,
20,2353200,4829,9570,35.391983,
21,2262400,4715,9570,35.333054,
22,2191200,4565,9570,35.2714,
23,2179300,4496,9570,35.207024,
24,2109700,4419,9570,35.13992,
25,2091800,4390,9570,35.07009,
26,2100300,4353,9570,34.997536,
27,2098100,4336,9570,34.92226,
28,2390100,4982,9570,34.844257,
29,2259500,4783,9570,34.763527,
30,2245200,4670,9570,34.680073,
31,2200700,4639,9570,34.593895,
32,2179200,4573,9570,34.504993,
33,2147700,4491,9570,34.413364,
34,2417800,5031,9570,34.31901,
35,2389100,4806,9570,34.221935,
36,2273500,4646,9570,34.12213,
37,2285700,4535,9570,34.019604,
38,2209700,4502,9570,33.91435,
39,2392600,4984,9570,33.806374,
40,2472800,5009,9570,33.69567,
41,2361600,4852,9570,33.58224,
42,2321900,4753,9570,33.466087,
43,2317800,4728,9570,33.34721,
44,2439500,4996,9570,33.22561,
45,2494100,5112,9570,33.10128,
46,2435900,4923,9570,32.974224,
47,2375100,4760,9570,32.844448,
48,2485700,5001,9570,32.711945,
49,2519000,5139,9570,32.576717,
50,2423200,4996,9570,32.438763,
51,2370300,4871,9570,32.298084,
52,2496300,5093,9570,32.154682,
53,2434600,4972,9570,32.008553,
54,2360100,4792,9570,31.8597,
55,2399600,4796,9570,31.70812,
56,2420800,4911,9570,31.553818,
57,2334700,4780,9570,31.39679,
58,2305700,4734,9570,31.237036,
59,2335400,4748,9570,31.074558,
60,2280300,4704,9570,30.909355,
61,2260100,4678,9570,30.741426,
62,2322500,4666,9570,30.570772,
63,2241900,4609,9570,30.397394,
64,2260400,4623,9570,30.22129,
65,2247700,4625,9570,30.042463,
66,2230200,4579,9570,29.860909,
67,2227800,4610,9570,29.67663,
68,2195100,4550,9570,29.489626,
