step,wall_ns,manifolds,pairs,top_y,awake
0,3561400,4495,9570,35.998295,
1,2212700,4196,9570,35.993866,
2,1949400,4142,9570,35.986713,
3,1926700,4111,9570,35.976837,
4,1911900,4100,9570,35.964233,
5,1897000,4087,9570,35.948902,
6,1896300,4079,9570,35.93085,
7,1909100,4073,9570,35.910072,
8,1887100,4066,9570,35.88657,
9,1892200,4061,9570,35.86034,
10,1879300,4053,9570,35.831387,
11,1886400,4054,9570,35.79971,
12,1885700,4056,9570,35.765305,
13,1918600,4055,9570,35.728176,
14,1888100,4060,9570,35.688324,
15,1893400,4057,9570,35.64575,
16,1905700,4055,9570,35.600445,
17,1907000,4051,9570,35.552414,
18,1911800,4049,9570,35.501663,
19,1953100,4050,9570,35.448185,
20,2378600,4829,9570,35.391983,
21,2440700,4715,9570,35.333054,
22,2198100,4565,9570,35.2714,
23,2225200,4496,9570,35.207024,
24,2112900,4419,9570,35.13992,
25,2115000,4390,9570,35.07009,
26,2152200,4353,9570,34.997536,
27,2065100,4336,9570,34.92226,
28,2400000,4982,9570,34.844257,
29,2262500,4783,9570,34.763527,
30,2234000,4670,9570,34.680073,
31,2204000,4639,9570,34.593895,
32,2196900,4573,9570,34.504993,
33,2151700,4491,9570,34.413364,
34,2410600,5031,9570,34.31901,
35,2321000,4806,9570,34.221935,
36,2264900,4646,9570,34.12213,
37,2228800,4535,9570,34.019604,
38,2199800,4502,9570,33.91435,
39,2397100,4984,9570,33.806374,
40,2478000,5009,9570,33.69567,
41,2380900,4852,9570,33.58224,
42,2336600,4753,9570,33.466087,
43,2330200,4728,9570,33.34721,
44,2449200,4996,9570,33.22561,
45,2501100,5112,9570,33.10128,
46,2470600,4923,9570,32.974224,
47,2487800,4760,9570,32.844448,
48,2632900,5001,9570,32.711945,
49,2674100,5139,9570,32.576717,
50,2600700,4996,9570,32.438763,
51,2516600,4871,9570,32.298084,
52,2570500,5093,9570,32.154682,
53,2565400,4972,9570,32.008553,
54,2466000,4792,9570,31.8597,
55,2496800,4796,9570,31.70812,
56,2432800,4911,9570,31.553818,
57,2357400,4780,9570,31.39679,
58,2306300,4734,9570,31.237036,
59,2312500,4748,9570,31.074558,
60,2305400,4704,9570,30.909355,
61,2264800,4678,9570,30.741426,
62,2281900,4666,9570,30.570772,
63,2265800,4609,9570,30.397394,
64,2255900,4623,9570,30.22129,
65,2245800,4625,9570,30.042463,
66,2226800,4579,9570,29.860909,
67,2612600,4610,9570,29.67663,
68,2504700,4550,9570,29.489626,
69,2521900,4524,9570,29.299898,
70,2466900,4535,9570,29.107445,
71,2304800,4528,9570,28.912266,
72,2272500,4533,9570,28.714361,
73,2382600,4529,9570,28.745474,
74,2290300,4530,9570,28.77165,
75,2269200,4529,9570,28.79591,
76,2277100,4524,9570,28.816788,
77,2455600,4517,9570,28.83433,
78,2508500,4520,9570,28.848581,
79,2392300,4514,9568,28.862343,
80,2535000,4519,9568,28.873486,
81,2212700,4518,9568,28.88324,
82,2186000,4518,9568,28.892859,
83,2175500,4516,9568,28.90075,
84,2163200,4517,9567,28.907646,
85,2150200,4508,9565,28.914537,
86,2146500,4519,9565,28.920815,
87,2171000,4516,9565,28.92588,
88,2153400,4518,9565,28.930962,
89,2167600,4519,9565,28.935617,
90,2178400,4514,9565,28.939785,
91,2158100,4516,9565,28.943506,
92,2165200,4512,9565,28.946703,
93,2178900,4508,9565,28.949604,
94,2267600,4522,9565,28.952375,
95,2299200,4519,9565,28.954878,
96,2265900,4521,9565,28.957104,
97,2186300,4517,9565,28.9592,
98,2182400,4515,9565,28.960983,
99,2169500,4520,9565,28.96278,
100,2170700,4521,9564,28.964386,
101,2381400,4521,9564,28.965906,
102,2209900,4521,9563,28.967402,
103,2151900,4520,9563,28.968788,
104,2176400,4522,9563,28.969984,
105,2238000,4518,9563,28.971111,
106,2177100,4521,9563,28.97221,
107,2161700,4523,9563,28.97325,
108,2166500,4515,9562,28.974203,
109,2179700,4517,9562,28.975157,
110,2184200,4516,9562,28.976004,
111,2178500,4515,9562,28.976778,
112,2150400,4519,9562,28.977486,
113,2151400,4520,9562,28.978231,
114,2166700,4520,9562,28.97893,
115,2167000,4519,9561,28.979557,
116,2361300,4526,9561,28.980162,
