Frame, Time (ms)
0, 10.5205
1, 1.3224
2, 1.2146
3, 1.2116
4, 1.1876
5, 1.1923
6, 1.2205
7, 1.1955
8, 1.1922
9, 1.1831
10, 1.187
11, 1.2241
12, 1.1999
13, 1.1936
14, 1.2056
15, 1.205
16, 1.1864
17, 1.1847
18, 1.2104
19, 1.9208
20, 1.6926
21, 1.7923
22, 1.9876
23, 1.962
24, 1.7709
25, 1.7131
26, 1.614
27, 2.3521
28, 2.4995
29, 3.6507
30, 3.1959
31, 2.4915
32, 2.2514
33, 2.8376
34, 3.9014
35, 4.6603
36, 3.9438
37, 3.1945
38, 3.4028
39, 4.8094
40, 4.6097
41, 4.5019
42, 3.8646
43, 4.1299
44, 5.4306
45, 4.7407
46, 5.0023
47, 5.1745
48, 5.6142
49, 4.1028
50, 4.9848
51, 5.1925
52, 5.6787
53, 4.4605
54, 4.7266
55, 5.4122
56, 5.5501
57, 4.9356
58, 5.1172
59, 5.0856
60, 4.4134
61, 5.0099
62, 4.5778
63, 4.1015
64, 4.538
65, 4.4542
66, 4.0243
67, 4.3573
68, 4.1738
69, 3.8481
70, 4.052
71, 4.0274
72, 3.9187
73, 3.9722
74, 3.897
75, 3.8611
76, 3.9807
77, 3.805
78, 3.6912
79, 3.7952
80, 3.6088
81, 3.6022
82, 3.5427
83, 3.5243
84, 3.585
85, 3.8054
86, 3.6195
87, 3.5857
88, 3.6581
89, 3.575
90, 3.6235
91, 3.5016
92, 3.5035
93, 3.4947
94, 3.4944
95, 3.4651
96, 3.4733
97, 3.457
98, 3.4877
99, 3.4611
100, 3.4475
101, 3.441
102, 3.4428
103, 3.598
104, 3.669
105, 3.825
106, 3.5171
107, 3.567
108, 3.4744
109, 3.4384
110, 3.4383
111, 3.4476
112, 3.4909
113, 3.4445
114, 3.4686
115, 3.4485
116, 3.4901
117, 3.4277
118, 3.4777
119, 3.4605
120, 3.4865
121, 3.5481
122, 3.4495
123, 3.4406
124, 3.4621
125, 3.4802
126, 3.4615
127, 3.4442
128, 3.5964
129, 3.4395
