step,wall_ns,manifolds,pairs,top_y,awake
0,3403100,4495,9570,35.998295,
1,2315200,4196,9570,35.993866,
2,2182200,4142,9570,35.986713,
3,2144100,4111,9570,35.976837,
4,2196400,4100,9570,35.964233,
5,2152300,4087,9570,35.948902,
6,2284800,4079,9570,35.93085,
7,2229900,4073,9570,35.910072,
8,2141600,4066,9570,35.88657,
9,2127200,4061,9570,35.86034,
10,2202300,4053,9570,35.831387,
11,2268800,4054,9570,35.79971,
12,2171400,4056,9570,35.765305,
13,2245800,4055,9570,35.728176,
14,2338300,4060,9570,35.688324,
15,2136600,4057,9570,35.64575,
16,2141500,4055,9570,35.600445,
17,2140700,4051,9570,35.552414,
18,2112800,4049,9570,35.501663,
19,2122700,4050,9570,35.448185,
20,2833300,4829,9570,35.391983,
21,2609100,4715,9570,35.333054,
22,2422100,4565,9570,35.2714,
23,2435800,4496,9570,35.207024,
24,2405700,4419,9570,35.13992,
25,2378000,4390,9570,35.07009,
26,2338000,4353,9570,34.997536,
27,2301600,4336,9570,34.92226,
28,2737200,4982,9570,34.844257,
29,2505400,4783,9570,34.763527,
30,2469500,4670,9570,34.680073,
31,2425700,4639,9570,34.593895,
32,2446600,4573,9570,34.504993,
33,2354300,4491,9570,34.413364,
34,2650800,5031,9570,34.31901,
35,2563200,4806,9570,34.221935,
36,2496800,4646,9570,34.12213,
37,2459500,4535,9570,34.019604,
38,2415000,4502,9570,33.91435,
39,2711900,4984,9570,33.806374,
40,2896900,5009,9570,33.69567,
41,2607000,4852,9570,33.58224,
42,2509100,4753,9570,33.466087,
43,2603900,4728,9570,33.34721,
44,2639700,4996,9570,33.22561,
45,2810300,5112,9570,33.10128,
46,2814000,4923,9570,32.974224,
47,2694800,4760,9570,32.844448,
48,2770800,5001,9570,32.711945,
49,2724000,5139,9570,32.576717,
50,2598000,4996,9570,32.438763,
51,2579400,4871,9570,32.298084,
52,2737000,5093,9570,32.154682,
53,2730300,4972,9570,32.008553,
54,2579500,4792,9570,31.8597,
55,2546600,4796,9570,31.70812,
56,2599800,4911,9570,31.553818,
57,2536700,4780,9570,31.39679,
58,2508900,4734,9570,31.237036,
59,2470200,4748,9570,31.074558,
60,2575700,4704,9570,30.909355,
61,2532500,4678,9570,30.741426,
62,2459200,4666,9570,30.570772,
63,2487200,4609,9570,30.397394,
64,2562200,4623,9570,30.22129,
65,2479600,4625,9570,30.042463,
66,2507900,4579,9570,29.860909,
67,2401100,4610,9570,29.67663,
68,2485700,4550,9570,29.489626,
69,2368800,4524,9570,29.299898,
70,2375300,4535,9570,29.107445,
71,2347000,4528,9570,28.912266,
72,2382500,4533,9570,28.714361,
73,2343100,4529,9570,28.745474,
74,2347100,4530,9570,28.77165,
75,2304400,4529,9570,28.79591,
76,2475200,4524,9570,28.816788,
77,2353500,4517,9570,28.83433,
78,2305200,4520,9570,28.848581,
79,2320700,4514,9568,28.862343,
80,2301000,4519,9568,28.873486,
81,2310300,4518,9568,28.88324,
82,2351900,4518,9568,28.892859,
83,2433700,4516,9568,28.90075,
84,2321100,4517,9567,28.907646,
85,2391200,4508,9565,28.914537,
86,2323700,4519,9565,28.920815,
87,2310900,4516,9565,28.92588,
88,2297800,4518,9565,28.930962,
89,2345200,4519,9565,28.935617,
90,2298200,4514,9565,28.939785,
91,2311100,4516,9565,28.943506,
92,2329700,4512,9565,28.946703,
93,2313200,4508,9565,28.949604,
94,2367000,4522,9565,28.952375,
95,2328500,4519,9565,28.954878,
96,2329800,4521,9565,28.957104,
97,2319600,4517,9565,28.9592,
98,2311300,4515,9565,28.960983,
99,2296300,4520,9565,28.96278,
100,2315500,4521,9564,28.964386,
101,2316900,4521,9564,28.965906,
102,2348800,4521,9563,28.967402,
103,2399100,4520,9563,28.968788,
104,2328900,4522,9563,28.969984,
105,2335500,4518,9563,28.971111,
106,2346500,4521,9563,28.97221,
107,2308800,4523,9563,28.97325,
108,2332300,4515,9562,28.974203,
109,2327700,4517,9562,28.975157,
110,2342500,4516,9562,28.976004,
111,2298200,4515,9562,28.976778,
112,2361000,4519,9562,28.977486,
113,2355800,4520,9562,28.978231,
114,2292400,4520,9562,28.97893,
115,2305500,4519,9561,28.979557,
116,2305100,4526,9561,28.980162,
117,2339300,4519,9561,28.980728,
118,2341200,4521,9561,28.981266,
119,2353900,4517,9561,28.981787,
120,2310000,4523,9561,28.982262,
121,2331500,4523,9561,28.98269,
122,2342500,4521,9561,28.983118,
123,2398300,4522,9561,28.98351,
124,2445100,4518,9561,28.98387,
125,2361100,4521,9561,28.984217,
126,2391700,4521,9561,28.984558,
127,2499200,4517,9561,28.98485,
128,2402000,4522,9561,28.98514,
129,2468000,4521,9561,28.98541,
130,2358500,4519,9560,28.98568,
131,2384000,4526,9559,28.98593,
132,2385200,4524,9559,28.986149,
133,2343500,4516,9559,28.98636,
134,2326600,4520,9559,28.98657,
135,2315400,4522,9559,28.986776,
136,2273000,4519,9559,28.986969,
137,2347800,4521,9559,28.987137,
138,2316600,4521,9559,28.9873,
139,2289500,4521,9559,28.987465,
140,2329200,4518,9559,28.987623,
141,2294100,4523,9559,28.987766,
142,2302900,4524,9559,28.987892,
143,2307800,4523,9559,28.98802,
144,2275400,4520,9559,28.988153,
145,2297500,4519,9559,28.98826,
146,2308000,4520,9559,28.988363,
147,2287400,4522,9559,28.988459,
148,2291900,4517,9559,28.988543,
149,2314600,4519,9559,28.988642,
150,2314800,4522,9559,28.98874,
151,2289400,4520,9559,28.98882,
152,2294600,4523,9559,28.988888,
153,2277500,4523,9559,28.988964,
154,2306800,4524,9559,28.989048,
155,2350100,4521,9559,28.989117,
156,2322100,4520,9559,28.989172,
157,2338600,4519,9559,28.989218,
158,2336100,4519,9559,28.98927,
159,2346200,4518,9559,28.98933,
160,2397100,4519,9559,28.989386,
161,2305100,4521,9559,28.989433,
162,2266300,4518,9559,28.989477,
163,2308600,4520,9559,28.989515,
164,2452000,4520,9559,28.989552,
165,2345100,4519,9559,28.989582,
166,2373900,4516,9559,28.989613,
167,2424100,4518,9559,28.989645,
168,2323700,4518,9559,28.989676,
169,2336700,4514,9559,28.9897,
170,2314700,4515,9559,28.989725,
171,2262700,4512,9559,28.989754,
172,2298300,4513,9559,28.98977,
173,2363700,4515,9559,28.989801,
174,2355700,4515,9559,28.989834,
175,2279200,4515,9559,28.989851,
176,2270200,4514,9559,28.989864,
177,2274400,4516,9559,28.989883,
178,2381200,4515,9559,28.989906,
179,2453100,4515,9559,28.989923,
180,2397700,4515,9559,28.98993,
181,2374100,4517,9559,28.98993,
182,2366100,4517,9559,28.98994,
183,2345600,4516,9559,28.989958,
184,2309000,4516,9559,28.98997,
185,2296000,4514,9559,28.989977,
186,2315400,4515,9559,28.98999,
187,2284500,4516,9559,28.990005,
188,2347200,4519,9559,28.990013,
189,2437200,4519,9559,28.990015,
190,2304400,4519,9559,28.990025,
191,2369000,4520,9559,28.99004,
192,2308300,4522,9559,28.990047,
193,2313200,4521,9559,28.990053,
194,2365100,4522,9559,28.990055,
195,2292200,4521,9559,28.99006,
196,2358500,4522,9559,28.99006,
197,2305600,4523,9559,28.990076,
198,2423300,4523,9559,28.990084,
199,2372700,4524,9559,28.990086,
200,2353400,4522,9559,28.990088,
201,2311400,4522,9559,28.990097,
202,2320000,4521,9559,28.99011,
203,2379900,4525,9559,28.990112,
204,2331300,4526,9559,28.990108,
205,2355900,4524,9559,28.990114,
206,2339500,4523,9559,28.99012,
207,2304600,4523,9559,28.990118,
208,2289600,4523,9559,28.990112,
209,2352100,4522,9559,28.990116,
210,2357600,4522,9559,28.990122,
211,2372800,4523,9559,28.990128,
212,2415800,4523,9559,28.990124,
213,2422900,4523,9559,28.99013,
214,2349300,4524,9559,28.990137,
215,2290200,4524,9559,28.990137,
216,2335400,4526,9559,28.990137,
217,2311200,4524,9559,28.990143,
218,2309700,4525,9559,28.990149,
219,2331500,4524,9559,28.990149,
220,2318900,4523,9559,28.990152,
221,2327800,4522,9559,28.99016,
222,2303400,4522,9559,28.990164,
223,2292400,4520,9559,28.990162,
224,2302300,4521,9559,28.99016,
225,2379300,4522,9559,28.990166,
226,2512200,4521,9559,28.990166,
227,2403800,4522,9559,28.990166,
228,2307300,4521,9559,28.990168,
229,2290300,4519,9559,28.990175,
230,2291300,4521,9559,28.990171,
231,2287700,4522,9559,28.990166,
232,2376500,4523,9559,28.990173,
233,2352700,4527,9559,28.990175,
234,2295200,4523,9559,28.990168,
235,2305700,4525,9559,28.99017,
236,2281500,4525,9559,28.990175,
237,2303200,4526,9559,28.990175,
238,2303000,4525,9559,28.990175,
239,2461600,4524,9559,28.990175,
240,2327300,4524,9559,28.990175,
241,2303500,4521,9559,28.990175,
242,2403000,4520,9559,28.990175,
243,2342400,4520,9559,28.990175,
244,2405700,4521,9559,28.990171,
245,2371100,4520,9559,28.990164,
246,2316500,4521,9559,28.990164,
247,2282800,4521,9559,28.990164,
248,2293200,4520,9559,28.990164,
249,2285100,4522,9559,28.990164,
250,2359800,4521,9559,28.990164,
251,2325500,4522,9559,28.990164,
252,2313300,4523,9559,28.990164,
253,2316600,4523,9559,28.99017,
254,2330000,4523,9559,28.99017,
255,2354200,4521,9559,28.99017,
256,2306000,4519,9559,28.99017,
257,2333900,4519,9559,28.990171,
258,2310700,4520,9559,28.990177,
259,2298300,4520,9559,28.990177,
260,2323100,4520,9559,28.990177,
261,2330700,4519,9559,28.99018,
262,2290900,4518,9559,28.990187,
263,2315700,4518,9559,28.990187,
264,2293300,4518,9559,28.990187,
265,2328200,4518,9559,28.990187,
266,2329600,4518,9559,28.990187,
267,2330400,4518,9559,28.990187,
268,2314200,4518,9559,28.990187,
269,2326700,4518,9559,28.990187,
270,2370700,4518,9559,28.990187,
271,2303200,4518,9559,28.990187,
272,2298200,4518,9559,28.990187,
273,2320800,4518,9559,28.990187,
274,2418200,4518,9559,28.990187,
275,2353600,4518,9559,28.990187,
276,2313100,4519,9559,28.990183,
277,2375800,4518,9559,28.990183,
278,2312100,4518,9559,28.990183,
279,2298500,4519,9559,28.990183,
280,2312600,4518,9559,28.990183,
281,2305300,4520,9559,28.990183,
282,2384400,4520,9559,28.990185,
283,2371700,4518,9559,28.990185,
284,2320700,4518,9559,28.990185,
285,2321100,4519,9559,28.990185,
286,2368300,4520,9559,28.990185,
287,2377500,4519,9559,28.990185,
288,2320800,4520,9559,28.990185,
289,2346800,4518,9559,28.990185,
290,2462500,4517,9559,28.99019,
291,2315700,4517,9559,28.99019,
292,2306200,4519,9559,28.99019,
293,2416100,4517,9559,28.990187,
294,2416300,4517,9559,28.990185,
295,2387400,4516,9559,28.990192,
296,2339000,4516,9559,28.990198,
297,2318100,4515,9559,28.990198,
298,2318900,4515,9559,28.990196,
299,2339300,4515,9559,28.990194,
300,2316500,4515,9559,28.990194,
301,2298700,4515,9559,28.990194,
302,2343300,4515,9559,28.990194,
303,2309100,4516,9559,28.990194,
304,2371500,4515,9559,28.990194,
305,2349300,4517,9559,28.990194,
306,2419800,4517,9559,28.990194,
307,2311100,4517,9559,28.990194,
308,2305000,4516,9559,28.990194,
309,2304700,4516,9559,28.990194,
310,2293700,4516,9559,28.990194,
311,2345700,4516,9559,28.990194,
312,2307700,4515,9559,28.990194,
313,3601600,4515,9559,28.990194,
314,3538800,4515,9559,28.990194,
315,2391700,4517,9559,28.990194,
316,2348500,4515,9559,28.990194,
317,2317200,4517,9559,28.990194,
318,2375600,4516,9559,28.990192,
319,2316800,4516,9559,28.99019,
320,2300400,4515,9559,28.990196,
321,2312500,4515,9559,28.990198,
322,2323000,4517,9559,28.990198,
323,2297400,4517,9559,28.990198,
324,2317600,4517,9559,28.990198,
325,2328200,4516,9559,28.990194,
326,2323300,4516,9559,28.990189,
327,2354000,4516,9559,28.990189,
328,2429500,4515,9559,28.990189,
329,2332800,4514,9559,28.990189,
330,2366400,4515,9559,28.990189,
331,2329400,4513,9559,28.990189,
332,2306600,4513,9559,28.990189,
333,2391400,4512,9559,28.990185,
334,2375100,4513,9559,28.990185,
335,2296200,4514,9559,28.990185,
336,2316200,4513,9559,28.990185,
337,2344600,4516,9559,28.990185,
338,2405400,4517,9559,28.990185,
339,2400800,4518,9559,28.990185,
340,2358400,4517,9559,28.990185,
341,2394600,4517,9559,28.990185,
342,2440000,4517,9559,28.990185,
343,2352900,4517,9559,28.990185,
344,2344300,4517,9559,28.990185,
345,2361000,4517,9559,28.990189,
346,2334800,4517,9559,28.990189,
347,2318900,4517,9559,28.990189,
348,2353400,4517,9559,28.990189,
349,2315200,4516,9559,28.990189,
350,2330300,4515,9559,28.990189,
351,2311600,4516,9559,28.990189,
352,2461700,4517,9559,28.990189,
353,2559800,4518,9559,28.990189,
354,2402200,4518,9559,28.990189,
355,2480500,4519,9559,28.990189,
356,2450100,4518,9559,28.990189,
357,2384100,4519,9559,28.990189,
358,2369800,4520,9559,28.990189,
359,2460500,4521,9559,28.990189,
360,2376100,4521,9559,28.990189,
361,2332800,4521,9559,28.990189,
362,2317400,4521,9559,28.990189,
363,2332600,4521,9559,28.990189,
364,2416800,4521,9559,28.990189,
365,3155400,4521,9559,28.990189,
366,2566900,4521,9559,28.990189,
367,2618700,4521,9559,28.990189,
368,2525000,4521,9559,28.990187,
369,2311600,4520,9559,28.990185,
370,2307300,4520,9559,28.990189,
371,2317800,4520,9559,28.990189,
372,2284800,4520,9559,28.990189,
373,2463100,4520,9559,28.990189,
374,2337800,4520,9559,28.990189,
375,2351600,4520,9559,28.990189,
376,2291100,4520,9559,28.990189,
377,2305300,4520,9559,28.990189,
378,2365900,4520,9559,28.990189,
379,2483300,4520,9559,28.990189,
380,2332200,4521,9559,28.990189,
381,2349900,4521,9559,28.990189,
382,2369000,4521,9559,28.990189,
383,2291700,4521,9559,28.990189,
384,2466600,4521,9559,28.990189,
385,2709400,4521,9559,28.990189,
386,2411600,4520,9559,28.990189,
387,2332700,4520,9559,28.990189,
388,2301800,4520,9559,28.990189,
389,2311100,4520,9559,28.990189,
390,2353700,4521,9559,28.990189,
391,2367200,4521,9559,28.990189,
392,2348800,4521,9559,28.990189,
393,2315100,4521,9559,28.990189,
394,2344800,4521,9559,28.990189,
395,2391300,4520,9559,28.990189,
396,2335100,4520,9559,28.990189,
397,2436400,4520,9559,28.990189,
398,2425200,4520,9559,28.990187,
399,2368300,4519,9559,28.990181,
400,2323300,4520,9559,28.990177,
401,2367400,4520,9559,28.990183,
402,2325700,4520,9559,28.990183,
403,2505000,4520,9559,28.990175,
404,2431800,4520,9559,28.990175,
405,2421700,4520,9559,28.990175,
406,2370200,4520,9559,28.99018,
407,2309500,4519,9559,28.99018,
408,2355100,4519,9559,28.99018,
409,2333800,4518,9559,28.99018,
410,2301700,4519,9559,28.99018,
411,2328100,4519,9559,28.99018,
412,2295600,4519,9559,28.99018,
413,2288200,4519,9559,28.99018,
414,2328100,4519,9559,28.99018,
415,2383900,4519,9559,28.99018,
416,2338600,4519,9559,28.99018,
417,2395800,4519,9559,28.990177,
418,2411400,4519,9559,28.990175,
419,2304200,4519,9559,28.990168,
420,2348100,4519,9559,28.990166,
421,2311300,4520,9559,28.990166,
422,2281200,4519,9559,28.990166,
423,2302600,4519,9559,28.990166,
424,2371800,4519,9559,28.990166,
425,2304800,4518,9559,28.990166,
426,2279300,4520,9559,28.990166,
427,2403200,4519,9559,28.990158,
428,2393000,4519,9559,28.990158,
429,2315200,4519,9559,28.990156,
430,2302700,4518,9559,28.990152,
431,2332500,4518,9559,28.990156,
432,2320300,4518,9559,28.990158,
433,2283500,4518,9559,28.990156,
434,2345000,4518,9559,28.990156,
435,2339600,4519,9559,28.990156,
