step,wall_ns,manifolds,pairs,top_y,awake
0,3684500,4495,9570,35.998295,
1,2258900,4196,9570,35.993866,
2,1972800,4142,9570,35.986713,
3,1934600,4111,9570,35.976837,
4,2051900,4100,9570,35.964233,
5,1910200,4087,9570,35.948902,
6,1973700,4079,9570,35.93085,
7,1901000,4073,9570,35.910072,
8,1889700,4066,9570,35.88657,
9,1880900,4061,9570,35.86034,
10,1885400,4053,9570,35.831387,
11,1877200,4054,9570,35.79971,
12,1882700,4056,9570,35.765305,
13,1890500,4055,9570,35.728176,
14,1932900,4060,9570,35.688324,
15,1917400,4057,9570,35.64575,
16,1928500,4055,9570,35.600445,
17,1904600,4051,9570,35.552414,
18,1884000,4049,9570,35.501663,
19,1897500,4050,9570,35.448185,
20,2329800,4829,9570,35.391983,
21,2256100,4715,9570,35.333054,
22,2446900,4565,9570,35.2714,
23,2312800,4496,9570,35.207024,
24,2111400,4419,9570,35.13992,
25,2100600,4390,9570,35.07009,
26,2090300,4353,9570,34.997536,
27,2079300,4336,9570,34.92226,
28,2375100,4982,9570,34.844257,
29,2329900,4783,9570,34.763527,
30,2238800,4670,9570,34.680073,
31,2202300,4639,9570,34.593895,
32,2217600,4573,9570,34.504993,
33,2159000,4491,9570,34.413364,
34,2409000,5031,9570,34.31901,
35,2435900,4806,9570,34.221935,
36,2281100,4646,9570,34.12213,
37,2236500,4535,9570,34.019604,
38,2193500,4502,9570,33.91435,
39,2393900,4984,9570,33.806374,
40,2443900,5009,9570,33.69567,
41,2371900,4852,9570,33.58224,
42,2325900,4753,9570,33.466087,
43,2336400,4728,9570,33.34721,
44,2437600,4996,9570,33.22561,
45,2517500,5112,9570,33.10128,
46,2481500,4923,9570,32.974224,
47,2380600,4760,9570,32.844448,
48,2447300,5001,9570,32.711945,
49,2768600,5139,9570,32.576717,
50,3077300,4996,9570,32.438763,
51,2678600,4871,9570,32.298084,
52,2542000,5093,9570,32.154682,
53,2471600,4972,9570,32.008553,
54,2359100,4792,9570,31.8597,
55,2396500,4796,9570,31.70812,
56,2419500,4911,9570,31.553818,
57,2315600,4780,9570,31.39679,
58,2294700,4734,9570,31.237036,
59,2339000,4748,9570,31.074558,
60,2285600,4704,9570,30.909355,
61,2252200,4678,9570,30.741426,
62,2332700,4666,9570,30.570772,
63,2249100,4609,9570,30.397394,
64,2262400,4623,9570,30.22129,
65,2249800,4625,9570,30.042463,
66,2215200,4579,9570,29.860909,
67,2214800,4610,9570,29.67663,
68,2203400,4550,9570,29.489626,
69,2341200,4524,9570,29.299898,
70,2293000,4535,9570,29.107445,
71,2227300,4528,9570,28.912266,
72,2213200,4533,9570,28.714361,
73,2168400,4529,9570,28.745474,
74,2311500,4530,9570,28.77165,
75,2197100,4529,9570,28.79591,
76,2206700,4524,9570,28.816788,
77,2149200,4517,9570,28.83433,
78,2141100,4520,9570,28.848581,
79,2148200,4514,9568,28.862343,
80,2169200,4519,9568,28.873486,
81,2131600,4518,9568,28.88324,
82,2151300,4518,9568,28.892859,
83,2198800,4516,9568,28.90075,
84,2166500,4517,9567,28.907646,
85,2145400,4508,9565,28.914537,
86,2156000,4519,9565,28.920815,
87,2168600,4516,9565,28.92588,
88,2137800,4518,9565,28.930962,
89,2179300,4519,9565,28.935617,
90,2176300,4514,9565,28.939785,
91,2181300,4516,9565,28.943506,
92,2157900,4512,9565,28.946703,
93,2164700,4508,9565,28.949604,
94,2176600,4522,9565,28.952375,
95,2178000,4519,9565,28.954878,
96,2184400,4521,9565,28.957104,
97,2175000,4517,9565,28.9592,
98,2287400,4515,9565,28.960983,
99,2345800,4520,9565,28.96278,
100,2296700,4521,9564,28.964386,
101,2277800,4521,9564,28.965906,
102,2253500,4521,9563,28.967402,
103,2279900,4520,9563,28.968788,
104,2281300,4522,9563,28.969984,
105,2227700,4518,9563,28.971111,
106,2158400,4521,9563,28.97221,
107,2155400,4523,9563,28.97325,
108,2144000,4515,9562,28.974203,
109,2173600,4517,9562,28.975157,
110,2153200,4516,9562,28.976004,
111,2145900,4515,9562,28.976778,
112,2162600,4519,9562,28.977486,
113,2152300,4520,9562,28.978231,
114,2146900,4520,9562,28.97893,
115,2157900,4519,9561,28.979557,
116,2142300,4526,9561,28.980162,
117,2151800,4519,9561,28.980728,
118,2141800,4521,9561,28.981266,
119,2189300,4517,9561,28.981787,
120,2174300,4523,9561,28.982262,
121,2152100,4523,9561,28.98269,
122,2153000,4521,9561,28.983118,
123,2147400,4522,9561,28.98351,
124,2144500,4518,9561,28.98387,
125,2134700,4521,9561,28.984217,
126,2136600,4521,9561,28.984558,
127,2314500,4517,9561,28.98485,
128,2140100,4522,9561,28.98514,
129,2149000,4521,9561,28.98541,
130,2142900,4519,9560,28.98568,
131,2133300,4526,9559,28.98593,
132,2129400,4524,9559,28.986149,
133,2143500,4516,9559,28.98636,
134,2162800,4520,9559,28.98657,
135,2152900,4522,9559,28.986776,
136,2133300,4519,9559,28.986969,
137,2144300,4521,9559,28.987137,
138,2144200,4521,9559,28.9873,
139,2155800,4521,9559,28.987465,
140,2145700,4518,9559,28.987623,
141,2174400,4523,9559,28.987766,
142,2160900,4524,9559,28.987892,
143,2145400,4523,9559,28.98802,
144,2128600,4520,9559,28.988153,
145,2146500,4519,9559,28.98826,
146,2152400,4520,9559,28.988363,
147,2135400,4522,9559,28.988459,
148,2138400,4517,9559,28.988543,
149,2231100,4519,9559,28.988642,
150,2154600,4522,9559,28.98874,
151,2169300,4520,9559,28.98882,
152,2139000,4523,9559,28.988888,
153,2132600,4523,9559,28.988964,
154,2148400,4524,9559,28.989048,
155,2137700,4521,9559,28.989117,
156,2181200,4520,9559,28.989172,
157,2165200,4519,9559,28.989218,
158,2134100,4519,9559,28.98927,
159,2151100,4518,9559,28.98933,
160,2152300,4519,9559,28.989386,
161,2128700,4521,9559,28.989433,
162,2146700,4518,9559,28.989477,
163,2171900,4520,9559,28.989515,
164,2151200,4520,9559,28.989552,
165,2146500,4519,9559,28.989582,
166,2136300,4516,9559,28.989613,
167,2134400,4518,9559,28.989645,
168,2155200,4518,9559,28.989676,
169,2138500,4514,9559,28.9897,
170,2142000,4515,9559,28.989725,
171,2159000,4512,9559,28.989754,
172,2152800,4513,9559,28.98977,
173,2127900,4515,9559,28.989801,
174,2138400,4515,9559,28.989834,
175,2119000,4515,9559,28.989851,
176,2139600,4514,9559,28.989864,
177,2130800,4516,9559,28.989883,
178,2132900,4515,9559,28.989906,
179,2141800,4515,9559,28.989923,
180,2137600,4515,9559,28.98993,
181,2141600,4517,9559,28.98993,
182,2145600,4517,9559,28.98994,
183,2157500,4516,9559,28.989958,
184,2148600,4516,9559,28.98997,
185,2199300,4514,9559,28.989977,
186,2310800,4515,9559,28.98999,
187,2238300,4516,9559,28.990005,
188,2193000,4519,9559,28.990013,
189,2142000,4519,9559,28.990015,
190,2145900,4519,9559,28.990025,
191,2123900,4520,9559,28.99004,
192,2202900,4522,9559,28.990047,
193,2169100,4521,9559,28.990053,
194,2150500,4522,9559,28.990055,
195,2146100,4521,9559,28.99006,
196,2156800,4522,9559,28.99006,
197,2132500,4523,9559,28.990076,
198,2163400,4523,9559,28.990084,
199,2137900,4524,9559,28.990086,
200,2212000,4522,9559,28.990088,
201,2154400,4522,9559,28.990097,
202,2159300,4521,9559,28.99011,
203,2149600,4525,9559,28.990112,
204,2160500,4526,9559,28.990108,
205,2143700,4524,9559,28.990114,
206,2150400,4523,9559,28.99012,
207,2212300,4523,9559,28.990118,
208,2177400,4523,9559,28.990112,
209,2167000,4522,9559,28.990116,
210,2142500,4522,9559,28.990122,
211,2161700,4523,9559,28.990128,
212,2158200,4523,9559,28.990124,
213,2156900,4523,9559,28.99013,
214,2219100,4524,9559,28.990137,
215,2257000,4524,9559,28.990137,
216,2156900,4526,9559,28.990137,
217,2145200,4524,9559,28.990143,
218,2157900,4525,9559,28.990149,
219,2136700,4524,9559,28.990149,
220,2147800,4523,9559,28.990152,
221,2153100,4522,9559,28.99016,
222,2215900,4522,9559,28.990164,
