step,wall_ns,manifolds,pairs,top_y,awake
0,5649100,4495,9570,35.998295,
1,4077400,4196,9570,35.993866,
2,3692200,4142,9570,35.986713,
3,3723600,4111,9570,35.976837,
4,3727600,4100,9570,35.964233,
5,3652200,4087,9570,35.948902,
6,3667700,4079,9570,35.93085,
7,3658300,4073,9570,35.910072,
8,3670300,4066,9570,35.88657,
9,3665800,4061,9570,35.86034,
10,3692300,4053,9570,35.831387,
11,3678700,4054,9570,35.79971,
12,3700400,4056,9570,35.765305,
13,3696800,4055,9570,35.728176,
14,3680800,4060,9570,35.688324,
15,3713800,4057,9570,35.64575,
16,3754700,4055,9570,35.600445,
17,3701900,4051,9570,35.552414,
18,3698300,4049,9570,35.501663,
19,3729100,4050,9570,35.448185,
20,4173200,4829,9570,35.391983,
21,4104900,4715,9570,35.333054,
22,4004800,4565,9570,35.2714,
23,3996500,4496,9570,35.207024,
24,3938100,4419,9570,35.13992,
25,3907300,4390,9570,35.07009,
26,3880900,4353,9570,34.997536,
27,3822500,4336,9570,34.92226,
28,4127100,4982,9570,34.844257,
29,4062300,4783,9570,34.763527,
30,4000400,4670,9570,34.680073,
31,4011700,4639,9570,34.593895,
32,3935600,4573,9570,34.504993,
33,3929400,4491,9570,34.413364,
34,4148200,5031,9570,34.31901,
35,4083000,4806,9570,34.221935,
36,4009700,4646,9570,34.12213,
37,3996000,4535,9570,34.019604,
38,3973000,4502,9570,33.91435,
39,4166800,4984,9570,33.806374,
40,4253800,5009,9570,33.69567,
41,4165300,4852,9570,33.58224,
42,4053200,4753,9570,33.466087,
43,4079300,4728,9570,33.34721,
44,4214800,4996,9570,33.22561,
45,4244200,5112,9570,33.10128,
46,4216600,4923,9570,32.974224,
47,4160000,4760,9570,32.844448,
48,4216800,5001,9570,32.711945,
49,4272300,5139,9570,32.576717,
50,4195600,4996,9570,32.438763,
51,4205700,4871,9570,32.298084,
52,4284900,5093,9570,32.154682,
53,4190800,4972,9570,32.008553,
54,4117500,4792,9570,31.8597,
55,4128700,4796,9570,31.70812,
56,4253400,4911,9570,31.553818,
57,4119900,4780,9570,31.39679,
58,4090600,4734,9570,31.237036,
59,4059100,4748,9570,31.074558,
60,4058700,4704,9570,30.909355,
61,4046800,4678,9570,30.741426,
62,4044500,4666,9570,30.570772,
63,4018700,4609,9570,30.397394,
64,4027400,4623,9570,30.22129,
65,4028400,4625,9570,30.042463,
66,4001100,4579,9570,29.860909,
67,4002400,4610,9570,29.67663,
68,3982400,4550,9570,29.489626,
69,3937800,4524,9570,29.299898,
70,3965000,4535,9570,29.107445,
71,3947700,4528,9570,28.912266,
