step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,17734600,4495,9570,35.998295,,0,9,9,108,77129,4889,3958,17657471,16,158,371,1,142194,1,90,1,519502,1,2721448,1,162834,1,14097346,1,13686,1,771648,1,9338,4,538428,4,67119,4,4287859,4,8387895,8,12671796,108,0,0,4499,1,22754,1,2916,1,0,0,0,0,0,0,0,0,0,0,0,0,37983,1,79704,1,341909,1,57972,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,15199800,4196,9570,35.993866,,0,8,8,96,102666,1413,2385,15097134,16,146,180,1,44596,1,80,1,372989,1,2417021,1,114340,1,12135292,1,12634,1,443706,1,7565,4,511156,4,64975,4,3771824,4,7310558,8,11079997,96,0,0,2926,1,18566,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,9749,1,29196,1,307944,1,25649,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,14799700,4142,9570,35.986713,,0,8,8,96,171791,1292,5621,14627909,16,146,180,1,33495,1,100,1,376185,1,2321948,1,105874,1,11774356,1,15770,1,281693,1,7214,4,472782,4,64575,4,3686349,4,7235553,8,10916281,96,0,0,2765,1,19558,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,32633,1,27683,1,279840,1,35268,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,14831000,4111,9570,35.976837,,0,8,8,96,98580,7244,2756,14732420,16,146,130,1,32172,1,140,1,284990,1,2555528,1,84383,1,11760619,1,14458,1,256986,1,8557,4,471690,4,67620,4,3705666,4,7183222,8,10886133,96,0,0,3807,1,52732,1,3096,1,0,0,0,0,0,0,0,0,0,0,0,0,9889,1,25339,1,220876,1,28695,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,15421800,4100,9570,35.964233,,0,8,8,96,112878,1443,6392,15308922,16,146,551,1,36210,1,170,1,356788,1,2707952,1,113980,1,12076629,1,16642,1,535893,1,8276,4,501166,4,69424,4,3713621,4,7196668,8,10903897,96,0,0,3296,1,43985,1,2856,1,0,0,0,0,0,0,0,0,0,0,0,0,6382,1,30178,1,282986,1,36631,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,14834200,4087,9570,35.948902,,0,8,8,96,93634,6192,2565,14740566,16,146,110,1,33765,1,140,1,280120,1,2561700,1,83882,1,11767863,1,12985,1,356367,1,7214,4,470938,4,65055,4,3655229,4,7177331,8,10829994,96,0,0,2805,1,24127,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,9979,1,26150,1,215095,1,28615,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,14548500,4079,9570,35.93085,,0,8,8,96,102512,1313,2426,14445988,16,146,180,1,33324,1,160,1,337641,1,2271260,1,85064,1,11705633,1,12725,1,259220,1,7114,4,475106,4,65246,4,3674185,4,7200425,8,10872185,96,0,0,2785,1,17624,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,15881,1,31421,1,254922,1,34857,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,14793300,4073,9570,35.910072,,0,8,8,96,175140,1313,2615,14618160,16,146,180,1,33525,1,90,1,315108,1,2442230,1,103309,1,11707948,1,15770,1,261855,1,7224,4,471950,4,64524,4,3676299,4,7201518,8,10875202,96,0,0,2825,1,17814,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,9769,1,31090,1,238500,1,35328,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,14643800,4066,9570,35.88657,,0,8,8,96,94643,1262,2565,14549157,16,146,130,1,32162,1,140,1,267786,1,2480473,1,82479,1,11673181,1,12805,1,251515,1,7264,4,472361,4,64915,4,3665539,4,7187240,8,10850213,96,0,0,2765,1,17694,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,8316,1,26822,1,204955,1,27483,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,14717900,4061,9570,35.86034,,0,8,8,96,169715,1192,2635,14548185,16,146,190,1,33264,1,150,1,317372,1,2332939,1,104061,1,11744358,1,15851,1,272135,1,7214,4,473082,4,64575,4,3687331,4,7214653,8,10899348,96,0,0,2775,1,18606,1,2795,1,0,0,0,0,0,0,0,0,0,0,0,0,9418,1,28956,1,243850,1,34897,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
