step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,6560100,4495,9570,35.998295,,0,9,9,108,79418,6362,3808,6480682,16,160,521,1,128908,1,190,1,714774,1,1249683,1,221666,1,4153216,1,11723,1,1175550,1,17544,4,549717,4,89131,4,758969,4,1493231,8,2248393,108,0,0,4579,1,55036,1,3096,1,0,0,0,0,0,0,767696,1,244530,1,87919,1,38544,1,72169,1,544056,1,57561,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,1241,1,0,1,0,1
1,4027000,4196,9570,35.993866,,0,8,8,96,34924,1242,1994,3992076,16,149,230,1,42482,1,60,1,500973,1,449574,1,100533,1,2887643,1,10580,1,461688,1,11692,4,482378,4,78020,4,628519,4,1196140,8,1822664,96,0,0,3116,1,22213,1,2635,1,0,0,0,0,0,0,417643,1,24197,1,4599,1,10801,1,28415,1,435167,1,26240,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,1241,1,0,1,0,1
2,3679600,4142,9570,35.986713,,0,8,8,96,33429,1142,1984,3646171,16,149,140,1,25259,1,60,1,481316,1,353470,1,86166,1,2689221,1,10540,1,286822,1,12073,4,476386,4,78321,4,618209,4,1187253,8,1803477,96,0,0,3076,1,23195,1,2745,1,0,0,0,0,0,0,328702,1,17524,1,4328,1,15570,1,22313,1,416080,1,27112,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,1240,1,1,1,1,1
3,3636300,4111,9570,35.976837,,0,8,8,96,30266,1122,3337,3606034,16,149,160,1,25379,1,40,1,458111,1,349492,1,85264,1,2677058,1,10530,1,279017,1,11823,4,476296,4,78060,4,617087,4,1185069,8,1798819,96,0,0,2855,1,23044,1,2685,1,0,0,0,0,0,0,323973,1,18526,1,4108,1,4859,1,21742,1,406872,1,24437,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,1240,1,1,1,0,1
4,3646500,4100,9570,35.964233,,0,8,8,96,30186,2725,2014,3616314,16,149,40,1,25229,1,100,1,455636,1,344412,1,83581,1,2696826,1,10490,1,301039,1,11713,4,474082,4,77910,4,617417,4,1184117,8,1799520,96,0,0,2876,1,22293,1,2655,1,0,0,0,0,0,0,318913,1,18826,1,3857,1,4849,1,21602,1,403356,1,25689,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,1240,1,1,1,0,1
5,3634600,4087,9570,35.948902,,0,8,8,96,29939,2555,2095,3604661,16,149,20,1,25359,1,30,1,455816,1,343280,1,85034,1,2684622,1,10500,1,278385,1,11803,4,474863,4,78852,4,620473,4,1189006,8,1807384,96,0,0,2986,1,22894,1,2805,1,0,0,0,0,0,0,318893,1,17894,1,3707,1,4789,1,21511,1,403506,1,25860,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,1240,1,1,1,0,1
6,3621200,4079,9570,35.93085,,0,8,8,96,29133,1022,3577,3592067,16,149,170,1,24948,1,40,1,455215,1,337489,1,85675,1,2678030,1,10500,1,271392,1,11763,4,475945,4,78361,4,620303,4,1191381,8,1808106,96,0,0,2976,1,22072,1,2815,1,0,0,0,0,0,0,313192,1,17594,1,3827,1,4829,1,21561,1,404307,1,24337,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,1240,1,1,1,0,1
7,3651500,4073,9570,35.910072,,0,8,8,96,30708,1092,2134,3620792,16,149,50,1,25058,1,40,1,456798,1,344843,1,85685,1,2697808,1,10510,1,274658,1,11542,4,478921,4,79272,4,625783,4,1198755,8,1822404,96,0,0,2986,1,22012,1,2785,1,0,0,0,0,0,0,320246,1,17965,1,3777,1,4859,1,21331,1,405911,1,24527,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
8,3994500,4066,9570,35.88657,,0,8,8,96,32822,1343,2807,3961678,16,149,90,1,25018,1,20,1,457229,1,340645,1,85264,1,3042320,1,11091,1,273396,1,13075,4,522425,4,82889,4,715235,4,1390033,8,2102462,96,0,0,4869,1,36180,1,2876,1,0,0,0,0,0,0,316368,1,17484,1,3897,1,4849,1,21622,1,404738,1,25820,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
9,4343000,4061,9570,35.86034,,0,8,8,96,33634,1633,2475,4309366,16,149,311,1,30579,1,130,1,475945,1,445176,1,102908,1,3243697,1,10620,1,347428,1,13115,4,502566,4,82449,4,771644,4,1488943,8,2258111,96,0,0,4909,1,28184,1,2825,1,0,0,0,0,0,0,408966,1,29036,1,3988,1,5010,1,22834,1,415729,1,31941,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,1240,1,1,1,0,1
