step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,7585400,4495,9570,35.998295,,0,9,9,108,206674,14058,5111,7378726,16,158,431,1,131155,1,611,1,722272,1,2579722,1,174884,1,3755993,1,13658,1,831313,1,12676,4,302502,4,67827,4,833136,4,1632184,8,2460210,108,0,0,3788,1,53849,1,4659,1,0,0,0,0,0,0,0,0,0,0,0,0,52105,1,73559,1,541476,1,50612,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,6308200,4196,9570,35.993866,,0,8,8,96,91576,1293,2405,6216624,16,146,130,1,40211,1,170,1,587840,1,2327481,1,85954,1,3159796,1,15040,1,503369,1,7215,4,271109,4,65052,4,768926,4,1518744,8,2285266,96,0,0,3096,1,18297,1,2695,1,0,0,0,0,0,0,0,0,0,0,0,0,6072,1,28187,1,528149,1,24951,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,6238200,4142,9570,35.986713,,0,8,8,96,162963,1303,4400,6075237,16,146,611,1,32205,1,120,1,591828,1,2438185,1,104732,1,2893597,1,13958,1,278013,1,6974,4,267592,4,66374,4,759588,4,1489094,8,2244282,96,0,0,2986,1,19149,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,32355,1,26714,1,506245,1,26103,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,6027800,4111,9570,35.976837,,0,8,8,96,51823,3848,2104,5975977,16,146,70,1,32325,1,170,1,579483,1,2385429,1,83349,1,2881843,1,13307,1,257692,1,7225,4,266429,4,65432,4,755399,4,1502010,8,2255305,96,0,0,3357,1,17856,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,6353,1,27305,1,515914,1,29430,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,6331700,4100,9570,35.964233,,0,8,8,96,127982,1463,5171,6203718,16,146,190,1,31804,1,160,1,602940,1,2364055,1,103209,1,3084383,1,16974,1,307703,1,7555,4,282502,4,69400,4,802474,4,1590008,8,2387312,96,0,0,2956,1,17806,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,9710,1,28758,1,534131,1,29921,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,5904000,4087,9570,35.948902,,0,8,8,96,66273,2916,2014,5837727,16,146,80,1,29700,1,50,1,564633,1,2304695,1,84341,1,2840770,1,13457,1,248673,1,7084,4,264375,4,65162,4,746561,4,1482220,8,2226767,96,0,0,2906,1,18397,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,5882,1,27516,1,501655,1,29299,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,6021700,4079,9570,35.93085,,0,8,8,96,57237,1273,2425,5964463,16,146,190,1,34981,1,80,1,578541,1,2357242,1,83780,1,2899028,1,10621,1,254746,1,7265,4,276359,4,65493,4,755589,4,1512231,8,2265396,96,0,0,3287,1,20291,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,6082,1,26634,1,515884,1,29560,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,6010300,4073,9570,35.910072,,0,8,8,96,56067,1463,2044,5954233,16,146,170,1,23768,1,80,1,465823,1,2296088,1,84982,1,3072630,1,10692,1,318585,1,7615,4,281049,4,69451,4,797665,4,1572663,8,2368284,96,0,0,2926,1,18798,1,2415,1,0,0,0,0,0,0,0,0,0,0,0,0,4940,1,21443,1,414950,1,24179,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,5977300,4066,9570,35.88657,,0,8,8,96,47868,1353,2405,5929432,16,146,190,1,34340,1,100,1,577148,1,2364476,1,84070,1,2858406,1,10702,1,257952,1,7195,4,264626,4,65853,4,748245,4,1489836,8,2235675,96,0,0,3066,1,17776,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,6132,1,26614,1,514632,1,29359,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,5800200,4061,9570,35.86034,,0,8,8,96,49840,1293,2215,5750360,16,146,160,1,23638,1,70,1,463769,1,2306499,1,83279,1,2862164,1,10782,1,253493,1,7335,4,265187,4,65873,4,752924,4,1492601,8,2243311,96,0,0,3006,1,17956,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,4980,1,21393,1,413216,1,23818,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
