step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,17107600,4495,9570,35.998295,,0,9,9,108,82137,5461,3497,17025463,16,158,691,1,102935,1,381,1,408685,1,2473995,1,131983,1,13889978,1,16814,1,560759,1,9198,4,540358,4,67154,4,4279908,4,8400137,8,12676547,108,0,0,5050,1,19409,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,30371,1,62495,1,273305,1,40771,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,15065900,4196,9570,35.993866,,0,8,8,96,67681,1273,2726,14998219,16,146,180,1,44008,1,90,1,362603,1,2485268,1,110370,1,11974026,1,21673,1,318666,1,7184,4,482342,4,72785,4,3745712,4,7322066,8,11065052,96,0,0,2966,1,18517,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,6002,1,26573,1,304397,1,25230,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,14625700,4142,9570,35.986713,,0,8,8,96,76156,1293,3707,14549544,16,146,150,1,31653,1,80,1,290640,1,2299647,1,109208,1,11798536,1,19629,1,262103,1,7264,4,478204,4,65200,4,3706885,4,7254321,8,10957498,96,0,0,2786,1,17966,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,16653,1,20912,1,224748,1,27976,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,14824500,4111,9570,35.976837,,0,8,8,96,115278,3918,2296,14709222,16,146,140,1,32254,1,90,1,361712,1,2313315,1,106422,1,11875449,1,19840,1,310650,1,7555,4,505729,4,65110,4,3750993,4,7207909,8,10956605,96,0,0,2725,1,18337,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,14008,1,26533,1,286041,1,34729,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,14606100,4100,9570,35.964233,,0,8,8,96,91275,1162,3778,14514825,16,146,100,1,26202,1,110,1,348455,1,2261912,1,111583,1,11746462,1,20000,1,263666,1,7886,4,481921,4,65280,4,3685512,4,7215143,8,10896877,96,0,0,2665,1,20751,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,6212,1,30130,1,276912,1,34960,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,14548200,4087,9570,35.948902,,0,8,8,96,89708,2665,2235,14458492,16,146,110,1,25972,1,50,1,330239,1,2257533,1,107905,1,11716713,1,19970,1,261842,1,8206,4,474186,4,65280,4,3675823,4,7202688,8,10876276,96,0,0,2786,1,20731,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,6172,1,29288,1,259728,1,34739,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,14580600,4079,9570,35.93085,,0,8,8,96,84673,1283,2214,14495927,16,146,30,1,26082,1,90,1,321311,1,2263595,1,107645,1,11757103,1,20070,1,264828,1,7325,4,482142,4,65962,4,3677185,4,7220193,8,10895164,96,0,0,2976,1,32475,1,2735,1,0,0,0,0,0,0,0,0,0,0,0,0,6162,1,28507,1,251532,1,34789,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,14896500,4073,9570,35.910072,,0,8,8,96,40655,1753,2806,14855845,16,146,301,1,39218,1,60,1,315870,1,2546430,1,87655,1,11851732,1,14579,1,316371,1,8717,4,473454,4,73988,4,3699109,4,7224612,8,10920915,96,0,0,5281,1,45501,1,2946,1,0,0,0,0,0,0,0,0,0,0,0,0,5992,1,27916,1,244538,1,37044,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,15124100,4066,9570,35.88657,,0,8,8,96,44399,1613,2235,15079701,16,146,521,1,36583,1,281,1,360339,1,2639325,1,86232,1,11942133,1,14289,1,376711,1,7826,4,495238,4,67645,4,3688388,4,7243319,8,10929472,96,0,0,3768,1,54028,1,3597,1,0,0,0,0,0,0,0,0,0,0,0,0,6804,1,29459,1,285680,1,37705,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,14934300,4061,9570,35.86034,,0,8,8,96,58636,1172,2275,14875664,16,146,220,1,25351,1,130,1,284748,1,2573564,1,86703,1,11884768,1,20180,1,385780,1,7244,4,474897,4,64489,4,3692666,4,7229171,8,10919562,96,0,0,2745,1,24088,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,5180,1,25681,1,223145,1,30290,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
