step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,6563700,4495,9570,35.998295,,0,9,9,108,60125,5380,4108,6503575,16,158,561,1,103139,1,250,1,410811,1,2495616,1,137304,1,3342397,1,13496,1,551472,1,9128,4,289427,4,68071,4,808156,4,1584962,8,2389011,108,0,0,4378,1,18796,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,30298,1,61819,1,273887,1,42802,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,5950700,4196,9570,35.993866,,0,8,8,96,51189,1282,2395,5899511,16,146,160,1,42812,1,100,1,362087,1,2471740,1,110423,1,2899644,1,12544,1,320948,1,7194,4,268176,4,64975,4,744123,4,1469270,8,2210998,96,0,0,2785,1,18405,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,6112,1,26962,1,302673,1,25960,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,5609400,4142,9570,35.986713,,0,8,8,96,48431,1282,4028,5560969,16,146,130,1,23615,1,70,1,288776,1,2293868,1,108980,1,2832936,1,12594,1,262255,1,7174,4,266393,4,69664,4,744554,4,1458318,8,2198845,96,0,0,2795,1,17985,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,16331,1,20209,1,224302,1,27563,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,5539100,4111,9570,35.976837,,0,8,8,96,46452,4168,2365,5492648,16,146,130,1,23836,1,70,1,278536,1,2286083,1,86276,1,2805132,1,12584,1,258448,1,7284,4,264359,4,65075,4,733663,4,1449271,8,2180569,96,0,0,2775,1,17594,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,5080,1,21010,1,224372,1,27733,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,5538600,4100,9570,35.964233,,0,8,8,96,45131,1242,5130,5493469,16,146,140,1,23696,1,70,1,278697,1,2282816,1,85284,1,2810232,1,12534,1,255943,1,7184,4,264139,4,65186,4,743863,4,1449602,8,2188334,96,0,0,2745,1,17794,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,21141,1,224482,1,27723,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,5609700,4087,9570,35.948902,,0,8,8,96,61295,4178,2405,5548405,16,146,140,1,23856,1,70,1,277685,1,2280812,1,85505,1,2860980,1,19357,1,254119,1,7194,4,276953,4,66017,4,759593,4,1464139,8,2221328,96,0,0,2785,1,23455,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,4960,1,20870,1,223921,1,27583,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,5694200,4079,9570,35.93085,,0,8,8,96,36795,1393,2575,5657405,16,146,180,1,26321,1,70,1,296872,1,2335919,1,88180,1,2896969,1,12895,1,350535,1,7975,4,263688,4,65336,4,725367,4,1440474,8,2163266,96,0,0,3166,1,36430,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,5811,1,23205,1,232919,1,34567,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,5700400,4073,9570,35.910072,,0,8,8,96,42113,1353,2385,5658287,16,146,130,1,23555,1,50,1,280540,1,2340417,1,85895,1,2914984,1,12714,1,349323,1,7454,4,269820,4,65256,4,736579,4,1447578,8,2181772,96,0,0,3066,1,32022,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,5711,1,22834,1,223200,1,28515,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,5790200,4066,9570,35.88657,,0,8,8,96,50316,1072,2656,5739884,16,146,50,1,35027,1,80,1,347639,1,2371136,1,84022,1,2882501,1,19427,1,302462,1,8286,4,263327,4,64504,4,734555,4,1467346,8,2199245,96,0,0,3336,1,34857,1,2755,1,0,0,0,0,0,0,0,0,0,0,0,0,6693,1,28535,1,275731,1,36350,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,5992000,4061,9570,35.86034,,0,8,8,96,37162,1623,2295,5954838,16,146,120,1,33745,1,80,1,347750,1,2498301,1,91256,1,2969970,1,13616,1,417955,1,7905,4,263127,4,65396,4,726319,4,1437037,8,2161061,96,0,0,3447,1,44385,1,2775,1,0,0,0,0,0,0,0,0,0,0,0,0,6593,1,28294,1,272876,1,39546,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
10,5809300,4053,9570,35.831387,,0,8,8,96,34399,1152,2465,5774901,16,146,130,1,35228,1,80,1,340826,1,2438737,1,85334,1,2861881,1,12684,1,327621,1,7294,4,261343,4,64735,4,727952,4,1446546,8,2172033,96,0,0,2735,1,19988,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,6713,1,28184,1,268667,1,36881,1,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,1240,1,1,1,0,1
11,5515500,4054,9570,35.79971,,0,8,8,96,34465,1122,2355,5481035,16,146,60,1,23595,1,90,1,271062,1,2307283,1,84242,1,2782208,1,12494,1,262045,1,7264,4,261153,4,64775,4,728363,4,1434803,8,2160811,96,0,0,2715,1,17504,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,4970,1,22794,1,215425,1,27703,1,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1,1240,1,1,1,0,1
12,5536800,4056,9570,35.765305,,0,8,8,96,48671,992,2395,5488129,16,146,80,1,23545,1,50,1,269479,1,2283187,1,84473,1,2811464,1,15851,1,252917,1,7304,4,262976,4,64925,4,731659,4,1451866,8,2181130,96,0,0,2755,1,33484,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,4889,1,21572,1,215425,1,27463,1,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1,1240,1,1,1,0,1
13,5983500,4055,9570,35.728176,,0,8,8,96,34604,1283,2595,5948896,16,146,170,1,30900,1,100,1,346728,1,2506427,1,85605,1,2965892,1,13075,1,410320,1,8256,4,265030,4,65466,4,725627,4,1436366,8,2159398,96,0,0,2855,1,47762,1,2926,1,0,0,0,0,0,0,0,0,0,0,0,0,6252,1,27553,1,274489,1,38143,1,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1,1240,1,1,1,0,1
14,5741600,4060,9570,35.688324,,0,8,8,96,38767,1393,2415,5702833,16,146,10,1,24267,1,60,1,294337,1,2340507,1,83561,1,2946775,1,13316,1,376395,1,7995,4,262716,4,65065,4,728443,4,1466735,8,2192763,96,0,0,3286,1,32122,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,5661,1,21922,1,235704,1,30519,1,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1,1240,1,1,1,0,1
15,5827300,4057,9570,35.64575,,0,8,8,96,43762,1232,2395,5783538,16,146,160,1,35568,1,70,1,353361,1,2461951,1,84893,1,2834629,1,12905,1,304126,1,7324,4,261874,4,64785,4,728012,4,1444251,8,2169868,96,0,0,2775,1,17734,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,7104,1,29577,1,276412,1,39747,1,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1,1240,1,1,1,0,1
16,5509900,4055,9570,35.600445,,0,8,8,96,34996,1102,2245,5474904,16,146,80,1,23375,1,30,1,273527,1,2284099,1,84062,1,2797007,1,12725,1,251885,1,7204,4,261914,4,65015,4,731168,4,1454501,8,2183424,96,0,0,2755,1,18766,1,2695,1,0,0,0,0,0,0,0,0,0,0,0,0,4829,1,21381,1,219322,1,27794,1,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1,1240,1,1,1,0,1
17,5499500,4051,9570,35.552414,,0,8,8,96,32281,972,2254,5467219,16,146,140,1,23525,1,20,1,267826,1,2294138,1,84523,1,2783070,1,13977,1,254079,1,7394,4,261624,4,65276,4,728463,4,1441737,8,2167945,96,0,0,2735,1,18325,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,4709,1,21041,1,213832,1,28034,1,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1,1240,1,1,1,0,1
18,5476200,4049,9570,35.501663,,0,8,8,96,31875,1162,2185,5444325,16,146,10,1,23485,1,70,1,262155,1,2286423,1,87619,1,2771938,1,12624,1,248949,1,7314,4,261383,4,64665,4,728072,4,1437729,8,2163616,96,0,0,2795,1,17383,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,4739,1,21010,1,208241,1,27994,1,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1,1240,1,1,1,0,1
19,5494700,4050,9570,35.448185,,0,8,8,96,33112,1082,2144,5461588,16,146,40,1,23505,1,120,1,259359,1,2287145,1,87579,1,2791135,1,12704,1,250953,1,7224,4,261443,4,64855,4,745245,4,1437939,8,2181040,96,0,0,2695,1,17233,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,4719,1,19728,1,207109,1,27653,1,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1,1240,1,1,1,0,1
