step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,5036400,4495,9570,35.998295,,0,9,9,108,59353,5200,3397,4977047,16,161,761,1,106696,1,381,1,411653,1,889223,1,161641,1,3395921,1,10771,1,560009,1,13576,4,545411,4,95264,4,737651,4,1408784,8,2143038,108,0,0,4338,1,23084,1,2605,1,0,0,0,0,0,0,633510,1,129750,1,15159,1,30709,1,62340,1,275441,1,41410,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,1241,1,0,1,0,1
1,3639700,4196,9570,35.993866,,0,8,8,96,45687,1242,1914,3594013,16,149,200,1,40708,1,80,1,300218,1,348161,1,100484,1,2793731,1,10430,1,373740,1,12183,4,491346,4,78371,4,619744,4,1189261,8,1807091,96,0,0,2795,1,22483,1,2565,1,0,0,0,0,0,0,323393,1,16802,1,4659,1,5200,1,23135,1,242066,1,27994,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,1241,1,0,1,0,1
2,3486000,4142,9570,35.986713,,0,8,8,96,31486,1082,3317,3454514,16,149,50,1,24848,1,80,1,289678,1,347630,1,86877,1,2694921,1,10430,1,283035,1,11672,4,480325,4,78672,4,620615,4,1191595,8,1808893,96,0,0,2966,1,22363,1,2595,1,0,0,0,0,0,0,323413,1,16943,1,4358,1,13205,1,21912,1,225695,1,28645,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,1240,1,1,1,1,1
3,3486400,4111,9570,35.976837,,0,8,8,96,33339,2996,2014,3453061,16,149,140,1,24968,1,40,1,276493,1,356907,1,102417,1,2681545,1,10550,1,275921,1,11873,4,479684,4,78431,4,619383,4,1184702,8,1802071,96,0,0,2765,1,23215,1,2575,1,0,0,0,0,0,0,319606,1,28064,1,5811,1,4980,1,22062,1,220515,1,28775,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,1240,1,1,1,0,1
4,3444100,4100,9570,35.964233,,0,8,8,96,30084,2615,1974,3414016,16,149,100,1,24808,1,50,1,269639,1,335727,1,88010,1,2685343,1,10340,1,275641,1,11893,4,477380,4,78100,4,621247,4,1190834,8,1810106,96,0,0,2976,1,22052,1,2605,1,0,0,0,0,0,0,311841,1,17343,1,3777,1,4909,1,21752,1,213982,1,28816,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,1240,1,1,1,0,1
5,3444700,4087,9570,35.948902,,0,8,8,96,30543,962,3437,3414157,16,149,30,1,24698,1,40,1,266243,1,349433,1,86106,1,2677207,1,10400,1,273898,1,11803,4,476087,4,78381,4,616558,4,1192136,8,1805257,96,0,0,2785,1,21982,1,2615,1,0,0,0,0,0,0,324635,1,17163,1,4839,1,4819,1,22403,1,210225,1,28615,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,1240,1,1,1,0,1
6,3456800,4079,9570,35.93085,,0,8,8,96,30019,992,1904,3426781,16,149,40,1,24668,1,70,1,264229,1,346427,1,85364,1,2695532,1,10450,1,275070,1,11683,4,478241,4,78912,4,625545,4,1197026,8,1820667,96,0,0,2896,1,22513,1,2655,1,0,0,0,0,0,0,322161,1,17694,1,3757,1,4839,1,22103,1,208502,1,28565,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,1240,1,1,1,0,1
7,3458000,4073,9570,35.910072,,0,8,8,96,31740,1012,1935,3426260,16,149,20,1,24898,1,40,1,261804,1,332030,1,86647,1,2710431,1,10390,1,274950,1,11933,4,480035,4,79102,4,625084,4,1210712,8,1833862,96,0,0,2896,1,22103,1,2605,1,0,0,0,0,0,0,308995,1,16622,1,3657,1,4859,1,21221,1,207119,1,28435,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
8,3447900,4066,9570,35.88657,,0,8,8,96,30497,1102,2065,3417403,16,149,10,1,24898,1,50,1,264029,1,336729,1,85675,1,2695592,1,10420,1,274459,1,11853,4,479253,4,78601,4,625425,4,1197316,8,1820676,96,0,0,2795,1,22213,1,2575,1,0,0,0,0,0,0,312983,1,17303,1,3707,1,5220,1,22654,1,207410,1,28595,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
9,3457700,4061,9570,35.86034,,0,8,8,96,30168,1112,1974,3427532,16,149,80,1,24918,1,40,1,258718,1,344704,1,85986,1,2702396,1,10691,1,274188,1,12063,4,480706,4,78882,4,625435,4,1202496,8,1825957,96,0,0,2886,1,22022,1,2605,1,0,0,0,0,0,0,320297,1,17804,1,3747,1,4839,1,20369,1,204634,1,28695,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,1240,1,1,1,0,1
