step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,17632300,4495,9570,35.998295,,0,9,9,108,102658,5701,3467,17529642,16,158,381,1,126353,1,361,1,710020,1,2657125,1,132024,1,13881234,1,22144,1,549379,1,8998,4,541493,4,67745,4,4289039,4,8391745,8,12677316,108,0,0,3557,1,21012,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,34619,1,74148,1,548577,1,50691,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,15393500,4196,9570,35.993866,,0,8,8,96,89029,1453,2826,15304471,16,146,170,1,42114,1,170,1,598728,1,2566533,1,86202,1,11998879,1,11673,1,323918,1,9790,4,486223,4,65110,4,3742365,4,7345492,8,11085031,96,0,0,3537,1,18487,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,6904,1,30721,1,535792,1,24860,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,15193600,4142,9570,35.986713,,0,8,8,96,147215,1393,6454,15046385,16,146,170,1,31573,1,180,1,603968,1,2468517,1,109579,1,11815693,1,16703,1,284359,1,7816,4,473257,4,64850,4,3713778,4,7238548,8,10945873,96,0,0,3417,1,25070,1,3206,1,0,0,0,0,0,0,0,0,0,0,0,0,30020,1,26743,1,514479,1,32315,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,14985700,4111,9570,35.976837,,0,8,8,96,147832,3116,2365,14837868,16,146,130,1,33958,1,150,1,581493,1,2312465,1,109379,1,11782757,1,17535,1,288537,1,7705,4,473377,4,73337,4,3685952,4,7226113,8,10909700,96,0,0,3026,1,19098,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,6493,1,28988,1,516012,1,29479,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,14987700,4100,9570,35.964233,,0,8,8,96,147307,1283,4128,14840393,16,146,60,1,32806,1,150,1,584990,1,2294519,1,107916,1,11802767,1,17184,1,277435,1,7806,4,472946,4,64790,4,3681353,4,7270091,8,10947316,96,0,0,3287,1,21162,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,6363,1,28327,1,520321,1,29549,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,14887300,4087,9570,35.948902,,0,8,8,96,119753,3758,2626,14767547,16,146,170,1,42214,1,140,1,471253,1,2467145,1,82926,1,11687547,1,16152,1,257214,1,7325,4,471934,4,65200,4,3667686,4,7190462,8,10855522,96,0,0,3317,1,18156,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,9709,1,24319,1,413257,1,23727,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,15281200,4079,9570,35.93085,,0,8,8,96,98593,1232,2475,15182607,16,146,170,1,30561,1,150,1,579028,1,2490151,1,111884,1,11953458,1,17204,1,318778,1,7956,4,502285,4,69980,4,3827596,4,7194189,8,11019310,96,0,0,3066,1,25802,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,6092,1,27014,1,515451,1,30080,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,14967100,4073,9570,35.910072,,0,8,8,96,147499,1052,2285,14819601,16,146,100,1,33567,1,160,1,581393,1,2317034,1,108297,1,11761845,1,17204,1,283998,1,7595,4,475641,4,64810,4,3676133,4,7228999,8,10902847,96,0,0,3126,1,17986,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,6293,1,28206,1,516593,1,29800,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,14971300,4066,9570,35.88657,,0,8,8,96,146067,1173,2305,14825233,16,146,130,1,33287,1,150,1,585261,1,2299079,1,108457,1,11781645,1,17224,1,274569,1,7515,4,476844,4,64759,4,3678287,4,7251825,8,10927807,96,0,0,3036,1,21172,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,6343,1,29910,1,518828,1,29709,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,14970700,4061,9570,35.86034,,0,8,8,96,146059,1303,2345,14824641,16,146,30,1,32866,1,140,1,581794,1,2303808,1,108627,1,11780342,1,17034,1,270501,1,7665,4,474048,4,64750,4,3685321,4,7252957,8,10935933,96,0,0,3397,1,17896,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,6283,1,27695,1,517776,1,29589,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
