step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,17194300,4495,9570,35.998295,,0,9,9,108,74226,4830,3778,17120074,16,158,752,1,120873,1,100,1,496476,1,2491810,1,134901,1,13864341,1,10822,1,549342,1,9720,4,539523,4,67716,4,4291932,4,8375477,8,12663631,108,0,0,4329,1,18858,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,34159,1,73477,1,336305,1,49840,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,15319300,4196,9570,35.993866,,0,8,8,96,180522,1383,2806,15138778,16,146,170,1,48728,1,110,1,382528,1,2550137,1,109440,1,12034188,1,13477,1,362247,1,8667,4,481316,4,64800,4,3752690,4,7329608,8,11079492,96,0,0,2876,1,28066,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,19509,1,29529,1,306375,1,25261,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,14793100,4142,9570,35.986713,,0,8,8,96,110998,1212,4831,14682102,16,146,100,1,32215,1,140,1,307958,1,2464956,1,106584,1,11756331,1,13818,1,268910,1,7214,4,478480,4,66113,4,3689163,4,7221842,8,10906174,96,0,0,2866,1,18016,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,29840,1,22355,1,227527,1,27906,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,15203400,4111,9570,35.976837,,0,8,8,96,166005,3637,3107,15037395,16,146,691,1,41012,1,90,1,353900,1,2527802,1,105131,1,11995330,1,13437,1,327848,1,7695,4,501677,4,64610,4,3856288,4,7209697,8,11062879,96,0,0,3106,1,18287,1,2485,1,0,0,0,0,0,0,0,0,0,0,0,0,6443,1,30361,1,282176,1,34509,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,14628500,4100,9570,35.964233,,0,8,8,96,91890,1253,4930,14536610,16,146,80,1,33197,1,190,1,282487,1,2471089,1,83718,1,11655138,1,10711,1,253178,1,7315,4,472518,4,65722,4,3658181,4,7173304,8,10826555,96,0,0,2816,1,18377,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,8407,1,26293,1,219641,1,27746,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,14687000,4087,9570,35.948902,,0,8,8,96,146603,5651,2415,14540397,16,146,170,1,34108,1,150,1,339131,1,2325767,1,105943,1,11724226,1,10902,1,269000,1,10681,4,473981,4,65982,4,3665195,4,7196130,8,10858910,96,0,0,2886,1,31904,1,2816,1,0,0,0,0,0,0,0,0,0,0,0,0,15221,1,31062,1,257457,1,34780,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,14812400,4079,9570,35.93085,,0,8,8,96,72553,1393,2325,14739847,16,146,170,1,35541,1,170,1,351796,1,2478473,1,85742,1,11767483,1,20471,1,308469,1,7625,4,472338,4,66273,4,3669904,4,7206581,8,10874160,96,0,0,2916,1,29459,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,6794,1,28096,1,281575,1,34810,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,14900200,4073,9570,35.910072,,0,8,8,96,106975,1253,2516,14793225,16,146,150,1,35521,1,50,1,336736,1,2503494,1,86083,1,11817604,1,13587,1,296635,1,7505,4,486386,4,64730,4,3677990,4,7245239,8,10920713,96,0,0,2836,1,32485,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,6693,1,27425,1,267006,1,35301,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,14972500,4066,9570,35.88657,,0,8,8,96,114195,1443,2746,14858305,16,146,110,1,32114,1,150,1,270543,1,2504205,1,108658,1,11931843,1,10681,1,326014,1,7555,4,501817,4,65531,4,3837340,4,7169266,8,11003860,96,0,0,2946,1,17435,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,6593,1,23888,1,212066,1,27736,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,14870600,4061,9570,35.86034,,0,8,8,96,166885,1273,2335,14703715,16,146,150,1,34489,1,190,1,328549,1,2445447,1,105983,1,11775399,1,13507,1,264360,1,7194,4,471266,4,69660,4,3708802,4,7227733,8,10934201,96,0,0,4840,1,17726,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,9810,1,29329,1,254000,1,35050,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
