step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,17798800,4495,9570,35.998295,,0,9,9,108,138744,6382,3738,17660056,16,158,240,1,136325,1,130,1,583955,1,2725175,1,223945,1,13971840,1,18446,1,647248,1,9539,4,558866,4,67802,4,4278033,4,8376086,8,12650381,108,0,0,3637,1,21151,1,3096,1,0,0,0,0,0,0,0,0,0,0,0,0,40980,1,62131,1,433412,1,44086,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,15483200,4196,9570,35.993866,,0,8,8,96,64118,1353,2645,15419082,16,146,140,1,34627,1,110,1,603332,1,2721258,1,85947,1,11962786,1,10881,1,332226,1,7795,4,480444,4,64856,4,3733495,4,7317659,8,11048509,96,0,0,3447,1,18857,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,6643,1,34227,1,535060,1,27012,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,15036900,4142,9570,35.986713,,0,8,8,96,171334,1423,4409,14865566,16,146,190,1,32483,1,220,1,608132,1,2323725,1,106046,1,11781584,1,13186,1,284813,1,7294,4,472929,4,64435,4,3687045,4,7237373,8,10920009,96,0,0,3066,1,20530,1,2675,1,0,0,0,0,0,0,0,0,0,0,0,0,31181,1,29477,1,514460,1,32714,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,14879400,4111,9570,35.976837,,0,8,8,96,92396,3878,2505,14787004,16,146,150,1,32523,1,802,1,466857,1,2507643,1,83472,1,11685056,1,10500,1,260887,1,7054,4,475684,4,64616,4,3659090,4,7189881,8,10846466,96,0,0,3056,1,18255,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,8497,1,26381,1,407392,1,24357,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,15016600,4100,9570,35.964233,,0,8,8,96,167867,1373,5101,14848733,16,146,190,1,32804,1,190,1,565238,1,2333264,1,105685,1,11798236,1,13126,1,273712,1,7515,4,480313,4,64946,4,3696503,4,7248806,8,10940208,96,0,0,2866,1,19458,1,2745,1,0,0,0,0,0,0,0,0,0,0,0,0,9769,1,29287,1,496244,1,29668,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,14890500,4087,9570,35.948902,,0,8,8,96,90531,4789,2495,14799969,16,146,90,1,32253,1,892,1,466837,1,2505058,1,82911,1,11701518,1,10410,1,271468,1,16372,4,475925,4,64936,4,3664360,4,7179671,8,10841536,96,0,0,3096,1,18265,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,5691,1,28515,1,408424,1,23957,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,14878100,4079,9570,35.93085,,0,8,8,96,165561,1363,2625,14712539,16,146,190,1,32413,1,160,1,557904,1,2292665,1,105916,1,11710024,1,13266,1,261458,1,7164,4,469883,4,64796,4,3664922,4,7216202,8,10878498,96,0,0,3016,1,18596,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,9539,1,29778,1,488670,1,29658,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,15018800,4073,9570,35.910072,,0,8,8,96,95922,1262,2616,14922878,16,146,190,1,32653,1,872,1,457379,1,2575144,1,82671,1,11762677,1,11292,1,323549,1,7324,4,472458,4,64936,4,3664651,4,7203718,8,10865753,96,0,0,3457,1,18536,1,2785,1,0,0,0,0,0,0,0,0,0,0,0,0,6032,1,28125,1,399396,1,23596,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,15156700,4066,9570,35.88657,,0,8,8,96,172463,1563,3096,14984237,16,146,240,1,33174,1,120,1,567383,1,2337091,1,106517,1,11926044,1,13667,1,264965,1,8547,4,473981,4,75557,4,3714157,4,7347257,8,11058318,96,0,0,3387,1,33585,1,3046,1,0,0,0,0,0,0,0,0,0,0,0,0,9308,1,31261,1,493449,1,32954,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,14934900,4061,9570,35.86034,,0,8,8,96,80025,1272,2605,14854875,16,146,170,1,39697,1,60,1,460234,1,2383011,1,84715,1,11873682,1,13306,1,321695,1,7344,4,483770,4,64726,4,3696042,4,7259927,8,10953364,96,0,0,3637,1,32673,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,5671,1,25940,1,403334,1,24908,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
