step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,17389100,4495,9570,35.998295,,0,9,9,108,76574,5170,3437,17312526,16,158,361,1,130730,1,301,1,503923,1,2603381,1,151211,1,13911597,1,11022,1,602569,1,10381,4,539253,4,67374,4,4277022,4,8383425,8,12657011,108,0,0,4309,1,19349,1,2745,1,0,0,0,0,0,0,0,0,0,0,0,0,35461,1,75931,1,337712,1,52504,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,15266500,4196,9570,35.993866,,0,8,8,96,185525,1253,2475,15080975,16,146,180,1,47074,1,130,1,385297,1,2487090,1,108997,1,12038600,1,13607,1,385056,1,7134,4,481659,4,64197,4,3753310,4,7312784,8,11063619,96,0,0,2906,1,27785,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,16242,1,32525,1,310378,1,25190,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,14839600,4142,9570,35.986713,,0,8,8,96,92530,1273,4870,14747070,16,146,110,1,32785,1,150,1,306490,1,2555747,1,107063,1,11734024,1,10701,1,271350,1,7154,4,474705,4,64458,4,3682419,4,7209509,8,10887058,96,0,0,2826,1,17835,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,28737,1,22906,1,226350,1,28026,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,14871000,4111,9570,35.976837,,0,8,8,96,137737,4028,2215,14733263,16,146,200,1,33827,1,140,1,341570,1,2389736,1,99779,1,11851067,1,16944,1,311350,1,7575,4,503702,4,64929,4,3760595,4,7175882,8,10934261,96,0,0,2856,1,17635,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,9709,1,29990,1,264116,1,37495,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,14637900,4100,9570,35.964233,,0,8,8,96,105818,1653,5411,14532082,16,146,140,1,38557,1,150,1,365738,1,2355027,1,83396,1,11675537,1,13537,1,253064,1,7264,4,471488,4,68266,4,3679152,4,7171363,8,10845104,96,0,0,2806,1,17936,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,8998,1,29248,1,278735,1,48306,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,14774100,4087,9570,35.948902,,0,8,8,96,185976,3798,2395,14588124,16,146,180,1,35080,1,170,1,341961,1,2432912,1,104638,1,11659746,1,13437,1,273124,1,7174,4,470096,4,64198,4,3663201,4,7154860,8,10815665,96,0,0,2725,1,18056,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,6583,1,28266,1,271911,1,34769,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,14676000,4079,9570,35.93085,,0,8,8,96,93066,1172,2295,14582934,16,146,130,1,32865,1,160,1,280007,1,2510356,1,83737,1,11664726,1,10952,1,250669,1,7184,4,489675,4,64528,4,3651568,4,7176774,8,10826046,96,0,0,2796,1,17846,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,8527,1,26493,1,216972,1,27775,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,14518100,4073,9570,35.910072,,0,8,8,96,93371,1222,2245,14424729,16,146,180,1,33216,1,100,1,329366,1,2254337,1,84097,1,11712741,1,10691,1,255959,1,7184,4,476218,4,64959,4,3672780,4,7211533,8,10882068,96,0,0,2806,1,17555,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,9439,1,29569,1,255859,1,34248,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,14861500,4066,9570,35.88657,,0,8,8,96,168788,1483,2425,14692712,16,146,180,1,33988,1,140,1,317512,1,2449505,1,103917,1,11773763,1,13707,1,269937,1,7976,4,482360,4,65791,4,3681657,4,7238256,8,10917488,96,0,0,2725,1,21062,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,9489,1,30711,1,242182,1,34889,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,14736600,4061,9570,35.86034,,0,8,8,96,128556,1222,2385,14608044,16,146,80,1,32625,1,792,1,273444,1,2517611,1,83466,1,11684345,1,15681,1,261711,1,7144,4,476198,4,64769,4,3667489,4,7182565,8,10847670,96,0,0,2856,1,17876,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,5691,1,29088,1,210489,1,27705,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
